stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789291440839,1789291441298,459,False,363,43566589,59,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789291442401,1789291444211,1810,False,1774,1389396968,26,48,2342,0,0,0,115477404,2128623,0,0,0,0,109900993,2128623,153901170
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789291442404,1789291444211,1807,False,1773,1387993493,26,48,2342,0,0,0,115477398,2128623,0,0,0,0,109898017,2128623,157732073
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789291442404,1789291444214,1810,False,1779,1395057645,27,48,2299,0,0,0,115477398,2128623,0,0,0,0,109894903,2128623,155873244
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789291442404,1789291444234,1830,False,1800,1501830941,26,48,2299,0,0,0,115477392,2128623,0,0,0,0,109895524,2128623,160660741
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789291444209,1789291445501,1292,False,1283,1138324549,3,24,2299,0,0,0,115477389,2128623,0,0,0,0,109888450,2128623,132781173
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789291444210,1789291445522,1312,False,1305,1158977507,3,24,2299,0,0,0,115477383,2128623,0,0,0,0,109892386,2128623,139162884
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789291444233,1789291445528,1295,False,1290,1141950098,1,24,2299,0,0,0,115477380,2128623,0,0,0,0,109897794,2128623,133649140
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789291444213,1789291445543,1330,False,1324,1170630434,2,24,2299,0,0,0,115477380,2128623,0,0,0,0,109892053,2128623,138201273
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789291445500,1789291446653,1153,False,1143,1082658208,2,31,2342,0,0,0,115477380,2128623,0,0,0,0,109899247,2128623,127358953
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789291445527,1789291446758,1231,False,1225,1098355241,1,33,2299,0,0,0,115477371,2128623,0,0,0,0,109893773,2128623,132562314
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789291445522,1789291446808,1286,False,1281,1118437407,1,33,2299,0,0,0,115477380,2128623,0,0,0,0,109898362,2128623,137627983
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789291445542,1789291446808,1266,False,1261,1126437112,1,33,2299,0,0,0,115477368,2128623,0,0,0,0,109891732,2128623,146654825
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789291446651,1789291447849,1198,False,1188,1101170193,2,33,2342,0,0,0,115477362,2128623,0,0,0,0,109903064,2128623,131485562
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789291446757,1789291447942,1185,False,1179,1092218285,2,34,2299,0,0,0,115477362,2128623,0,0,0,0,109899788,2128623,141361431
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789291446808,1789291448076,1268,False,1263,1101886587,2,34,2299,0,0,0,115477359,2128623,0,0,0,0,109902334,2128623,160870179
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789291446808,1789291448085,1277,False,1272,1122055905,2,34,2299,0,0,0,115477362,2128623,0,0,0,0,109900925,2128623,147895636
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789291447848,1789291449026,1178,False,1171,1105074477,2,35,2299,0,0,0,115477353,2128623,0,0,0,0,109891090,2128623,130961516
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789291447942,1789291449121,1179,False,1173,1109523494,2,32,2299,0,0,0,115477347,2128623,0,0,0,0,109898866,2128623,131247397
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789291448076,1789291449230,1154,False,1150,1089097509,1,32,2299,0,0,0,115477203,2128622,0,0,0,0,109897497,2128622,131570816
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789291448084,1789291449259,1175,False,1170,1093286116,2,32,2299,0,0,0,115476939,2128620,0,0,0,0,109899938,2128620,128034889
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789291449026,1789291450184,1158,False,1153,1087309077,1,35,2299,0,0,0,115476936,2128620,0,0,0,0,109899559,2128620,129852173
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789291449121,1789291450308,1187,False,1183,1121022026,1,35,2299,0,0,0,115476930,2128620,0,0,0,0,109896031,2128620,131092405
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789291449229,1789291450387,1158,False,1154,1086534666,1,35,2299,0,0,0,115476930,2128620,0,0,0,0,109898540,2128620,130053606
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789291449259,1789291450433,1174,False,1160,1095362054,1,35,2299,0,0,0,115476930,2128620,0,0,0,0,109897739,2128620,133335167
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789291450184,1789291451355,1171,False,1167,1109994615,1,25,2299,0,0,0,115476930,2128620,0,0,0,0,109893020,2128620,129976912
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789291450308,1789291451447,1139,False,1135,1077937831,1,25,2299,0,0,0,115476924,2128620,0,0,0,0,109899219,2128620,128613109
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789291450387,1789291451535,1148,False,1144,1088856064,1,25,2299,0,0,0,115476921,2128620,0,0,0,0,109904466,2128620,128192138
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789291450433,1789291451615,1182,False,1177,1124318091,1,23,2299,0,0,0,115476921,2128620,0,0,0,0,109895661,2128620,139476251
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789291451355,1789291452535,1180,False,1174,1111077923,1,24,2299,0,0,0,115476921,2128620,0,0,0,0,109899924,2128620,129787637
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789291451447,1789291452604,1157,False,1153,1096140931,1,24,2299,0,0,0,115476921,2128620,0,0,0,0,109890157,2128620,129183479
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789291451534,1789291452734,1200,False,1195,1116298192,1,24,2299,0,0,0,115476918,2128620,0,0,0,0,109896044,2128620,135097381
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789291451614,1789291452861,1247,False,1242,1132184991,1,25,2299,0,0,0,115476912,2128620,0,0,0,0,109895600,2128620,141946885
