t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789292039.1791935,0.0,12877658,109065,0,180,116,61,143228,1717212,40414888,150552,1460,63845236,64207352,64771556,0,8,0,1,1,0,58803444,336112310,340746238,197314,198193,365,2,123033820,61110,455784404,597949741,0
1789292039.4296362,0.25,12877905,109083,0,180,116,61,143230,1717344,40415491,160468,1460,63831460,64187744,64771556,0,8,0,0,17,0,58803667,336141642,340775595,197314,198193,365,2,123036477,61183,455796664,597949741,0
1789292039.680164,0.501,12878270,109100,0,180,116,61,143232,1717362,40416194,166768,1460,63815332,64167976,64771556,0,8,0,0,2,0,58804221,336221748,340855706,197314,198193,365,2,123041318,61215,455805108,597949741,0
1789292039.930595,0.751,12878645,109123,0,180,116,61,143233,1717362,40416876,195384,1492,63790964,64129004,64771556,0,8,0,1,1,0,58804940,336380474,341014442,197314,198193,373,2,123045496,61411,455833972,597949741,0
1789292040.180959,1.002,12879010,109146,0,180,116,61,143235,1717372,40419015,205384,1492,63774204,64107064,64771556,0,8,0,1,1,0,58805723,336523400,341157379,197314,198193,373,2,123048761,61520,455844584,597949741,0
1789292040.4313328,1.252,12879380,109168,0,180,116,61,143237,1717381,40420821,212980,1508,63762704,64091932,64771556,0,0,0,0,2,0,58806566,336702690,341336675,197314,198193,377,0,123050841,61526,455851388,597949741,0
1789292040.6816843,1.502,12879747,109190,0,180,116,61,143238,1717390,40422087,221500,1508,63739356,64064324,64771556,0,0,0,1,2,0,58807422,336868679,341502670,197314,198193,377,0,123055961,61526,455859892,597949741,0
1789292040.9320447,1.753,12880103,109199,0,180,116,61,143243,1717421,40425819,224508,1540,63736072,64059460,64771556,0,0,0,1,3,0,58807742,336890107,341524098,197314,198193,385,0,123071290,61534,455862880,597949773,0
1789292041.182484,2.003,12880458,109212,0,180,116,61,143245,1717449,40428423,227656,1540,63713380,64035124,64771556,0,0,0,1,1,0,58809457,336952661,341586668,197314,198193,385,0,123078765,61535,455866336,597949773,0
1789292041.4329464,2.254,12880823,109224,0,180,116,61,143246,1717471,40431582,230684,1540,63691332,64011576,64771556,0,0,0,1,1,0,58810106,337038664,341672671,197314,198193,385,0,123083847,61535,455869340,597949773,0
1789292041.6834607,2.504,12881184,109239,0,180,116,61,143248,1717493,40435423,234108,1540,63663120,63981620,64771556,0,0,0,0,4,0,58811674,337127027,341761042,197314,198193,385,0,123091882,61543,455872780,597949773,0
1789292041.934138,2.755,12881536,109250,0,180,116,61,143250,1717529,40438935,237024,1540,63650440,63967472,64771556,0,0,0,0,3,0,58812130,337186174,341820189,197314,198193,385,0,123094367,61548,455875744,597949773,0
1789292042.184808,3.006,12881893,109260,0,180,116,61,143252,1717560,40443739,239212,1540,63644236,63960188,64771556,0,0,0,1,1,0,58812742,337244179,341878193,197314,198193,385,0,123096263,61550,455877900,597949773,0
1789292042.4352558,3.256,12882236,109272,0,180,116,61,143255,1717599,40449058,241928,1508,63677464,63992044,64771556,0,0,0,0,1,0,58813388,337293761,341927775,197314,198193,377,0,123101103,61554,455880484,597949777,0
1789292042.735964,3.557,12882689,109297,0,180,116,61,143257,1717603,40450039,269784,1508,63657688,63957976,64771556,0,0,0,1,1,0,58814440,337531399,342165426,197314,198193,377,0,123104329,61782,455909256,597949777,0
1789292042.9879446,3.809,12883064,109316,0,180,116,61,143259,1717609,40450651,283780,1508,63645384,63933848,64771556,0,0,0,1,1,0,58815133,337720638,342354665,197314,198193,377,0,123108283,61890,455923336,597949777,0
1789292043.2383301,4.059,12883439,109333,0,180,116,61,143260,1717616,40451206,295724,1508,63635100,63911504,64771556,0,0,0,1,1,0,58816092,337889374,342523498,197314,198193,377,0,123112453,61984,455935384,597949777,0
1789292043.4887264,4.31,12883807,109348,0,180,116,61,143262,1717632,40452647,302108,1508,63624348,63894200,64771556,0,0,0,1,1,0,58816673,337967632,342601758,197314,198193,377,0,123116539,61996,455941948,597949777,0
1789292043.7391336,4.56,12884166,109362,0,180,116,61,143263,1717658,40454165,305120,1508,63607776,63874572,64771556,0,0,0,0,2,0,58817229,338053605,342687738,197314,198193,377,0,123120699,62000,455944948,597949777,0
1789292043.9895706,4.81,12884492,109374,0,180,116,61,143267,1717715,40455903,307960,1508,63538784,63802740,64771556,0,0,0,1,3,0,58817765,338096533,342730667,197314,198193,377,0,123139734,62000,455947784,597949777,0
