t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789293261.2804205,0.0,14422625,131109,0,180,127,64,164851,2081209,47351157,150788,1260,63852156,64214452,64771556,0,0,0,1,1,0,60069821,400432318,405221058,197318,198197,315,0,138874820,74566,558975724,693977613,0
1789293261.5308478,0.25,14422867,131126,0,180,127,64,164852,2081347,47351740,160500,1260,63837548,64193828,64771556,0,0,0,1,16,0,60069978,400460537,405249330,197318,198197,315,0,138877484,74639,558988000,693977613,0
1789293261.7813919,0.501,14423237,131143,0,180,127,64,164855,2081359,47352469,169588,1260,63819936,64171036,64771556,0,0,0,1,1,0,60070568,400558157,405347036,197318,198197,315,0,138882524,74677,558998616,693977613,0
1789293262.0318074,0.751,14423612,131166,0,180,127,64,164856,2081359,47353144,196476,1292,63790424,64127912,64771556,0,0,0,1,1,0,60071336,400725089,405513985,197318,198197,323,0,138886630,74881,559025760,693977613,0
1789293262.2821593,1.002,14423977,131190,0,180,127,64,164858,2081368,47355378,207212,1452,63774316,64106360,64771556,0,0,0,1,1,0,60072127,400866763,405655663,197318,198197,363,0,138889892,74976,559036484,693977613,0
1789293262.5325787,1.252,14424347,131212,0,180,127,64,164859,2081374,47357038,213616,1452,63761952,64090792,64771556,0,0,0,1,1,0,60073095,401048994,405837895,197318,198197,363,0,138891924,74982,559042876,693977613,0
1789293262.7830086,1.503,14424715,131233,0,180,127,64,164861,2081383,47358290,221904,1452,63741024,64065704,64771556,0,0,0,1,2,0,60073917,401213030,406001930,197318,198197,363,0,138897012,74982,559051180,693977613,0
1789293263.0334275,1.753,14425068,131243,0,180,127,64,164867,2081413,47361776,224948,1452,63732980,64056112,64771556,0,0,0,1,3,0,60074740,401234096,406022998,197318,198197,363,0,138913210,74990,559054188,693977645,0
1789293263.283882,2.003,14425425,131255,0,180,127,64,164869,2081440,47363918,228344,1452,63705788,64027224,64771556,0,0,0,0,2,0,60075294,401307839,406096757,197318,198197,363,0,138920688,74991,559057732,693977645,0
1789293263.534328,2.254,14425789,131268,0,180,127,64,164870,2081462,47366472,231332,1452,63686060,64005956,64771556,0,0,0,1,2,0,60075923,401393549,406182572,197318,198197,363,0,138925764,74991,559060648,693977645,0
