t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789294901.0741732,0.0,16367360,183213,0,180,158,69,224362,2641548,64778453,149024,1616,63816632,64179072,64771556,0,0,0,1,1,0,74241822,558127706,563873128,198440,199402,404,0,181255447,108934,825921160,931981381,0
1789294901.3246105,0.25,16367598,183230,0,180,158,69,224364,2641692,64779071,158860,1616,63802300,64158884,64771556,0,0,0,0,17,0,74242506,558155096,563900573,198440,199402,404,0,181258116,109007,825933480,931981381,0
1789294901.5751433,0.501,16367971,183247,0,180,158,69,224366,2641698,64779782,167700,1616,63785508,64137184,64771556,0,0,0,1,1,0,74243376,558257403,564002938,198440,199402,404,0,181263112,109044,825943752,931981381,0
1789294901.8255641,0.751,16368347,183270,0,180,158,69,224367,2641699,64780470,194848,1648,63756680,64094404,64771556,0,0,0,0,2,0,74244124,558424850,564170385,198440,199402,412,0,181267271,109251,825971224,931981381,0
1789294902.075908,1.002,16368712,183293,0,180,158,69,224370,2641708,64782772,205396,1648,63742452,64074856,64771556,0,0,0,1,1,0,74244884,558568087,564313650,198440,199402,412,0,181270478,109343,825981788,931981381,0
1789294902.3262558,1.252,16369082,183316,0,180,158,69,224371,2641715,64784418,211788,1648,63731592,64060800,64771556,0,0,0,0,2,0,74245841,558753832,564499408,198440,199402,412,0,181272519,109350,825988180,931981381,0
1789294902.5765865,1.502,16369449,183337,0,180,158,69,224373,2641724,64785691,220160,1648,63710960,64035964,64771556,0,0,0,1,1,0,74246546,558916157,564661773,198440,199402,412,0,181277601,109350,825996540,931981381,0
1789294902.8269393,1.753,16369803,183347,0,180,158,69,224378,2641755,64789236,222932,1648,63706264,64029884,64771556,0,0,0,0,4,0,74246821,558938547,564684165,198440,199402,412,0,181293580,109358,825999516,931981413,0
1789294903.0773573,2.003,16370159,183360,0,180,158,69,224380,2641784,64791747,226580,1648,63677124,63998920,64771556,0,0,0,1,1,0,74247367,559013688,564759318,198440,199402,412,0,181301035,109359,826002976,931981413,0
1789294903.3277888,2.254,16370524,183372,0,180,158,69,224382,2641805,64795003,229424,1648,63657464,63977844,64771556,0,0,0,0,4,0,74248734,559099932,564845561,198440,199402,412,0,181306031,109359,826005896,931981413,0
1789294903.5782056,2.504,16370885,183386,0,180,158,69,224385,2641826,64798755,232828,1648,63626724,63945352,64771556,0,0,0,1,1,0,74249401,559186974,564932610,198440,199402,412,0,181313963,109367,826009320,931981413,0
1789294903.8286424,2.754,16371236,183397,0,180,158,69,224387,2641862,64802840,235748,1648,63613488,63930660,64771556,0,0,0,0,4,0,74249897,559242172,564987808,198440,199402,412,0,181316360,109372,826012184,931981413,0
1789294904.079064,3.005,16371595,183407,0,180,158,69,224389,2641890,64807276,238192,1648,63606644,63922584,64771556,0,0,0,0,2,0,74250528,559307522,565053164,198440,199402,412,0,181318036,109375,826014596,931981413,0
1789294904.3294952,3.255,16371939,183419,0,180,158,69,224393,2641929,64813133,240520,1648,63635024,63949796,64771556,0,0,0,0,1,0,74250978,559351823,565097468,198440,199402,412,0,181322772,109378,826016908,931981417,0
1789294904.623474,3.549,16372381,183444,0,180,158,69,224395,2641932,64814078,268240,1648,63616416,63916960,64771556,0,0,0,1,1,0,74252097,559599268,565344973,198440,199402,412,0,181326022,109606,826045680,931981417,0
1789294904.87579,3.802,16372757,183463,0,180,158,69,224395,2641938,64814692,282392,1648,63602580,63891976,64771556,0,0,0,1,1,0,74252865,559787581,565533285,198440,199402,412,0,181329986,109714,826059796,931981417,0
1789294905.1261127,4.052,16373132,183480,0,180,158,69,224396,2641945,64815235,294260,1648,63594480,63871812,64771556,0,0,0,1,1,0,74253847,559956273,565702091,198440,199402,412,0,181334112,109808,826071920,931981417,0
1789294905.3764548,4.302,16373499,183495,0,180,158,69,224398,2641960,64816913,300628,1648,63576492,63847240,64771556,0,0,0,1,1,0,74254488,560039435,565785254,198440,199402,412,0,181338092,109820,826078424,931981417,0
