t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789295690.960116,0.0,17246085,218142,0,180,190,72,263804,2947638,76567799,149080,1736,63836460,64198708,64771556,0,260,0,1,1,0,86322150,666677934,673724320,198453,199415,434,65,209808537,129847,989636032,1088982109,0
1789295691.211461,0.251,17246327,218160,0,180,190,72,263805,2947779,76568449,158620,1360,63822156,64178408,64771556,0,0,0,0,17,0,86323220,666700645,673747122,198453,199415,340,0,209811202,129920,989648464,1088982109,0
1789295691.4620216,0.502,17246698,218177,0,180,190,72,263807,2947788,76569158,168056,1360,63805140,64156700,64771556,0,0,0,1,1,0,86323944,666794678,673841171,198453,199415,340,0,209816226,129957,989658872,1088982109,0
1789295691.712452,0.752,17247074,218200,0,180,190,72,263808,2947789,76569836,194944,1392,63775860,64113196,64771556,0,0,0,1,1,0,86324721,666961763,674008256,198453,199415,348,0,209820387,130164,989686104,1088982109,0
1789295691.9628348,1.003,17247438,218223,0,180,190,72,263810,2947800,76572045,205644,1392,63758280,64090196,64771556,0,0,0,0,2,0,86325571,667103348,674149853,198453,199415,348,0,209823595,130257,989696804,1088982109,0
1789295692.2132072,1.253,17247808,218246,0,180,190,72,263811,2947807,76573698,212124,1392,63747124,64075812,64771556,0,0,0,1,1,0,86326445,667285882,674332412,198453,199415,348,0,209825630,130263,989703200,1088982109,0
1789295692.4635568,1.503,17248175,218267,0,180,190,72,263812,2947817,76575080,220396,1392,63725396,64049928,64771556,0,0,0,1,1,0,86327260,667447186,674493726,198453,199415,348,0,209830724,130263,989711560,1088982109,0
1789295692.7139149,1.754,17248529,218276,0,180,190,72,263818,2947848,76578680,223444,1424,63719880,64042892,64771556,0,0,0,1,2,0,86327620,667468172,674514712,198453,199415,356,0,209846867,130271,989714500,1088982141,0
1789295692.9643435,2.004,17248888,218289,0,180,190,72,263821,2947874,76580799,226688,1424,63690488,64011872,64771556,0,0,0,0,2,0,86328184,667544270,674590815,198453,199415,356,0,209854116,130272,989718040,1088982141,0
1789295693.2147868,2.255,17249251,218301,0,180,190,72,263822,2947896,76583344,229796,1392,63671492,63991248,64771556,0,0,0,1,3,0,86328957,667629213,674675763,198453,199415,348,0,209859009,130272,989721036,1088982141,0
