t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789293902.554026,0.0,15120471,146733,0,180,141,66,187292,2368662,53621539,148668,1624,63814376,64177120,64771556,0,0,0,1,1,0,72127300,447442723,452966150,198422,199384,406,0,158442019,83480,627834124,795993573,0
1789293902.804518,0.25,15120709,146751,0,180,141,66,187293,2368806,53622143,158368,1624,63799564,64156476,64771556,0,0,0,0,17,0,72127547,447470333,452993793,198422,199384,406,0,158444684,83553,627846412,795993573,0
1789293903.055053,0.501,15121083,146768,0,180,141,66,187295,2368814,53622891,167548,1604,63784140,64135640,64771556,0,0,0,1,1,0,72128325,447572635,453096110,198422,199384,401,0,158449717,83590,627856964,795993573,0
1789293903.305458,0.751,15121455,146792,0,180,141,66,187297,2368815,53623681,195588,1636,63755448,64092512,64771556,0,0,0,1,2,0,72128988,447724042,453247516,198422,199384,409,0,158454423,83817,627885724,795993573,0
1789293903.5558283,1.002,15121810,146822,0,180,141,66,187300,2368826,53626535,206368,4456,63738024,64069572,64771556,0,0,0,0,3,0,72129594,447837258,453361401,198422,199384,1114,0,158460606,83942,627898164,795993573,0
1789293903.8062356,1.252,15122172,146848,0,180,141,66,187303,2368834,53628847,215240,6236,63727612,64054336,64771556,0,0,0,0,2,0,72130286,447981537,453505864,198422,199384,1559,0,158466179,83979,627906908,795993573,0
1789293904.0566857,1.503,15122539,146869,0,180,141,66,187305,2368844,53630154,223612,6236,63706780,64029304,64771556,0,0,0,0,2,0,72131182,448147415,453671843,198422,199384,1559,0,158471265,83979,627915268,795993573,0
1789293904.3071356,1.753,15122893,146879,0,180,141,66,187311,2368873,53633786,227368,6236,63702048,64022736,64771556,0,0,0,0,4,0,72131669,448169267,453693695,198422,199384,1559,0,158487345,83987,627918272,795993605,0
1789293904.5575817,2.004,15123250,146892,0,180,141,66,187313,2368901,53636460,230800,6236,63677348,63996320,64771556,0,0,0,0,3,0,72132221,448245669,453770103,198422,199384,1559,0,158494736,83988,627921836,795993605,0
1789293904.8080118,2.254,15123614,146904,0,180,141,66,187315,2368921,53639761,233756,6236,63658112,63975604,64771556,0,0,0,0,4,0,72132864,448331751,453856185,198422,199384,1559,0,158499666,83988,627924680,795993605,0
1789293905.0584297,2.504,15123975,146918,0,180,141,66,187318,2368943,53643648,237136,6236,63633552,63949296,64771556,0,0,0,0,2,0,72133609,448417860,453942359,198422,199384,1559,0,158507430,83995,627928068,795993605,0
1789293905.3088677,2.755,15124324,146928,0,180,141,66,187320,2368979,53647916,239992,6236,63621552,63935864,64771556,0,0,0,0,3,0,72134113,448468993,453993500,198422,199384,1559,0,158509982,84000,627930916,795993605,0
