t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789292264.2283611,0.0,13168354,112681,0,180,118,61,147053,1778701,41632317,150504,1600,63847652,64209668,64771556,0,0,0,1,1,0,59028762,346657187,351316736,197314,198194,400,0,126333183,63354,472962228,614044561,0
1789292264.4787874,0.25,13168594,112698,0,180,118,61,147054,1778840,41632948,160236,1600,63831428,64187584,64771556,0,0,0,1,16,0,59028918,346684974,351344594,197314,198194,400,0,126335848,63427,472974504,614044561,0
1789292264.7293236,0.501,13168966,112715,0,180,118,61,147056,1778850,41633658,168636,1600,63814580,64165876,64771556,0,0,0,1,1,0,59029640,346779370,351439131,197314,198194,400,0,126340852,63463,472984752,614044561,0
1789292264.9797368,0.751,13169341,112738,0,180,118,61,147057,1778851,41634363,196264,1632,63784864,64122144,64771556,0,0,0,1,1,0,59030427,346944237,351603997,197314,198194,408,0,126345081,63673,473012424,614044561,0
1789292265.2300804,1.002,13169706,112761,0,180,118,61,147059,1778858,41636657,206936,1632,63773028,64104864,64771556,0,0,0,0,2,0,59031252,347099917,351759728,197314,198194,408,0,126348243,63763,473023116,614044561,0
1789292265.4804277,1.252,13170076,112784,0,180,118,61,147059,1778864,41638302,213372,1632,63761444,64090052,64771556,0,0,0,0,2,0,59032051,347283796,351943652,197314,198194,408,0,126350324,63769,473029540,614044561,0
1789292265.7307525,1.502,13170442,112805,0,180,118,61,147061,1778874,41639683,221744,1632,63739488,64063904,64771556,0,0,0,1,2,0,59032758,347444037,352103922,197314,198194,408,0,126355426,63769,473037924,614044561,0
1789292265.9810913,1.753,13170794,112814,0,180,118,61,147066,1778906,41643185,224732,1664,63730532,64053496,64771556,0,0,0,0,2,0,59033024,347464292,352124181,197314,198194,416,0,126371632,63777,473040908,614044593,0
1789292266.2315602,2.003,13171152,112827,0,180,118,61,147067,1778934,41645767,228216,1632,63704752,64025968,64771556,0,0,0,1,1,0,59033824,347537762,352197675,197314,198194,408,0,126378907,63778,473044380,614044593,0
1789292266.4820175,2.254,13171516,112839,0,180,118,61,147069,1778954,41648915,231056,1632,63683804,64003600,64771556,0,0,0,1,3,0,59034491,347622584,352282498,197314,198194,408,0,126383737,63778,473047220,614044593,0
1789292266.7327144,2.504,13171878,112854,0,180,118,61,147072,1778973,41652703,234476,1632,63657660,63975760,64771556,0,0,0,1,1,0,59035214,347712883,352372797,197314,198194,408,0,126391344,63785,473050656,614044593,0
1789292266.983172,2.755,13172227,112864,0,180,118,61,147073,1779011,41656885,237264,1632,63648392,63965072,64771556,0,0,0,0,4,0,59035734,347762382,352422295,197314,198194,408,0,126394247,63790,473053440,614044593,0
1789292267.233678,3.005,13172586,112874,0,180,118,61,147075,1779039,41660942,239656,1632,63638940,63954444,64771556,0,0,0,0,2,0,59036404,347829619,352489556,197314,198194,408,0,126395847,63793,473055840,614044593,0
1789292267.4841404,3.256,13172929,112886,0,180,118,61,147080,1779081,41665591,241960,1632,63669700,63984020,64771556,0,0,0,0,1,0,59036884,347875289,352535226,197314,198194,408,0,126400371,63796,473058176,614044597,0
1789292267.7763927,3.548,13173369,112911,0,180,118,61,147082,1779085,41666494,269784,1632,63649264,63949300,64771556,0,0,0,1,1,0,59037937,348112983,352772966,197314,198194,408,0,126403598,64024,473086948,614044597,0
1789292268.028728,3.8,13173745,112930,0,180,118,61,147082,1779090,41667123,283836,1632,63637068,63925324,64771556,0,0,0,1,1,0,59038807,348301067,352961142,197314,198194,408,0,126407549,64132,473101060,614044597,0
1789292268.279079,4.051,13174120,112946,0,180,118,61,147084,1779096,41667648,295676,1632,63626600,63902928,64771556,0,0,0,0,2,0,59039652,348470593,353130669,197314,198194,408,0,126411709,64226,473113052,614044597,0
1789292268.5295835,4.301,13174487,112961,0,180,118,61,147086,1779113,41669598,301776,1632,63612600,63882504,64771556,0,0,0,0,5,0,59040295,348549372,353209452,197314,198194,408,0,126415284,64238,473119544,614044597,0
1789292268.7800345,4.552,13174845,112975,0,180,118,61,147087,1779138,41671814,305016,1632,63594220,63861292,64771556,0,0,0,0,2,0,59040857,348633942,353294021,197314,198194,408,0,126419559,64242,473122604,614044597,0
1789292269.0304768,4.802,13175169,112988,0,180,118,61,147091,1779198,41674336,307860,1632,63534256,63798484,64771556,0,0,0,1,3,0,59041218,348675036,353335115,197314,198194,408,0,126438554,64242,473125440,614044597,0
1789292269.280941,5.053,13175522,112998,0,180,118,61,147093,1779232,41676700,310312,1632,63511876,63773260,64771556,0,0,0,1,1,0,59041973,348735680,353395775,197314,198194,408,0,126445321,64242,473128036,614044597,0
1789292269.5313902,5.303,13175871,113009,0,180,118,61,147097,1779266,41682342,313820,1632,63490572,63748448,64771556,0,0,0,0,5,0,59042416,348766434,353426531,197314,198194,408,0,126451374,64245,473131492,614044597,0
1789292269.781845,5.553,13176227,113020,0,180,118,61,147098,1779298,41683915,316612,1632,63483932,63739008,64771556,0,0,0,0,2,0,59042823,348814245,353474342,197314,198194,408,0,126453628,64246,473134452,614044597,0
1789292270.0322556,5.804,13176576,113029,0,180,118,61,147100,1779336,41686414,319540,1732,63470644,63722804,64771556,0,0,0,1,2,0,59043206,348860616,353520712,197314,198194,433,0,126457231,64247,473137228,614044597,0
1789292270.282719,6.054,13176936,113041,0,180,118,61,147101,1779363,41688217,323592,1732,63459640,63707724,64771556,0,0,0,0,3,0,59044014,348932422,353592519,197314,198194,433,0,126460452,64247,473140948,614044597,0
1789292270.533153,6.305,13177292,113046,0,180,118,61,147103,1779401,41690306,325400,1732,63449276,63695524,64771556,0,0,0,0,2,0,59044312,348961190,353621287,197314,198194,433,0,126462878,64247,473142780,614044597,0
1789292270.7835114,6.555,13177610,113047,0,180,118,61,147106,1779477,41697950,325884,1732,63437356,63683112,64771556,0,0,0,0,4,0,59044852,348964802,353624898,197314,198194,433,0,126467168,64249,473143240,614044597,0
1789292271.0339904,6.806,13177926,113049,0,180,118,61,147109,1779556,41703257,326392,1732,63415892,63661136,64771556,0,0,0,0,4,0,59045424,348972592,353632689,197314,198194,433,0,126472492,64249,473143748,614044597,0
1789292271.284472,7.056,13178286,113062,0,180,118,61,147111,1779582,41706707,329960,1732,63406060,63647740,64771556,0,0,0,1,1,0,59046205,349085897,353746004,197314,198194,433,0,126474040,64249,473147328,614044597,0
1789292271.5348978,7.307,13178657,113071,0,180,118,61,147112,1779600,41707741,332704,1732,63398584,63637536,64771556,0,0,0,0,2,0,59046754,349167298,353827404,197314,198194,433,0,126475941,64249,473150132,614044597,0
1789292271.785237,7.557,13179014,113079,0,180,118,61,147114,1779634,41710290,334480,1732,63379648,63616808,64771556,0,0,0,0,5,0,59047178,349210826,353870933,197314,198194,433,0,126480205,64249,473151852,614044597,0
1789292272.035712,7.807,13179374,113091,0,180,118,61,147115,1779659,41711030,338256,1732,63359300,63592700,64771556,0,0,0,1,1,0,59048055,349289908,353950020,197314,198194,433,0,126485817,64249,473155612,614044597,0
1789292272.2861645,8.058,13179747,113100,0,180,118,61,147116,1779677,41712046,340388,1732,63339160,63570432,64771556,0,0,0,0,2,0,59048511,349362670,354022782,197314,198194,433,0,126490999,64249,473157776,614044597,0
1789292272.5366192,8.308,13180098,113108,0,180,118,61,147118,1779714,41713916,342164,1732,63315136,63544624,64771556,0,0,0,1,1,0,59048831,349404389,354064501,197314,198194,433,0,126496724,64249,473159532,614044597,0
1789292272.7870615,8.559,13180452,113116,0,180,118,61,147121,1779749,41716150,343908,1732,63285064,63512264,64771556,0,0,0,0,4,0,59049222,349448098,354108216,197314,198194,433,0,126503061,64249,473162100,614044597,0
1789292273.0375009,8.809,13180789,113121,0,180,118,61,147123,1779805,41721526,345476,1732,63254692,63480236,64771556,0,0,0,1,5,0,59049690,349468364,354128482,197314,198194,433,0,126511287,64249,473163472,614044597,0
1789292273.288166,9.06,13181102,113126,0,180,118,61,147127,1779883,41724376,347456,1888,63207320,63430908,64771556,0,0,0,1,2,0,59049876,349474295,354134417,197314,198194,472,0,126522578,64249,473165304,614044597,0
1789292273.5386486,9.31,13181463,113137,0,180,118,61,147129,1779908,41726144,350424,1888,63178688,63399344,64771556,0,0,0,0,8,0,59050317,349536257,354196378,197314,198194,472,0,126531555,64249,473168296,614044597,0
1789292273.7890956,9.561,13181825,113142,0,180,118,61,147133,1779936,41728906,351956,1896,63291268,63510372,64771556,0,0,0,0,3,0,59050683,349560462,354220584,197314,198194,474,0,126537999,64249,473169836,614044597,0
1789292274.0395322,9.811,13182194,113150,0,180,118,61,147134,1779958,41729899,353912,1896,63268360,63485488,64771556,0,0,0,0,2,0,59053539,349623204,354283326,197314,198194,474,0,126543885,64249,473171820,614044597,0
1789292274.2898793,10.062,13182553,113159,0,180,118,61,147136,1779987,41732092,356912,1896,63249324,63463452,64771556,0,0,0,0,3,0,59053928,349680887,354341009,197314,198194,474,0,126550315,64250,473174744,614044597,0
1789292274.540223,10.312,13182878,113164,0,180,118,61,147139,1780054,41738565,358248,1900,63225496,63438264,64771556,0,0,0,0,3,0,59054352,349697002,354357124,197314,198194,475,0,126557272,64250,473176044,614044597,0
1789292274.7907004,10.562,13183133,113166,0,180,118,61,147144,1780189,41748737,359140,1964,63213564,63425424,64771556,0,0,0,0,6,0,59055000,349698512,354358635,197314,198194,491,0,126562348,64251,473176924,614044661,0
1789292275.04118,10.813,13183432,113184,0,180,118,61,147155,1780258,41757508,522348,1964,63089232,63137880,64771556,0,0,0,0,2,0,59055696,349720437,354380565,197314,198194,491,0,126589425,64251,473340136,614044661,0
1789292275.2916768,11.063,13183670,113184,0,180,118,61,147168,1780403,41768715,522444,1964,62932088,62980312,64771556,0,0,0,0,5,0,59056503,349721535,354381663,197314,198194,491,0,126630935,64251,473340300,614044661,0
1789292275.5423644,11.314,13183962,113184,0,180,118,61,147184,1780497,41771710,609732,89252,62660056,62620992,64771556,0,0,0,0,6,0,59056557,349721535,354381663,197314,198194,22415,0,126704686,64251,473340300,614044661,0
1789292275.7930813,11.565,13184250,113201,0,180,118,61,147197,1780578,41777004,844072,161624,62578168,62303972,64771556,0,0,0,0,5,0,59057100,349759827,354419955,197314,198194,40406,0,126724604,64251,473502268,614044661,0
1789292276.0438123,11.815,13184529,113201,0,180,118,61,147203,1780693,41777982,944960,262512,62554720,62178312,64771556,0,0,0,0,5,0,59057182,349759827,354419955,197314,198194,65628,0,126725104,64251,473502268,614044661,0
1789292276.2944953,12.066,13184826,113216,0,180,118,61,147211,1780775,41781413,1188500,344136,62555004,61934200,64771556,0,0,0,0,5,0,59057618,349793663,354453791,197314,198194,86034,0,126726155,64251,473664236,614044661,0
1789292276.544978,12.317,13185118,113216,0,180,118,61,147225,1780869,41783389,1302040,457608,62470208,61734496,64771556,0,0,0,0,6,0,59057687,349793951,354454079,197314,198194,114402,0,126732802,64251,473664252,614044661,0
1789292276.795459,12.567,13185352,113225,0,180,118,61,147261,1780989,41789817,1481112,475024,62413924,61498592,64771556,0,0,0,0,6,0,59058236,349802755,354462913,197314,198194,118756,0,126743250,64253,473826304,614044661,0
1789292277.0459323,12.818,13185617,113225,0,180,118,61,147276,1781109,41794279,1587824,581340,62403752,61380356,64771556,0,0,0,0,5,0,59058425,349802823,354462982,197314,198194,145335,0,126771521,64253,473826328,614044661,0
1789292277.296419,13.068,13185904,113234,0,180,118,61,147286,1781202,41798190,1839860,671380,62422296,61145856,64771556,0,0,0,0,5,0,59058832,349822986,354483145,197314,198194,167845,0,126774121,64253,473988272,614044661,0
1789292277.5471191,13.319,13186190,113239,0,180,118,61,147295,1781301,41801710,2095392,764848,62427408,60894180,64771556,0,0,0,0,5,0,59059165,349832078,354492237,197314,198194,191212,0,126774586,64253,474150240,614044661,0
1789292277.7976017,13.569,13186489,113239,0,180,118,61,147301,1781397,41802172,2213692,883272,62432192,60779388,64771556,0,0,0,0,6,0,59059187,349832078,354492237,197314,198194,220818,0,126775462,64253,474150240,614044661,0
1789292278.0480728,13.82,13186740,113245,0,180,118,61,147341,1781499,41807564,2425784,933864,62139304,60273344,64771556,0,0,0,0,7,0,59059810,349838578,354498740,197314,198194,233466,0,126787033,64253,474312208,614044661,0
1789292278.2987936,14.07,13187027,113245,0,180,118,61,147352,1781598,41811342,2532072,1036796,62164080,60190832,64771556,0,0,0,1,5,0,59060358,349839441,354499602,197314,198194,259199,0,126811064,64253,474315096,614044661,0
1789292278.5492465,14.321,13187305,113252,0,180,118,61,147368,1781700,41816452,2776324,1122072,62107976,59889364,64771556,0,0,0,0,5,0,59060734,349851654,354511816,197314,198194,280518,0,126840358,64253,474474176,614044661,0
1789292278.7997265,14.571,13187597,113258,0,180,118,61,147377,1781793,41818839,3000148,1220156,62150348,59706452,64771556,0,0,0,1,5,0,59061034,349865074,354525236,197314,198194,305039,0,126840381,64253,474601024,614044661,0
1789292279.050172,14.822,13187892,113260,0,180,118,61,147384,1781890,41819446,3147228,1330904,62195736,59603356,64771556,0,0,0,0,6,0,59061140,349869065,354529227,197314,198194,332726,0,126840390,64253,474636144,614044661,0
1789292279.3005688,15.072,13188153,113264,0,180,118,61,147422,1781985,41823992,3336940,1391788,62046608,59263568,64771556,0,0,0,0,7,0,59061689,349874198,354534420,197314,198194,347947,0,126848766,64253,474765916,614044661,0
1789292279.5510387,15.323,13188448,113264,0,180,118,61,147435,1782075,41827923,3462912,1484620,62095248,59185772,64771556,0,0,0,0,5,0,59061894,349875005,354535227,197314,198194,371155,0,126872296,64253,474798112,614044661,0
1789292279.8015018,15.573,13188717,113275,0,180,118,61,147452,1782181,41833601,3705384,1565792,62078976,58925768,64771556,0,0,0,0,5,0,59062287,349893016,354553238,197314,198194,391448,0,126887945,64253,474960080,614045193,0
1789292280.0519552,15.824,13189016,113279,0,180,118,61,147458,1782272,41835193,3890552,1669772,62104220,58764256,64771556,0,0,0,0,5,0,59062495,349902460,354562682,197314,198194,417443,0,126888084,64253,475041064,614045193,0
1789292280.3024118,16.074,13189315,113282,0,180,118,61,147465,1782363,41836756,4075804,1773752,62119452,58593096,64771556,0,0,0,0,5,0,59062699,349909917,354570139,197314,198194,443438,0,126888982,64253,475122048,614045193,0
1789292280.5528743,16.325,13189591,113285,0,180,118,61,147497,1782451,41839697,4235960,1853216,61830360,58142576,64771556,0,0,0,0,8,0,59062940,349913156,354573465,197314,198194,463304,0,126896291,64253,475203032,614045193,0
