t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789731595.7172682,0.0,451181,9184,0,262,47,32,12883,176518,2896516,117052,1232,63870088,64252472,64771556,0,0,0,2,1,0,11961895,38465816,39780387,6,34,308,1595180,3194262,0,14656329,4045,9043494,79876169,0
1789731595.9677663,0.25,451411,9206,0,262,47,32,12885,176665,2897244,127944,1236,63851692,64227552,64771556,0,0,0,1,1,0,11962206,38494339,39808943,6,34,309,1594892,3193684,0,14659501,4119,9056874,79876169,0
1789731596.2182748,0.501,451786,9223,0,262,47,32,12888,176671,2898016,140500,1304,63833404,64202288,64771556,0,0,0,1,1,0,11962774,38565873,39880530,6,34,326,1594610,3193119,0,14664358,4188,9071170,79876169,0
1789731596.4687738,0.752,452156,9247,0,262,47,32,12890,176674,2898983,165788,1336,63806400,64162448,64771556,0,0,0,0,3,0,11963609,38742433,40057096,6,34,334,1594256,3192411,0,14668968,4435,9096862,79876169,0
1789731596.7192068,1.002,452524,9268,0,262,47,32,12891,176683,2901043,173960,1336,63792764,64144656,64771556,0,0,0,1,1,0,11964648,38902048,40216712,6,34,334,1594019,3191937,0,14671611,4454,9104882,79876169,0
1789731596.9695654,1.252,452895,9290,0,262,47,32,12893,176688,2902534,180296,1336,63781348,64130092,64771556,0,0,0,1,1,0,11965754,39087167,40401830,6,34,334,1593813,3191524,0,14673591,4460,9111206,79876169,0
1789731597.219922,1.503,453261,9311,0,262,47,32,12894,176702,2904058,188540,1336,63760748,64105356,64771556,0,0,0,1,1,0,11966728,39235253,40549949,6,34,334,1593402,3190700,0,14678687,4460,9119458,79876169,0
1789731597.4703894,1.753,453613,9318,0,262,47,32,12900,176735,2907496,191212,1336,63752096,64095324,64771556,0,32,0,0,2,0,11967535,39256147,40570843,6,34,334,1593220,3190337,8,14694960,4468,9122110,79876201,0
1789731597.72088,2.004,453971,9331,0,262,47,32,12902,176763,2909437,194472,1336,63728676,64070264,64771556,0,32,0,0,2,0,11968090,39327815,40642510,6,34,334,1592677,3189248,8,14701911,4469,9125386,79876201,0
1789731597.971372,2.254,454336,9342,0,262,47,32,12903,176785,2912374,197196,1336,63709204,64049408,64771556,0,32,0,0,2,0,11969465,39406746,40721442,6,34,334,1592225,3188344,8,14706497,4469,9128098,79876201,0
1789731598.221861,2.505,454696,9355,0,262,47,32,12906,176810,2916314,200164,1336,63679892,64018596,64771556,0,0,0,1,1,0,11970014,39444969,40759672,6,34,334,1591531,3186954,0,14714269,4475,9131206,79876201,0
1789731598.4723217,2.755,455049,9366,0,262,47,32,12908,176843,2919414,203412,1336,63671576,64008704,64771556,0,0,0,0,1,0,11970562,39508135,40822838,6,34,334,1591363,3186617,0,14716867,4482,9134362,79876201,0
1789731598.722974,3.006,455400,9373,0,262,47,32,12910,176883,2925067,204736,1336,63665760,64002180,64771556,0,0,0,0,3,0,11971178,39541818,40856521,6,34,334,1591235,3186361,0,14718543,4484,9135646,79876201,0
