t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789733312.918498,0.0,2795602,49014,0,262,72,38,54005,493759,15139704,117276,1172,63897672,64278212,64771556,0,0,0,1,1,0,15298471,184900424,186614933,24,52,293,1595838,3195578,0,38027772,30881,215782874,238799097,0
1789733313.1700838,0.252,2795851,49031,0,262,72,38,54006,493893,15140315,126884,1188,63882352,64257632,64771556,0,0,0,0,17,0,15299895,184919083,186633609,24,52,297,1595615,3195131,0,38030396,30951,215794606,238799097,0
1789733313.4206698,0.502,2796216,49046,0,262,72,38,54008,493911,15140967,133392,1188,63866496,64238040,64771556,0,0,0,1,1,0,15300633,185003922,186718456,24,52,297,1595312,3194525,0,38035206,30980,215802678,238799097,0
1789733313.6712008,0.753,2796591,49069,0,262,72,38,54010,493912,15141672,161708,1220,63837488,64194468,64771556,0,0,0,1,1,0,15301389,185144684,186859221,24,52,305,1594952,3193803,0,38039439,31173,215831730,238799097,0
1789733313.9216099,1.003,2796955,49092,0,262,72,38,54012,493922,15143684,171016,1220,63820516,64172644,64771556,0,0,0,1,1,0,15302284,185284565,186999109,24,52,305,1594649,3193198,0,38042474,31291,215841370,238799097,0
1789733314.172097,1.254,2797325,49113,0,262,72,38,54013,493929,15145377,179452,1220,63808644,64156624,64771556,0,0,0,1,1,0,15303484,185458187,187172734,24,52,305,1594456,3192811,0,38044707,31297,215849298,238799097,0
1789733314.422588,1.504,2797692,49135,0,262,72,38,54014,493938,15146525,187784,1220,63784964,64128756,64771556,0,0,0,1,2,0,15304511,185621774,187336321,24,52,305,1593970,3191837,0,38049734,31297,215857646,238799097,0
1789733314.6730778,1.755,2798053,49146,0,262,72,38,54019,493961,15149890,191212,1188,63791280,64133316,64771556,0,0,0,0,3,0,15304895,185662146,187376694,24,52,297,1594171,3192240,0,38060948,31305,215861102,238799129,0
1789733314.9235518,2.005,2798400,49157,0,262,72,38,54023,493997,15153407,193896,1220,63744200,64084928,64771556,0,0,0,0,3,0,15305655,185714771,187429329,24,52,305,1593029,3189953,0,38072379,31306,215863738,238799129,0
1789733315.174015,2.256,2798768,49169,0,262,72,38,54025,494015,15155163,196948,1220,63725448,64064624,64771556,0,0,0,0,3,0,15306301,185761409,187475970,24,52,305,1592599,3189093,0,38076825,31306,215866790,238799129,0
