stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789734012017,1789734012544,527,False,416,56533010,68,12,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789734013845,1789734015238,1393,False,1357,1108017418,26,38,2342,0,0,0,122036271,492063,0,0,0,0,115503504,492063,163542328
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789734013842,1789734015238,1396,False,1357,1119774230,26,38,2342,0,0,0,122036274,492063,0,0,0,0,115501135,492063,167719645
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789734015237,1789734016110,873,False,865,752310486,3,12,2299,0,0,0,122036265,492063,0,0,0,0,115492913,492063,133989047
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789734015238,1789734016132,894,False,886,785031766,3,15,2299,0,0,0,122036265,492063,0,0,0,0,115495335,492063,147269796
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789734016109,1789734016899,790,False,783,734331856,2,14,2299,0,0,0,122036265,492063,0,0,0,0,115500646,492063,131762719
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789734016131,1789734016944,813,False,807,763180750,2,11,2299,0,0,0,122036265,492063,0,0,0,0,115499227,492063,144009997
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789734016898,1789734017741,843,False,836,735649591,2,13,2299,0,0,0,122036265,492063,0,0,0,0,115499557,492063,131675921
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789734016944,1789734017798,854,False,848,771367726,2,13,2299,0,0,0,122036262,492063,0,0,0,0,115495434,492063,143499753
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789734017740,1789734018552,812,False,806,742196339,2,8,2299,0,0,0,122036256,492063,0,0,0,0,115494539,492063,132381773
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789734017797,1789734018653,856,False,850,757705280,2,8,2299,0,0,0,122036256,492063,0,0,0,0,115498612,492063,136270960
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789734018552,1789734019388,836,False,830,737243223,1,10,2299,0,0,0,122036256,492063,0,0,0,0,115503242,492063,132528507
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789734018653,1789734019516,863,False,858,759659204,1,10,2299,0,0,0,122036256,492063,0,0,0,0,115496857,492063,134958163
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789734019387,1789734020207,820,False,814,722532246,2,6,2299,0,0,0,122036256,492063,0,0,0,0,115505767,492063,133290047
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789734019515,1789734020396,881,False,873,741759882,1,16,2342,0,0,0,122036256,492063,0,0,0,0,115504289,492063,134274022
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789734020207,1789734021062,855,False,849,731818419,2,13,2299,0,0,0,122036250,492063,0,0,0,0,115501268,492063,132980929
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789734020396,1789734021255,859,False,853,740925575,2,8,2299,0,0,0,122036247,492063,0,0,0,0,115494158,492063,133956964
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789734021061,1789734021873,812,False,806,729758604,1,18,2299,0,0,0,122036247,492063,0,0,0,0,115496033,492063,131563507
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789734021255,1789734022052,797,False,792,742484493,1,13,2299,0,0,0,122036247,492063,0,0,0,0,115496722,492063,131670194
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789734021872,1789734022687,815,False,809,720629913,2,8,2299,0,0,0,122036247,492063,0,0,0,0,115498836,492063,128904303
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789734022051,1789734022873,822,False,815,730164773,2,8,2299,0,0,0,122036247,492063,0,0,0,0,115506274,492063,131144650
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789734022686,1789734023469,783,False,777,729236435,1,14,2299,0,0,0,122036247,492063,0,0,0,0,115505054,492063,129115574
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789734022872,1789734023702,830,False,824,752381189,2,14,2299,0,0,0,122036247,492063,0,0,0,0,115505198,492063,131040884
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789734023468,1789734024287,819,False,814,718418143,1,9,2299,0,0,0,122036241,492063,0,0,0,0,115497320,492063,130676602
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789734023701,1789734024482,781,False,777,716640932,1,9,2299,0,0,0,122036238,492063,0,0,0,0,115498012,492063,129386358
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789734024286,1789734025088,802,False,796,720400749,1,14,2299,0,0,0,122036238,492063,0,0,0,0,115495839,492063,132651551
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789734024482,1789734025327,845,False,842,750293274,1,14,2299,0,0,0,122036238,492063,0,0,0,0,115498269,492063,133759059
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789734025087,1789734025926,839,False,835,729520346,1,0,2256,0,0,0,122036238,492063,0,0,0,0,115494803,492063,130337670
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789734025327,1789734026172,845,False,840,729715907,1,5,2299,0,0,0,122036238,492063,0,0,0,0,115495710,492063,131112882
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789734025926,1789734026684,758,False,754,709786936,1,5,2299,0,0,0,122036238,492063,0,0,0,0,115501309,492063,124867882
