t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789734695.9101048,0.0,4711402,78090,0,262,93,42,84278,727655,24639426,117544,960,63866964,64246460,64771556,0,0,0,1,1,0,17913392,300092473,302114147,33,61,240,1595048,3193997,0,56130464,51039,370841582,358592853,0
1789734696.1638937,0.254,4711646,78108,0,262,93,42,84280,727797,24640062,127500,1088,63856156,64229528,64771556,0,0,0,0,17,0,17914913,300120134,302141860,33,61,272,1594932,3193763,0,56133121,51112,370853614,358592853,0
1789734696.4144838,0.504,4712018,78124,0,262,93,42,84282,727805,24640766,133804,1088,63839444,64208880,64771556,0,0,0,1,1,0,17915600,300223124,302244961,33,61,272,1594613,3193125,0,56137992,51140,370861782,358592853,0
1789734696.6649995,0.755,4712393,78146,0,262,93,42,84283,727806,24641453,162848,1120,63809496,64164180,64771556,0,0,0,1,1,0,17916617,300419962,302441807,33,61,280,1594233,3192365,0,56142177,51338,370890906,358592853,0
1789734696.9153917,1.005,4712758,78169,0,262,93,42,84284,727815,24643501,173184,1120,63792744,64142220,64771556,0,0,0,0,2,0,17917515,300557889,302579739,33,61,280,1593945,3191788,0,56145243,51448,370901242,358592853,0
1789734697.1657894,1.256,4713124,78193,0,262,93,42,84286,727823,24645341,181072,1120,63778236,64123520,64771556,0,0,0,1,1,0,17918590,300714626,302736490,33,61,280,1593688,3191272,0,56148073,51474,370909534,358592853,0
1789734697.4162583,1.506,4713475,78225,0,262,93,42,84289,727837,24647209,192172,2444,63743032,64082204,64771556,0,0,0,2,1,0,17919237,300831336,302853514,33,61,611,1592961,3189818,0,56156455,51527,370922138,358592853,0
1789734697.6667094,1.757,4713809,78250,0,262,93,42,84293,727871,24651132,200824,2444,63733516,64067936,64771556,0,0,0,1,2,0,17919789,300908797,302931148,33,61,611,1592842,3189580,0,56172036,51575,370931638,358592885,0
1789734697.9171634,2.007,4714135,78274,0,262,93,42,84298,727913,24654093,207240,2476,63681416,64012748,64771556,0,0,0,0,3,0,17920734,300976140,302998497,33,61,619,1591619,3187130,0,56185129,51581,370937978,358592885,0
1789734698.1675532,2.257,4714484,78291,0,262,93,42,84304,727940,24657646,212752,3968,63655948,63984144,64771556,0,0,0,1,1,0,17921738,301009168,303031598,33,61,992,1591061,3186013,0,56194957,51617,370943714,358592889,0
1789734698.4180105,2.508,4714843,78303,0,262,93,42,84307,727966,24662043,215412,3968,63642312,63969176,64771556,0,0,0,1,1,0,17922400,301081989,303104419,33,61,992,1590754,3185398,0,56198581,51617,370946526,358592889,0
1789734698.6683636,2.758,4715199,78316,0,262,93,42,84310,727993,24665164,218800,3968,63624508,63949644,64771556,0,0,0,1,1,0,17922991,301154251,303176681,33,61,992,1590353,3184595,0,56206322,51626,370949774,358592889,0
1789734698.9187868,3.009,4715550,78322,0,262,93,42,84311,728033,24670409,220244,3968,63617012,63941440,64771556,0,0,0,0,4,0,17923535,301185279,303207708,33,61,992,1590183,3184255,0,56208029,51629,370951262,358592889,0
1789734699.1692257,3.259,4715903,78334,0,262,93,42,84313,728065,24673594,223088,3968,63611628,63934608,64771556,0,0,0,1,1,0,17924418,301248552,303270991,33,61,992,1590085,3184059,0,56209467,51632,370954058,358592889,0
1789734699.419575,3.509,4716259,78343,0,262,93,42,84315,728095,24678286,224832,3968,63596532,63918428,64771556,0,0,0,1,1,0,17924797,301279072,303301547,33,61,992,1589735,3183358,0,56214974,51635,370956246,358592893,0
1789734699.6764107,3.766,4716647,78366,0,262,93,42,84317,728096,24678926,252288,3968,63580296,63888364,64771556,0,0,0,1,1,0,17925975,301514699,303537320,33,61,992,1589675,3183238,0,56216747,51863,370984066,358592893,0
1789734699.9288933,4.019,4717022,78384,0,262,93,42,84318,728101,24679538,265884,3968,63563856,63865016,64771556,0,0,0,1,1,0,17927207,301696808,303719470,33,61,992,1589437,3182761,0,56220638,51964,370997710,358592893,0
1789734700.17931,4.269,4717398,78400,0,262,93,42,84319,728109,24680060,277152,3968,63551380,63844060,64771556,0,0,0,1,1,0,17928245,301858966,303881628,33,61,992,1589198,3182282,0,56224576,52057,371009090,358592893,0
1789734700.4297414,4.52,4717767,78415,0,262,93,42,84322,728123,24681432,283684,3968,63549004,63834976,64771556,0,0,0,1,2,0,17928885,301951671,303974337,33,61,992,1589139,3182163,0,56228231,52069,371015774,358592893,0
1789734700.6801734,4.77,4718127,78428,0,262,93,42,84323,728149,24682624,286708,3968,63533864,63816808,64771556,0,0,0,0,3,0,17930269,302037307,304059973,33,61,992,1588760,3181406,0,56231820,52073,371018830,358592893,0
1789734700.9306457,5.021,4718461,78439,0,262,93,42,84328,728201,24684550,288936,3968,63484176,63764876,64771556,0,0,0,0,5,0,17930673,302058431,304081099,33,61,992,1587520,3178922,0,56246003,52073,371021034,358592893,0
1789734701.1811292,5.271,4718800,78449,0,262,93,42,84330,728249,24686277,291416,3968,63448188,63726404,64771556,0,0,0,1,1,0,17931011,302098801,304121469,33,61,992,1586622,3177123,0,56256740,52073,371023522,358592893,0
1789734701.43159,5.521,4719163,78459,0,262,93,42,84332,728272,24689030,294872,3968,63422632,63697416,64771556,0,0,0,0,4,0,17931630,302168105,304190876,33,61,992,1585984,3175846,0,56263511,52073,371026958,358592893,0
1789734701.6820774,5.772,4719500,78469,0,262,93,42,84333,728323,24692314,297416,3968,63409332,63681520,64771556,0,0,0,0,2,0,17932054,302199438,304222218,33,61,992,1585652,3175181,0,56266516,52076,371029510,358592893,0
1789734701.9325445,6.022,4719855,78476,0,262,93,42,84335,728359,24693958,299524,4068,63397824,63667952,64771556,0,0,0,1,2,0,17932583,302240280,304263079,33,61,1017,1585364,3174606,0,56269131,52076,371031534,358592893,0
1789734702.1830475,6.273,4720220,78489,0,262,93,42,84336,728381,24695610,303084,4068,63393732,63660264,64771556,0,0,0,0,2,0,17933331,302327625,304350423,33,61,1017,1585262,3174401,0,56272667,52077,371035078,358592893,0
1789734702.4335067,6.523,4720572,78498,0,262,93,42,84337,728418,24697013,306252,4068,63375112,63638480,64771556,0,0,0,1,2,0,17933696,302379442,304402241,33,61,1017,1584798,3173470,0,56277287,52077,371038250,358592893,0
1789734702.6840007,6.774,4720923,78500,0,262,93,42,84338,728463,24701475,307188,4068,63367536,63629960,64771556,0,0,0,0,4,0,17934096,302389829,304412628,33,61,1017,1584608,3173092,0,56279517,52077,371039182,358592893,0
1789734702.9345014,7.024,4721244,78502,0,262,93,42,84342,728537,24707651,307820,4068,63353360,63615244,64771556,0,0,0,0,4,0,17934495,302393432,304416230,33,61,1017,1584255,3172383,0,56284049,52079,371039814,358592893,0
1789734703.1852374,7.275,4721576,78504,0,262,93,42,84344,728600,24711565,308240,4068,63355892,63617292,64771556,0,0,0,0,5,0,17935532,302398047,304420846,33,61,1017,1584318,3172510,0,56285279,52079,371040262,358592893,0
1789734703.4357274,7.526,4721936,78516,0,262,93,42,84345,728627,24713975,311664,4068,63355860,63613920,64771556,0,0,0,0,2,0,17936197,302473661,304496467,33,61,1017,1584317,3172508,0,56286548,52082,371043658,358592893,0
1789734703.6862028,7.776,4722308,78525,0,262,93,42,84346,728643,24715066,314524,4068,63349488,63604624,64771556,0,0,0,0,2,0,17936773,302560462,304583268,33,61,1017,1584158,3172189,0,56288179,52082,371046546,358592893,0
1789734703.936554,8.026,4722679,78533,0,262,93,42,84348,728664,24716364,316268,4068,63335232,63588608,64771556,0,0,0,0,2,0,17937266,302623440,304646246,33,61,1017,1583802,3171477,0,56291776,52082,371048262,358592893,0
1789734704.1870203,8.277,4723031,78541,0,262,93,42,84349,728701,24718053,318920,4068,63321916,63572632,64771556,0,0,0,1,1,0,17937667,302669274,304692085,33,61,1017,1583470,3170811,0,56297070,52082,371050918,358592893,0
1789734704.4374273,8.527,4723405,78553,0,262,93,42,84351,728714,24718870,321876,4068,63305916,63553696,64771556,0,0,0,0,2,0,17938394,302778814,304801635,33,61,1017,1583070,3170011,0,56301200,52082,371053878,358592893,0
1789734704.6878119,8.778,4723759,78558,0,262,93,42,84352,728753,24720558,322944,4068,63284528,63531268,64771556,0,0,0,1,1,0,17938682,302808097,304830918,33,61,1017,1582536,3168942,0,56305768,52082,371054946,358592893,0
1789734704.938182,9.028,4724127,78564,0,262,93,42,84354,728777,24721210,324508,4068,63263952,63509104,64771556,0,0,0,0,2,0,17939050,302856332,304879153,33,61,1017,1582023,3167914,0,56311786,52082,371056510,358592893,0
1789734705.1885033,9.278,4724472,78572,0,262,93,42,84357,728819,24724318,326424,4068,63251124,63493764,64771556,0,0,0,1,4,0,17939522,302892231,304915052,33,61,1017,1581702,3167272,0,56317246,52082,371059054,358592893,0
1789734705.438889,9.529,4724801,78575,0,262,93,42,84360,728884,24728683,327564,4068,63214444,63455932,64771556,0,0,0,1,2,0,17939880,302900631,304923452,33,61,1017,1580787,3165439,0,56325571,52082,371060402,358592893,0
1789734705.6893618,9.779,4725120,78581,0,262,93,42,84363,728955,24731065,329008,4220,63164852,63404868,64771556,0,0,0,0,2,0,17940052,302905408,304928229,33,61,1055,1579549,3162960,0,56336235,52082,371061778,358592893,0
1789734705.9398327,10.03,4725489,78591,0,262,93,42,84366,728974,24732282,331460,4220,63136160,63373712,64771556,0,0,0,0,2,0,17940579,302987703,305010632,33,61,1055,1578832,3161526,0,56345051,52082,371064578,358592893,0
1789734706.1903155,10.28,4725846,78596,0,262,93,42,84368,729008,24734472,333548,4232,63235752,63471256,64771556,0,0,0,0,3,0,17940850,303001531,305024467,33,61,1058,1581319,3166504,0,56350827,52082,371065954,358592893,0
1789734706.4407935,10.531,4726216,78603,0,262,93,42,84370,729029,24736249,335308,4232,63218676,63452420,64771556,0,0,0,0,2,0,17941399,303062717,305085653,33,61,1058,1580892,3165650,0,56355258,52082,371067714,358592893,0
1789734706.6912742,10.781,4726587,78609,0,262,93,42,84372,729051,24737167,337108,4232,63195320,63427264,64771556,0,0,0,0,2,0,17942840,303114805,305137750,33,61,1058,1580309,3164483,0,56360979,52082,371069514,358592893,0
1789734706.9417362,11.032,4726931,78616,0,262,93,42,84374,729096,24739989,339344,4236,63181952,63411664,64771556,0,0,0,1,3,0,17943110,303135449,305158394,33,61,1059,1579976,3163815,0,56366254,52083,371071750,358592893,0
1789734707.1922247,11.282,4727264,78620,0,262,93,42,84377,729154,24745444,340144,4288,63171136,63400032,64771556,0,0,0,0,2,0,17943945,303147214,305170159,33,61,1072,1579706,3163274,0,56370320,52083,371072650,358592953,0
1789734707.4427052,11.533,4727530,78621,0,262,93,42,84381,729281,24755130,341120,4296,63152776,63380720,64771556,0,0,0,0,4,0,17944423,303149154,305172102,33,61,1074,1579247,3162356,0,56376978,52083,371073562,358592953,0
1789734707.69323,11.783,4727806,78651,0,262,93,42,84398,729357,24768294,580448,4296,63018044,63006592,64771556,0,0,0,0,2,0,17945337,303183352,305206303,33,61,1074,1575884,3155621,0,56423544,52083,371312830,358592953,0
1789734707.943709,12.034,4727986,78652,0,262,93,42,84415,729556,24776396,589512,13096,62806496,62785772,64771556,0,0,0,0,9,0,17948983,303183768,305206719,35,63,3274,1570604,3145048,0,56474670,52083,371313078,358592953,0
1789734708.1944487,12.284,4728209,78663,0,262,93,42,84446,729688,24788419,877348,177244,62434964,62124612,64771556,0,0,0,4,3,0,17949654,303193062,305216024,35,63,44311,1561284,3126387,0,56556217,52083,371438158,358592953,0
1789734708.4448965,12.535,4728432,78673,0,262,93,42,84469,729831,24792629,1200048,385288,62296660,61661876,64771556,0,0,0,0,7,0,17949963,303200339,305223351,35,63,96322,1557789,3119386,0,56583287,52083,371551422,358592953,0
1789734708.695438,12.785,4728675,78697,0,262,93,42,84487,729945,24797654,1629732,576668,62272916,61205584,64771556,0,0,0,0,7,0,17950480,303240475,305263486,35,63,144167,1557125,3118057,0,56590079,52083,371789766,358592953,0
1789734708.945962,13.036,4728869,78715,0,262,93,42,84548,730068,24808190,1913680,681112,61788364,60435156,64771556,0,0,0,5,4,0,17952250,303251339,305274753,35,63,170278,1544980,3093738,0,56603109,52083,371970494,358592953,0
1789734709.1965296,13.286,4729071,78725,0,262,93,42,84566,730239,24811053,2193780,854724,61813368,60177952,64771556,0,0,0,3,7,0,17952469,303261300,305284728,35,63,213681,1545549,3094878,0,56616816,52083,372076870,358592953,0
1789734709.4470909,13.537,4729291,78744,0,262,93,42,84594,730369,24819198,2582576,1052920,61694004,59667436,64771556,0,0,0,0,7,0,17952964,303282971,305306434,35,63,263230,1542513,3088798,0,56661882,52083,372266470,358592953,0
1789734709.6976082,13.788,4729538,78770,0,262,93,42,84611,730479,24823472,3027312,1259756,61756092,59282524,64771556,0,0,0,0,7,0,17953499,303326976,305350446,35,63,314939,1544007,3091789,0,56661910,52083,372504814,358592953,0
1789734709.94811,14.038,4729733,78792,0,262,93,42,84677,730590,24835431,3333920,1357920,61213880,58431828,64771556,0,0,0,3,8,0,17955975,303341548,305365232,35,63,339480,1530409,3064560,0,56695290,52083,372714422,358592953,0
1789734710.1986275,14.289,4729963,78810,0,262,93,42,84697,730723,24839016,3688456,1531088,61304868,58165992,64771556,0,0,0,5,2,0,17956823,303366704,305390389,35,63,382772,1532639,3069025,0,56699648,52083,372894030,358592953,0
1789734710.4492536,14.539,4730213,78821,0,262,93,42,84722,730836,24846065,4002776,1749148,61310684,57854720,64771556,0,0,0,3,4,0,17957223,303384438,305408123,35,63,437287,1532715,3069178,0,56743937,52083,372991330,358592953,0
1789734710.7000005,14.79,4730463,78846,0,262,93,42,84736,730948,24849859,4444364,1961328,61373520,57473384,64771556,0,0,0,0,7,0,17957717,303425424,305449195,35,63,490332,1534219,3072189,0,56744008,52083,373219846,358592953,0
1789734710.9507403,15.041,4730688,78871,0,262,93,42,84796,731037,24857929,4758988,2037784,60981976,56765772,64771556,0,0,0,0,7,0,17958496,303448162,305472011,35,63,509446,1524408,3052543,0,56755527,52083,373458190,358592953,0
1789734711.2012665,15.291,4730911,78897,0,262,93,42,84815,731164,24865716,5168980,2216272,61065544,56437180,64771556,0,0,0,0,8,0,17959174,303473051,305496923,35,63,554068,1526440,3056612,0,56770617,52083,373689638,358592953,0
1789734711.4517653,15.542,4731139,78913,0,262,93,42,84829,731304,24868677,5535552,2434776,61173892,56175616,64771556,0,0,0,5,2,0,17959533,303496797,305520669,35,63,608694,1529051,3061842,0,56770851,52083,373837822,358592953,0
1789734711.702272,15.792,4731379,78923,0,262,93,42,84849,731433,24870412,5899840,2701764,61233756,55867456,64771556,0,0,0,0,7,0,17959785,303513465,305537337,35,63,675441,1530462,3064667,0,56772228,52083,373934878,358592953,0
1789734711.9527855,16.043,4731612,78946,0,262,93,42,84906,731519,24878717,6194464,2757440,60875548,55214292,64771556,0,0,0,0,7,0,17960591,303537311,305561218,35,63,689360,1521512,3046744,0,56783019,52083,374173222,358592953,0
1789734712.203551,16.293,4731846,78967,0,262,93,42,84920,731647,24882721,6648688,2973736,61026488,54907992,64771556,0,0,0,0,7,0,17961255,303567215,305591124,35,63,743434,1525205,3054140,0,56783317,52083,374411566,358592953,0
1789734712.4541068,16.544,4732081,78989,0,262,93,42,84935,731776,24888203,7074476,3161740,61090848,54542920,64771556,0,0,0,0,7,0,17961725,303590696,305614626,35,63,790536,1526731,3057195,0,56783553,52083,374649910,358593597,0
1789734712.7046416,16.795,4732324,78990,0,262,93,42,84986,731881,24890690,7323656,3391112,60853824,54053520,64771556,0,0,0,0,6,0,17961922,303591342,305615271,35,63,847778,1520724,3045167,0,56792269,52083,374670018,358593597,0
1789734712.955414,17.045,4732550,79011,0,262,93,42,85013,732007,24896544,7677304,3510128,60856904,53701348,64771556,0,0,0,0,7,0,17962462,303615241,305639206,35,63,877633,1520761,3045241,0,56796399,52083,374904202,358593597,0
1789734713.2062244,17.296,4732795,79033,0,262,93,42,85028,732125,24900457,8116892,3721040,60983460,53385388,64771556,0,0,0,1,6,0,17962962,303646150,305670118,35,63,930260,1523847,3051419,0,56796439,52083,375133618,358593597,0
1789734713.4569871,17.547,4733031,79055,0,262,93,42,85044,732248,24904559,8553492,3926028,61073048,53035060,64771556,0,0,0,0,8,0,17963422,303681222,305705190,35,63,981507,1525998,3055727,0,56796844,52083,375364962,358593597,0
1789734713.7076914,17.798,4733232,79061,0,262,93,42,85109,732376,24910167,8770576,4069084,60647644,52390284,64771556,0,0,0,2,6,0,17963929,303686003,305710002,35,63,1017271,1515324,3034353,0,56809136,52083,375440266,358593597,0
1789734713.9582307,18.048,4733472,79080,0,262,93,42,85124,732498,24914439,9160132,4237960,60816112,52166500,64771556,0,0,0,1,8,0,17964431,303715301,305739300,35,63,1059490,1519471,3042658,0,56809148,52083,375660186,358593597,0
1789734714.2087014,18.299,4733717,79099,0,262,93,42,85140,732619,24918160,9600428,4454216,60942052,51849428,64771556,0,0,0,0,7,0,17964975,303746816,305770819,35,63,1113554,1522538,3048799,0,56809161,52083,375883882,358593597,0
1789734714.4592006,18.549,4733944,79115,0,262,93,42,85162,732752,24922283,10019212,4676580,61034248,51519720,64771556,0,0,0,0,8,0,17965349,303767976,305791978,35,63,1169145,1524762,3053252,0,56810521,52084,376080082,358593597,0
1789734714.7099788,18.8,4734149,79133,0,262,93,42,85219,732870,24928187,10355492,4775768,60670568,50818004,64771556,0,0,0,0,8,0,17966103,303783887,305807923,35,63,1193942,1515640,3034986,0,56822931,52084,376317398,358593597,0
1789734714.9606953,19.051,4734374,79151,0,262,93,42,85236,733009,24932866,10777452,4965736,60816052,50538904,64771556,0,0,0,1,7,0,17966517,303804571,305828634,35,63,1241434,1519206,3042126,0,56822991,52084,376549462,358593597,0
1789734715.2114398,19.301,4734619,79169,0,262,93,42,85249,733130,24936664,11207644,5181488,60939720,50228588,64771556,0,0,0,2,5,0,17966946,303830467,305854531,35,63,1295372,1522211,3048144,0,56823001,52084,376764182,358593597,0
1789734715.4619298,19.552,4734861,79174,0,262,93,42,85288,733244,24938563,11515400,5420324,60787348,49765484,64771556,0,0,0,0,10,0,17967270,303837868,305861941,35,63,1355081,1518321,3040354,0,56829465,52084,376832678,358593597,0
1789734715.7124355,19.802,4735034,79189,0,262,93,42,85325,733420,24943127,11830276,5529032,60660200,49321756,64771556,0,0,0,2,8,0,17967711,303852614,305876735,35,63,1382258,1515104,3033913,0,56844227,52084,377038742,358593597,0
1789734715.963234,20.053,4735263,79207,0,262,93,42,85342,733556,24947926,12259412,5724944,60805800,49035824,64771556,0,0,0,0,7,0,17968214,303879205,305903326,35,63,1431236,1518677,3041067,0,56844244,52084,377271686,358593597,0
1789734716.2137353,20.304,4735509,79225,0,262,93,42,85358,733677,24951800,12712372,5939960,60921808,48695120,64771556,0,0,0,0,7,0,17968693,303906820,305930945,35,63,1485091,1521491,3046703,0,56844267,52084,377510006,358593597,0
1789734716.4641888,20.554,4735728,79249,0,262,93,42,85416,733774,24961117,12999364,5817052,60586588,48070860,64771556,0,5816,0,2,6,0,17969203,303919566,305943881,35,63,1454263,1513047,3029794,1454,56854173,52084,377638518,358874213,0
1789734716.7146842,20.805,4735970,79269,0,262,93,42,85435,733891,24966152,13393580,5924752,60690868,47778520,64771556,0,0,0,0,7,0,17969792,303949880,305974226,35,63,1481393,1515626,3034958,0,56855519,52084,377867486,358932049,0
1789734716.9652216,21.055,4736192,79288,0,262,93,42,85459,734028,24974878,13659208,5832732,60745968,47565004,64771556,0,7164,0,3,7,0,17970353,303970372,305994855,35,63,1458183,1516903,3037516,1791,56855562,52084,378015086,359142325,0
1789734717.215714,21.306,4736451,79326,0,262,94,42,85491,734097,24990021,12464416,4067656,60628376,48646752,64771556,0,11560,0,0,4,0,17972508,303997184,306022769,35,63,1016604,1514073,3031849,2890,56857245,52085,378106134,359846081,0
1789734717.4662669,21.556,4736792,79351,0,262,94,42,85518,734103,24991024,9650240,1375200,60646508,51495036,64771556,0,9924,0,1,2,0,17977231,304078502,306104414,35,63,343682,1514935,3033574,2481,56857264,52085,378106138,360064389,0
1789734717.7167585,21.807,4737145,79374,0,262,94,42,85540,734104,24992702,7487044,77068,60868028,53935492,64771556,0,8192,0,1,1,0,17981938,304156591,306182882,35,63,19267,1521858,3047437,2048,56857267,52085,378106138,360214597,0
1789734717.9672601,22.057,4737527,79386,0,262,94,42,85542,734107,24993464,7374252,5232,60873916,54058840,64771556,0,0,0,0,1,0,17982239,304239182,306265696,35,63,1308,1522122,3047965,0,56857649,52085,378106138,360286433,0
