t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789733435.8872929,0.0,2976072,50301,0,262,72,38,55643,506888,15666385,117352,976,63883732,64264884,64771556,0,0,0,1,1,0,15499451,192570996,194303377,24,52,244,1595498,3194897,0,39091566,32016,224400702,246752185,0
1789733436.1420977,0.255,2976318,50318,0,262,72,38,55645,507029,15667026,126904,1248,63869488,64244664,64771556,0,0,0,0,18,0,15500561,192598585,194331023,24,52,312,1595292,3194486,0,39094222,32089,224412734,246752185,0
1789733436.3926985,0.505,2976690,50333,0,262,72,38,55648,507038,15667724,133008,1248,63853372,64224816,64771556,0,0,0,1,1,0,15501327,192701215,194433779,24,52,312,1594983,3193867,0,39098992,32115,224420806,246752185,0
1789733436.6432197,0.756,2977065,50356,0,262,72,38,55649,507039,15668419,162200,1280,63824024,64180608,64771556,0,0,0,1,1,0,15502082,192845774,194578341,24,52,320,1594622,3193142,0,39103220,32313,224449866,246752185,0
1789733436.8936164,1.006,2977430,50379,0,262,72,38,55651,507051,15670421,172060,1280,63807856,64159428,64771556,0,0,0,1,1,0,15503093,192983453,194716030,24,52,320,1594343,3192585,0,39106251,32425,224459974,246752185,0
1789733437.1440644,1.257,2977799,50400,0,262,72,38,55653,507058,15672134,179492,1280,63796608,64144468,64771556,0,0,0,1,1,0,15504195,193155939,194888536,24,52,320,1594155,3192208,0,39108482,32431,224467166,246752185,0
1789733437.394397,1.507,2978166,50422,0,262,72,38,55654,507068,15673264,187844,1280,63773400,64117100,64771556,0,0,0,1,5,0,15505148,193319382,195052009,24,52,320,1593679,3191256,0,39113502,32431,224475502,246752185,0
1789733437.6447706,1.757,2978527,50433,0,262,72,38,55659,507092,15676702,191288,1280,63776596,64118536,64771556,0,32,0,0,3,0,15506045,193358312,195090951,24,52,320,1593803,3191504,8,39124912,32439,224478942,246752217,0
1789733437.895245,2.008,2978876,50444,0,262,72,38,55663,507127,15679671,194036,1280,63738696,64079264,64771556,0,32,0,1,1,0,15506647,193414206,195146845,24,52,320,1592891,3189678,8,39136606,32440,224481702,246752217,0
1789733438.1456087,2.258,2979243,50455,0,262,72,38,55664,507147,15682133,196984,1280,63719468,64058560,64771556,0,32,0,1,1,0,15507427,193501298,195233955,24,52,320,1592448,3188790,8,39141135,32440,224484654,246752217,0
1789733438.3959708,2.509,2979603,50466,0,262,72,38,55667,507172,15686480,199676,1280,63704488,64042248,64771556,0,0,0,0,2,0,15508230,193572940,195305597,24,52,320,1592107,3188108,0,39144986,32440,224487394,246752217,0
1789733438.6463082,2.759,2979958,50479,0,262,72,38,55670,507201,15689480,202944,1280,63678272,64014360,64771556,0,0,0,1,1,0,15508940,193639962,195372625,24,52,320,1591495,3186881,0,39152335,32448,224490678,246752217,0
1789733438.896742,3.009,2980308,50486,0,262,72,38,55672,507243,15694000,204624,1280,63671992,64007252,64771556,0,0,0,1,1,0,15509501,193673536,195406199,24,52,320,1591359,3186609,0,39154352,32451,224492302,246752217,0
1789733439.1471274,3.26,2980661,50497,0,262,72,38,55674,507276,15697974,207308,1280,63664024,63997948,64771556,0,0,0,1,2,0,15510193,193733561,195466227,24,52,320,1591193,3186277,0,39156103,32454,224495070,246752217,0
1789733439.3974662,3.51,2981015,50507,0,262,73,38,55679,507308,15702999,209092,1280,63676876,64009792,64771556,0,0,0,1,1,0,15510672,193765627,195498292,24,52,320,1591539,3186970,0,39161539,32457,224497178,246752221,0
1789733439.657465,3.77,2981408,50530,0,262,73,38,55680,507309,15703650,236704,1280,63660572,63979476,64771556,0,0,0,1,1,0,15512123,194003011,195735690,24,52,320,1591482,3186855,0,39163312,32685,224525166,246752221,0
1789733439.913118,4.026,2981788,50548,0,262,73,38,55682,507315,15704276,250652,1280,63642452,63954312,64771556,0,0,0,1,1,0,15513246,194186192,195918872,24,52,320,1591205,3186302,0,39167188,32790,224539282,246752221,0
1789733440.1665328,4.279,2982168,50564,0,262,73,38,55683,507322,15704804,261596,1280,63628808,63935132,64771556,0,0,0,1,1,0,15514409,194348556,196081253,24,52,320,1591003,3185897,0,39171065,32883,224550534,246752221,0
1789733440.4170067,4.53,2982531,50583,0,262,73,38,55686,507337,15706475,268960,1280,63609772,63912084,64771556,0,0,0,1,3,0,15515160,194438205,196170906,24,52,320,1590628,3185145,0,39175527,32931,224558798,246752221,0
1789733440.6674123,4.78,2982872,50604,0,262,73,38,55692,507367,15708707,275292,3976,63594708,63892492,64771556,0,0,0,1,1,0,15515692,194499818,196232618,24,52,994,1590316,3184521,0,39185151,32986,224565550,246752221,0
1789733440.9178765,5.031,2983214,50614,0,262,73,38,55695,507412,15710591,277792,3976,63566528,63861812,64771556,0,0,0,1,4,0,15516535,194543554,196276355,24,52,994,1589612,3183112,0,39196618,32987,224567934,246752221,0
1789733441.1682444,5.281,2983546,50624,0,262,73,38,55697,507465,15712308,280208,3976,63521808,63814672,64771556,0,0,0,0,3,0,15516915,194580794,196313594,24,52,994,1588496,3180877,0,39210174,32987,224570346,246752221,0
