t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789734508.363315,0.0,4478132,71586,0,262,89,41,77496,674925,22692054,117636,1232,63802380,64180380,64771556,0,296,0,1,1,0,17518093,281260836,283242360,29,57,308,1593398,3190693,74,52365301,46581,336391594,341182209,0
1789734508.6164567,0.253,4478377,71603,0,262,89,41,77498,675067,22692656,127004,1432,63789012,64163880,64771556,0,296,0,0,17,0,17518534,281336235,283317776,29,57,358,1593267,3190430,74,52367958,46654,336403474,341182209,0
1789734508.867091,0.504,4478747,71618,0,262,89,41,77500,675077,22693324,133500,1432,63774128,64144808,64771556,0,296,0,1,1,0,17519319,281438294,283419854,29,57,358,1593000,3189895,74,52372737,46680,336411550,341182209,0
1789734509.1175618,0.754,4479123,71641,0,262,89,41,77502,675077,22694029,162056,1464,63747552,64103644,64771556,0,296,0,1,1,0,17520187,281581651,283563216,29,57,366,1592701,3189296,74,52376959,46876,336440614,341182209,0
1789734509.367981,1.005,4479487,71664,0,262,89,41,77503,675088,22696063,172340,1236,63731612,64082508,64771556,0,0,0,1,1,0,17521109,281719329,283700898,29,57,309,1592433,3188759,0,52380003,46990,336450730,341182209,0
1789734509.6184514,1.255,4479857,71685,0,262,89,41,77504,675094,22697768,179792,1236,63720608,64067788,64771556,0,0,0,1,1,0,17522169,281892944,283874533,29,57,309,1592250,3188394,0,52382214,46996,336458066,341182209,0
1789734509.8689137,1.506,4480224,71707,0,262,89,41,77506,675103,22698932,188152,1236,63697416,64040420,64771556,0,0,0,1,1,0,17523120,282055557,284037146,29,57,309,1591776,3187444,0,52387283,46996,336466426,341182209,0
1789734510.1193755,1.756,4480583,71718,0,262,89,41,77511,675128,22702240,191568,1236,63703344,64044648,64771556,0,0,0,0,3,0,17523584,282091641,284073230,29,57,309,1591966,3187825,0,52399188,47004,336469826,341182241,0
1789734510.369819,2.007,4480936,71729,0,262,89,41,77513,675161,22704434,194404,1236,63665036,64004920,64771556,0,0,0,1,1,0,17524334,282153288,284134877,29,57,309,1591045,3185981,0,52409697,47005,336472662,341182241,0
1789734510.6202097,2.257,4481303,71741,0,262,89,41,77515,675180,22706455,197432,1236,63644352,63982716,64771556,0,0,0,0,3,0,17526525,282242430,284224019,29,57,309,1590567,3185023,0,52414402,47005,336475690,341182241,0
1789734510.8706505,2.507,4481663,71753,0,262,89,41,77517,675207,22709601,200284,1236,63628592,63965532,64771556,0,0,0,0,2,0,17527189,282318888,284300478,29,57,309,1590209,3184307,0,52418118,47005,336478558,341182241,0
1789734511.1211088,2.758,4482019,71766,0,262,89,41,77520,675235,22712226,203520,1236,63604968,63940236,64771556,0,0,0,0,5,0,17527891,282388887,284370476,29,57,309,1589661,3183209,0,52425944,47015,336481818,341182241,0
1789734511.371568,3.008,4482369,71772,0,262,89,41,77522,675275,22718773,205232,1236,63592992,63927396,64771556,0,0,0,0,6,0,17528451,282420494,284402084,29,57,309,1589384,3182654,0,52428224,47020,336483502,341182241,0
1789734511.622051,3.259,4482723,71785,0,262,89,41,77523,675307,22722073,207964,1236,63586508,63919544,64771556,0,0,0,0,5,0,17529024,282490210,284471811,29,57,309,1589256,3182398,0,52429494,47021,336486238,341182241,0
1789734511.8724213,3.509,4483084,71792,0,262,89,41,77526,675337,22726597,209368,1236,63624884,63957152,64771556,0,0,0,1,1,0,17529340,282511398,284493000,29,57,309,1590233,3184355,0,52434861,47024,336487930,341182245,0
1789734512.1347132,3.771,4483479,71816,0,262,89,41,77528,675338,22727295,236984,1236,63608540,63926752,64771556,0,0,0,1,1,0,17530640,282749086,284730819,29,57,309,1590179,3184247,0,52436636,47252,336516062,341182245,0
1789734512.38914,4.026,4483858,71834,0,262,89,41,77529,675343,22727952,250932,1236,63592528,63903696,64771556,0,0,0,1,1,0,17531595,282932543,284914292,29,57,309,1589952,3183792,0,52440478,47357,336530178,341182245,0
1789734512.640388,4.277,4484234,71850,0,262,89,41,77530,675350,22728473,262280,1236,63578340,63883972,64771556,0,0,0,1,1,0,17532541,283097234,285078995,29,57,309,1589736,3183360,0,52444474,47450,336541630,341182245,0
1789734512.8908641,4.528,4484604,71865,0,262,90,41,77532,675364,22729841,268920,1236,63559536,63861540,64771556,0,0,0,1,2,0,17533182,283194464,285176225,29,57,309,1589357,3182601,0,52447949,47462,336548338,341182245,0
1789734513.141341,4.778,4484959,71881,0,262,90,41,77534,675391,22731122,272676,1236,63539960,63839904,64771556,0,0,0,0,2,0,17533857,283272354,285254120,29,57,309,1588920,3181726,0,52451944,47486,336552502,341182245,0
1789734513.3918009,5.028,4485269,71905,0,262,90,41,77538,675450,22733972,278940,2792,63481860,63774736,64771556,0,0,0,1,5,0,17534281,283322969,285304765,29,57,698,1587487,3178855,0,52469875,47539,336560226,341182245,0
1789734513.6422672,5.279,4485581,71931,0,262,90,41,77542,675507,22736247,287188,2792,63433872,63718056,64771556,0,0,0,2,1,0,17534905,283383990,285365824,29,57,698,1586289,3176457,0,52484171,47578,336568886,341182245,0
1789734513.8927202,5.529,4485918,71953,0,262,90,41,77547,675542,22739706,292812,2792,63404820,63682908,64771556,0,0,0,2,1,0,17535419,283457448,285439865,29,57,698,1585558,3174993,0,52496154,47597,336575642,341182249,0
1789734514.1432173,5.78,4486256,71965,0,262,90,41,77550,675589,22742590,297392,3920,63405532,63678868,64771556,0,0,0,1,1,0,17536505,283493649,285476077,29,57,980,1585581,3175040,0,52500303,47620,336579670,341182249,0
1789734514.3937058,6.03,4486606,71973,0,262,90,41,77552,675629,22744430,299820,4020,63395852,63666728,64771556,0,0,0,0,3,0,17536834,283535929,285518359,29,57,1005,1585340,3174556,0,52503055,47621,336581998,341182249,0
1789734514.6442013,6.281,4486972,71984,0,262,90,41,77553,675650,22747100,303016,4020,63386092,63653784,64771556,0,0,0,0,3,0,17537504,283619248,285601693,29,57,1005,1585096,3174068,0,52506143,47621,336585178,341182249,0
1789734514.8946757,6.531,4487323,71994,0,262,90,41,77554,675687,22748019,306220,4020,63375276,63639748,64771556,0,0,0,1,3,0,17537828,283670989,285653476,29,57,1005,1584826,3173528,0,52510262,47621,336588478,341182249,0
1789734515.1451547,6.782,4487667,71996,0,262,90,41,77556,675740,22754918,307076,4020,63367940,63631564,64771556,0,0,0,0,3,0,17538338,283677148,285659635,29,57,1005,1584643,3173161,0,52513085,47621,336589230,341182249,0
1789734515.3956425,7.032,4487991,71997,0,262,90,41,77559,675812,22761025,307788,4020,63351264,63614204,64771556,0,0,0,1,1,0,17539014,283683246,285665734,29,57,1005,1584227,3172327,0,52517011,47623,336589958,341182249,0
1789734515.6461482,7.283,4488330,72002,0,262,90,41,77561,675865,22765815,308912,4020,63347460,63609236,64771556,0,0,0,0,2,0,17539659,283701354,285683848,29,57,1005,1584132,3172137,0,52518428,47623,336591058,341182249,0
1789734515.896613,7.533,4488703,72014,0,262,90,41,77561,675879,22766883,312720,4020,63342216,63600184,64771556,0,0,0,0,2,0,17540424,283821306,285803800,29,57,1005,1584001,3171875,0,52519703,47623,336594866,341182249,0
1789734516.147116,7.784,4489074,72021,0,262,90,41,77563,675899,22767942,314580,4020,63337528,63593636,64771556,0,0,0,0,2,0,17541329,283882548,285865061,29,57,1005,1583884,3171641,0,52521834,47623,336596730,341182249,0
1789734516.3975666,8.034,4489428,72029,0,262,90,41,77564,675935,22770381,316460,4020,63321444,63575672,64771556,0,0,0,0,4,0,17541764,283926489,285909001,29,57,1005,1583482,3170837,0,52526020,47623,336598638,341182249,0
1789734516.6480546,8.285,4489793,72041,0,262,90,41,77565,675957,22770994,319872,4020,63300876,63551692,64771556,0,0,0,0,2,0,17542407,284021352,286003864,29,57,1005,1582969,3169808,0,52531119,47623,336602066,341182249,0
1789734516.898549,8.535,4490165,72049,0,262,90,41,77567,675976,22772107,322036,4020,63281948,63530584,64771556,0,0,0,0,2,0,17542909,284094498,286077010,29,57,1005,1582496,3168862,0,52535760,47623,336604198,341182249,0
