t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789734557.1644893,0.0,4539587,73036,0,262,90,42,79199,688201,23192800,117884,1208,63837952,64217252,64771556,0,0,0,1,1,0,17605755,285901637,287890949,29,57,302,1594327,3192553,0,53443828,47702,345006818,345545293,0
1789734557.4192412,0.255,4539833,73053,0,262,90,42,79200,688342,23193389,127360,1208,63824808,64198836,64771556,0,0,0,0,17,0,17606038,285929329,287918701,29,57,302,1594161,3192220,0,53446484,47775,345018702,345545293,0
1789734557.669834,0.505,4540205,73069,0,262,90,42,79203,688352,23194048,133752,1208,63810412,64180732,64771556,0,0,0,1,1,0,17606781,286034939,288024521,29,57,302,1593894,3191685,0,53451235,47801,345026634,345545293,0
1789734557.9203422,0.756,4540581,73091,0,262,90,42,79205,688353,23194734,161800,1208,63779668,64135616,64771556,0,0,0,1,1,0,17607553,286175981,288165564,29,57,302,1593485,3190867,0,53455472,47994,345055678,345545293,0
1789734558.1707745,1.006,4540945,73115,0,262,90,42,79206,688365,23196779,171636,1240,63763744,64114524,64771556,0,0,0,1,1,0,17608807,286313206,288302798,29,57,310,1593217,3190329,0,53458506,48112,345065318,345545293,0
1789734558.4212065,1.257,4541314,73136,0,262,90,42,79208,688373,23198454,179800,1240,63751316,64098028,64771556,0,0,0,1,1,0,17609897,286485798,288475391,29,57,310,1593008,3189911,0,53460730,48118,345073242,345545293,0
1789734558.671557,1.507,4541681,73157,0,262,90,42,79210,688383,23199563,188144,1240,63728608,64071164,64771556,0,0,0,1,1,0,17610890,286650269,288639896,29,57,310,1592545,3188984,0,53465769,48118,345081574,345545293,0
1789734558.9218788,1.757,4542043,73169,0,262,90,42,79215,688403,23202859,191580,1208,63738716,64079496,64771556,0,0,0,0,2,0,17611979,286697753,288687379,29,57,302,1592842,3189578,0,53476840,48126,345085054,345545325,0
1789734559.172341,2.008,4542392,73180,0,262,90,42,79218,688440,23205513,194268,1240,63705912,64045384,64771556,0,0,0,0,2,0,17612478,286752630,288742263,29,57,310,1592055,3188004,0,53487772,48127,345087690,345545325,0
1789734559.4228067,2.258,4542760,73191,0,262,90,42,79220,688458,23207863,197320,1240,63687156,64025084,64771556,0,0,0,0,2,0,17613699,286843362,288833006,29,57,310,1591626,3187143,0,53492291,48127,345090742,345545325,0
1789734559.6732874,2.509,4543119,73203,0,262,90,42,79222,688486,23212065,200068,1240,63671204,64007756,64771556,0,0,0,1,1,0,17614350,286914844,288904528,29,57,310,1591262,3186415,0,53496149,48127,345093510,345545325,0
1789734559.9237728,2.759,4543476,73216,0,262,90,42,79225,688513,23214924,203356,1240,63646656,63981552,64771556,0,0,0,1,1,0,17614939,286986559,288976244,29,57,310,1590690,3185270,0,53502795,48137,345096894,345545325,0
1789734560.1742694,3.01,4543828,73223,0,262,90,42,79227,688549,23219813,205032,1240,63637196,63971232,64771556,0,0,0,0,5,0,17615539,287022234,289011924,29,57,310,1590476,3184840,0,53504620,48140,345098482,345545325,0
1789734560.4247744,3.26,4544183,73235,0,262,90,42,79228,688581,23222664,207912,1240,63631952,63964556,64771556,0,0,0,0,2,0,17616094,287090194,289079884,29,57,310,1590380,3184650,0,53506135,48143,345101354,345545325,0
1789734560.6754222,3.511,4544541,73243,0,262,90,42,79232,688610,23226655,209572,1240,63665208,63996948,64771556,0,4,0,1,1,0,17616410,287117788,289107490,29,57,310,1591232,3186356,1,53511369,48146,345103038,345545329,0
1789734560.938701,3.774,4544938,73267,0,262,90,42,79233,688611,23227312,237048,1240,63649696,63967392,64771556,0,4,0,1,1,0,17617765,287357829,289347531,29,57,310,1591199,3186288,1,53513145,48374,345131290,345545329,0
1789734561.1948187,4.03,4545319,73285,0,262,90,42,79235,688617,23227945,251040,1240,63633672,63944260,64771556,0,4,0,1,1,0,17618821,287541517,289531330,29,57,310,1590973,3185836,1,53516981,48479,345145326,345545329,0
1789734561.4476016,4.283,4545706,73301,0,262,90,42,79236,688626,23228458,262252,1240,63618096,63923024,64771556,0,4,0,1,1,0,17620056,287705412,289695237,29,57,310,1590726,3185341,1,53520868,48572,345156658,345545329,0
1789734561.7031977,4.539,4546076,73316,0,262,90,42,79238,688641,23230036,268660,1240,63598656,63900320,64771556,0,0,0,1,2,0,17621024,287810237,289800072,29,57,310,1590322,3184532,0,53524177,48584,345163338,345545329,0
1789734561.9536817,4.789,4546433,73329,0,262,90,42,79240,688670,23231398,271616,1240,63582568,63882732,64771556,0,0,0,1,1,0,17621611,287886323,289876158,29,57,310,1589957,3183803,0,53528295,48586,345166230,345545329,0
1789734562.204182,5.04,4546776,73339,0,262,90,42,79242,688715,23233464,274100,1240,63548680,63847612,64771556,0,0,0,1,4,0,17622025,287931140,289920974,29,57,310,1589142,3182170,0,53538381,48588,345168690,345545329,0
1789734562.4546432,5.29,4547106,73349,0,262,90,42,79245,688771,23235028,276472,1240,63502580,63799200,64771556,0,0,0,1,1,0,17622328,287967243,289957078,29,57,310,1587994,3179870,0,53551666,48588,345171094,345545329,0
1789734562.7051294,5.541,4547474,73360,0,262,90,42,79246,688790,23236425,279680,1240,63484608,63778008,64771556,0,0,0,0,2,0,17622933,288049196,290039030,29,57,310,1587545,3178972,0,53556519,48588,345174270,345545329,0
1789734562.9555967,5.791,4547811,73369,0,262,90,42,79248,688841,23240452,282240,1240,63468468,63759288,64771556,0,0,0,1,4,0,17623368,288082158,290071993,29,57,310,1587142,3178165,0,53561480,48591,345176894,345545329,0
1789734563.2060697,6.042,4548179,73376,0,262,90,42,79249,688863,23241313,284380,1240,63461676,63750336,64771556,0,0,0,0,2,0,17624694,288141959,290131876,29,57,310,1586973,3177826,0,53563284,48592,345178994,345545329,0
1789734563.456419,6.292,4548532,73388,0,262,90,42,79251,688896,23243126,287880,1340,63447516,63732732,64771556,0,0,0,1,1,0,17626111,288176025,290165943,29,57,335,1586619,3177118,0,53566937,48593,345182382,345545329,0
1789734563.706874,6.542,4548888,73398,0,262,90,42,79252,688928,23244612,291052,1340,63436116,63718120,64771556,0,0,0,0,3,0,17626501,288213873,290203790,29,57,335,1586334,3176548,0,53571697,48593,345185546,345545329,0
1789734563.9573498,6.793,4549239,73402,0,262,90,42,79254,688972,23247363,292368,1340,63426132,63706808,64771556,0,0,0,0,3,0,17626807,288235164,290225082,29,57,335,1586085,3176049,0,53574550,48593,345187066,345545329,0
1789734564.2080731,7.044,4549566,73403,0,262,90,42,79256,689040,23252822,293024,1340,63411952,63691960,64771556,0,0,0,1,1,0,17627547,288239383,290229301,29,57,335,1585731,3175340,0,53578459,48595,345187538,345545329,0
1789734564.4585605,7.294,4549903,73406,0,262,90,42,79258,689099,23256809,293644,1340,63402460,63681848,64771556,0,0,0,0,2,0,17627901,288248857,290238775,29,57,335,1585494,3174866,0,53581295,48595,345188138,345545329,0
1789734564.7092354,7.545,4550262,73417,0,262,90,42,79260,689126,23259999,296848,1340,63394224,63670580,64771556,0,0,0,1,1,0,17628251,288286830,290276790,29,57,335,1585289,3174454,0,53582692,48598,345191346,345545329,0
1789734564.9597063,7.795,4550635,73427,0,262,90,42,79261,689142,23261048,299816,1340,63388472,63661860,64771556,0,0,0,0,2,0,17628926,288374508,290364468,29,57,335,1585145,3174166,0,53584307,48598,345194382,345545329,0
1789734565.2101924,8.046,4551005,73434,0,262,90,42,79262,689163,23262463,301516,1340,63372080,63643672,64771556,0,0,0,0,2,0,17631186,288435555,290425515,29,57,335,1584736,3173347,0,53587824,48598,345196134,345545329,0
1789734565.4606626,8.296,4551358,73442,0,262,90,42,79264,689203,23264250,304292,1340,63352508,63621324,64771556,0,0,0,1,1,0,17631754,288480931,290470891,29,57,335,1584247,3172369,0,53593216,48598,345198790,345545329,0
1789734565.7111614,8.547,4551732,73454,0,262,90,42,79265,689215,23265050,307328,1340,63335708,63601480,64771556,0,0,0,0,2,0,17632577,288594286,290584267,29,57,335,1583828,3171529,0,53597665,48598,345201958,345545329,0
