stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789732588123,1789732588641,518,False,407,52500492,67,12,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789732589919,1789732591168,1249,False,1213,1029936307,29,37,2342,0,0,0,111484377,449460,0,0,0,0,105499473,449460,151113385
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789732589917,1789732591176,1259,False,1224,947023245,29,37,2299,0,0,0,111484386,449460,0,0,0,0,105504749,449460,143139232
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789732591167,1789732591922,755,False,747,698648098,3,14,2299,0,0,0,111484377,449460,0,0,0,0,105502268,449460,122097405
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789732591175,1789732591949,774,False,767,706592434,2,14,2299,0,0,0,111484377,449460,0,0,0,0,105504763,449460,123063706
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789732591921,1789732592654,733,False,724,680118780,2,15,2342,0,0,0,111484377,449460,0,0,0,0,105503923,449460,123406446
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789732591948,1789732592690,742,False,735,684535581,1,18,2299,0,0,0,111484377,449460,0,0,0,0,105500389,449460,128885043
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789732592654,1789732593389,735,False,729,668780745,2,7,2299,0,0,0,111484377,449460,0,0,0,0,105501429,449460,118762659
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789732592689,1789732593428,739,False,732,677483778,2,4,2299,0,0,0,111484377,449460,0,0,0,0,105507416,449460,121422000
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789732593388,1789732594130,742,False,736,671278385,2,12,2299,0,0,0,111484377,449460,0,0,0,0,105505312,449460,123546399
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789732593428,1789732594171,743,False,738,683052589,2,12,2299,0,0,0,111484377,449460,0,0,0,0,105501327,449460,122042188
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789732594130,1789732594898,768,False,761,677387591,2,13,2299,0,0,0,111484368,449460,0,0,0,0,105496229,449460,122862272
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789732594170,1789732594938,768,False,762,676709958,2,13,2299,0,0,0,111484368,449460,0,0,0,0,105499482,449460,120461841
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789732594896,1789732595629,733,False,726,683032781,2,9,2299,0,0,0,111484368,449460,0,0,0,0,105503977,449460,122001393
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789732594937,1789732595660,723,False,718,674650407,1,9,2299,0,0,0,111484368,449460,0,0,0,0,105499582,449460,122804746
