t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789734608.0700605,0.0,4604544,74689,0,262,91,42,80887,701168,23675695,117676,1204,63883624,64263480,64771556,0,0,0,1,1,0,17715593,290923836,292924427,30,59,301,1595472,3194845,0,54398546,48836,353621790,350257293,0
1789734608.3241372,0.254,4604790,74706,0,262,91,42,80888,701309,23676312,127448,1204,63866748,64241160,64771556,0,0,0,0,17,0,17716217,290951661,292952317,30,59,301,1595216,3194333,0,54401202,48909,353633674,350257293,0
1789734608.574722,0.505,4605161,74722,0,262,91,42,80891,701320,23676979,133852,1204,63850428,64221092,64771556,0,0,0,1,1,0,17718735,291061382,293062183,30,59,301,1594902,3193704,0,54405980,48935,353641754,350257293,0
1789734608.8252103,0.755,4605536,74744,0,262,91,42,80892,701321,23677684,162432,1204,63818816,64174792,64771556,0,0,0,1,1,0,17719438,291206329,293207130,30,59,301,1594480,3192858,0,54410218,49134,353670978,350257293,0
1789734609.0755823,1.006,4605901,74767,0,262,91,42,80894,701331,23679823,173096,1236,63803152,64153676,64771556,0,0,0,1,1,0,17720438,291347880,293348688,30,59,309,1594225,3192348,0,54413320,49245,353681482,350257293,0
1789734609.3260055,1.256,4606271,74789,0,262,91,42,80895,701337,23681492,180016,1236,63791516,64138588,64771556,0,0,0,1,1,0,17721548,291525680,293526504,30,59,309,1594020,3191939,0,54415479,49251,353688382,350257293,0
1789734609.5763412,1.506,4606638,74811,0,262,91,42,80897,701346,23682659,188392,1236,63768080,64110968,64771556,0,0,0,1,1,0,17722537,291689112,293689936,30,59,309,1593540,3190976,0,54420544,49251,353696758,350257293,0
1789734609.8266926,1.757,4606996,74821,0,262,91,42,80901,701374,23686094,191660,1236,63776280,64117484,64771556,0,0,0,0,4,0,17723011,291719357,293720181,30,59,309,1593787,3191471,0,54433062,49259,353700022,350257325,0
1789734610.0771651,2.007,4607349,74833,0,262,91,42,80905,701404,23688493,194636,1236,63744644,64084368,64771556,0,0,0,1,1,0,17723784,291783580,293784413,30,59,309,1593034,3189963,0,54443178,49260,353703014,350257325,0
1789734610.3276246,2.258,4607715,74844,0,262,91,42,80906,701426,23691110,197508,1236,63724372,64062656,64771556,0,0,0,1,2,0,17724738,291867728,293868574,30,59,309,1592564,3189022,0,54447905,49260,353705994,350257325,0
1789734610.578095,2.508,4608076,74856,0,262,91,42,80908,701450,23695173,200376,1236,63709444,64046288,64771556,0,0,0,0,2,0,17725372,291932044,293932893,30,59,309,1592227,3188348,0,54452008,49260,353708798,350257325,0
1789734610.8285398,2.758,4608433,74869,0,262,91,42,80911,701476,23698321,203512,1236,63688352,64023596,64771556,0,0,0,0,5,0,17725964,292003879,294004728,30,59,309,1591740,3187373,0,54458028,49270,353712014,350257325,0
1789734611.0790029,3.009,4608782,74876,0,262,91,42,80914,701518,23704013,205324,1236,63679104,64013440,64771556,0,0,0,0,3,0,17726487,292034728,294035577,30,59,309,1591532,3186956,0,54460453,49275,353713710,350257325,0
1789734611.329419,3.259,4609136,74890,0,262,91,42,80916,701548,23706407,208188,1236,63670860,64003772,64771556,0,0,0,1,1,0,17727036,292108915,294109765,30,59,309,1591362,3186615,0,54462178,49278,353716786,350257325,0
1789734611.734137,3.664,4609732,74919,0,262,91,42,80919,701565,23710914,237076,1236,63696936,64015076,64771556,0,0,0,1,1,0,17727755,292251043,294252084,30,59,309,1592382,3188657,0,54468830,49507,353746250,350257329,0
1789734611.9866874,3.917,4610107,74938,0,262,91,42,80920,701570,23711532,251216,1236,63679960,63990920,64771556,0,0,0,1,1,0,17728488,292440837,294441957,30,59,309,1592137,3188168,0,54472748,49612,353760454,350257329,0
1789734612.2370703,4.167,4610483,74954,0,262,91,42,80922,701578,23712070,262664,1236,63663720,63968960,64771556,0,0,0,1,1,0,17729276,292566147,294567281,30,59,309,1591875,3187642,0,54476732,49705,353772006,350257329,0
1789734612.4876359,4.418,4610851,74969,0,262,91,42,80924,701593,23714026,269048,1236,63644988,63946904,64771556,0,0,0,0,3,0,17730140,292678036,294679178,30,59,309,1591490,3186872,0,54480430,49717,353778590,350257329,0
1789734612.7381022,4.668,4611209,74982,0,262,91,42,80925,701621,23715825,272108,1236,63631116,63931500,64771556,0,0,0,0,5,0,17730654,292757695,294758837,30,59,309,1591162,3186214,0,54483833,49721,353781634,350257329,0
1789734612.9885418,4.918,4611544,74993,0,262,91,42,80928,701671,23718455,274480,1236,63569200,63868380,64771556,0,0,0,1,4,0,17731047,292800882,294802024,30,59,309,1589666,3183219,0,54499383,49721,353784006,350257329,0
1789734613.2389061,5.169,4611887,75003,0,262,91,42,80930,701715,23720522,276900,1236,63543496,63840252,64771556,0,0,0,1,1,0,17731538,292845380,294846525,30,59,309,1589024,3181934,0,54509413,49721,353786678,350257329,0
1789734613.4893591,5.419,4612247,75015,0,262,91,42,80933,701740,23724319,280520,1236,63525380,63818516,64771556,0,0,0,1,1,0,17732108,292915866,294917017,30,59,309,1588572,3181028,0,54515914,49723,353790054,350257329,0
1789734613.7398057,5.67,4612593,75025,0,262,91,42,80933,701784,23727394,283228,1236,63517880,63808248,64771556,0,0,0,1,1,0,17732540,292958038,294959229,30,59,309,1588385,3180653,0,54517881,49724,353792774,350257329,0
1789734613.990268,5.92,4612940,75034,0,262,91,42,80935,701825,23729931,285784,1336,63503740,63791600,64771556,0,0,0,1,1,0,17732895,293001514,295002705,30,59,334,1588032,3179946,0,54521198,49726,353795222,350257329,0
1789734614.2407377,6.171,4613299,75045,0,262,92,42,80936,701853,23732232,289248,1336,63492560,63776924,64771556,0,0,0,1,2,0,17733451,293069168,295070427,30,59,334,1587754,3179391,0,54524480,49726,353798722,350257329,0
1789734614.4912074,6.421,4613653,75054,0,262,92,42,80938,701888,23733392,292164,1336,63482416,63763856,64771556,0,0,0,0,4,0,17733747,293116051,295117310,30,59,334,1587499,3178880,0,54528919,49726,353801806,350257329,0
1789734614.7415795,6.672,4613978,75055,0,262,92,42,80941,701957,23743294,292736,1336,63474540,63755404,64771556,0,0,0,0,4,0,17734523,293119520,295120780,30,59,334,1587303,3178487,0,54532779,49726,353802170,350257329,0
1789734614.9920547,6.922,4614302,75058,0,262,92,42,80943,702024,23748441,293648,1336,63456092,63736036,64771556,0,0,0,1,4,0,17734894,293128520,295129779,30,59,334,1586842,3177565,0,54536642,49728,353803090,350257329,0
1789734615.2424867,7.172,4614645,75068,0,262,92,42,80945,702067,23752341,296468,1336,63448512,63725736,64771556,0,0,0,1,1,0,17735587,293174101,295175365,30,59,334,1586653,3177186,0,54538377,49731,353805906,350257329,0
