t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789731474.9422288,0.0,273573,7812,0,262,46,32,11284,164062,2386108,123820,1488,63741416,64119980,64771556,0,0,0,1,1,0,11756082,30410537,31706514,6,34,372,1592058,3188008,0,13721829,2906,422822,71921305,0
1789731475.1926742,0.25,273810,7827,0,262,46,32,11286,164209,2386894,135376,1500,63727060,64098856,64771556,0,0,0,1,1,0,11757565,30455174,31751163,6,34,375,1591878,3187648,0,13724908,2988,436990,71921305,0
1789731475.4435468,0.501,274185,7844,0,262,46,32,11288,164215,2387723,151380,1532,63710752,64073556,64771556,0,0,0,1,1,0,11758316,30501766,31797783,6,34,383,1591695,3187282,0,13729866,3101,454950,71921305,0
1789731475.694052,0.752,274551,7866,0,262,46,32,11291,164224,2389988,176056,1532,63679176,64029600,64771556,0,0,0,1,1,0,11759428,30638357,31934382,6,34,383,1591216,3186323,0,13735666,3317,479666,71921305,0
1789731475.944532,1.002,274922,7886,0,262,46,32,11293,164232,2392033,187128,1532,63660012,64004892,64771556,0,0,0,0,3,0,11760822,30801659,32097684,6,34,383,1590876,3185642,0,13739070,3323,490710,71921305,0
1789731476.1950188,1.253,275284,7903,0,262,46,32,11296,164248,2394860,197180,1532,63697748,64037596,64771556,0,0,0,0,2,0,11762285,30912438,32208513,6,34,383,1591943,3187779,0,13745035,3330,501002,71921337,0
1789731476.4454405,1.503,275624,7909,0,262,46,32,11301,164296,2399007,199076,1532,63622796,63961672,64771556,0,0,0,0,3,0,11763733,30934901,32230976,6,34,383,1590097,3184082,0,13766079,3331,502654,71921337,0
1789731476.695921,1.754,275986,7921,0,262,46,32,11303,164317,2401743,203952,1532,63603828,63940052,64771556,0,0,0,0,3,0,11764293,31004565,32300640,6,34,383,1589689,3183266,0,13772238,3369,508418,71921337,0
1789731476.9464025,2.004,276316,7942,0,262,46,32,11310,164360,2408809,212644,2880,63560432,63891784,64771556,0,0,0,1,3,0,11764931,31069449,32365534,6,34,720,1588728,3181340,0,13782838,3414,518638,71921337,0
1789731477.1970804,2.255,276638,7964,0,262,46,32,11315,164411,2413748,222792,2880,63526984,63852876,64771556,0,0,0,0,4,0,11765695,31135400,32431536,6,34,720,1588029,3179941,0,13794239,3463,528790,71921337,0
1789731477.4477358,2.506,276971,7974,0,262,46,32,11323,164457,2421302,226988,4328,63519992,63843524,64771556,0,0,0,1,1,0,11766648,31151985,32448139,6,34,1082,1587913,3179710,0,13801503,3502,533354,71921341,0
1789731477.69823,2.756,277308,7982,0,262,46,32,11327,164507,2426872,229664,4328,63506060,63828240,64771556,0,0,0,1,1,0,11767170,31185478,32481650,6,34,1082,1587599,3179081,0,13805718,3506,536046,71921341,0
1789731478.0554638,3.113,277854,8004,0,262,46,32,11330,164511,2428109,258060,4328,63532848,63840512,64771556,0,0,0,1,1,0,11768208,31346535,32642714,6,34,1082,1588630,3181145,0,13809296,3734,565162,71921345,0
1789731478.3080027,3.366,278230,8022,0,262,46,32,11332,164516,2428728,271632,4328,63524236,63824924,64771556,0,0,0,1,1,0,11768995,31528562,32824800,6,34,1082,1588585,3181054,0,13813187,3835,578774,71921345,0
1789731478.5589368,3.617,278607,8038,0,262,46,32,11333,164523,2429247,282904,4328,63515640,63804948,64771556,0,0,0,1,1,0,11769954,31691343,32987592,6,34,1082,1588370,3180625,0,13816971,3928,590158,71921345,0
1789731478.8105278,3.868,278976,8052,0,262,46,32,11335,164538,2430692,289392,4328,63501216,63783844,64771556,0,0,0,1,2,0,11770860,31783869,33080125,6,34,1082,1588010,3179904,0,13820820,3940,596814,71921345,0
1789731479.0610619,4.119,279334,8065,0,262,46,32,11337,164566,2432191,292440,4328,63499840,63779416,64771556,0,0,0,1,1,0,11771419,31864809,33161071,6,34,1082,1587976,3179835,0,13824488,3944,599866,71921345,0
1789731479.3115735,4.369,279674,8075,0,262,46,32,11339,164613,2434395,294632,4328,63473196,63750588,64771556,0,0,0,1,4,0,11771832,31907537,33203799,6,34,1082,1587311,3178503,0,13837415,3944,602058,71921345,0
1789731479.5622787,4.62,280007,8085,0,262,46,32,11342,164668,2436096,297012,4328,63438388,63713428,64771556,0,0,0,0,2,0,11772146,31943526,33239788,6,34,1082,1586442,3176763,0,13849735,3944,604434,71921345,0
1789731479.8127687,4.871,280373,8096,0,262,46,32,11344,164689,2437814,300244,4328,63413616,63685388,64771556,0,0,0,0,2,0,11772717,32018475,33314738,6,34,1082,1585823,3175525,0,13855892,3944,607666,71921345,0
1789731480.0632887,5.121,280711,8105,0,262,46,32,11346,164741,2441515,302736,4328,63405104,63674376,64771556,0,0,0,1,2,0,11773674,32038569,33334831,6,34,1082,1585611,3175099,0,13859230,3947,610194,71921345,0
1789731480.314044,5.372,281079,8112,0,262,46,32,11348,164763,2442407,304900,4328,63398152,63665260,64771556,0,0,0,0,3,0,11774126,32098731,33394994,6,34,1082,1585437,3174752,0,13861100,3947,612330,71921345,0
1789731480.5645125,5.622,281434,8124,0,262,46,32,11350,164794,2444132,308364,4428,63385892,63649576,64771556,0,0,0,0,2,0,11774654,32166212,33462486,6,34,1107,1585131,3174139,0,13864380,3948,615710,71921345,0
