t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789734370.20702,0.0,4307131,66124,0,262,85,41,72420,636007,21259734,117328,1088,63881124,64262416,64771556,0,0,0,1,1,0,17194440,265528951,267472644,25,54,272,1595441,3194783,0,49749384,43260,310551070,323542709,0
1789734370.4574623,0.25,4307370,66142,0,262,85,41,72422,636150,21260310,127052,1088,63865580,64240844,64771556,0,0,0,0,17,0,17195078,265637163,267580887,25,54,272,1595203,3194307,0,49752042,43333,310563086,323542709,0
1789734370.7080886,0.501,4307743,66158,0,262,85,41,72424,636158,21261013,134268,1088,63849996,64221076,64771556,0,0,0,0,2,0,17195947,265740067,267683816,25,54,272,1594919,3193738,0,49756912,43365,310571658,323542709,0
1789734370.958552,0.752,4308118,66181,0,262,85,41,72426,636159,21261693,162936,1120,63818360,64174812,64771556,0,0,0,1,1,0,17196708,265894735,267838483,25,54,280,1594484,3192867,0,49761136,43567,310600866,323542709,0
1789734371.2089598,1.002,4308483,66204,0,262,85,41,72428,636169,21263757,172984,1120,63804056,64155316,64771556,0,0,0,1,1,0,17197529,266035584,267979361,25,54,280,1594267,3192432,0,49764314,43669,310611074,323542709,0
1789734371.4594018,1.252,4308853,66226,0,262,85,41,72429,636177,21265438,179624,1120,63793112,64141012,64771556,0,0,0,1,1,0,17198463,266213008,268156853,25,54,280,1594077,3192053,0,49766385,43675,310617854,323542709,0
1789734371.7097597,1.503,4309220,66247,0,262,85,41,72431,636187,21266616,187924,1120,63772908,64116656,64771556,0,0,0,1,2,0,17199606,266376474,268320333,25,54,280,1593677,3191251,0,49771419,43675,310626154,323542709,0
1789734371.9601605,1.753,4309578,66257,0,262,85,41,72436,636214,21270065,191532,1120,63777824,64119780,64771556,0,0,0,0,2,0,17200507,266403542,268347401,25,54,280,1593844,3191586,0,49784071,43683,310629302,323542741,0
1789734372.2106264,2.004,4309930,66269,0,262,85,41,72439,636247,21272630,194524,1120,63745588,64086060,64771556,0,0,0,1,2,0,17201028,266466712,268410577,25,54,280,1593076,3190048,0,49793896,43684,310632302,323542741,0
1789734372.4611137,2.254,4310297,66280,0,262,85,41,72441,636267,21275234,197508,1120,63725384,64064348,64771556,0,0,0,1,2,0,17201697,266554119,268498005,25,54,280,1592610,3189114,0,49798785,43684,310635290,323542741,0
1789734372.7115529,2.505,4310658,66292,0,262,85,41,72442,636292,21279233,200324,1120,63708052,64045612,64771556,0,0,0,0,2,0,17202389,266632822,268576708,25,54,280,1592212,3188318,0,49803096,43684,310638246,323542741,0
1789734372.9620285,2.755,4311014,66305,0,262,85,41,72444,636319,21282203,203772,1120,63688916,64024744,64771556,0,0,0,0,3,0,17202967,266703085,268646971,25,54,280,1591778,3187448,0,49809238,43695,310641690,323542741,0
1789734373.2124882,3.005,4311361,66311,0,262,85,41,72446,636362,21288149,205240,1120,63679196,64014288,64771556,0,0,0,0,2,0,17203676,266731670,268675556,25,54,280,1591554,3186999,0,49811652,43700,310643030,323542741,0
1789734373.4629943,3.256,4311716,66325,0,262,85,41,72447,636392,21290610,208052,1120,63672136,64005816,64771556,0,0,0,1,4,0,17204274,266804023,268747909,25,54,280,1591412,3186716,0,49813006,43702,310645886,323542741,0
1789734373.7134414,3.506,4312083,66332,0,262,85,41,72451,636412,21294271,209456,1120,63707420,64040136,64771556,0,4,0,0,2,0,17204626,266825803,268769721,25,54,280,1592317,3188528,1,49818110,43704,310647862,323542745,0
1789734373.9693213,3.762,4312466,66355,0,262,85,41,72452,636413,21294907,236908,1120,63690096,64009068,64771556,0,4,0,1,1,0,17205847,267057458,269001390,25,54,280,1592228,3188349,1,49819856,43932,310675538,323542745,0
1789734374.2204475,4.013,4312843,66373,0,262,85,41,72453,636419,21295554,250940,1120,63671532,63983424,64771556,0,0,0,1,1,0,17206670,267202519,269146726,25,54,280,1591941,3187775,0,49823698,44037,310689574,323542745,0
1789734374.4725673,4.266,4313226,66389,0,262,85,41,72454,636427,21296064,262152,1120,63658004,63964232,64771556,0,0,0,1,1,0,17207845,267364984,269309201,25,54,280,1591745,3187382,0,49827589,44130,310700906,323542745,0
1789734374.726298,4.519,4313596,66403,0,262,85,41,72456,636440,21297423,268560,1120,63643400,63946360,64771556,0,0,0,0,3,0,17208870,267468678,269412895,25,54,280,1591462,3186815,0,49830658,44142,310707586,323542745,0
1789734374.9767036,4.77,4313955,66416,0,262,85,41,72458,636467,21298514,271464,1120,63626568,63928020,64771556,0,0,0,1,1,0,17209438,267547087,269491321,25,54,280,1591079,3186050,0,49834856,44144,310710442,323542745,0
1789734375.227198,5.02,4314297,66425,0,262,85,41,72461,636512,21300180,273932,1120,63591012,63891224,64771556,0,0,0,0,5,0,17210167,267588855,269533102,25,54,280,1590223,3184334,0,49845684,44146,310712870,323542745,0
1789734375.4775836,5.271,4314627,66436,0,262,85,41,72463,636570,21301461,276284,1120,63540672,63838688,64771556,0,0,0,0,4,0,17210455,267625465,269569712,25,54,280,1588972,3181830,0,49859228,44146,310715250,323542745,0
1789734375.7280777,5.521,4314994,66447,0,262,85,41,72465,636590,21302881,279492,1120,63516896,63811716,64771556,0,0,0,1,1,0,17211034,267706706,269650982,25,54,280,1588379,3180642,0,49864384,44146,310718514,323542745,0
1789734375.9785557,5.772,4315331,66456,0,262,85,41,72466,636641,21306572,282012,1120,63497888,63790168,64771556,0,0,0,0,3,0,17211494,267740560,269684868,25,54,280,1587904,3179692,0,49868424,44149,310721082,323542745,0
1789734376.2290614,6.022,4315698,66464,0,262,85,41,72468,636665,21307400,284280,1120,63490996,63781000,64771556,0,0,0,0,4,0,17212606,267797634,269741943,25,54,280,1587732,3179347,0,49870260,44150,310723238,323542745,0
1789734376.4795177,6.272,4316052,66475,0,262,86,41,72469,636699,21308924,287396,1220,63482064,63768980,64771556,0,0,0,1,1,0,17213210,267869756,269814065,25,54,305,1587509,3178901,0,49873351,44151,310726254,323542745,0
1789734376.730018,6.523,4316404,66485,0,262,86,41,72470,636735,21310121,290512,1220,63465068,63748816,64771556,0,0,0,0,2,0,17213575,267922550,269866859,25,54,305,1587085,3178051,0,49877343,44151,310729434,323542745,0
1789734376.9803963,6.773,4316765,66489,0,262,86,41,72471,636768,21311436,292104,1220,63459792,63741940,64771556,0,0,0,0,4,0,17213902,267951983,269896291,25,54,305,1586953,3177787,0,49879492,44151,310730978,323542745,0
1789734377.230714,7.024,4317094,66491,0,262,86,41,72473,636834,21317564,292620,1220,63449912,63731632,64771556,0,0,0,0,2,0,17214747,267956657,269900966,25,54,305,1586707,3177293,0,49881527,44153,310731602,323542745,0
1789734377.4810822,7.274,4317431,66493,0,262,86,41,72476,636891,21321588,293380,1220,63440864,63721740,64771556,0,0,0,0,3,0,17215084,267966358,269910666,25,54,305,1586481,3176841,0,49884632,44153,310732222,323542745,0
1789734377.7315226,7.525,4317779,66502,0,262,86,41,72478,636932,21326037,295644,1220,63433280,63711936,64771556,0,0,0,0,2,0,17215622,268011212,269955520,25,54,305,1586292,3176462,0,49886441,44156,310734654,323542745,0
1789734377.9818606,7.775,4318152,66513,0,262,86,41,72479,636948,21327061,299100,1220,63428592,63703748,64771556,0,0,0,0,2,0,17216224,268112692,270057000,25,54,305,1586174,3176228,0,49887914,44156,310738130,323542745,0
1789734378.2321985,8.025,4318522,66521,0,262,86,41,72480,636969,21328406,301172,1220,63420188,63693260,64771556,0,0,0,0,2,0,17216708,268181353,270125661,25,54,305,1585965,3175808,0,49890660,44156,310740026,323542745,0
1789734378.4826262,8.276,4318870,66529,0,262,86,41,72481,637012,21330827,303428,1220,63395216,63666032,64771556,0,0,0,0,2,0,17217069,268220740,270165048,25,54,305,1585341,3174559,0,49896643,44156,310742646,323542745,0
1789734378.7330337,8.526,4319245,66541,0,262,86,41,72482,637023,21331501,306708,1220,63381284,63648824,64771556,0,0,0,0,2,0,17217856,268341570,270285878,25,54,305,1584994,3173863,0,49900798,44156,310745558,323542745,0
1789734378.9834878,8.776,4319600,66547,0,262,86,41,72484,637061,21333685,307928,1220,63356808,63623120,64771556,0,0,0,1,1,0,17218111,268373133,270317441,25,54,305,1584383,3172639,0,49905820,44156,310746802,323542745,0
1789734379.2338228,9.027,4319968,66554,0,262,86,41,72486,637085,21334534,309844,1220,63335804,63600216,64771556,0,0,0,0,3,0,17218799,268430275,270374597,25,54,305,1583858,3171589,0,49912176,44156,310748694,323542745,0
1789734379.4841685,9.277,4320310,66561,0,262,86,41,72488,637132,21338096,311828,1220,63315264,63577284,64771556,0,0,0,0,4,0,17219157,268463446,270407768,25,54,305,1583345,3170563,0,49917845,44156,310751066,323542745,0
1789734379.734565,9.528,4320642,66565,0,262,86,41,72492,637194,21343389,313180,1224,63267576,63528244,64771556,0,0,0,0,3,0,17219472,268470454,270414780,25,54,306,1582155,3168179,0,49928062,44156,310752438,323542745,0
1789734379.9852643,9.778,4320961,66571,0,262,86,41,72495,637266,21345686,314632,1224,63232628,63491868,64771556,0,0,0,1,1,0,17219643,268478675,270423002,25,54,306,1581283,3166432,0,49939373,44156,310753894,323542745,0
1789734380.2357535,10.029,4321320,66580,0,262,86,41,72498,637294,21347698,317340,1224,63193720,63450224,64771556,0,0,0,1,1,0,17220021,268518893,270463238,25,54,306,1580311,3164487,0,49948357,44156,310756606,323542745,0
1789734380.4862316,10.279,4321685,66586,0,262,86,41,72502,637321,21350729,318768,1232,63310840,63565928,64771556,0,0,0,0,2,0,17220436,268550223,270494574,25,54,308,1583235,3170342,0,49954251,44156,310758022,323542745,0
1789734380.736678,10.53,4322049,66592,0,262,86,41,72503,637349,21351969,320444,1232,63289652,63543056,64771556,0,0,0,0,2,0,17220806,268596761,270541112,25,54,308,1582706,3169282,0,49959484,44156,310759698,323542745,0
1789734380.9871626,10.78,4322416,66599,0,262,86,41,72505,637376,21353524,322456,1232,63262468,63513888,64771556,0,0,0,0,4,0,17221168,268645507,270589858,25,54,308,1582027,3167923,0,49965992,44156,310761754,323542745,0
1789734381.237631,11.031,4322751,66607,0,262,86,41,72507,637429,21356601,325188,1436,63247872,63496528,64771556,0,0,0,0,3,0,17221494,268679450,270623807,25,54,359,1581663,3167194,0,49970285,44157,310764262,323542801,0
1789734381.4881148,11.281,4323062,66609,0,262,86,41,72509,637512,21364388,325848,1444,63238800,63486784,64771556,0,0,0,0,7,0,17221911,268683442,270627799,25,54,361,1581437,3166740,0,49972858,44157,310764898,323542801,0
1789734381.7386024,11.532,4323324,66623,0,262,86,41,72519,637625,21374391,437512,1444,63136940,63273236,64771556,0,0,0,3,4,0,17222425,268694049,270638406,25,54,361,1578894,3161649,0,49998657,44157,310877586,323542801,0
1789734381.989109,11.782,4323605,66631,0,262,86,41,72528,637725,21384040,489472,1444,63053548,63137516,64771556,0,0,0,0,9,0,17223003,268702212,270646571,25,54,361,1576812,3157480,0,50024074,44157,310928598,323542801,0
1789734382.2398112,12.033,4323867,66631,0,262,86,41,72543,637846,21389095,598748,110720,62893044,62867968,64771556,0,0,0,0,5,0,17223186,268702212,270646571,25,54,27680,1572801,3149448,0,50053059,44157,310928598,323542801,0
1789734382.490307,12.283,4324134,66647,0,262,86,41,72560,637941,21396391,868816,218820,62770528,62473260,64771556,0,0,0,0,5,0,17223699,268729036,270673403,25,54,54705,1569700,3143238,0,50086469,44157,311090566,323542801,0
1789734382.7408009,12.534,4324432,66660,0,262,86,41,72578,638014,21399546,1166100,354000,62588048,61991936,64771556,0,0,0,0,5,0,17224140,268759437,270703804,25,54,88500,1565105,3134038,0,50128151,44157,311252534,323542801,0
1789734382.991299,12.784,4324682,66663,0,262,86,41,72619,638121,21405219,1357132,461560,62279380,61490452,64771556,0,0,0,2,8,0,17224788,268764734,270709103,25,54,115390,1557354,3118517,0,50137106,44157,311336914,323542801,0
1789734383.2419918,13.035,4324947,66672,0,262,86,41,72630,638234,21408430,1655876,589860,62305356,61216332,64771556,0,0,0,2,4,0,17225131,268780311,270724681,25,54,147465,1557979,3119767,0,50150384,44157,311507762,323542801,0
1789734383.4924886,13.285,4325228,66684,0,262,86,41,72646,638323,21414567,1935200,737912,62316948,60946556,64771556,0,0,0,1,4,0,17225521,268801049,270745420,25,54,184478,1558208,3120226,0,50174085,44157,311638754,323542801,0
1789734383.743242,13.536,4325527,66692,0,262,86,41,72663,638398,21416520,2211324,913228,62256372,60607920,64771556,0,0,0,0,6,0,17225932,268822847,270767217,25,54,228311,1556637,3117081,0,50177103,44157,311738454,323542801,0
1789734383.9939106,13.787,4325770,66698,0,262,86,41,72696,638513,21422153,2445916,986064,62037248,60153272,64771556,0,0,0,0,6,0,17226471,268830369,270774764,25,54,246516,1551154,3106101,0,50187845,44157,311900578,323542801,0
1789734384.2446213,14.038,4326059,66705,0,262,86,41,72707,638607,21425349,2787000,1151460,62098044,59870716,64771556,0,0,0,0,6,0,17226847,268846637,270791032,25,54,287865,1552615,3109027,0,50188448,44157,312076290,323542801,0
1789734384.49536,14.288,4326352,66712,0,262,86,41,72729,638686,21431359,3087848,1304272,62061132,59530996,64771556,0,0,0,0,5,0,17227284,268862070,270806465,25,54,326068,1551645,3107085,0,50215866,44157,312224358,323542801,0
1789734384.746111,14.539,4326624,66717,0,262,86,41,72769,638770,21435471,3348744,1402832,61791084,58998680,64771556,0,0,0,0,5,0,17227877,268872248,270816650,25,54,350708,1544870,3093517,0,50224034,44157,312386326,323542801,0
1789734384.9968293,14.79,4326901,66722,0,262,86,41,72790,638867,21442162,3654604,1546744,61780724,58680516,64771556,0,0,0,0,5,0,17228306,268880373,270824775,25,54,386686,1544562,3092901,0,50258984,44157,312548294,323542801,0
1789734385.2475684,15.041,4327200,66727,0,262,86,41,72801,638952,21444533,3984960,1714860,61863052,58429828,64771556,0,0,0,0,5,0,17228681,268892838,270837239,25,54,428715,1546551,3096883,0,50260475,44157,312710262,323542801,0
1789734385.498285,15.291,4327488,66730,0,262,86,41,72837,639026,21447755,4195164,1841596,61552424,57906940,64771556,0,0,0,0,9,0,17229133,268896461,270840863,25,54,460399,1538735,3081232,0,50273239,44157,312794138,323542801,0
1789734385.7488344,15.542,4327779,66735,0,262,86,41,72850,639113,21451955,4525468,1976600,61662024,57684612,64771556,0,0,0,2,3,0,17229599,268908553,270852954,25,54,494251,1541441,3086652,0,50279778,44157,312989662,323542801,0
1789734385.999322,15.792,4328078,66739,0,262,86,41,72865,639194,21454498,4852212,2137148,61702028,57395012,64771556,0,0,0,0,1,0,17229951,268919934,270864336,25,54,534287,1542368,3088508,0,50294565,44157,313155830,323542801,0
1789734386.2497869,16.043,4328353,66740,0,262,86,41,72894,639287,21458123,5049200,2293604,61502376,56996480,64771556,0,0,0,0,7,0,17230709,268921824,270866225,25,54,573503,1537348,3078454,0,50322318,44157,313196166,323542801,0
1789734386.5002592,16.293,4328636,66750,0,262,86,41,72920,639368,21462334,5304760,2383860,61394988,56632520,64771556,0,0,0,1,4,0,17231259,268942540,270886942,25,54,595965,1534631,3073014,0,50328009,44157,313361538,323543345,0
1789734386.750722,16.544,4328926,66763,0,262,86,41,72931,639455,21465191,5611272,2532340,61461592,56390192,64771556,0,0,0,0,6,0,17231730,268973256,270917658,25,54,633085,1536233,3076222,0,50328583,44157,313520130,323543345,0
1789734387.0010965,16.794,4329220,66776,0,262,86,41,72949,639528,21471413,5910428,2669256,61457096,56084452,64771556,0,0,0,0,5,0,17232230,268999777,270944179,25,54,667314,1536068,3075893,0,50355169,44157,313682070,323543345,0
1789734387.2515717,17.045,4329509,66780,0,262,86,41,72985,639598,21474345,6153896,2777068,61205260,55587404,64771556,0,0,0,0,6,0,17232746,269007921,270952323,25,54,694267,1529752,3063244,0,50363323,44157,313818726,323543345,0
1789734387.502076,17.295,4329799,66785,0,262,86,41,73001,639688,21478990,6487200,2922532,61223728,55270552,64771556,0,0,0,0,8,0,17233119,269016774,270961175,25,54,730633,1530150,3064041,0,50378250,44157,314006006,323543345,0
1789734387.7526987,17.546,4330084,66788,0,262,86,41,73014,639789,21481629,6812696,3085928,61309496,55028408,64771556,0,0,0,0,6,0,17233439,269025129,270969531,25,54,771482,1532231,3068208,0,50379003,44157,314167974,323543345,0
1789734388.0032134,17.796,4330366,66790,0,262,86,41,73048,639869,21483684,7031920,3223892,61077992,54575712,64771556,0,0,0,0,6,0,17233864,269029919,270974321,25,54,805973,1526392,3056517,0,50386706,44157,314248958,323543345,0
1789734388.253691,18.047,4330657,66795,0,262,86,41,73063,639959,21486555,7341208,3353932,61159024,54345760,64771556,0,0,0,1,5,0,17234315,269041758,270986160,25,54,838483,1528383,3060503,0,50390031,44157,314429370,323543345,0
1789734388.5041766,18.297,4330942,66800,0,262,86,41,73073,640056,21489133,7667972,3511000,61251212,54108476,64771556,0,0,0,0,5,0,17234681,269052706,270997108,25,54,877750,1530604,3064950,0,50390712,44157,314598306,323543345,0
1789734388.7546518,18.548,4331229,66803,0,262,86,41,73096,640143,21490730,7916740,3672096,61161740,53767992,64771556,0,0,0,0,6,0,17234868,269059096,271003498,25,54,918024,1528327,3060391,0,50394733,44157,314686458,323543345,0
1789734389.0051534,18.798,4331492,66807,0,262,86,41,73122,640248,21495522,8184276,3768964,61079500,53416740,64771556,0,0,0,0,10,0,17235362,269066850,271011252,25,54,942241,1526237,3056206,0,50399347,44158,314856370,323543345,0
1789734389.2558632,19.049,4331776,66812,0,262,86,41,73134,640348,21498021,8505364,3928028,61163304,53177144,64771556,0,0,0,0,5,0,17236126,269076258,271020661,25,54,982007,1528270,3060276,0,50400529,44158,315018386,323543345,0
