t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789734659.6795158,0.0,4670948,76074,0,262,92,42,82508,714119,24137427,117480,1060,63862876,64243232,64771556,0,112,0,1,1,0,17821289,295538116,297545169,32,60,265,1594967,3193834,28,55239818,49957,362233410,352947929,0
1789734659.930866,0.251,4671188,76092,0,262,92,42,82509,714263,24138027,127236,1060,63847264,64221492,64771556,0,112,0,1,16,0,17821591,295563007,297570068,32,60,265,1594730,3193360,28,55242478,50030,362245438,352947929,0
1789734660.1814,0.502,4671561,76109,0,262,92,42,82512,714270,24138777,135480,952,63838056,64208148,64771556,0,0,0,1,1,0,17823269,295666332,297673523,32,60,238,1594625,3193150,0,55247449,50066,362255374,352947929,0
1789734660.4317908,0.752,4671936,76131,0,262,92,42,82514,714271,24139509,163316,984,63808640,64164448,64771556,0,0,0,1,1,0,17823879,295826944,297834139,32,60,246,1594242,3192383,0,55251622,50272,362283462,352947929,0
1789734660.6821985,1.003,4672302,76154,0,262,92,42,82515,714281,24141652,173872,984,63795072,64145556,64771556,0,0,0,1,1,0,17824667,295978514,297985720,32,60,246,1594041,3191981,0,55254769,50366,362293846,352947929,0
1789734660.9326472,1.253,4672672,76177,0,262,92,42,82516,714287,24143343,180456,984,63783908,64131120,64771556,0,0,0,1,1,0,17825587,296162421,298169667,32,60,246,1593845,3191587,0,55256828,50372,362300446,352947929,0
1789734661.1831412,1.504,4673039,76198,0,262,92,42,82517,714297,24144702,188868,984,63764376,64107348,64771556,0,0,0,0,1,0,17826406,296325204,298332535,32,60,246,1593463,3190822,0,55261966,50372,362308858,352947929,0
1789734661.4336412,1.754,4673394,76208,0,262,92,42,82523,714327,24148359,191836,984,63752624,64094136,64771556,0,0,0,0,4,0,17827073,296346865,298354199,32,60,246,1593176,3190247,0,55277768,50380,362311822,352947961,0
1789734661.6843297,2.005,4673751,76221,0,262,92,42,82526,714355,24150928,195112,984,63727364,64067220,64771556,0,0,0,1,1,0,17828303,296421409,298428769,32,60,246,1592607,3189108,0,55285502,50381,362315254,352947961,0
1789734661.9347923,2.255,4674116,76232,0,262,92,42,82528,714377,24154117,198144,984,63707424,64045760,64771556,0,0,0,1,1,0,17828933,296507346,298514706,32,60,246,1592157,3188207,0,55290324,50381,362318122,352947961,0
