stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789302791628,1789302792088,460,False,364,43849156,58,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,4,3,0,1789302793383,1789302793560,177,False,152,77466764,12,16,2115,0,0,0,0,2501,0,0,0,0,44083,2501,25834918
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,1,0,0,1789302793380,1789302793562,182,False,152,69844439,13,16,2115,0,0,0,0,2500,0,0,0,0,46131,2500,24862772
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,3,2,0,1789302793383,1789302793562,179,False,147,83942681,13,16,2115,0,0,0,0,2500,0,0,0,0,43580,2500,23472305
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,2,1,0,1789302793383,1789302793563,180,False,153,76157596,12,16,2115,0,0,0,0,2500,0,0,0,0,43446,2500,25022071
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,7,2,0,1789302793561,1789302794932,1371,False,1345,936442457,17,39,2390,0,0,0,119813868,482910,0,0,0,0,113346342,482910,135355448
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,8,3,0,1789302793561,1789302794932,1371,False,1350,952267041,14,39,2347,0,0,0,119813853,482910,0,0,0,0,113351990,482910,140347245
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,6,1,0,1789302793560,1789302794936,1376,False,1352,1049056165,18,39,2347,0,0,0,119813868,482910,0,0,0,0,113344636,482910,141836389
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,5,0,0,1789302793556,1789302794936,1380,False,1352,982070195,19,39,2347,0,0,0,119813883,482910,0,0,0,0,113350117,482910,145055664
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,12,7,0,1789302794935,1789302795828,893,False,885,740552263,2,19,2347,0,0,0,119811786,482907,0,0,0,0,113354467,482907,129058284
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,11,6,0,1789302794935,1789302795828,893,False,888,742845114,2,19,2347,0,0,0,119811786,482907,0,0,0,0,113349103,482907,130906706
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,9,4,0,1789302794931,1789302795830,899,False,893,752088800,3,19,2347,0,0,0,119813838,482910,0,0,0,0,113358996,482910,131270686
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,10,5,0,1789302794932,1789302795831,899,False,894,752561575,2,19,2347,0,0,0,119813129,482909,0,0,0,0,113360575,482909,132525848
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,13,8,0,1789302795826,1789302796632,806,False,800,708414201,2,11,2347,0,0,0,119811771,482907,0,0,0,0,113351783,482907,124442056
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,15,10,0,1789302795830,1789302796701,871,False,866,719605755,2,11,2347,0,0,0,119811771,482907,0,0,0,0,113347711,482907,128594629
