stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789302860980,1789302861444,464,False,369,42904164,58,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789302862823,1789302864046,1223,False,1197,824590164,19,40,2390,0,0,0,85941656,346420,0,0,0,0,81325681,346420,126963168
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789302862823,1789302864058,1235,False,1212,805323740,19,40,2347,0,0,0,85941656,346420,0,0,0,0,81323092,346420,121576175
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789302862823,1789302864069,1246,False,1222,841429896,19,40,2347,0,0,0,85941661,346420,0,0,0,0,81324292,346420,133059988
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789302862821,1789302864077,1256,False,1231,902207835,19,40,2347,0,0,0,85941666,346420,0,0,0,0,81324037,346420,122230801
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789302864045,1789302864637,592,False,585,526584115,2,22,2347,0,0,0,85941656,346420,0,0,0,0,81326092,346420,94818231
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789302864057,1789302864701,644,False,634,515627490,1,26,2390,0,0,0,85941656,346420,0,0,0,0,81326491,346420,93760986
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789302864068,1789302864711,643,False,638,515210312,1,26,2347,0,0,0,85941656,346420,0,0,0,0,81326366,346420,101258843
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789302864076,1789302864727,651,False,640,525062509,2,29,2390,0,0,0,85941656,346420,0,0,0,0,81329064,346420,103614587
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789302864636,1789302865212,576,False,571,528143562,2,19,2347,0,0,0,85941651,346420,0,0,0,0,81328951,346420,92783519
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789302864700,1789302865305,605,False,598,520918048,3,15,2347,0,0,0,85941646,346420,0,0,0,0,81323533,346420,94338147
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789302864726,1789302865313,587,False,582,500198898,2,12,2347,0,0,0,85941646,346420,0,0,0,0,81325541,346420,93471558
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789302864711,1789302865330,619,False,614,508899225,2,15,2347,0,0,0,85941646,346420,0,0,0,0,81330855,346420,100117564
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789302865212,1789302865768,556,False,551,508930052,1,21,2347,0,0,0,85941646,346420,0,0,0,0,81329617,346420,91582006
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789302865312,1789302865883,571,False,566,502148241,1,21,2347,0,0,0,85941646,346420,0,0,0,0,81321590,346420,89981849
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789302865304,1789302865917,613,False,607,531483265,2,21,2347,0,0,0,85941646,346420,0,0,0,0,81327616,346420,94264971
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789302865330,1789302865945,615,False,610,517179541,2,29,2347,0,0,0,85941646,346420,0,0,0,0,81329112,346420,107056199
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789302865768,1789302866321,553,False,543,499345851,2,21,2390,0,0,0,85941646,346420,0,0,0,0,81316377,346420,91675710
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789302865882,1789302866430,548,False,541,493006891,1,24,2347,0,0,0,85941641,346420,0,0,0,0,81331034,346420,89558874
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789302865916,1789302866484,568,False,563,513853643,1,24,2347,0,0,0,85941636,346420,0,0,0,0,81328322,346420,95933590
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789302865944,1789302866498,554,False,549,498746321,1,16,2347,0,0,0,85941636,346420,0,0,0,0,81320848,346420,91999259
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789302866320,1789302866863,543,False,538,499380820,2,18,2347,0,0,0,85941636,346420,0,0,0,0,81328390,346420,90149859
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789302866429,1789302866969,540,False,535,498315563,2,15,2347,0,0,0,85941636,346420,0,0,0,0,81330535,346420,90349093
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789302866483,1789302867029,546,False,541,502458019,1,15,2347,0,0,0,85941636,346420,0,0,0,0,81330260,346420,99615531
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789302866497,1789302867047,550,False,545,494867521,1,15,2347,0,0,0,85941636,346420,0,0,0,0,81326723,346420,91156124
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789302866863,1789302867417,554,False,549,509741338,1,17,2347,0,0,0,85941636,346420,0,0,0,0,81324379,346420,93930329
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789302866968,1789302867526,558,False,553,512825049,1,17,2347,0,0,0,85941636,346420,0,0,0,0,81325624,346420,92623584
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789302867046,1789302867616,570,False,566,506381600,1,17,2347,0,0,0,85941636,346420,0,0,0,0,81327357,346420,93984769
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789302867028,1789302867644,616,False,611,564358730,1,17,2347,0,0,0,85941636,346420,0,0,0,0,81329084,346420,119307267
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789302867416,1789302867965,549,False,544,494155299,1,11,2347,0,0,0,85941631,346420,0,0,0,0,81328318,346420,103831031
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789302867525,1789302868070,545,False,540,503757091,1,11,2347,0,0,0,85941626,346420,0,0,0,0,81324270,346420,90900327
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789302867616,1789302868183,567,False,562,500267947,1,11,2347,0,0,0,85941626,346420,0,0,0,0,81329653,346420,92292688
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789302867643,1789302868209,566,False,561,500672911,1,11,2347,0,0,0,85941626,346420,0,0,0,0,81327732,346420,94392715
1,save at NativeMethodAccessorImpl.java:0,33,32,0,1789302867964,1789302868522,558,False,552,508522217,1,12,2347,0,0,0,85941626,346420,0,0,0,0,81330897,346420,104833486
1,save at NativeMethodAccessorImpl.java:0,34,33,0,1789302868070,1789302868628,558,False,554,512605962,1,15,2347,0,0,0,85941626,346420,0,0,0,0,81327649,346420,90372168
1,save at NativeMethodAccessorImpl.java:0,35,34,0,1789302868182,1789302868722,540,False,536,498235408,1,15,2347,0,0,0,85941626,346420,0,0,0,0,81329169,346420,88293937
1,save at NativeMethodAccessorImpl.java:0,36,35,0,1789302868208,1789302868772,564,False,560,509196667,1,15,2347,0,0,0,85941626,346420,0,0,0,0,81328750,346420,90781314
1,save at NativeMethodAccessorImpl.java:0,37,36,0,1789302868521,1789302869048,527,False,518,494256657,5,0,2304,0,0,0,85941626,346420,0,0,0,0,81327360,346420,87577031
1,save at NativeMethodAccessorImpl.java:0,38,37,0,1789302868627,1789302869162,535,False,531,509676619,1,0,2304,0,0,0,85941616,346420,0,0,0,0,81332033,346420,89300996
1,save at NativeMethodAccessorImpl.java:0,39,38,0,1789302868722,1789302869259,537,False,533,502222737,1,9,2347,0,0,0,85941616,346420,0,0,0,0,81328075,346420,89557090
1,save at NativeMethodAccessorImpl.java:0,40,39,0,1789302868772,1789302869310,538,False,534,500730624,1,9,2347,0,0,0,85941616,346420,0,0,0,0,81328736,346420,89789447
1,save at NativeMethodAccessorImpl.java:0,41,40,0,1789302869047,1789302869576,529,False,525,486547145,1,9,2347,0,0,0,85941616,346420,0,0,0,0,81328458,346420,88285080
1,save at NativeMethodAccessorImpl.java:0,42,41,0,1789302869162,1789302869688,526,False,522,490233066,1,9,2347,0,0,0,85941616,346420,0,0,0,0,81326325,346420,88208342
1,save at NativeMethodAccessorImpl.java:0,43,42,0,1789302869258,1789302869794,536,False,527,496104518,1,9,2390,0,0,0,85941616,346420,0,0,0,0,81328512,346420,95984641
1,save at NativeMethodAccessorImpl.java:0,44,43,0,1789302869310,1789302869850,540,False,534,498381720,1,12,2347,0,0,0,85941616,346420,0,0,0,0,81333393,346420,103949112
1,save at NativeMethodAccessorImpl.java:0,45,44,0,1789302869576,1789302870119,543,False,540,489606173,1,12,2347,0,0,0,85941616,346420,0,0,0,0,81329614,346420,88032537
1,save at NativeMethodAccessorImpl.java:0,46,45,0,1789302869688,1789302870229,541,False,538,502929653,1,12,2347,0,0,0,85941616,346420,0,0,0,0,81322285,346420,88825452
1,save at NativeMethodAccessorImpl.java:0,47,46,0,1789302869793,1789302870322,529,False,525,496210551,1,3,2347,0,0,0,85941616,346420,0,0,0,0,81321160,346420,89308319
1,save at NativeMethodAccessorImpl.java:0,48,47,0,1789302869849,1789302870384,535,False,531,499619802,1,6,2347,0,0,0,85941616,346420,0,0,0,0,81324096,346420,97793260
1,save at NativeMethodAccessorImpl.java:0,49,48,0,1789302870119,1789302870651,532,False,528,497417455,1,6,2347,0,0,0,85941606,346420,0,0,0,0,81330659,346420,87470443
1,save at NativeMethodAccessorImpl.java:0,50,49,0,1789302870229,1789302870752,523,False,519,491449725,1,6,2347,0,0,0,85941606,346420,0,0,0,0,81325265,346420,88507348
1,save at NativeMethodAccessorImpl.java:0,51,50,0,1789302870322,1789302870846,524,False,520,492031026,1,6,2347,0,0,0,85941606,346420,0,0,0,0,81327131,346420,94939111
1,save at NativeMethodAccessorImpl.java:0,52,51,0,1789302870384,1789302870916,532,False,528,505854562,1,0,2304,0,0,0,85941606,346420,0,0,0,0,81324563,346420,91039479
1,save at NativeMethodAccessorImpl.java:0,53,52,0,1789302870650,1789302871189,539,False,534,495509492,1,15,2347,0,0,0,85941606,346420,0,0,0,0,81326597,346420,88423040
1,save at NativeMethodAccessorImpl.java:0,54,53,0,1789302870752,1789302871291,539,False,536,497446105,1,15,2347,0,0,0,85941606,346420,0,0,0,0,81334147,346420,88805852
1,save at NativeMethodAccessorImpl.java:0,55,54,0,1789302870845,1789302871386,541,False,538,498813178,1,15,2347,0,0,0,85941596,346420,0,0,0,0,81323198,346420,87938896
1,save at NativeMethodAccessorImpl.java:0,56,55,0,1789302870915,1789302871455,540,False,536,498672581,1,15,2347,0,0,0,85941596,346420,0,0,0,0,81331412,346420,90045882
1,save at NativeMethodAccessorImpl.java:0,57,56,0,1789302871189,1789302871718,529,False,525,486449904,1,12,2347,0,0,0,85941596,346420,0,0,0,0,81325447,346420,87151782
1,save at NativeMethodAccessorImpl.java:0,58,57,0,1789302871291,1789302871822,531,False,528,493108834,1,12,2347,0,0,0,85941591,346420,0,0,0,0,81322260,346420,89201351
1,save at NativeMethodAccessorImpl.java:0,59,58,0,1789302871386,1789302871914,528,False,524,489506957,1,12,2347,0,0,0,85940258,346418,0,0,0,0,81330441,346418,87540355
1,save at NativeMethodAccessorImpl.java:0,60,59,0,1789302871455,1789302871992,537,False,534,494737224,1,12,2347,0,0,0,85940253,346418,0,0,0,0,81323281,346418,89834602
1,save at NativeMethodAccessorImpl.java:0,61,60,0,1789302871717,1789302872261,544,False,539,494662476,1,18,2347,0,0,0,85940248,346418,0,0,0,0,81328175,346418,96590107
1,save at NativeMethodAccessorImpl.java:0,62,61,0,1789302871822,1789302872373,551,False,547,500379491,1,18,2347,0,0,0,85940248,346418,0,0,0,0,81327755,346418,99438308
1,save at NativeMethodAccessorImpl.java:0,63,62,0,1789302871913,1789302872457,544,False,540,498887425,1,18,2347,0,0,0,85940248,346418,0,0,0,0,81327754,346418,88684667
1,save at NativeMethodAccessorImpl.java:0,64,63,0,1789302871992,1789302872547,555,False,552,512343385,1,18,2347,0,0,0,85940248,346418,0,0,0,0,81330564,346418,91416206
1,save at NativeMethodAccessorImpl.java:0,65,64,0,1789302872260,1789302872781,521,False,516,488183732,1,0,2304,0,0,0,85940248,346418,0,0,0,0,81328597,346418,88882428
1,save at NativeMethodAccessorImpl.java:0,66,65,0,1789302872372,1789302872902,530,False,527,495239267,1,8,2347,0,0,0,85940238,346418,0,0,0,0,81322375,346418,90252884
1,save at NativeMethodAccessorImpl.java:0,67,66,0,1789302872456,1789302873030,574,False,570,541316325,1,8,2347,0,0,0,85940238,346418,0,0,0,0,81326177,346418,94719692
1,save at NativeMethodAccessorImpl.java:0,68,67,0,1789302872547,1789302873076,529,False,526,494959086,1,8,2347,0,0,0,85940238,346418,0,0,0,0,81335126,346418,90715702
1,save at NativeMethodAccessorImpl.java:0,69,68,0,1789302872780,1789302873345,565,False,561,485124921,1,8,2347,0,0,0,85940238,346418,0,0,0,0,81330595,346418,88836587
1,save at NativeMethodAccessorImpl.java:0,70,69,0,1789302872902,1789302873495,593,False,584,493144319,1,12,2390,0,0,0,85940238,346418,0,0,0,0,81330864,346418,89476114
1,save at NativeMethodAccessorImpl.java:0,71,70,0,1789302873030,1789302873592,562,False,557,496184482,1,15,2347,0,0,0,85940228,346418,0,0,0,0,81324698,346418,89059507
1,save at NativeMethodAccessorImpl.java:0,72,71,0,1789302873076,1789302873642,566,False,562,499176039,1,15,2347,0,0,0,85940228,346418,0,0,0,0,81326916,346418,90920848
1,save at NativeMethodAccessorImpl.java:0,73,72,0,1789302873344,1789302873887,543,False,539,494292054,1,15,2347,0,0,0,85940228,346418,0,0,0,0,81322518,346418,88542067
1,save at NativeMethodAccessorImpl.java:0,74,73,0,1789302873494,1789302874025,531,False,526,500990231,1,3,2347,0,0,0,85940228,346418,0,0,0,0,81324652,346418,89615441
1,save at NativeMethodAccessorImpl.java:0,75,74,0,1789302873591,1789302874131,540,False,536,497689702,1,0,2304,0,0,0,85940228,346418,0,0,0,0,81327150,346418,90480827
1,save at NativeMethodAccessorImpl.java:0,76,75,0,1789302873641,1789302874156,515,False,511,489706870,1,0,2304,0,0,0,85940228,346418,0,0,0,0,81327470,346418,90135242
1,save at NativeMethodAccessorImpl.java:0,77,76,0,1789302873886,1789302874401,515,False,511,482420639,1,6,2347,0,0,0,85940228,346418,0,0,0,0,81325439,346418,86978118
1,save at NativeMethodAccessorImpl.java:0,78,77,0,1789302874024,1789302874614,590,False,586,526899736,1,6,2347,0,0,0,85940223,346418,0,0,0,0,81327501,346418,92011209
1,save at NativeMethodAccessorImpl.java:0,79,78,0,1789302874131,1789302874743,612,False,608,486039941,1,6,2347,0,0,0,85940218,346418,0,0,0,0,81330008,346418,88432204
1,save at NativeMethodAccessorImpl.java:0,80,79,0,1789302874155,1789302874774,619,False,616,489882780,1,6,2347,0,0,0,85940218,346418,0,0,0,0,81325366,346418,89326616
1,save at NativeMethodAccessorImpl.java:0,81,80,0,1789302874400,1789302874982,582,False,576,515997581,1,15,2347,0,0,0,85940218,346418,0,0,0,0,81325574,346418,92877731
1,save at NativeMethodAccessorImpl.java:0,82,81,0,1789302874613,1789302875169,556,False,551,486532402,1,15,2347,0,0,0,85940218,346418,0,0,0,0,81330055,346418,90248142
1,save at NativeMethodAccessorImpl.java:0,83,82,0,1789302874742,1789302875370,628,False,624,494112686,1,15,2347,0,0,0,85940218,346418,0,0,0,0,81324646,346418,89344783
1,save at NativeMethodAccessorImpl.java:0,84,83,0,1789302874774,1789302875387,613,False,610,494484982,1,15,2347,0,0,0,85940218,346418,0,0,0,0,81326843,346418,90490253
1,save at NativeMethodAccessorImpl.java:0,85,84,0,1789302874981,1789302875525,544,False,539,487745171,1,0,2304,0,0,0,85940218,346418,0,0,0,0,81320875,346418,86912462
1,save at NativeMethodAccessorImpl.java:0,86,85,0,1789302875168,1789302875772,604,False,600,518518009,1,9,2347,0,0,0,85940218,346418,0,0,0,0,81321636,346418,99621390
1,save at NativeMethodAccessorImpl.java:0,88,87,0,1789302875387,1789302875981,594,False,591,491690825,1,9,2347,0,0,0,85940218,346418,0,0,0,0,81324990,346418,90789390
1,save at NativeMethodAccessorImpl.java:0,87,86,0,1789302875370,1789302875989,619,False,616,514827928,1,9,2347,0,0,0,85940218,346418,0,0,0,0,81324730,346418,89940578
1,save at NativeMethodAccessorImpl.java:0,89,88,0,1789302875524,1789302876095,571,False,567,485058458,1,9,2347,0,0,0,85940213,346418,0,0,0,0,81327993,346418,87865753
1,save at NativeMethodAccessorImpl.java:0,90,89,0,1789302875772,1789302876333,561,False,558,485920805,1,0,2304,0,0,0,85940208,346418,0,0,0,0,81327185,346418,87937776
1,save at NativeMethodAccessorImpl.java:0,92,91,0,1789302875989,1789302876580,591,False,585,489033949,1,8,2347,0,0,0,85940208,346418,0,0,0,0,81324917,346418,90134467
1,save at NativeMethodAccessorImpl.java:0,91,90,0,1789302875980,1789302876588,608,False,604,503903107,1,8,2347,0,0,0,85940208,346418,0,0,0,0,81331727,346418,91509809
1,save at NativeMethodAccessorImpl.java:0,93,92,0,1789302876095,1789302876673,578,False,575,491534133,1,8,2347,0,0,0,85940208,346418,0,0,0,0,81327008,346418,87828155
1,save at NativeMethodAccessorImpl.java:0,94,93,0,1789302876332,1789302876913,581,False,578,493369693,1,8,2347,0,0,0,85940208,346418,0,0,0,0,81327764,346418,89061343
1,save at NativeMethodAccessorImpl.java:0,95,94,0,1789302876579,1789302877147,568,False,563,489252845,1,0,2304,0,0,0,85940208,346418,0,0,0,0,81329714,346418,88841478
1,save at NativeMethodAccessorImpl.java:0,96,95,0,1789302876587,1789302877152,565,False,562,490567594,0,0,2261,0,0,0,85940198,346418,0,0,0,0,81328224,346418,90599325
