stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789302721601,1789302722037,436,False,341,40488101,61,0,2233,0,0,0,0,0,0,0,0,0,0,0,0
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,3,2,0,1789302723216,1789302723411,195,False,172,85303347,13,25,2072,0,0,0,0,2500,0,0,0,0,43580,2500,29008424
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,4,3,0,1789302723216,1789302723413,197,False,171,95606518,12,25,2115,0,0,0,0,2501,0,0,0,0,44083,2501,28498478
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,2,1,0,1789302723215,1789302723414,199,False,172,73622924,13,25,2072,0,0,0,0,2500,0,0,0,0,43446,2500,27876226
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,1,0,0,1789302723214,1789302723414,200,False,172,83399883,13,25,2072,0,0,0,0,2500,0,0,0,0,46131,2500,29487620
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,5,0,0,1789302723406,1789302724532,1126,False,1102,861199211,12,32,2390,0,0,0,85941666,346420,0,0,0,0,81324037,346420,102588579
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,8,3,0,1789302723412,1789302724574,1162,False,1147,789977205,10,35,2347,0,0,0,85941656,346420,0,0,0,0,81323092,346420,113798175
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,7,2,0,1789302723412,1789302724588,1176,False,1162,796005086,10,35,2347,0,0,0,85941656,346420,0,0,0,0,81325681,346420,115270415
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,6,1,0,1789302723410,1789302724588,1178,False,1162,824735631,13,35,2347,0,0,0,85941661,346420,0,0,0,0,81324292,346420,108359451
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,9,4,0,1789302724530,1789302725137,607,False,595,545684432,3,26,2390,0,0,0,85941656,346420,0,0,0,0,81326092,346420,96745255
