t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789302673.2813687,0.0,28018473,262063,0,180,215,87,311128,3249055,91412067,158292,1432,63831668,64188800,64771556,0,0,0,1,1,0,92369591,814463716,821998995,198468,199430,358,0,244648467,158882,1213887028,1246547589,0
1789302673.5318165,0.25,28018711,262081,0,180,215,87,311130,3249198,91412670,167824,1432,63815672,64167304,64771556,0,0,0,0,17,0,92369773,814491179,822026512,198468,199430,358,0,244651139,158955,1213899344,1246547589,0
1789302673.7823818,0.501,28019085,262098,0,180,215,87,311131,3249205,91413364,176428,1432,63799140,64146048,64771556,0,0,0,1,1,0,92370607,814596515,822131894,198468,199430,358,0,244656122,158991,1213909232,1246547589,0
1789302674.032842,0.751,28019460,262120,0,180,215,87,311133,3249206,91414064,204096,1464,63769240,64101892,64771556,0,0,0,1,1,0,92371542,814758892,822294275,198468,199430,366,0,244660310,159198,1213937084,1246547589,0
1789302674.2832277,1.002,28019825,262144,0,180,215,87,311136,3249215,91416279,214744,1464,63752876,64080188,64771556,0,0,0,1,1,0,92372421,814921032,822456537,198468,199430,366,0,244663517,159291,1213947728,1246547589,0
1789302674.5336056,1.252,28020196,262166,0,180,215,87,311137,3249220,91417910,221188,1464,63741796,64065880,64771556,0,0,0,0,2,0,92373394,815105379,822640884,198468,199430,366,0,244665537,159297,1213954156,1246547589,0
1789302674.783912,1.503,28020562,262187,0,180,215,87,311138,3249230,91419212,229484,1464,63719608,64039532,64771556,0,0,0,1,1,0,92374231,815266510,822802015,198468,199430,366,0,244670651,159297,1213962500,1246547589,0
1789302675.0342553,1.753,28020917,262197,0,180,215,87,311144,3249262,91422764,232476,1464,63707556,64025992,64771556,0,0,0,1,3,0,92375200,815287172,822822677,198468,199430,366,0,244686798,159305,1213965460,1246547621,0
1789302675.2847047,2.003,28021275,262210,0,180,215,87,311146,3249289,91424928,235944,1464,63684852,64001552,64771556,0,0,0,0,2,0,92375961,815363969,822899485,198468,199430,366,0,244693748,159306,1213968916,1246547621,0
1789302675.5351427,2.254,28021640,262221,0,180,215,87,311147,3249309,91427422,238748,1464,63665800,63981100,64771556,0,0,0,0,2,0,92376602,815451521,822987043,198468,199430,366,0,244698474,159306,1213971792,1246547621,0
1789302675.7855854,2.504,28022000,262236,0,180,215,87,311151,3249331,91431243,242208,1464,63637428,63950932,64771556,0,0,0,1,1,0,92377781,815535378,823070906,198468,199430,366,0,244706324,159313,1213975212,1246547621,0
1789302676.036033,2.755,28022353,262247,0,180,215,87,311152,3249365,91435292,245108,1464,63625268,63937316,64771556,0,0,0,0,2,0,92378297,815594120,823129648,198468,199430,366,0,244708617,159318,1213978100,1246547621,0
1789302676.286726,3.005,28022711,262257,0,180,215,87,311154,3249393,91439512,247460,1464,63618140,63929012,64771556,0,0,0,0,3,0,92378914,815658699,823194234,198468,199430,366,0,244710410,159321,1213980456,1246547621,0
1789302676.5373902,3.256,28023053,262269,0,180,215,87,311159,3249435,91444984,249844,1464,63651372,63961052,64771556,0,0,0,0,1,0,92379300,815683386,823219055,198468,199430,366,0,244715327,159324,1213982832,1246547625,0
1789302676.8269799,3.546,28023491,262294,0,180,215,87,311160,3249438,91445945,277700,1464,63631528,63925460,64771556,0,0,0,1,1,0,92380357,815926184,823461922,198468,199430,366,0,244718566,159552,1214011604,1246547625,0
1789302677.0796146,3.798,28023866,262313,0,180,215,87,311162,3249442,91446584,291728,1464,63621504,63900980,64771556,0,0,0,1,1,0,92381051,816113881,823649680,198468,199430,366,0,244722502,159660,1214025988,1246547625,0
1789302677.329947,4.049,28024241,262330,0,180,215,87,311163,3249449,91447111,303608,1464,63611748,63879240,64771556,0,0,0,1,1,0,92381774,816285248,823821117,198468,199430,366,0,244726657,159754,1214037976,1246547625,0
1789302677.5802789,4.299,28024608,262345,0,180,215,87,311165,3249466,91448886,309784,1464,63594292,63855424,64771556,0,0,0,0,2,0,92382880,816364524,823900464,198468,199430,366,0,244730364,159766,1214044476,1246547625,0
1789302677.8307178,4.549,28024967,262359,0,180,215,87,311167,3249491,91450788,313000,1464,63578800,63836712,64771556,0,0,0,0,2,0,92383450,816450905,823986860,198468,199430,366,0,244734538,159770,1214047528,1246547625,0
1789302678.0811555,4.8,28025294,262371,0,180,215,87,311170,3249548,91452956,315704,1464,63511920,63767172,64771556,0,0,0,1,4,0,92383790,816494546,824030500,198468,199430,366,0,244753376,159770,1214050228,1246547625,0
