stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789302682117,1789302682577,460,False,367,46585268,57,12,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789302683965,1789302685354,1389,False,1363,956606980,19,42,2390,0,0,0,111525411,449460,0,0,0,0,105501489,449460,148537883
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789302683962,1789302685393,1431,False,1404,1001682330,20,42,2347,0,0,0,111525426,449460,0,0,0,0,105505072,449460,152423193
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789302683965,1789302685426,1461,False,1438,1057015434,19,42,2347,0,0,0,111525411,449460,0,0,0,0,105503251,449460,141621794
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789302683965,1789302685434,1469,False,1447,1003844073,19,42,2347,0,0,0,111525411,449460,0,0,0,0,105505591,449460,160504359
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789302685353,1789302686112,759,False,751,696816956,3,22,2347,0,0,0,111525411,449460,0,0,0,0,105503958,449460,118138111
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789302685434,1789302686195,761,False,752,641196280,1,26,2390,0,0,0,111525411,449460,0,0,0,0,105501451,449460,119137486
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789302685425,1789302686216,791,False,785,648008529,1,26,2347,0,0,0,111525411,449460,0,0,0,0,105500364,449460,127411015
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789302685392,1789302686222,830,False,823,694952225,3,29,2347,0,0,0,111525411,449460,0,0,0,0,105502683,449460,132258670
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789302686111,1789302686820,709,False,703,650316480,3,20,2347,0,0,0,111525411,449460,0,0,0,0,105499417,449460,116901798
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789302686194,1789302686893,699,False,693,639250100,3,16,2347,0,0,0,111525411,449460,0,0,0,0,105512140,449460,117478812
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789302686221,1789302686920,699,False,694,635937973,1,13,2347,0,0,0,111525396,449460,0,0,0,0,105503962,449460,119033869
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789302686215,1789302686937,722,False,712,635935410,6,13,2347,0,0,0,111525396,449460,0,0,0,0,105494560,449460,117530982
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789302686820,1789302687530,710,False,705,651055655,1,21,2347,0,0,0,111525396,449460,0,0,0,0,105502265,449460,116511914
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789302686893,1789302687601,708,False,704,648488512,1,21,2347,0,0,0,111525396,449460,0,0,0,0,105503660,449460,121088005
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789302686919,1789302687634,715,False,709,643969543,1,21,2347,0,0,0,111525396,449460,0,0,0,0,105507078,449460,121931547
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789302686937,1789302687651,714,False,709,643622127,2,21,2347,0,0,0,111525396,449460,0,0,0,0,105503004,449460,117540467
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789302687530,1789302688244,714,False,708,651672393,2,19,2347,0,0,0,111525396,449460,0,0,0,0,105509767,449460,116715076
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789302687601,1789302688311,710,False,706,652113563,1,19,2347,0,0,0,111525396,449460,0,0,0,0,105501803,449460,115555623
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789302687651,1789302688362,711,False,706,641006735,2,19,2347,0,0,0,111525386,449460,0,0,0,0,105499083,449460,116265586
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789302687633,1789302688413,780,False,775,689361811,2,27,2347,0,0,0,111525396,449460,0,0,0,0,105501033,449460,136598196
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789302688243,1789302688943,700,False,694,640495410,1,22,2347,0,0,0,111525381,449460,0,0,0,0,105507737,449460,116435671
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789302688311,1789302689014,703,False,699,642753857,1,22,2347,0,0,0,111525381,449460,0,0,0,0,105506063,449460,118412745
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789302688361,1789302689064,703,False,699,641111753,1,22,2347,0,0,0,111525381,449460,0,0,0,0,105510278,449460,115715030
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789302688412,1789302689108,696,False,692,636968008,1,14,2347,0,0,0,111525381,449460,0,0,0,0,105505269,449460,117025851
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789302688942,1789302689645,703,False,698,634816944,1,12,2347,0,0,0,111525381,449460,0,0,0,0,105503525,449460,115495466
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789302689013,1789302689688,675,False,671,626054104,1,12,2347,0,0,0,111525381,449460,0,0,0,0,105499944,449460,114621366
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789302689064,1789302689750,686,False,682,638343453,1,12,2347,0,0,0,111525381,449460,0,0,0,0,105511301,449460,116420668
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789302689108,1789302689785,677,False,673,629455893,1,12,2347,0,0,0,111525381,449460,0,0,0,0,105503933,449460,116930542
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789302689644,1789302690338,694,False,689,637681232,1,17,2347,0,0,0,111525381,449460,0,0,0,0,105504409,449460,114990053
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789302689687,1789302690382,695,False,690,643203317,1,17,2347,0,0,0,111525381,449460,0,0,0,0,105503602,449460,117601561
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789302689749,1789302690442,693,False,689,633767764,1,17,2347,0,0,0,111525371,449460,0,0,0,0,105507034,449460,115255168
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789302689784,1789302690475,691,False,686,638780612,1,17,2347,0,0,0,111525366,449460,0,0,0,0,105502912,449460,114868949
1,save at NativeMethodAccessorImpl.java:0,33,32,0,1789302690338,1789302691019,681,False,676,633535978,1,11,2347,0,0,0,111525366,449460,0,0,0,0,105501076,449460,115265624
1,save at NativeMethodAccessorImpl.java:0,34,33,0,1789302690381,1789302691057,676,False,672,623541030,1,11,2347,0,0,0,111525366,449460,0,0,0,0,105509789,449460,113585162
1,save at NativeMethodAccessorImpl.java:0,35,34,0,1789302690441,1789302691112,671,False,666,623946699,1,11,2347,0,0,0,111525366,449460,0,0,0,0,105498089,449460,113566875
1,save at NativeMethodAccessorImpl.java:0,36,35,0,1789302690474,1789302691147,673,False,669,626168970,1,11,2347,0,0,0,111525366,449460,0,0,0,0,105504923,449460,114168328
1,save at NativeMethodAccessorImpl.java:0,37,36,0,1789302691018,1789302691708,690,False,685,639826934,1,7,2347,0,0,0,111525366,449460,0,0,0,0,105507472,449460,114463266
1,save at NativeMethodAccessorImpl.java:0,38,37,0,1789302691057,1789302691739,682,False,678,637305491,1,7,2347,0,0,0,111525366,449460,0,0,0,0,105502774,449460,114046710
1,save at NativeMethodAccessorImpl.java:0,39,38,0,1789302691111,1789302691786,675,False,671,626675102,1,7,2347,0,0,0,111525351,449460,0,0,0,0,105509844,449460,116318412
1,save at NativeMethodAccessorImpl.java:0,40,39,0,1789302691147,1789302691825,678,False,674,634221360,1,7,2347,0,0,0,111525351,449460,0,0,0,0,105501628,449460,116726756
1,save at NativeMethodAccessorImpl.java:0,41,40,0,1789302691707,1789302692387,680,False,675,627765307,1,12,2347,0,0,0,111525351,449460,0,0,0,0,105505266,449460,114621359
1,save at NativeMethodAccessorImpl.java:0,42,41,0,1789302691739,1789302692415,676,False,673,628561165,1,12,2347,0,0,0,111525351,449460,0,0,0,0,105508384,449460,113110465
1,save at NativeMethodAccessorImpl.java:0,43,42,0,1789302691786,1789302692456,670,False,666,617545921,1,12,2347,0,0,0,111525351,449460,0,0,0,0,105506455,449460,112923678
1,save at NativeMethodAccessorImpl.java:0,44,43,0,1789302691825,1789302692510,685,False,681,629838122,1,12,2347,0,0,0,111525351,449460,0,0,0,0,105501514,449460,114421221
1,save at NativeMethodAccessorImpl.java:0,45,44,0,1789302692387,1789302693067,680,False,676,630082537,1,15,2347,0,0,0,111525331,449460,0,0,0,0,105510234,449460,117050488
1,save at NativeMethodAccessorImpl.java:0,46,45,0,1789302692415,1789302693111,696,False,693,638809712,1,15,2347,0,0,0,111525321,449460,0,0,0,0,105509313,449460,120905240
1,save at NativeMethodAccessorImpl.java:0,47,46,0,1789302692455,1789302693131,676,False,672,620935351,1,15,2347,0,0,0,111525311,449460,0,0,0,0,105506851,449460,113025325
1,save at NativeMethodAccessorImpl.java:0,48,47,0,1789302692509,1789302693195,686,False,682,634366599,1,15,2347,0,0,0,111523968,449458,0,0,0,0,105507631,449458,113574054
1,save at NativeMethodAccessorImpl.java:0,49,48,0,1789302693067,1789302693727,660,False,656,625946258,1,2,2347,0,0,0,111523294,449457,0,0,0,0,105508806,449457,112966415
1,save at NativeMethodAccessorImpl.java:0,50,49,0,1789302693111,1789302693812,701,False,697,657157092,1,2,2347,0,0,0,111523284,449457,0,0,0,0,105501011,449457,128525326
1,save at NativeMethodAccessorImpl.java:0,51,50,0,1789302693130,1789302693816,686,False,683,620297238,1,2,2347,0,0,0,111523284,449457,0,0,0,0,105507868,449457,113894865
1,save at NativeMethodAccessorImpl.java:0,52,51,0,1789302693194,1789302693860,666,False,662,628226642,1,2,2347,0,0,0,111523284,449457,0,0,0,0,105506553,449457,116604111
1,save at NativeMethodAccessorImpl.java:0,53,52,0,1789302693727,1789302694432,705,False,701,637878188,1,8,2347,0,0,0,111523284,449457,0,0,0,0,105497297,449457,116701827
1,save at NativeMethodAccessorImpl.java:0,54,53,0,1789302693812,1789302694523,711,False,707,629312646,1,8,2347,0,0,0,111523284,449457,0,0,0,0,105506668,449457,114746215
1,save at NativeMethodAccessorImpl.java:0,55,54,0,1789302693816,1789302694542,726,False,723,628231575,0,8,2304,0,0,0,111523274,449457,0,0,0,0,105504896,449457,114241752
1,save at NativeMethodAccessorImpl.java:0,56,55,0,1789302693859,1789302694581,722,False,718,637159128,1,8,2347,0,0,0,111523269,449457,0,0,0,0,105504624,449457,117542947
1,save at NativeMethodAccessorImpl.java:0,57,56,0,1789302694432,1789302695102,670,False,665,628752359,1,3,2347,0,0,0,111523269,449457,0,0,0,0,105503282,449457,113098140
1,save at NativeMethodAccessorImpl.java:0,58,57,0,1789302694522,1789302695183,661,False,657,624678045,1,3,2347,0,0,0,111523269,449457,0,0,0,0,105493938,449457,112505981
1,save at NativeMethodAccessorImpl.java:0,59,58,0,1789302694542,1789302695209,667,False,664,622623956,1,3,2347,0,0,0,111523269,449457,0,0,0,0,105504480,449457,112836598
1,save at NativeMethodAccessorImpl.java:0,60,59,0,1789302694580,1789302695260,680,False,676,643106223,1,3,2347,0,0,0,111523269,449457,0,0,0,0,105504731,449457,114304394
1,save at NativeMethodAccessorImpl.java:0,61,60,0,1789302695101,1789302695857,756,False,752,630006133,1,3,2347,0,0,0,111523259,449457,0,0,0,0,105499673,449457,115724631
1,save at NativeMethodAccessorImpl.java:0,62,61,0,1789302695182,1789302695971,789,False,785,634322500,1,3,2347,0,0,0,111523254,449457,0,0,0,0,105510354,449457,114455301
1,save at NativeMethodAccessorImpl.java:0,63,62,0,1789302695209,1789302695991,782,False,776,629619454,1,7,2347,0,0,0,111523249,449457,0,0,0,0,105503584,449457,118474358
1,save at NativeMethodAccessorImpl.java:0,64,63,0,1789302695259,1789302696034,775,False,769,649309341,1,10,2347,0,0,0,111523239,449457,0,0,0,0,105502271,449457,133001802
1,save at NativeMethodAccessorImpl.java:0,68,67,0,1789302696033,1789302696568,535,False,531,425560968,1,0,2304,0,0,0,80172354,325114,0,0,0,0,75152898,325114,74813802
1,save at NativeMethodAccessorImpl.java:0,65,64,0,1789302695856,1789302696597,741,False,738,640525098,1,7,2347,0,0,0,111523239,449457,0,0,0,0,105499755,449457,116568034
1,save at NativeMethodAccessorImpl.java:0,67,66,0,1789302695990,1789302696719,729,False,725,564906596,1,5,2347,0,0,0,102985286,415753,0,0,0,0,97189501,415753,104974432
1,save at NativeMethodAccessorImpl.java:0,66,65,0,1789302695970,1789302696759,789,False,785,639524213,1,9,2347,0,0,0,111523229,449457,0,0,0,0,105505047,449457,115429406
1,save at NativeMethodAccessorImpl.java:0,69,68,0,1789302696567,1789302697086,519,False,515,409384070,1,2,2347,0,0,0,80165064,325108,0,0,0,0,75149133,325108,76321175
1,save at NativeMethodAccessorImpl.java:0,70,69,0,1789302696597,1789302697117,520,False,516,412934272,1,2,2347,0,0,0,80165064,325108,0,0,0,0,75150883,325108,75823897
1,save at NativeMethodAccessorImpl.java:0,71,70,0,1789302696719,1789302697235,516,False,513,405292705,1,2,2347,0,0,0,80165064,325108,0,0,0,0,75149662,325108,74782151
1,save at NativeMethodAccessorImpl.java:0,72,71,0,1789302696758,1789302697273,515,False,511,406347040,1,2,2347,0,0,0,80165064,325108,0,0,0,0,75152761,325108,75620588
1,save at NativeMethodAccessorImpl.java:0,73,72,0,1789302697085,1789302697596,511,False,507,405525759,1,2,2347,0,0,0,80165064,325108,0,0,0,0,75153034,325108,74931482
1,save at NativeMethodAccessorImpl.java:0,74,73,0,1789302697117,1789302697627,510,False,507,411291322,1,2,2347,0,0,0,80165064,325108,0,0,0,0,75156253,325108,74305185
1,save at NativeMethodAccessorImpl.java:0,75,74,0,1789302697235,1789302697743,508,False,503,408523887,1,8,2347,0,0,0,80165064,325108,0,0,0,0,75147306,325108,74968474
1,save at NativeMethodAccessorImpl.java:0,76,75,0,1789302697273,1789302697790,517,False,515,424450173,1,8,2347,0,0,0,80165064,325108,0,0,0,0,75150293,325108,88894189
1,save at NativeMethodAccessorImpl.java:0,77,76,0,1789302697596,1789302698113,517,False,513,413017156,1,10,2347,0,0,0,80165044,325108,0,0,0,0,75159882,325108,84684713
1,save at NativeMethodAccessorImpl.java:0,78,77,0,1789302697627,1789302698160,533,False,528,423687326,1,10,2347,0,0,0,80164994,325108,0,0,0,0,75149647,325108,77168475
2,save at NativeMethodAccessorImpl.java:0,82,0,0,1789302698158,1789302698202,44,False,38,37411418,2,0,2029,0,0,0,0,2500,0,0,0,0,46131,2500,9756890
2,save at NativeMethodAccessorImpl.java:0,83,1,0,1789302698201,1789302698224,23,False,19,19870559,1,0,2029,0,0,0,0,2500,0,0,0,0,43446,2500,9094702
2,save at NativeMethodAccessorImpl.java:0,84,2,0,1789302698224,1789302698241,17,False,14,14071656,1,0,2029,0,0,0,0,2500,0,0,0,0,43580,2500,5645649
2,save at NativeMethodAccessorImpl.java:0,85,3,0,1789302698240,1789302698256,16,False,13,13119421,1,0,2029,0,0,0,0,2501,0,0,0,0,44083,2501,5392249
1,save at NativeMethodAccessorImpl.java:0,79,78,0,1789302697742,1789302698266,524,False,520,426088610,1,2,2347,0,0,0,80164994,325108,0,0,0,0,75148708,325108,80076821
1,save at NativeMethodAccessorImpl.java:0,80,79,0,1789302697790,1789302698305,515,False,512,423908737,1,2,2347,0,0,0,80164994,325108,0,0,0,0,75149686,325108,77597694
1,save at NativeMethodAccessorImpl.java:0,81,80,0,1789302698112,1789302698565,453,False,450,385742057,1,0,2304,0,0,0,74438863,301886,0,0,0,0,69781669,301886,70870924
3,save at NativeMethodAccessorImpl.java:0,87,1,0,1789302698594,1789302698962,368,False,349,294231475,10,4,6099,58785696,0,0,0,0,32350640,137890,0,0,0,0,0
3,save at NativeMethodAccessorImpl.java:0,88,2,0,1789302698595,1789302699001,406,False,391,352421130,10,7,6056,58785696,0,0,0,0,35748441,152382,0,0,0,0,0
