t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789302532.928908,0.0,27848632,255891,0,180,212,86,304711,3207700,89457102,158084,1496,63752672,64110120,64771556,0,0,0,1,1,0,91997283,795222066,802705619,198465,199427,374,0,240752898,154386,1179422268,1224748165,0
1789302533.1793263,0.25,27848870,255909,0,180,212,86,304712,3207844,89457758,167796,1620,63749960,64101008,64771556,0,0,0,0,17,0,91998126,795249825,802733397,198465,199427,405,0,240755569,154459,1179434868,1224748165,0
1789302533.4298582,0.501,27849243,255926,0,180,212,86,304715,3207851,89458467,177324,1620,63733516,64079152,64771556,0,0,0,0,2,0,91998773,795349107,802832686,198465,199427,405,0,240760615,154497,1179445696,1224748165,0
1789302533.680252,0.751,27849618,255948,0,180,212,86,304717,3207852,89459162,204392,1652,63705312,64037216,64771556,0,0,0,1,1,0,91999545,795516448,803000042,198465,199427,413,0,240764818,154707,1179473000,1224748165,0
1789302533.9306588,1.002,27849983,255972,0,180,212,86,304718,3207860,89461373,214628,1652,63690432,64017152,64771556,0,0,0,1,1,0,92000387,795659946,803143543,198465,199427,413,0,240767981,154795,1179483320,1224748165,0
1789302534.1810412,1.252,27850354,255994,0,180,212,86,304720,3207865,89463101,221184,1652,63679600,64003068,64771556,0,0,0,1,1,0,92001661,795848342,803332013,198465,199427,413,0,240769977,154801,1179489700,1224748165,0
1789302534.4314623,1.503,27850721,256015,0,180,212,86,304721,3207875,89464445,229456,1652,63660860,63980172,64771556,0,0,0,1,2,0,92002508,796009026,803492720,198465,199427,413,0,240775087,154801,1179498048,1224748165,0
1789302534.681872,1.753,27851075,256024,0,180,212,86,304727,3207907,89468085,232516,1684,63653092,63970872,64771556,0,0,0,1,4,0,92003193,796030158,803513853,198465,199427,421,0,240791221,154809,1179501004,1224748197,0
1789302534.9324954,2.004,27851432,256037,0,180,212,86,304729,3207935,89470561,235936,1684,63627988,63944064,64771556,0,0,0,0,2,0,92003748,796104653,803588356,198465,199427,421,0,240798486,154810,1179504544,1224748197,0
1789302535.1829176,2.254,27851796,256049,0,180,212,86,304731,3207957,89473769,238880,1652,63608060,63922660,64771556,0,0,0,0,4,0,92004440,796189315,803673034,198465,199427,413,0,240803243,154810,1179507404,1224748197,0
1789302535.433545,2.505,27852157,256064,0,180,212,86,304734,3207977,89477588,242232,1652,63577816,63890692,64771556,0,0,0,0,2,0,92005099,796275110,803758829,198465,199427,413,0,240810801,154818,1179510772,1224748197,0
1789302535.68398,2.755,27852508,256074,0,180,212,86,304737,3208013,89481628,245092,1652,63566620,63878068,64771556,0,0,0,0,5,0,92005767,796329275,803812994,198465,199427,413,0,240813228,154823,1179513620,1224748197,0
1789302535.9344647,3.006,27852866,256085,0,180,212,86,304739,3208041,89485813,247504,1652,63560536,63870784,64771556,0,0,0,1,1,0,92006376,796395652,803879370,198465,199427,413,0,240814885,154826,1179516032,1224748197,0
1789302536.1848798,3.256,27853209,256096,0,180,212,86,304742,3208082,89491565,249828,1652,63560708,63869792,64771556,0,0,0,0,2,0,92007033,796424664,803908494,198465,199427,413,0,240820395,154829,1179518372,1224748201,0
1789302536.4692166,3.54,27853638,256121,0,180,212,86,304743,3208084,89492505,277660,1652,63542772,63836008,64771556,0,0,0,1,1,0,92008170,796667025,804150862,198465,199427,413,0,240823352,155057,1179547120,1224748201,0
1789302536.7216063,3.793,27854014,256140,0,180,212,86,304744,3208089,89493125,291688,1652,63532800,63811780,64771556,0,0,0,1,1,0,92008997,796856356,804340192,198465,199427,413,0,240827294,155165,1179561228,1224748201,0
1789302536.9722366,4.043,27854389,256157,0,180,212,86,304745,3208096,89493656,303568,1652,63522540,63789536,64771556,0,0,0,1,1,0,92009891,797027203,804511039,198465,199427,413,0,240831441,155259,1179573192,1224748201,0
1789302537.222649,4.294,27854757,256172,0,180,213,86,304747,3208111,89495405,309808,1652,63505708,63766280,64771556,0,0,0,0,3,0,92010575,797106416,804590261,198465,199427,413,0,240835371,155271,1179579716,1224748201,0
1789302537.473033,4.544,27855114,256186,0,180,213,86,304749,3208138,89497202,312968,1652,63499548,63756972,64771556,0,0,0,1,1,0,92011150,797188658,804672515,198465,199427,413,0,240839104,155275,1179582764,1224748201,0
1789302537.7234695,4.795,27855444,256198,0,180,213,86,304752,3208193,89498912,315580,1652,63432324,63687124,64771556,0,0,0,0,4,0,92011495,797233312,804717169,198465,199427,413,0,240858754,155275,1179585372,1224748201,0
1789302537.973953,5.045,27855797,256208,0,180,213,86,304754,3208227,89500718,318320,1652,63410620,63662668,64771556,0,0,0,1,1,0,92011929,797287879,804771736,198465,199427,413,0,240865836,155275,1179588132,1224748201,0
1789302538.2244194,5.296,27856152,256219,0,180,213,86,304756,3208257,89505477,321656,1652,63389552,63638248,64771556,0,0,0,0,6,0,92012658,797348078,804831995,198465,199427,413,0,240872046,155278,1179591548,1224748201,0
1789302538.4750519,5.546,27856503,256229,0,180,213,86,304757,3208295,89507017,324620,1652,63379412,63625156,64771556,0,0,0,0,4,0,92013020,797396342,804880259,198465,199427,413,0,240874061,155278,1179594420,1224748201,0
1789302538.7254996,5.797,27856854,256238,0,180,213,86,304759,3208333,89508957,327084,1752,63369224,63612500,64771556,0,0,0,1,1,0,92013376,797439968,804923884,198465,199427,438,0,240877997,155280,1179596820,1224748201,0
1789302538.9759219,6.047,27857217,256250,0,180,213,86,304760,3208357,89510529,330684,1752,63357116,63596768,64771556,0,0,0,1,2,0,92013910,797517881,805001798,198465,199427,438,0,240881256,155280,1179600408,1224748201,0
1789302539.2263503,6.297,27857568,256256,0,180,213,86,304761,3208397,89511793,333028,1752,63346780,63584076,64771556,0,0,0,0,3,0,92014556,797550705,805034631,198465,199427,438,0,240886373,155280,1179602728,1224748201,0
1789302539.4768097,6.548,27857898,256257,0,180,213,86,304765,3208462,89518980,333712,1752,63343580,63580184,64771556,0,0,0,0,2,0,92015314,797553564,805037489,198465,199427,438,0,240890193,155282,1179603412,1224748201,0
1789302539.7272763,6.798,27858233,256260,0,180,213,86,304767,3208523,89523372,334324,1752,63336604,63572608,64771556,0,0,0,0,7,0,92015717,797563896,805047821,198465,199427,438,0,240892807,155282,1179604024,1224748201,0
1789302539.9779854,7.049,27858590,256271,0,180,213,86,304768,3208553,89527262,337312,1752,63331364,63564404,64771556,0,0,0,0,2,0,92016314,797630238,805114164,198465,199427,438,0,240894529,155282,1179607012,1224748201,0
1789302540.2284203,7.3,27858962,256281,0,180,213,86,304769,3208570,89528429,340408,1752,63339312,63569256,64771556,0,0,0,1,1,0,92019277,797721617,805205647,198465,199427,438,0,240896256,155282,1179610248,1224748201,0
1789302540.4789333,7.55,27859331,256289,0,180,213,86,304771,3208591,89530410,342220,1752,63315124,63543224,64771556,0,0,0,1,2,0,92019738,797781356,805265385,198465,199427,438,0,240900902,155282,1179611920,1224748201,0
1789302540.7293677,7.8,27859683,256300,0,180,213,86,304773,3208624,89531872,345388,1752,63295360,63520288,64771556,0,0,0,1,1,0,92020157,797840966,805324995,198465,199427,438,0,240907457,155282,1179615196,1224748201,0
1789302540.9798298,8.051,27860057,256310,0,180,213,86,304773,3208639,89532808,348132,1752,63274636,63496852,64771556,0,0,0,0,6,0,92020892,797935132,805419161,198465,199427,438,0,240912467,155282,1179617924,1224748201,0
1789302541.2303772,8.301,27860409,256316,0,180,213,86,304775,3208680,89534985,349732,1752,63261244,63481868,64771556,0,0,0,0,2,0,92021195,797968058,805452088,198465,199427,438,0,240918429,155282,1179619456,1224748201,0
1789302541.4808395,8.552,27860776,256326,0,180,213,86,304777,3208701,89535960,351768,1752,63234720,63453052,64771556,0,0,0,0,2,0,92021692,798039744,805523773,198465,199427,438,0,240924148,155282,1179621744,1224748201,0
1789302541.7312903,8.802,27861111,256330,0,180,213,86,304780,3208760,89541868,353048,1752,63210352,63426948,64771556,0,0,0,0,8,0,92022182,798056588,805540621,198465,199427,438,0,240931134,155282,1179623488,1224748201,0
1789302541.9819791,9.053,27861423,256334,0,180,213,86,304783,3208841,89545826,354460,1908,63147252,63362452,64771556,0,0,0,1,3,0,92022399,798061253,805545285,198465,199427,477,0,240946259,155282,1179624768,1224748201,0
1789302542.2324297,9.304,27861787,256345,0,180,213,86,304785,3208863,89546640,357760,1908,63129916,63341820,64771556,0,0,0,1,1,0,92023829,798144942,805628983,198465,199427,477,0,240951375,155282,1179628012,1224748201,0
1789302542.4828894,9.554,27862140,256351,0,180,213,86,304789,3208900,89549546,359308,1916,63226320,63436644,64771556,0,0,0,0,2,0,92024181,798156153,805640195,198465,199427,479,0,240961004,155282,1179629576,1224748201,0
1789302542.7333274,9.804,27862473,256356,0,180,213,86,304792,3208959,89553951,360644,1916,63194920,63403896,64771556,0,0,0,1,1,0,92024506,798168772,805652814,198465,199427,479,0,240968784,155282,1179630916,1224748201,0
1789302542.9837897,10.055,27862842,256362,0,180,213,86,304794,3208983,89557396,362448,1916,63170552,63377704,64771556,0,0,0,1,1,0,92024947,798215220,805699261,198465,199427,479,0,240974939,155282,1179632732,1224748201,0
1789302543.2342176,10.305,27863188,256366,0,180,213,86,304797,3209029,89561573,363876,1964,63148864,63354596,64771556,0,0,0,0,3,0,92025535,798233603,805717655,198465,199427,491,0,240981007,155282,1179634128,1224748257,0
1789302543.4848838,10.556,27863514,256375,0,180,213,86,304798,3209089,89566788,366436,1984,63143388,63346556,64771556,0,0,0,0,2,0,92026107,798262033,805746085,198465,199427,496,0,240983063,155283,1179636664,1224748257,0
1789302543.7354774,10.807,27863765,256376,0,180,213,86,304809,3209220,89581988,367212,2000,63043484,63245616,64771556,0,0,0,0,9,0,92026835,798262787,805746839,198465,199427,500,0,241007091,155283,1179637344,1224748257,0
1789302543.986088,11.057,27863967,256381,0,180,213,86,304819,3209397,89591907,368904,2244,62991400,63191844,64771556,0,0,0,0,5,0,92031790,798266070,805750123,198465,199427,561,0,241021063,155283,1179638800,1224748257,0
