t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789303935.7888668,0.0,29489643,308665,0,180,260,91,373986,3681025,109897013,158612,1504,63580984,63937104,64771556,0,560,0,1,1,0,101833637,979736039,988078718,198487,199449,376,140,286146978,198448,1524263560,1391606597,0
1789303936.0409622,0.252,29489885,308682,0,180,261,91,373987,3681166,109897621,168360,1504,63575800,63926220,64771556,0,560,0,0,17,0,101833994,979763764,988106467,198487,199449,376,140,286149640,198521,1524275708,1391606597,0
1789303936.291571,0.503,29490257,308699,0,180,261,91,373989,3681175,109898341,175644,1488,63564340,63910396,64771556,0,0,0,1,1,0,101835049,979865618,988208392,198487,199449,372,0,286154571,198555,1524284932,1391606597,0
1789303936.5420263,0.753,29490633,308721,0,180,261,91,373991,3681176,109899078,204288,1520,63533664,63865016,64771556,0,0,0,1,1,0,101835885,980024092,988366868,198487,199449,380,0,286158803,198762,1524313568,1391606597,0
1789303936.7924309,1.004,29490998,308744,0,180,261,91,373992,3681186,109901229,215060,1520,63518052,63843956,64771556,0,0,0,1,1,0,101836795,980170854,988513632,198487,199449,380,0,286162013,198857,1524324212,1391606597,0
1789303937.042904,1.254,29491368,308767,0,180,261,91,373994,3681194,109902948,221432,1520,63509436,63832036,64771556,0,0,0,1,1,0,101837871,980351609,988694399,198487,199449,380,0,286164039,198863,1524330872,1391606597,0
1789303937.2933617,1.504,29491735,308788,0,180,261,91,373996,3681204,109904217,229832,1520,63485452,63803852,64771556,0,0,0,0,1,0,101838848,980515044,988857843,198487,199449,380,0,286169166,198863,1524339260,1391606597,0
1789303937.54384,1.755,29492090,308797,0,180,261,91,374001,3681234,109907778,232776,1520,63510388,63827316,64771556,0,0,0,0,4,0,101839153,980535882,988878681,198487,199449,380,0,286184984,198871,1524342220,1391606629,0
1789303937.794295,2.005,29492446,308810,0,180,261,91,374004,3681262,109910324,236032,1520,63486388,63801684,64771556,0,0,0,1,1,0,101839804,980591350,988934157,198487,199449,380,0,286192338,198872,1524345464,1391606629,0
1789303938.0447822,2.256,29492811,308821,0,180,261,91,374005,3681285,109913445,238908,1520,63466120,63779984,64771556,0,0,0,1,1,0,101841657,980673089,989015904,198487,199449,380,0,286197152,198872,1524348372,1391606629,0
1789303938.2952366,2.506,29493171,308835,0,180,261,91,374009,3681308,109917409,242112,1520,63441988,63754228,64771556,0,0,0,1,1,0,101842345,980753479,989096294,198487,199449,380,0,286204994,198879,1524351608,1391606629,0
1789303938.5457058,2.757,29493524,308847,0,180,261,91,374010,3681342,109920520,245368,1520,63432064,63742684,64771556,0,0,0,1,3,0,101842888,980819352,989162167,198487,199449,380,0,286207207,198885,1524354812,1391606629,0
1789303938.7961507,3.007,29493880,308855,0,180,261,91,374013,3681376,109925761,247152,1520,63426364,63736088,64771556,0,0,0,0,2,0,101843382,980850088,989192909,198487,199449,380,0,286209104,198887,1524356612,1391606629,0
1789303939.0466323,3.258,29494221,308867,0,180,261,91,374016,3681416,109930663,249592,1520,63417028,63725512,64771556,0,0,0,0,2,0,101844065,980888996,989231824,198487,199449,380,0,286213293,198891,1524359052,1391606629,0
1789303939.4430192,3.654,29494823,308895,0,180,261,91,374019,3681421,109932307,278032,1520,63413404,63705608,64771556,0,4,0,1,1,0,101845250,981089512,989432341,198487,199449,380,1,286216979,199119,1524388404,1391606633,0
1789303939.6957276,3.907,29495194,308915,0,180,261,91,374020,3681428,109933020,292712,1520,63408280,63685264,64771556,0,0,0,1,1,0,101846053,981250951,989593792,198487,199449,380,0,286221621,199246,1524403536,1391606633,0
1789303939.9460888,4.157,29495550,308944,0,180,261,91,374023,3681440,109934307,308044,4292,63389884,63650168,64771556,0,0,0,1,2,0,101846763,981370967,989713807,198487,199449,1073,0,286229733,199393,1524420220,1391606633,0
1789303940.1964984,4.408,29495891,308974,0,180,261,91,374027,3681463,109936650,319968,4292,63367880,63615500,64771556,0,0,0,1,2,0,101847702,981460748,989803729,198487,199449,1073,0,286237153,199444,1524433092,1391606633,0
1789303940.4469383,4.658,29496223,308999,0,180,261,91,374031,3681501,109939054,325316,4292,63349560,63591360,64771556,0,0,0,1,2,0,101848233,981545270,989888298,198487,199449,1073,0,286245612,199461,1524439364,1391606637,0
1789303940.6973786,4.909,29496547,309014,0,180,261,91,374037,3681554,109941524,330088,6160,63304680,63541400,64771556,0,0,0,0,4,0,101849036,981586233,989929263,198487,199449,1540,0,286265205,199483,1524443656,1391606637,0
1789303940.9478686,5.159,29496897,309024,0,180,261,91,374038,3681593,109943268,332764,6160,63265784,63499860,64771556,0,0,0,1,1,0,101849495,981635396,989978426,198487,199449,1540,0,286274714,199483,1524446344,1391606637,0
1789303941.19834,5.409,29497255,309036,0,180,261,91,374041,3681621,109947176,336240,6160,63260068,63490600,64771556,0,0,0,1,1,0,101850243,981702965,990046005,198487,199449,1540,0,286281084,199486,1524449800,1391606637,0
1789303941.4489043,5.66,29497601,309045,0,180,261,91,374042,3681664,109949422,339008,6160,63250152,63477908,64771556,0,0,0,1,1,0,101850672,981742431,990085471,198487,199449,1540,0,286283560,199486,1524452604,1391606637,0
1789303941.6993961,5.911,29497950,309054,0,180,261,91,374045,3681704,109951681,341284,6260,63237172,63462692,64771556,0,0,0,0,4,0,101851096,981784087,990127127,198487,199449,1565,0,286286598,199487,1524454728,1391606637,0
1789303941.9498577,6.161,29498310,309065,0,180,261,91,374046,3681731,109953626,344800,6260,63225816,63447804,64771556,0,0,0,1,1,0,101852341,981854227,990197282,198487,199449,1565,0,286289977,199487,1524458244,1391606637,0
1789303942.200315,6.411,29498666,309073,0,180,261,91,374047,3681766,109954539,347572,6260,63221952,63441160,64771556,0,0,0,0,3,0,101853134,981899666,990242728,198487,199449,1565,0,286293196,199487,1524461148,1391606637,0
1789303942.4508119,6.662,29498994,309074,0,180,261,91,374050,3681835,109960900,348052,6260,63213180,63431908,64771556,0,0,0,1,3,0,101853784,981903285,990246347,198487,199449,1565,0,286297181,199487,1524461540,1391606637,0
1789303942.7012568,6.912,29499329,309077,0,180,261,91,374052,3681893,109964737,348996,6260,63208904,63426672,64771556,0,0,0,0,4,0,101855316,981913988,990257050,198487,199449,1565,0,286299202,199489,1524462432,1391606637,0
1789303942.9517412,7.163,29499671,309086,0,180,261,91,374053,3681938,109967971,351524,6260,63202868,63418136,64771556,0,0,0,1,1,0,101855822,981956899,990299972,198487,199449,1565,0,286300900,199489,1524464992,1391606637,0
1789303943.2021918,7.413,29500044,309097,0,180,261,91,374054,3681955,109969100,354900,6260,63205360,63417256,64771556,0,0,0,1,1,0,101856684,982058721,990401900,198487,199449,1565,0,286302443,199489,1524468356,1391606637,0
1789303943.4526548,7.664,29500415,309105,0,180,261,91,374056,3681974,109970264,356756,6260,63187336,63397352,64771556,0,0,0,0,2,0,101857231,982126802,990469981,198487,199449,1565,0,286306767,199489,1524470296,1391606637,0
1789303943.703113,7.914,29500762,309114,0,180,261,91,374057,3682017,109972503,359512,6260,63163024,63370284,64771556,0,0,0,1,1,0,101857616,982167374,990510553,198487,199449,1565,0,286312816,199489,1524472948,1391606637,0
1789303943.9535809,8.165,29501137,309126,0,180,261,91,374058,3682029,109973166,362680,6260,63145544,63349612,64771556,0,0,0,1,1,0,101858495,982284234,990627413,198487,199449,1565,0,286317321,199489,1524476124,1391606637,0
1789303944.2040236,8.415,29501486,309131,0,180,261,91,374059,3682072,109975250,363736,6260,63132252,63335276,64771556,0,0,0,0,5,0,101859218,982310619,990653799,198487,199449,1565,0,286322425,199489,1524477252,1391606637,0
1789303944.4544766,8.666,29501849,309139,0,180,261,91,374060,3682099,109976139,365732,6260,63121928,63322960,64771556,0,0,0,1,1,0,101859640,982368266,990711445,198487,199449,1565,0,286328214,199489,1524479176,1391606637,0
1789303944.704908,8.916,29502187,309145,0,180,261,91,374063,3682152,109981481,367360,6260,63097376,63296160,64771556,0,0,0,1,1,0,101860091,982390856,990734035,198487,199449,1565,0,286334477,199489,1524481412,1391606637,0
