stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789303497924,1789303498389,465,False,370,43307833,59,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,4,3,0,1789303499604,1789303499791,187,False,163,73945063,12,15,2115,0,0,0,0,2501,0,0,0,0,44083,2501,29702725
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,2,1,0,1789303499603,1789303499792,189,False,164,88598833,12,15,2115,0,0,0,0,2500,0,0,0,0,43446,2500,27702254
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,3,2,0,1789303499603,1789303499793,190,False,160,96337860,12,15,2115,0,0,0,0,2500,0,0,0,0,43580,2500,28014939
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,1,0,0,1789303499601,1789303499794,193,False,164,74095736,12,15,2115,0,0,0,0,2500,0,0,0,0,46131,2500,29200084
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,6,1,0,1789303499790,1789303500789,999,False,975,647935715,19,27,2347,0,0,0,85792068,41702,0,0,0,0,80809757,41702,105158800
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,7,2,0,1789303499791,1789303500815,1024,False,999,626684733,19,27,2347,0,0,0,85791924,41702,0,0,0,0,80815967,41702,102848954
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,8,3,0,1789303499792,1789303500819,1027,False,1004,742295283,18,27,2347,0,0,0,85791752,41702,0,0,0,0,80815335,41702,107130055
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,5,0,0,1789303499787,1789303500827,1040,False,1012,638369435,22,27,2347,0,0,0,85792408,41702,0,0,0,0,80813082,41702,109987485
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,9,4,0,1789303500788,1789303501297,509,False,501,452587320,3,21,2347,0,0,0,85791984,41702,0,0,0,0,80806783,41702,89177407
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,10,5,0,1789303500813,1789303501399,586,False,579,471319609,3,21,2347,0,0,0,85792356,41702,0,0,0,0,80812418,41702,98201797
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,12,7,0,1789303500826,1789303501420,594,False,588,479611549,2,21,2347,0,0,0,85792172,41702,0,0,0,0,80815865,41702,94616860
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,11,6,0,1789303500818,1789303501430,612,False,606,485832969,2,21,2347,0,0,0,85792284,41702,0,0,0,0,80807363,41702,99163214
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,13,8,0,1789303501297,1789303501801,504,False,498,459399924,2,15,2347,0,0,0,85792044,41702,0,0,0,0,80816612,41702,91520747
