stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789303263495,1789303263955,460,False,362,43759235,62,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789303265365,1789303265544,179,False,154,91035749,12,15,2115,0,0,0,0,2500,0,0,0,0,46131,2500,29521397
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789303265366,1789303265547,181,False,157,81993055,12,15,2072,0,0,0,0,2500,0,0,0,0,43580,2500,28277293
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789303265366,1789303265551,185,False,154,74189153,12,15,2115,0,0,0,0,2500,0,0,0,0,43446,2500,29573797
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789303265366,1789303265552,186,False,150,85836607,11,15,2115,0,0,0,0,2501,0,0,0,0,44083,2501,28486116
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789303265547,1789303266512,965,False,949,638632004,10,30,2347,0,0,0,85960720,41780,0,0,0,0,80964011,41780,104427407
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789303265549,1789303266538,989,False,969,704193980,15,30,2347,0,0,0,85961402,41780,0,0,0,0,80967012,41780,101954411
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789303265541,1789303266562,1021,False,1002,673635018,13,30,2347,0,0,0,85965014,41782,0,0,0,0,80968866,41782,108286313
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789303265544,1789303266573,1029,False,1012,650041205,13,30,2347,0,0,0,85963377,41781,0,0,0,0,80964931,41781,114543603
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789303266511,1789303267042,531,False,524,473396211,2,23,2347,0,0,0,85961959,41780,0,0,0,0,80966068,41780,98261375
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789303266537,1789303267053,516,False,510,445758864,2,23,2347,0,0,0,85961849,41780,0,0,0,0,80963975,41780,94926912
