t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789303518.4924638,0.0,28979574,293121,0,180,250,90,352277,3563240,103508669,158408,1284,63477456,63832648,64771556,0,332,0,1,1,0,100506047,923566602,931869457,198480,199442,321,83,273645043,183157,1403522704,1364344373,0
1789303518.743475,0.251,28979817,293138,0,180,250,90,352279,3563381,103509267,167916,1284,63462268,63811980,64771556,0,332,0,0,17,0,100507519,923603939,931906806,198480,199442,321,83,273647703,183230,1403534844,1364344373,0
1789303518.9948938,0.502,28980188,293155,0,180,250,90,352281,3563389,103509961,175192,1284,63445716,63791308,64771556,0,332,0,1,1,0,100508223,923701210,932004115,198480,199442,321,83,273652635,183264,1403543824,1364344373,0
1789303519.245331,0.753,28980563,293178,0,180,250,90,352282,3563390,103510689,203352,1316,63423048,63754292,64771556,0,332,0,0,2,0,100509065,923859045,932161966,198480,199442,329,83,273656842,183468,1403572564,1364344373,0
1789303519.495753,1.003,28980928,293201,0,180,250,90,352284,3563400,103512791,214140,1316,63407720,63733760,64771556,0,332,0,1,1,0,100509848,923996551,932299481,198480,199442,329,83,273660009,183567,1403582892,1364344373,0
1789303519.7461972,1.254,28981299,293223,0,180,250,90,352285,3563408,103514527,220800,1316,63396652,63719380,64771556,0,332,0,0,2,0,100510873,924177118,932480048,198480,199442,329,83,273662051,183573,1403589568,1364344373,0
1789303519.9966745,1.504,28981665,293245,0,180,250,90,352286,3563417,103515681,229204,1316,63380996,63699536,64771556,0,332,0,1,1,0,100511795,924342839,932645778,198480,199442,329,83,273667169,183573,1403597956,1364344373,0
1789303520.2471528,1.755,28982023,293254,0,180,250,90,352291,3563447,103519414,232600,1452,63398636,63715228,64771556,0,0,0,0,5,0,100512233,924366160,932669105,198480,199442,363,0,273681676,183581,1403601024,1364344405,0
1789303520.4976192,2.005,28982377,293267,0,180,250,90,352293,3563474,103521908,235804,1452,63370472,63685460,64771556,0,0,0,0,2,0,100512820,924438637,932741591,198480,199442,363,0,273690143,183582,1403604228,1364344405,0
1789303520.747984,2.256,28982742,293278,0,180,250,90,352295,3563495,103525090,238772,1452,63349492,63662992,64771556,0,0,0,0,3,0,100513445,924520663,932823616,198480,199442,363,0,273695098,183582,1403607196,1364344405,0
1789303520.998344,2.506,28983103,293292,0,180,250,90,352298,3563516,103528947,242068,1452,63322548,63634352,64771556,0,0,0,1,1,0,100514128,924604059,932907012,198480,199442,363,0,273703099,183588,1403610552,1364344405,0
1789303521.2488012,2.756,28983455,293304,0,180,250,90,352299,3563549,103532135,245256,1452,63325784,63635860,64771556,0,0,0,0,4,0,100514619,924668719,932971676,198480,199442,363,0,273705188,183594,1403613968,1364344405,0
1789303521.4992013,3.007,28983812,293313,0,180,250,90,352301,3563580,103537125,247100,1452,63316676,63625852,64771556,0,0,0,1,1,0,100515123,924695442,932998412,198480,199442,363,0,273707310,183596,1403615816,1364344405,0
1789303521.749693,3.257,28984152,293324,0,180,250,90,352305,3563625,103542986,249488,1452,63301540,63609460,64771556,0,0,0,1,1,0,100515551,924728639,933031786,198480,199442,363,0,273712315,183600,1403618288,1364344405,0
1789303522.1455383,3.653,28984754,293352,0,180,250,90,352306,3563628,103544277,277916,1452,63342112,63633784,64771556,0,0,0,1,1,0,100516610,924939179,933242337,198480,199442,363,0,273715849,183828,1403647552,1364344409,0
1789303522.3991325,3.907,28985131,293371,0,180,250,90,352307,3563633,103544892,291940,1452,63336392,63613856,64771556,0,0,0,1,1,0,100517413,925126639,933429798,198480,199442,363,0,273719776,183936,1403661628,1364344409,0
1789303522.6494856,4.157,28985506,293387,0,180,250,90,352309,3563640,103545405,303560,1452,63327872,63593568,64771556,0,0,0,1,1,0,100518320,925294563,933597735,198480,199442,363,0,273723781,184030,1403673360,1364344409,0
1789303522.8998513,4.407,28985874,293402,0,180,250,90,352311,3563655,103547437,309996,1452,63314660,63573752,64771556,0,0,0,0,3,0,100518796,925376387,933679560,198480,199442,363,0,273727511,184042,1403679972,1364344409,0
1789303523.150329,4.658,28986233,293415,0,180,250,90,352313,3563681,103549360,313004,1452,63311932,63568000,64771556,0,0,0,1,2,0,100519518,925456428,933759660,198480,199442,363,0,273731190,184046,1403682988,1364344409,0
1789303523.4010623,4.909,28986569,293424,0,180,250,90,352317,3563732,103551751,315108,1452,63267152,63521144,64771556,0,0,0,1,4,0,100519942,925494155,933797386,198480,199442,363,0,273744913,184046,1403685092,1364344409,0
1789303523.6517837,5.159,28986907,293434,0,180,250,90,352320,3563783,103553735,317312,1452,63232224,63483980,64771556,0,0,0,1,2,0,100520190,925512577,933815809,198480,199442,363,0,273755080,184046,1403687356,1364344409,0
1789303523.9024782,5.41,28987272,293445,0,180,250,90,352322,3563804,103556016,320876,1452,63216292,63464452,64771556,0,0,0,1,1,0,100520765,925593191,933896423,198480,199442,363,0,273761515,184046,1403690856,1364344409,0
1789303524.1529436,5.66,28987610,293455,0,180,250,90,352325,3563851,103560855,323352,1452,63215800,63461540,64771556,0,0,0,0,2,0,100521250,925629658,933932890,198480,199442,363,0,273764295,184049,1403693340,1364344409,0
1789303524.403418,5.911,28987968,293463,0,180,250,90,352327,3563883,103562880,325656,1456,63207916,63451340,64771556,0,0,0,1,3,0,100521590,925676465,933979701,198480,199442,364,0,273766886,184050,1403695640,1364344409,0
1789303524.6538827,6.161,28988331,293475,0,180,250,90,352328,3563905,103564660,329388,1552,63190928,63430584,64771556,0,0,0,0,2,0,100522244,925768083,934071332,198480,199442,388,0,273770882,184051,1403699312,1364344409,0
1789303524.9043062,6.412,28988682,293485,0,180,250,90,352329,3563942,103566093,332648,1552,63182876,63419272,64771556,0,0,0,0,4,0,100522617,925819217,934122466,198480,199442,388,0,273773209,184051,1403702540,1364344409,0
1789303525.1547868,6.662,28989029,293487,0,180,250,90,352331,3563990,103572995,333516,1552,63182808,63418344,64771556,0,0,0,0,4,0,100523663,925826978,934130228,198480,199442,388,0,273775534,184051,1403703412,1364344409,0
1789303525.4052372,6.913,28989354,293488,0,180,250,90,352334,3564059,103579853,334136,1552,63175912,63410868,64771556,0,0,0,0,6,0,100524257,925831097,934134346,198480,199442,388,0,273779335,184053,1403704024,1364344409,0
1789303525.6557083,7.163,28989671,293492,0,180,250,90,352336,3564134,103586083,335040,1552,63167128,63401128,64771556,0,0,0,0,2,0,100524673,925842169,934145418,198480,199442,388,0,273784160,184056,1403704952,1364344409,0
1789303525.9060433,7.414,28990044,293506,0,180,250,90,352337,3564146,103587166,339204,1552,63159936,63389792,64771556,0,0,0,0,2,0,100525473,925974017,934277266,198480,199442,388,0,273785362,184056,1403709108,1364344409,0
1789303526.156413,7.664,28990415,293513,0,180,250,90,352338,3564167,103588348,341172,1552,63163764,63391640,64771556,0,0,0,0,2,0,100525924,926037388,934340653,198480,199442,388,0,273787392,184056,1403711060,1364344409,0
1789303526.4068806,7.914,28990763,293521,0,180,250,90,352338,3564209,103590760,343232,1552,63159256,63385100,64771556,0,0,0,1,3,0,100526278,926077923,934381188,198480,199442,388,0,273788887,184056,1403713124,1364344409,0
1789303526.6573327,8.165,28991134,293534,0,180,250,90,352339,3564226,103591376,346756,1552,63151076,63373384,64771556,0,0,0,1,1,0,100527350,926190529,934493802,198480,199442,388,0,273790965,184056,1403716684,1364344409,0
1789303526.9078233,8.415,28991505,293541,0,180,250,90,352340,3564246,103592495,348524,1552,63146140,63366692,64771556,0,0,0,0,4,0,100527768,926249683,934552956,198480,199442,388,0,273792309,184056,1403718528,1364344409,0
