t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789303816.8667529,0.0,29344241,304237,0,180,258,91,367837,3647443,108114824,158716,1568,63567452,63923236,64771556,0,0,0,2,1,0,101453389,963742722,972071025,198486,199448,392,0,282590655,194072,1489764328,1383974897,0
1789303817.1198354,0.253,29344465,304263,0,180,258,91,367841,3647591,108116286,172484,3964,63556204,63902544,64771556,0,0,0,1,2,0,101458960,963771775,972104770,198486,199448,991,0,282597605,194200,1489783188,1383974897,0
1789303817.3703473,0.504,29344815,304295,0,180,258,91,367845,3647604,108117501,187736,3964,63526688,63864844,64771556,0,0,0,2,1,0,101459657,963911510,972244532,198486,199448,991,0,282605989,194277,1489800088,1383974897,0
1789303817.620807,0.754,29345165,304329,0,180,258,91,367848,3647617,108118762,217548,3996,63485596,63808904,64771556,0,0,0,2,1,0,101460217,964042011,972375374,198486,199448,999,0,282614398,194506,1489830188,1383974901,0
1789303817.8712385,1.004,29345523,304355,0,180,258,91,367853,3647626,108121626,229888,5840,63469844,63786636,64771556,0,0,0,1,1,0,101460949,964158192,972491874,198486,199448,1460,0,282620816,194612,1489842096,1383974901,0
1789303818.121711,1.255,29345893,304377,0,180,258,91,367854,3647632,108123286,236248,5840,63458728,63772336,64771556,0,0,0,0,2,0,101461992,964341820,972675519,198486,199448,1460,0,282622800,194618,1489848460,1383974901,0
1789303818.3721664,1.505,29346260,304399,0,180,258,91,367855,3647642,108124582,244536,5840,63451632,63761084,64771556,0,0,0,1,1,0,101462867,964503143,972836850,198486,199448,1460,0,282627913,194618,1489856804,1383974901,0
1789303818.6226437,1.756,29346614,304408,0,180,258,91,367861,3647671,108128100,247520,5840,63453676,63761612,64771556,0,0,0,1,3,0,101463796,964526724,972860431,198486,199448,1460,0,282643956,194626,1489859732,1383974933,0
1789303818.8730884,2.006,29346972,304421,0,180,258,91,367863,3647698,108130159,250756,5840,63429404,63735716,64771556,0,0,0,0,2,0,101465188,964602300,972936039,198486,199448,1460,0,282651433,194627,1489863180,1383974933,0
1789303819.123584,2.257,29347337,304432,0,180,258,91,367865,3647719,108132779,253812,5840,63414384,63719176,64771556,0,0,0,1,1,0,101467067,964685687,973019462,198486,199448,1460,0,282656169,194627,1489866028,1383974933,0
1789303819.3740315,2.507,29347697,304447,0,180,258,91,367868,3647741,108136070,257172,5840,63386084,63689192,64771556,0,0,0,1,1,0,101467738,964768902,973102678,198486,199448,1460,0,282664103,194634,1489869392,1383974933,0
1789303819.6244872,2.758,29348050,304458,0,180,258,91,367869,3647776,108139486,260116,5840,63374916,63676540,64771556,0,0,0,0,4,0,101468236,964827723,973161499,198486,199448,1460,0,282666445,194639,1489872344,1383974933,0
1789303819.874927,3.008,29348406,304467,0,180,258,91,367871,3647807,108144031,262092,5840,63367636,63668264,64771556,0,0,0,1,4,0,101469425,964879631,973213407,198486,199448,1460,0,282668189,194641,1489874304,1383974933,0
