stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789303586965,1789303587446,481,False,383,49053502,61,12,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789303588881,1789303589070,189,False,162,83071094,12,14,2115,0,0,0,0,2500,0,0,0,0,43446,2500,28688176
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789303588882,1789303589074,192,False,158,81011733,12,14,2115,0,0,0,0,2500,0,0,0,0,43580,2500,29493817
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789303588879,1789303589075,196,False,163,77966682,12,14,2115,0,0,0,0,2500,0,0,0,0,46131,2500,29803109
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789303588882,1789303589075,193,False,163,113557927,11,14,2115,0,0,0,0,2501,0,0,0,0,44083,2501,29537245
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789303589069,1789303590115,1046,False,1016,735664270,24,30,2347,0,0,0,85924640,41766,0,0,0,0,80932834,41766,108370226
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789303589074,1789303590126,1052,False,1029,640994746,18,30,2347,0,0,0,85924092,41766,0,0,0,0,80934169,41766,105413275
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789303589064,1789303590128,1064,False,1032,616539388,25,30,2347,0,0,0,85923616,41766,0,0,0,0,80938755,41766,104699326
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789303589074,1789303590131,1057,False,1032,665490470,21,30,2347,0,0,0,85924060,41764,0,0,0,0,80934025,41764,112443161
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789303590114,1789303590703,589,False,583,480669116,2,22,2347,0,0,0,85923840,41764,0,0,0,0,80932513,41764,96465245
2,save at NativeMethodAccessorImpl.java:0,11,6,0,1789303590127,1789303590711,584,False,579,458142813,2,22,2347,0,0,0,85923808,41764,0,0,0,0,80925048,41764,97866143
2,save at NativeMethodAccessorImpl.java:0,12,7,0,1789303590130,1789303590715,585,False,579,457838020,1,22,2347,0,0,0,85923996,41764,0,0,0,0,80933187,41764,99716783
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789303590125,1789303590721,596,False,590,471636950,2,22,2347,0,0,0,85923548,41764,0,0,0,0,80935004,41764,99248602
2,save at NativeMethodAccessorImpl.java:0,13,8,0,1789303590703,1789303591222,519,False,511,433709092,3,20,2347,0,0,0,85923980,41764,0,0,0,0,80938669,41764,92066376
2,save at NativeMethodAccessorImpl.java:0,16,11,0,1789303590720,1789303591297,577,False,571,446807451,2,20,2347,0,0,0,85924780,41764,0,0,0,0,80930071,41764,92446451
2,save at NativeMethodAccessorImpl.java:0,15,10,0,1789303590713,1789303591297,584,False,578,452585347,2,20,2347,0,0,0,85923820,41764,0,0,0,0,80934085,41764,93912858
2,save at NativeMethodAccessorImpl.java:0,14,9,0,1789303590710,1789303591299,589,False,584,461964271,2,20,2347,0,0,0,85923928,41764,0,0,0,0,80935666,41764,96570869
2,save at NativeMethodAccessorImpl.java:0,17,12,0,1789303591221,1789303591690,469,False,464,429741466,2,12,2347,0,0,0,85924740,41764,0,0,0,0,80932061,41764,103925039
2,save at NativeMethodAccessorImpl.java:0,18,13,0,1789303591296,1789303591866,570,False,566,446302338,1,12,2347,0,0,0,85924732,41764,0,0,0,0,80936206,41764,93062798
2,save at NativeMethodAccessorImpl.java:0,19,14,0,1789303591296,1789303591867,571,False,565,441420106,1,12,2347,0,0,0,85924712,41764,0,0,0,0,80940007,41764,91687957
2,save at NativeMethodAccessorImpl.java:0,20,15,0,1789303591299,1789303591867,568,False,565,445742514,1,12,2347,0,0,0,85924644,41764,0,0,0,0,80934909,41764,93308330
2,save at NativeMethodAccessorImpl.java:0,21,16,0,1789303591690,1789303592172,482,False,477,424881599,1,0,2304,0,0,0,85924608,41764,0,0,0,0,80932296,41764,88107384
2,save at NativeMethodAccessorImpl.java:0,24,19,0,1789303591867,1789303592433,566,False,560,445095120,1,12,2347,0,0,0,85924504,41764,0,0,0,0,80940185,41764,94096355
2,save at NativeMethodAccessorImpl.java:0,22,17,0,1789303591866,1789303592435,569,False,565,447619997,1,12,2347,0,0,0,85924576,41764,0,0,0,0,80934750,41764,93681275
2,save at NativeMethodAccessorImpl.java:0,23,18,0,1789303591866,1789303592439,573,False,569,456196076,1,12,2347,0,0,0,85924540,41764,0,0,0,0,80928666,41764,95949907
2,save at NativeMethodAccessorImpl.java:0,25,20,0,1789303592171,1789303592642,471,False,467,433214890,1,12,2347,0,0,0,85924480,41764,0,0,0,0,80923293,41764,89096698
2,save at NativeMethodAccessorImpl.java:0,27,22,0,1789303592435,1789303592956,521,False,517,428233644,1,3,2347,0,0,0,85924464,41764,0,0,0,0,80931950,41764,90314397
2,save at NativeMethodAccessorImpl.java:0,26,21,0,1789303592432,1789303592980,548,False,543,459063344,2,3,2347,0,0,0,85924468,41764,0,0,0,0,80933445,41764,94359956
2,save at NativeMethodAccessorImpl.java:0,28,23,0,1789303592438,1789303592991,553,False,548,453191203,1,3,2347,0,0,0,85924444,41764,0,0,0,0,80930353,41764,94271963
2,save at NativeMethodAccessorImpl.java:0,29,24,0,1789303592642,1789303593100,458,False,454,428081078,1,3,2347,0,0,0,85924428,41764,0,0,0,0,80934845,41764,89396112
2,save at NativeMethodAccessorImpl.java:0,30,25,0,1789303592955,1789303593423,468,False,462,433347171,1,7,2347,0,0,0,85924396,41764,0,0,0,0,80940536,41764,88407972
2,save at NativeMethodAccessorImpl.java:0,31,26,0,1789303592980,1789303593452,472,False,468,432889653,1,7,2347,0,0,0,85924372,41764,0,0,0,0,80935005,41764,89431903
2,save at NativeMethodAccessorImpl.java:0,32,27,0,1789303592990,1789303593478,488,False,483,432678576,2,7,2347,0,0,0,85924360,41764,0,0,0,0,80928591,41764,91666131
2,save at NativeMethodAccessorImpl.java:0,33,28,0,1789303593099,1789303593560,461,False,457,424236189,1,10,2347,0,0,0,85924832,41764,0,0,0,0,80937139,41764,92076091
2,save at NativeMethodAccessorImpl.java:0,34,29,0,1789303593422,1789303593879,457,False,453,428072440,1,3,2347,0,0,0,85925280,41764,0,0,0,0,80930326,41764,89257151
2,save at NativeMethodAccessorImpl.java:0,35,30,0,1789303593452,1789303593947,495,False,489,432781181,1,11,2347,0,0,0,85925164,41764,0,0,0,0,80928997,41764,98434991
2,save at NativeMethodAccessorImpl.java:0,36,31,0,1789303593478,1789303593972,494,False,490,434238611,1,11,2347,0,0,0,85925140,41764,0,0,0,0,80939673,41764,95779639
2,save at NativeMethodAccessorImpl.java:0,37,32,0,1789303593560,1789303594047,487,False,483,428500502,1,8,2347,0,0,0,85925124,41764,0,0,0,0,80928789,41764,92003533
2,save at NativeMethodAccessorImpl.java:0,38,33,0,1789303593879,1789303594364,485,False,481,422950933,1,8,2347,0,0,0,85925116,41764,0,0,0,0,80931782,41764,86069168
2,save at NativeMethodAccessorImpl.java:0,39,34,0,1789303593946,1789303594458,512,False,507,460145150,1,0,2304,0,0,0,85925096,41764,0,0,0,0,80927788,41764,116364940
2,save at NativeMethodAccessorImpl.java:0,40,35,0,1789303593971,1789303594458,487,False,482,434394057,1,0,2304,0,0,0,85925056,41764,0,0,0,0,80933902,41764,93622144
2,save at NativeMethodAccessorImpl.java:0,41,36,0,1789303594046,1789303594525,479,False,474,429928904,1,3,2347,0,0,0,85925032,41764,0,0,0,0,80938498,41764,93504075
2,save at NativeMethodAccessorImpl.java:0,42,37,0,1789303594364,1789303594837,473,False,469,446713339,1,3,2347,0,0,0,85925016,41764,0,0,0,0,80939718,41764,90173626
2,save at NativeMethodAccessorImpl.java:0,43,38,0,1789303594457,1789303594927,470,False,466,429439733,1,3,2347,0,0,0,85924976,41764,0,0,0,0,80923944,41764,89714317
2,save at NativeMethodAccessorImpl.java:0,44,39,0,1789303594458,1789303594952,494,False,490,433414414,1,3,2347,0,0,0,85924936,41764,0,0,0,0,80933650,41764,96973807
2,save at NativeMethodAccessorImpl.java:0,45,40,0,1789303594524,1789303594983,459,False,452,426316321,1,4,2347,0,0,0,85924928,41764,0,0,0,0,80935370,41764,96634322
2,save at NativeMethodAccessorImpl.java:0,46,41,0,1789303594837,1789303595321,484,False,479,450156877,1,7,2347,0,0,0,85924908,41764,0,0,0,0,80933981,41764,97105016
2,save at NativeMethodAccessorImpl.java:0,47,42,0,1789303594927,1789303595392,465,False,460,431882327,1,7,2347,0,0,0,85924892,41764,0,0,0,0,80932116,41764,89758606
2,save at NativeMethodAccessorImpl.java:0,48,43,0,1789303594951,1789303595416,465,False,460,425974385,1,7,2347,0,0,0,85924852,41764,0,0,0,0,80935815,41764,89543710
2,save at NativeMethodAccessorImpl.java:0,49,44,0,1789303594982,1789303595445,463,False,459,430906088,1,3,2347,0,0,0,85924828,41764,0,0,0,0,80931629,41764,89633977
2,save at NativeMethodAccessorImpl.java:0,50,45,0,1789303595320,1789303595798,478,False,472,448015902,2,3,2347,0,0,0,85924796,41764,0,0,0,0,80935235,41764,91781546
2,save at NativeMethodAccessorImpl.java:0,51,46,0,1789303595392,1789303595849,457,False,453,429343447,1,3,2347,0,0,0,85924768,41764,0,0,0,0,80945269,41764,90885658
2,save at NativeMethodAccessorImpl.java:0,52,47,0,1789303595415,1789303595873,458,False,454,425111595,1,3,2347,0,0,0,85924744,41764,0,0,0,0,80939532,41764,90307226
2,save at NativeMethodAccessorImpl.java:0,53,48,0,1789303595445,1789303595899,454,False,451,424520914,1,3,2347,0,0,0,85924712,41764,0,0,0,0,80926132,41764,90756112
2,save at NativeMethodAccessorImpl.java:0,54,49,0,1789303595797,1789303596293,496,False,491,460824274,1,7,2347,0,0,0,85924684,41764,0,0,0,0,80928023,41764,94440068
2,save at NativeMethodAccessorImpl.java:0,55,50,0,1789303595848,1789303596315,467,False,463,429898663,1,7,2347,0,0,0,85924680,41764,0,0,0,0,80934777,41764,90879400
2,save at NativeMethodAccessorImpl.java:0,56,51,0,1789303595873,1789303596340,467,False,463,432127773,1,7,2347,0,0,0,85924648,41764,0,0,0,0,80930468,41764,89586550
