t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789303429.9365396,0.0,28871358,289963,0,180,248,89,347678,3538103,102135231,158424,1312,63639916,63996100,64771556,0,0,0,1,1,0,100241877,911735578,920028877,198479,199441,328,0,271160345,179841,1377640240,1358143013,0
1789303430.1869395,0.25,28871596,289981,0,180,248,89,347680,3538247,102135858,168300,1312,63629380,63979380,64771556,0,0,0,1,16,0,100243289,911763003,920056355,198479,199441,328,0,271163008,179914,1377652524,1358143013,0
1789303430.4374745,0.501,28871970,289997,0,180,248,89,347682,3538255,102136566,176956,1312,63613360,63958596,64771556,0,0,0,1,1,0,100244086,911868818,920162289,198479,199441,328,0,271168031,179951,1377662828,1358143013,0
1789303430.6878855,0.751,28872345,290020,0,180,248,89,347683,3538256,102137259,204324,1344,63584456,63915600,64771556,0,0,0,0,2,0,100245013,912063069,920356592,198479,199441,336,0,271172237,180159,1377690308,1358143013,0
1789303430.9382372,1.002,28872711,290043,0,180,248,89,347684,3538266,102139483,215008,1344,63568784,63894516,64771556,0,0,0,1,1,0,100245769,912202933,920496461,198479,199441,336,0,271175427,180250,1377701000,1358143013,0
1789303431.1886559,1.252,28873081,290066,0,180,248,89,347685,3538273,102141103,221416,1344,63558660,63881208,64771556,0,0,0,1,1,0,100246963,912387457,920681067,198479,199441,336,0,271177437,180256,1377707400,1358143013,0
1789303431.4390578,1.503,28873448,290087,0,180,248,89,347687,3538283,102142446,229688,1344,63537432,63855820,64771556,0,0,0,1,5,0,100247789,912550701,920844317,198479,199441,336,0,271182549,180256,1377715748,1358143013,0
1789303431.6894891,1.753,28873801,290096,0,180,248,89,347691,3538316,102146127,232692,1344,63533500,63850412,64771556,0,0,0,1,2,0,100248862,912571566,920865182,198479,199441,336,0,271198675,180264,1377718688,1358143045,0
1789303431.9401321,2.004,28874159,290109,0,180,248,89,347693,3538343,102148717,236124,1344,63507896,63823100,64771556,0,0,0,0,3,0,100249467,912646126,920939758,198479,199441,336,0,271206051,180265,1377722244,1358143045,0
1789303432.190817,2.254,28874524,290121,0,180,248,89,347695,3538365,102151915,239020,1344,63491972,63805732,64771556,0,0,0,1,3,0,100251518,912733394,921027026,198479,199441,336,0,271210623,180265,1377725008,1358143045,0
1789303432.4414964,2.505,28874885,290135,0,180,248,89,347697,3538386,102155823,242424,1344,63468012,63780016,64771556,0,0,0,0,2,0,100252237,912818708,921112352,198479,199441,336,0,271218573,180273,1377728420,1358143045,0
1789303432.6919432,2.755,28875237,290146,0,180,248,89,347699,3538419,102159401,245252,1344,63459436,63770012,64771556,0,0,0,0,2,0,100252766,912876253,921169907,198479,199441,336,0,271221285,180278,1377731308,1358143045,0
1789303432.9423938,3.006,28875594,290156,0,180,248,89,347701,3538449,102163984,247464,1344,63451884,63761356,64771556,0,0,0,0,2,0,100253392,912936069,921229724,198479,199441,336,0,271223129,180280,1377733460,1358143045,0
1789303433.192856,3.256,28875936,290169,0,180,248,89,347705,3538489,102169671,250032,1344,63441344,63749404,64771556,0,0,0,0,1,0,100254343,912964702,921258513,198479,199441,336,0,271227835,180284,1377736312,1358143049,0
1789303433.4817455,3.545,28876371,290194,0,180,248,89,347706,3538491,102170631,277888,1344,63426320,63718364,64771556,0,0,0,1,1,0,100255476,913207738,921501604,198479,199441,336,0,271231079,180512,1377765084,1358143049,0
