t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789303313.4701853,0.0,28729377,285726,0,180,244,89,341527,3504843,100300190,158344,1616,63349628,63706452,64771556,0,0,0,1,1,0,99862766,895748692,904030157,198478,199440,404,0,267508016,175435,1343139148,1350118409,0
1789303313.7206218,0.25,28729617,285744,0,180,244,89,341528,3504984,100300768,168112,1616,63348884,63699528,64771556,0,0,0,0,17,0,99863064,895776905,904058395,198478,199440,404,0,267510676,175508,1343151296,1350118409,0
1789303313.971144,0.501,28729988,285761,0,180,244,89,341529,3504993,100301487,176024,1616,63331400,63677572,64771556,0,0,0,1,1,0,99863758,895872027,904153541,198478,199440,404,0,267515664,175544,1343161096,1350118409,0
1789303314.2215729,0.751,28730364,285783,0,180,244,89,341531,3504994,100302200,204008,1648,63327200,63658996,64771556,0,0,0,1,1,0,99864512,896035051,904316703,198478,199440,412,0,267519829,175747,1343189012,1350118409,0
1789303314.4719262,1.002,28730729,285807,0,180,244,89,341532,3505003,100304383,214664,1648,63315080,63641564,64771556,0,0,0,1,1,0,99865278,896184917,904466588,198478,199440,412,0,267523059,175844,1343199596,1350118409,0
1789303314.7222583,1.252,28731099,285829,0,180,244,89,341533,3505009,100306075,221252,1648,63303880,63627100,64771556,0,0,0,1,1,0,99866403,896367920,904649601,198478,199440,412,0,267525098,175850,1343206184,1350118409,0
1789303314.9725738,1.502,28731466,285850,0,180,244,89,341534,3505018,100307314,229656,1648,63284748,63603728,64771556,0,0,0,0,1,0,99867205,896533346,904815052,198478,199440,412,0,267530041,175850,1343214572,1350118409,0
1789303315.2229173,1.753,28731821,285860,0,180,244,89,341539,3505048,100311004,232616,1648,63288736,63606176,64771556,0,0,0,0,4,0,99867543,896554539,904836253,198478,199440,412,0,267545916,175858,1343217540,1350118441,0
1789303315.4733438,2.003,28732178,285873,0,180,244,89,341541,3505076,100313078,236064,1648,63262780,63578496,64771556,0,0,0,1,1,0,99868087,896630605,904912329,198478,199440,412,0,267553258,175859,1343220992,1350118441,0
1789303315.7237914,2.254,28732543,285885,0,180,244,89,341542,3505097,100315614,238932,1648,63244268,63558552,64771556,0,0,0,1,1,0,99869397,896700823,904982548,198478,199440,412,0,267558065,175859,1343223856,1350118441,0
1789303315.9742172,2.504,28732903,285899,0,180,244,89,341545,3505118,100318961,242216,1648,63218752,63531348,64771556,0,0,0,1,1,0,99870327,896784800,905066547,198478,199440,412,0,267565962,175867,1343227296,1350118441,0
1789303316.224672,2.754,28733254,285910,0,180,244,89,341547,3505155,100322954,245280,1648,63215856,63526916,64771556,0,0,0,0,2,0,99870843,896840899,905122646,198478,199440,412,0,267568308,175872,1343230220,1350118441,0
1789303316.4753604,3.005,28733613,285921,0,180,244,89,341548,3505184,100327497,247636,1648,63218888,63528768,64771556,0,0,0,1,1,0,99871528,896913363,905195113,198478,199440,412,0,267570156,175875,1343232572,1350118441,0
1789303316.7259362,3.256,28733956,285932,0,180,244,89,341552,3505226,100332949,250008,1648,63199840,63508536,64771556,0,0,0,0,1,0,99871955,896960387,905242137,198478,199440,412,0,267574980,175878,1343234948,1350118445,0
1789303317.0181663,3.548,28734397,285957,0,180,244,89,341554,3505228,100333869,277736,1648,63184592,63477552,64771556,0,0,0,1,1,0,99873234,897204350,905486190,198478,199440,412,0,267578229,176106,1343263720,1350118445,0
1789303317.2706006,3.8,28734772,285976,0,180,244,89,341556,3505233,100334502,291888,1648,63178852,63457248,64771556,0,0,0,1,1,0,99873976,897391152,905673007,198478,199440,412,0,267582175,176214,1343278076,1350118445,0
1789303317.5209227,4.051,28735148,285993,0,180,244,89,341557,3505240,100335021,303508,1648,63172784,63439460,64771556,0,0,0,1,1,0,99874882,897562811,905844667,198478,199440,412,0,267586179,176308,1343289876,1350118445,0
1789303317.771308,4.301,28735514,286008,0,180,244,89,341558,3505256,100336707,310000,1648,63163260,63423260,64771556,0,0,0,1,1,0,99875841,897644218,905926073,198478,199440,412,0,267590087,176320,1343296476,1350118445,0
1789303318.0217335,4.552,28735873,286022,0,180,244,89,341560,3505282,100338592,313168,1648,63156648,63413472,64771556,0,0,0,1,1,0,99876430,897729169,906011031,198478,199440,412,0,267593682,176324,1343299648,1350118445,0
1789303318.2721505,4.802,28736201,286035,0,180,244,89,341563,3505338,100340658,315788,1648,63095736,63349948,64771556,0,0,0,1,3,0,99876780,897773442,906055304,198478,199440,412,0,267612467,176324,1343302348,1350118445,0
1789303318.5226316,5.052,28736553,286045,0,180,244,89,341565,3505373,100342791,318572,1648,63073748,63325156,64771556,0,0,0,0,2,0,99877379,897836250,906118124,198478,199440,412,0,267619343,176324,1343305048,1350118445,0
1789303318.7730746,5.303,28736905,286056,0,180,244,89,341568,3505407,100347572,322032,1648,63054492,63302344,64771556,0,0,0,0,3,0,99877937,897891720,906173635,198478,199440,412,0,267625433,176327,1343308524,1350118445,0
1789303319.0234768,5.553,28737264,286067,0,180,244,89,341570,3505436,100348956,324944,1648,63059328,63304316,64771556,0,0,0,1,1,0,99878853,897948025,906229943,198478,199440,412,0,267628043,176328,1343311500,1350118445,0
1789303319.273963,5.804,28737615,286076,0,180,245,89,341572,3505473,100350911,327916,1748,63042444,63284440,64771556,0,0,0,1,1,0,99879235,897997255,906279183,198478,199440,437,0,267631819,176329,1343314420,1350118445,0
1789303319.5243917,6.054,28737972,286088,0,180,245,89,341573,3505503,100352585,331728,1748,63031168,63269312,64771556,0,0,0,0,3,0,99879704,898065594,906347528,198478,199440,437,0,267635538,176329,1343318112,1350118445,0
1789303319.7748172,6.305,28738321,286092,0,180,245,89,341575,3505547,100355723,333452,1748,63022204,63258628,64771556,0,0,0,0,2,0,99880057,898088542,906370477,198478,199440,437,0,267640120,176329,1343319836,1350118445,0
1789303320.0251784,6.555,28738640,286094,0,180,245,89,341578,3505625,100361458,334084,1748,63013416,63249276,64771556,0,0,0,0,3,0,99880918,898092996,906374930,198478,199440,437,0,267644817,176331,1343320468,1350118445,0
1789303320.2756407,6.805,28738969,286098,0,180,245,89,341580,3505688,100366659,335032,1748,63021900,63256816,64771556,0,0,0,0,2,0,99881511,898105712,906387646,198478,199440,437,0,267646954,176334,1343321416,1350118445,0
1789303320.5260198,7.056,28739343,286112,0,180,245,89,341580,3505699,100367748,339216,1748,63018420,63249156,64771556,0,0,0,0,2,0,99882305,898243436,906525379,198478,199440,437,0,267648220,176334,1343325600,1350118445,0
1789303320.7763448,7.306,28739714,286119,0,180,245,89,341581,3505719,100368820,341116,1748,63000356,63229108,64771556,0,0,0,0,2,0,99882781,898305261,906587204,198478,199440,437,0,267651462,176334,1343327524,1350118445,0
1789303321.0267587,7.557,28740068,286129,0,180,245,89,341582,3505752,100371142,343780,1748,62983736,63209820,64771556,0,0,0,0,3,0,99883441,898360700,906642647,198478,199440,437,0,267657206,176334,1343330164,1350118445,0
1789303321.277139,7.807,28740438,286142,0,180,245,89,341583,3505768,100371696,347216,1748,62967416,63190068,64771556,0,0,0,0,2,0,99884086,898467774,906749732,198478,199440,437,0,267662940,176334,1343333640,1350118445,0
1789303321.5275147,8.057,28740797,286147,0,180,245,89,341585,3505803,100373439,348604,1748,62939088,63160344,64771556,0,0,0,1,4,0,99884346,898498864,906780822,198478,199440,437,0,267668422,176334,1343335012,1350118445,0
1789303321.7781444,8.308,28741159,286156,0,180,245,89,341587,3505830,100374528,350584,1748,62912948,63132224,64771556,0,0,0,0,2,0,99885185,898558842,906840807,198478,199440,437,0,267675781,176334,1343337004,1350118445,0
1789303322.0285873,8.558,28741502,286165,0,180,245,89,341590,3505875,100378573,352920,1748,62893904,63109708,64771556,0,0,0,0,5,0,99887032,898597827,906879796,198478,199440,437,0,267682025,176334,1343340444,1350118445,0
1789303322.2790382,8.809,28741831,286168,0,180,245,89,341594,3505936,100383407,354492,1904,62865048,63079272,64771556,0,0,0,0,5,0,99887741,898606442,906888411,198478,199440,476,0,267693786,176334,1343341860,1350118445,0
1789303322.5295208,9.059,28742162,286177,0,180,245,89,341596,3505994,100385607,356428,1904,62822380,63034708,64771556,0,0,0,1,1,0,99888109,898653587,906935556,198478,199440,476,0,267702970,176334,1343343796,1350118445,0
1789303322.7801607,9.31,28742519,286186,0,180,245,89,341599,3506023,100388278,358880,1912,62795668,63005536,64771556,0,0,0,0,3,0,99888447,898684249,906966224,198478,199440,478,0,267712512,176334,1343346316,1350118445,0
1789303323.0306282,9.56,28742857,286189,0,180,245,89,341603,3506077,100393905,360164,1912,62909328,63117884,64771556,0,0,0,0,2,0,99888806,898697585,906979560,198478,199440,478,0,267721265,176334,1343347528,1350118445,0
1789303323.281201,9.811,28743219,286195,0,180,245,89,341605,3506106,100398052,361916,1912,62885884,63092696,64771556,0,0,0,0,4,0,99889243,898739247,907021237,198478,199440,478,0,267727289,176334,1343349276,1350118445,0
1789303323.5316353,10.061,28743581,286201,0,180,245,89,341608,3506134,100400973,363672,1912,62864952,63069992,64771556,0,0,0,0,4,0,99889595,898779065,907061054,198478,199440,478,0,267733799,176334,1343351032,1350118445,0
1789303323.7819982,10.312,28743914,286210,0,180,245,89,341610,3506189,100406405,366112,1920,62859504,63062160,64771556,0,0,0,0,5,0,99890135,898811394,907093383,198478,199440,480,0,267735621,176335,1343353528,1350118445,0
1789303324.0324695,10.562,28744222,286211,0,180,245,89,341612,3506277,100414380,367056,1976,62872248,63073904,64771556,0,0,0,0,6,0,99890911,898816096,907098085,198478,199440,494,0,267738090,176335,1343354408,1350118505,0
1789303324.2829292,10.813,28744485,286212,0,180,245,89,341621,3506401,100424020,367244,1988,62765556,62966764,64771556,0,0,0,0,9,0,99891402,898816692,907098681,198478,199440,497,0,267760146,176335,1343354576,1350118505,0
1789303324.5334144,11.063,28744675,286217,0,180,245,89,341632,3506593,100433490,369008,2236,62714520,62914028,64771556,0,0,0,0,3,0,99897766,898822581,907104570,198478,199440,559,0,267774901,176335,1343356100,1350118505,0
1789303324.7839584,11.314,28744893,286237,0,180,245,89,341653,3506731,100442095,538012,2236,62419916,62449972,64771556,0,0,0,0,16,0,99898420,898839139,907121144,198478,199440,559,0,267858942,176354,1343525552,1350118505,0
1789303325.0346284,11.564,28744999,286250,0,180,245,89,341675,3506989,100446376,652020,114468,62348568,62263852,64771556,0,0,0,1,9,0,99906187,898847992,907130450,198478,199440,28617,0,267902917,176407,1343530660,1350118505,0
1789303325.2850528,11.815,28745216,286281,0,180,245,89,341701,3507112,100453985,959016,248680,62039848,61646296,64771556,0,0,0,1,8,0,99907043,898874848,907157526,198478,199440,62170,0,267975978,176445,1343704024,1350118505,0
1789303325.5355837,12.065,28745438,286310,0,180,245,89,341738,3507219,100464069,1209104,328540,61761516,61115968,64771556,0,0,0,0,9,0,99908219,898904493,907187399,198478,199440,82135,0,268004587,176451,1343874356,1350118505,0
1789303325.7863016,12.316,28745690,286334,0,180,245,89,341761,3507315,100472297,1512340,464104,61668468,60717392,64771556,0,0,0,0,8,0,99908769,898928529,907211468,198478,199440,116026,0,268054504,176481,1344044464,1350118509,0
1789303326.0368037,12.567,28745936,286344,0,180,245,89,341791,3507428,100475418,1764992,638624,61427176,60221052,64771556,0,0,0,2,5,0,99909178,898934618,907217696,198478,199440,159656,0,268060826,176481,1344123172,1350118509,0
1789303326.287285,12.817,28746203,286360,0,180,245,89,341811,3507524,100482568,2076124,773500,61390596,59872236,64771556,0,0,0,2,3,0,99909662,898960070,907243152,198478,199440,193375,0,268087322,176481,1344299780,1350118509,0
1789303326.537789,13.068,28746496,286368,0,180,245,89,341840,3507594,100485321,2384684,958888,61239392,59409184,64771556,0,0,0,0,5,0,99910386,898980761,907263843,198478,199440,239826,0,268092561,176481,1344421672,1350118509,0
1789303326.7884955,13.318,28746778,286383,0,180,245,89,341858,3507678,100491249,2732412,1103120,61333452,59154164,64771556,0,0,0,2,4,0,99910947,899010581,907293664,198478,199440,275780,0,268103737,176481,1344626424,1350118509,0
1789303327.0389674,13.569,28747064,286389,0,180,245,89,341890,3507753,100496761,3041140,1280368,61136896,58646436,64771556,0,0,0,0,8,0,99911619,899024646,907307728,198478,199440,320092,0,268135341,176481,1344756968,1350118509,0
1789303327.2894747,13.819,28747323,286397,0,180,245,89,341914,3507861,100501797,3439112,1426980,61495932,58605680,64771556,0,0,0,0,7,0,99912120,899038624,907321717,198478,199440,356745,0,268147565,176481,1345008636,1350118509,0
1789303327.5401835,14.07,28747612,286399,0,180,245,89,341952,3507932,100507886,3731140,1603296,61239784,58055452,64771556,0,0,0,0,6,0,99912517,899045028,907328121,198478,199440,400824,0,268189739,176481,1345124224,1350118509,0
1789303327.7906857,14.321,28747884,286406,0,180,245,89,341971,3508030,100515236,4101032,1749152,61274152,57717864,64771556,0,0,0,0,5,0,99913050,899056244,907339337,198478,199440,437389,0,268218215,176481,1345348172,1350118509,0
