t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789303459.3541214,0.0,28907214,291043,0,180,248,90,349212,3546519,102591708,158508,1320,63564084,63919672,64771556,0,0,0,1,1,0,100329776,915754146,924050965,198480,199442,330,0,271996989,180960,1386271032,1360368973,0
1789303459.6045702,0.25,28907454,291060,0,180,248,90,349213,3546659,102592299,168308,1320,63548660,63898296,64771556,0,0,0,0,17,0,100330094,915781885,924078756,198480,199442,330,0,271999652,181033,1386283304,1360368973,0
1789303459.855138,0.501,28907826,291077,0,180,248,90,349215,3546668,102593005,176660,1320,63532536,63877332,64771556,0,0,0,1,1,0,100330856,915876899,924173816,198480,199442,330,0,272004667,181069,1386293300,1360368973,0
1789303460.1055887,0.751,28908201,291099,0,180,248,90,349217,3546669,102593722,204332,1352,63520348,63851104,64771556,0,0,0,1,1,0,100331636,916041239,924338238,198480,199442,338,0,272008830,181277,1386321092,1360368973,0
1789303460.3559678,1.002,28908566,291123,0,180,248,90,349218,3546678,102596035,214956,1352,63524604,63850040,64771556,0,0,0,1,1,0,100332453,916182666,924479724,198480,199442,338,0,272012036,181369,1386331732,1360368973,0
1789303460.606344,1.252,28908936,291145,0,180,248,90,349219,3546685,102597674,221340,1352,63513984,63836236,64771556,0,0,0,1,1,0,100333410,916371813,924668884,198480,199442,338,0,272014075,181375,1386338116,1360368973,0
1789303460.8566766,1.503,28909303,291166,0,180,248,90,349222,3546694,102598927,229696,1352,63491332,63809384,64771556,0,0,0,0,1,0,100334236,916535561,924832631,198480,199442,338,0,272019165,181375,1386346456,1360368973,0
1789303461.1070077,1.753,28909657,291176,0,180,248,90,349227,3546724,102602450,232712,1384,63493412,63809808,64771556,0,0,0,1,3,0,100334824,916556520,924853665,198480,199442,346,0,272035206,181383,1386349732,1360369005,0
1789303461.357469,2.003,28910014,291189,0,180,248,90,349230,3546751,102604453,236164,1384,63468000,63782672,64771556,0,0,0,0,2,0,100335369,916632117,924929381,198480,199442,346,0,272042504,181384,1386353184,1360369005,0
1789303461.6079206,2.254,28910379,291201,0,180,248,90,349231,3546773,102606946,239028,1384,63448264,63761496,64771556,0,0,0,1,1,0,100336081,916709375,925006672,198480,199442,346,0,272047248,181384,1386356044,1360369005,0
1789303461.8583715,2.504,28910739,291215,0,180,248,90,349234,3546796,102610330,242312,1384,63421216,63732768,64771556,0,0,0,1,1,0,100336714,916790773,925088133,198480,199442,346,0,272055113,181392,1386359448,1360369005,0
1789303462.1088367,2.755,28911091,291226,0,180,248,90,349236,3546830,102613892,245284,1352,63421668,63731724,64771556,0,0,0,0,3,0,100337216,916848670,925146033,198480,199442,338,0,272057193,181397,1386362360,1360369005,0
1789303462.3592932,3.005,28911448,291236,0,180,248,90,349238,3546859,102618669,247412,1352,63421700,63730708,64771556,0,0,0,0,2,0,100337805,916905543,925202915,198480,199442,338,0,272059124,181399,1386364476,1360369005,0
1789303462.609776,3.256,28911790,291248,0,180,248,90,349241,3546898,102624625,249760,1352,63406004,63713852,64771556,0,0,0,1,1,0,100338403,916940035,925237512,198480,199442,338,0,272063902,181403,1386366960,1360369005,0
1789303463.0087426,3.655,28912399,291274,0,180,248,90,349242,3546901,102625628,277776,1352,63388820,63680668,64771556,0,0,0,1,1,0,100339458,917181834,925479331,198480,199442,338,0,272067196,181631,1386395868,1360369009,0
1789303463.2607558,3.907,28912775,291293,0,180,248,90,349244,3546906,102626315,291984,1352,63388612,63666084,64771556,0,0,0,1,1,0,100340335,917368459,925666061,198480,199442,338,0,272071126,181739,1386410024,1360369009,0
1789303463.5113099,4.157,28913152,291309,0,180,248,90,349245,3546912,102626850,303796,1352,63378088,63643616,64771556,0,0,0,1,1,0,100341293,917536987,925834599,198480,199442,338,0,272075269,181833,1386421972,1360369009,0
1789303463.7630453,4.409,28913520,291324,0,180,249,90,349247,3546928,102628387,310184,1352,63364956,63623908,64771556,0,0,0,1,1,0,100342088,917615163,925912778,198480,199442,338,0,272079138,181845,1386428500,1360369009,0
1789303464.0134902,4.659,28913878,291338,0,180,249,90,349248,3546955,102629771,313148,1352,63354000,63610012,64771556,0,0,0,1,1,0,100342627,917680391,925978059,198480,199442,338,0,272082552,181849,1386431480,1360369009,0
1789303464.2639503,4.91,28914210,291350,0,180,249,90,349251,3547008,102631153,315768,1352,63298736,63552112,64771556,0,0,0,1,3,0,100343015,917725574,926023246,198480,199442,338,0,272101006,181849,1386434088,1360369009,0
1789303464.5144224,5.16,28914561,291360,0,180,249,90,349253,3547045,102632658,318440,1352,63277732,63528404,64771556,0,0,0,1,4,0,100343556,917787451,926085129,198480,199442,338,0,272108319,181849,1386436796,1360369009,0
1789303464.7649124,5.411,28914919,291371,0,180,249,90,349254,3547074,102636220,321824,1352,63257216,63504460,64771556,0,0,0,0,5,0,100345073,917852916,926150600,198480,199442,338,0,272114583,181852,1386440304,1360369009,0
1789303465.0153608,5.661,28915270,291381,0,180,249,90,349256,3547111,102638018,324784,1352,63247784,63492116,64771556,0,0,0,1,1,0,100345643,917881429,926179178,198480,199442,338,0,272116636,181852,1386443132,1360369009,0
1789303465.2657907,5.912,28915619,291389,0,180,249,90,349258,3547149,102640164,326956,1452,63234804,63476916,64771556,0,0,0,1,1,0,100346021,917922331,926220083,198480,199442,363,0,272120341,181854,1386445232,1360369009,0
1789303465.5162315,6.162,28915979,291401,0,180,249,90,349260,3547175,102642171,330648,1452,63222280,63460684,64771556,0,0,0,0,2,0,100346541,917994918,926292670,198480,199442,363,0,272124105,181854,1386448872,1360369009,0
1789303465.7667115,6.413,28916330,291408,0,180,249,90,349260,3547217,102643380,333140,1452,63200496,63436432,64771556,0,0,0,0,2,0,100346778,918032132,926329884,198480,199442,363,0,272129198,181854,1386451480,1360369009,0
1789303466.0171866,6.663,28916653,291409,0,180,249,90,349264,3547285,102653316,333620,1452,63187868,63423304,64771556,0,0,0,0,2,0,100347973,918035567,926333319,198480,199442,363,0,272133707,181854,1386451844,1360369009,0
1789303466.2676625,6.914,28916992,291412,0,180,249,90,349266,3547341,102658315,334540,1452,63192456,63426976,64771556,0,0,0,0,3,0,100348464,918047657,926345415,198480,199442,363,0,272136783,181856,1386452764,1360369009,0
1789303466.51813,7.164,28917332,291421,0,180,249,90,349268,3547388,102662129,336800,1452,63184768,63417056,64771556,0,0,0,1,1,0,100349032,918096785,926394543,198480,199442,363,0,272139935,181856,1386455060,1360369009,0
1789303466.7685935,7.414,28917706,291432,0,180,249,90,349269,3547403,102663155,340352,1452,63178168,63406900,64771556,0,0,0,1,1,0,100349653,918204314,926502090,198480,199442,363,0,272141444,181856,1386458580,1360369009,0
1789303467.0189412,7.665,28918076,291440,0,180,249,90,349271,3547422,102664502,342260,1452,63166748,63393572,64771556,0,0,0,0,2,0,100350180,918273834,926571610,198480,199442,363,0,272144595,181856,1386460484,1360369009,0
1789303467.2693777,7.915,28918422,291449,0,180,249,90,349272,3547466,102666676,345056,1452,63153956,63377960,64771556,0,0,0,1,1,0,100351012,918309429,926607205,198480,199442,363,0,272150507,181856,1386463296,1360369009,0
1789303467.5197785,8.166,28918797,291462,0,180,249,90,349273,3547478,102667330,348244,1452,63135240,63356044,64771556,0,0,0,0,2,0,100351760,918427255,926725042,198480,199442,363,0,272155372,181856,1386466484,1360369009,0
1789303467.7701876,8.416,28919148,291467,0,180,249,90,349275,3547519,102669188,349356,1452,63113380,63333068,64771556,0,0,0,0,3,0,100351993,918454358,926752145,198480,199442,363,0,272160467,181856,1386467592,1360369009,0
1789303468.0205925,8.666,28919517,291476,0,180,249,90,349277,3547539,102670112,351412,1452,63096596,63313856,64771556,0,0,0,0,5,0,100352506,918531583,926829465,198480,199442,363,0,272166182,181856,1386469668,1360369009,0
1789303468.2709577,8.917,28919854,291482,0,180,249,90,349280,3547592,102675105,353248,1452,63080140,63294812,64771556,0,0,0,0,5,0,100353238,918555127,926853009,198480,199442,363,0,272172797,181856,1386472604,1360369009,0
1789303468.521391,9.167,28920167,291486,0,180,249,90,349285,3547671,102679285,354692,1608,63008860,63222112,64771556,0,0,0,1,4,0,100353528,918561083,926858968,198480,199442,402,0,272186572,181856,1386473892,1360369009,0
1789303468.771881,9.418,28920518,291496,0,180,249,90,349286,3547706,102680813,357484,1608,62981648,63192144,64771556,0,0,0,0,3,0,100353877,918608075,926905985,198480,199442,402,0,272193708,181856,1386476732,1360369009,0
1789303469.022356,9.668,28920872,291502,0,180,249,90,349291,3547740,102683728,359216,1616,63077068,63285812,64771556,0,0,0,0,3,0,100354123,918619023,926916933,198480,199442,404,0,272203563,181856,1386478436,1360369009,0
1789303469.2728405,9.919,28921203,291506,0,180,249,90,349295,3547801,102690087,360656,1616,63058516,63265776,64771556,0,0,0,1,1,0,100355241,918633235,926931148,198480,199442,404,0,272211966,181856,1386479868,1360369009,0
1789303469.523305,10.169,28921572,291512,0,180,249,90,349296,3547826,102693919,362224,1616,63033784,63239476,64771556,0,0,0,0,2,0,100355636,918681211,926979123,198480,199442,404,0,272217979,181856,1386481496,1360369009,0
1789303469.7738018,10.42,28921926,291517,0,180,249,90,349299,3547865,102697458,363944,1616,63011652,63215612,64771556,0,0,0,0,9,0,100355993,918710995,927008908,198480,199442,404,0,272223888,181856,1386483176,1360369009,0
1789303470.0244792,10.67,28922239,291526,0,180,249,90,349301,3547941,102702827,366548,1636,63002840,63204240,64771556,0,0,0,1,7,0,100356444,918727460,927025373,198480,199442,409,0,272228276,181857,1386485720,1360369009,0
1789303470.2749488,10.921,28922471,291528,0,180,249,90,349308,3548095,102716721,367488,1688,62981032,63181268,64771556,0,0,0,0,8,0,100357124,918728555,927026507,198480,199442,422,0,272235731,181857,1386486584,1360369069,0
1789303470.5254464,11.171,28922695,291532,0,180,249,90,349322,3548251,102728449,369116,1932,62882832,63081380,64771556,0,0,0,1,1,0,100362153,918734690,927032642,198480,199442,483,0,272259030,181857,1386487968,1360369069,0
1789303470.7759383,11.422,28922914,291552,0,180,249,90,349339,3548392,102735579,537624,1932,62635244,62665268,64771556,0,0,0,0,12,0,100362717,918750590,927048544,198480,199442,483,0,272327775,181857,1386656476,1360369069,0
1789303471.0266764,11.673,28923048,291552,0,180,249,90,349362,3548634,102740755,679736,117588,62433432,62321352,64771556,0,0,0,0,16,0,100363299,918751208,927049165,198480,199442,29397,0,272390730,181860,1386682932,1360369069,0
1789303471.2773478,11.923,28923285,291558,0,180,249,90,349387,3548764,102746523,997836,294148,62200380,61768824,64771556,0,0,0,0,8,0,100364821,918757291,927055285,198480,199442,73537,0,272448734,181860,1386824224,1360369069,0
1789303471.5278573,12.174,28923529,291564,0,180,249,90,349424,3548872,102758671,1247572,376832,61922748,61240224,64771556,0,0,0,0,7,0,100365637,918761512,927059593,198480,199442,94312,0,272478602,181860,1386991872,1360369069,0
1789303471.7786233,12.425,28923784,291578,0,180,249,90,349446,3548978,102765612,1558148,519448,61776200,60781028,64771556,0,0,0,0,7,0,100366128,918779595,927077681,198480,199442,129862,0,272529679,181860,1387159520,1360369069,0
1789303472.0294151,12.675,28924008,291583,0,180,249,90,349485,3549110,102773742,1846208,640208,61449824,60164872,64771556,0,0,0,0,5,0,100367277,918784907,927083050,198480,199442,160052,0,272563130,181860,1387327072,1360369069,0
1789303472.279989,12.926,28924290,291593,0,180,249,90,349498,3549202,102778059,2194224,819924,61504156,59869316,64771556,0,0,0,0,5,0,100367952,918804088,927102230,198480,199442,204981,0,272566133,181860,1387494816,1360369069,0
1789303472.5304778,13.176,28924573,291597,0,180,249,90,349534,3549278,102782945,2497808,965536,61271680,59331080,64771556,0,0,0,0,7,0,100368450,918813415,927111557,198480,199442,241384,0,272586138,181860,1387653408,1360369069,0
1789303472.7809663,13.427,28924867,291601,0,180,249,90,349547,3549367,102785538,2870988,1161660,61410848,59094908,64771556,0,0,0,0,5,0,100368825,918822409,927120555,198480,199442,290415,0,272586477,181860,1387830112,1360369069,0
1789303473.0314522,13.677,28925137,291606,0,180,249,90,349583,3549453,102791085,3168992,1292368,61103272,58487344,64771556,0,0,0,0,7,0,100369505,918831468,927129615,198480,199442,323092,0,272621696,181860,1387997760,1360369069,0
1789303473.2819157,13.928,28925433,291611,0,180,249,90,349594,3549539,102793885,3549880,1505120,61225404,58225968,64771556,0,0,0,0,5,0,100369856,918843629,927141776,198480,199442,376280,0,272622293,181860,1388165408,1360369069,0
1789303473.5323288,14.178,28925714,291616,0,180,249,90,349628,3549617,102799950,3854744,1642408,61035984,57729948,64771556,0,0,0,0,6,0,100370410,918853961,927152109,198480,199442,410705,0,272639886,181860,1388333056,1360369069,0
1789303473.7828212,14.429,28926014,291621,0,180,249,90,349643,3549696,102802447,4247364,1867052,61177760,57476364,64771556,0,0,0,0,5,0,100370809,918866850,927164998,198480,199442,466864,0,272640590,181860,1388500704,1360369069,0
1789303474.03329,14.679,28926278,291626,0,180,249,90,349678,3549790,102809248,4534144,1986548,60978476,56988364,64771556,0,0,0,0,5,0,100371365,918873618,927171768,198480,199442,496637,0,272662497,181860,1388668548,1360369069,0
1789303474.283777,14.93,28926572,291631,0,180,249,90,349698,3549870,102811871,4918328,2203328,60987568,56610752,64771556,0,0,0,0,6,0,100371765,918886319,927184468,198480,199442,550832,0,272664610,181860,1388836000,1360369069,0
1789303474.5342388,15.18,28926847,291637,0,180,249,90,349727,3549959,102816479,5253292,2326104,60874964,56161700,64771556,0,0,0,0,5,0,100372681,918897247,927195398,198480,199442,581526,0,272689194,181860,1389048332,1360369069,0
1789303474.7847784,15.431,28927133,291642,0,180,249,90,349753,3550039,102820408,5591952,2526096,60829360,55774852,64771556,0,0,0,1,4,0,100373182,918907371,927205523,198480,199442,631524,0,272693132,181860,1389186996,1360369069,0
1789303475.0352726,15.681,28927409,291649,0,180,249,90,349775,3550132,102825308,5994000,2656856,60850104,55391216,64771556,0,0,0,0,5,0,100373698,918921578,927219731,198480,199442,664315,0,272695487,181860,1389458312,1360369069,0
1789303475.2857792,15.932,28927682,291655,0,180,249,90,349802,3550226,102828759,6295304,2847808,60768824,55006132,64771556,0,0,0,1,6,0,100374095,918930026,927228222,198480,199442,711952,0,272700578,181860,1389569488,1360369649,0
1789303475.536274,16.182,28927936,291674,0,180,249,90,349817,3550338,102832538,6643628,2975008,60823960,54711188,64771556,0,0,0,1,4,0,100374645,918962267,927260464,198480,199442,743752,0,272704582,181860,1389790152,1360369649,0
1789303475.7867725,16.433,28928221,291680,0,180,249,90,349843,3550423,102835949,6951828,3160508,60737784,54314000,64771556,0,0,0,0,5,0,100375082,918975381,927273581,198480,199442,790127,0,272709116,181860,1389913748,1360369649,0
