t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789303757.0622942,0.0,29271302,302059,0,180,256,90,364665,3630432,107166561,158596,1772,63376000,63731960,64771556,0,300,0,1,1,0,101263354,955662612,963985339,198485,199447,443,75,280614415,191941,1472524060,1379845877,0
1789303757.31275,0.25,29271545,302077,0,180,256,90,364667,3630570,107167168,168316,1492,63395332,63745640,64771556,0,0,0,0,17,0,101264684,955690817,964013610,198485,199447,373,0,280617070,192014,1472536204,1379845877,0
1789303757.5633397,0.501,29271914,302093,0,180,256,90,364669,3630584,107167878,174884,1492,63381132,63727444,64771556,0,0,0,1,1,0,101265305,955782313,964105145,198485,199447,373,0,280621985,192047,1472544768,1379845877,0
1789303757.8137996,0.752,29272289,302116,0,180,256,90,364670,3630585,107168561,204152,1524,63351512,63682932,64771556,0,0,0,1,1,0,101266067,955937286,964260160,198485,199447,381,0,280626208,192250,1472573892,1379845877,0
1789303758.0641844,1.002,29272654,302139,0,180,256,90,364672,3630594,107170717,214400,1524,63344608,63670876,64771556,0,0,0,0,2,0,101266878,956079079,964402054,198485,199447,381,0,280629389,192350,1472584240,1379845877,0
1789303758.3145843,1.252,29273025,302161,0,180,256,90,364673,3630601,107172448,221148,1524,63341384,63664300,64771556,0,0,0,0,2,0,101267841,956260789,964583764,198485,199447,381,0,280631412,192356,1472590860,1379845877,0
1789303758.5649114,1.503,29273391,302183,0,180,256,90,364675,3630611,107173695,229640,1524,63328224,63646884,64771556,0,0,0,0,2,0,101268626,956425317,964748325,198485,199447,381,0,280636582,192356,1472599392,1379845877,0
1789303758.8152566,1.753,29273748,302192,0,180,256,90,364679,3630640,107177451,232660,1524,63328900,63646020,64771556,0,0,0,0,4,0,101269405,956449582,964772595,198485,199447,381,0,280651444,192364,1472602372,1379845909,0
1789303759.0656927,2.003,29274102,302205,0,180,256,90,364682,3630671,107180013,235832,1524,63312248,63627792,64771556,0,0,0,0,3,0,101270206,956502252,964825313,198485,199447,381,0,280659563,192365,1472605664,1379845909,0
1789303759.3160908,2.254,29274467,302216,0,180,256,90,364684,3630692,107183021,238836,1524,63299612,63613640,64771556,0,0,0,1,2,0,101270873,956584076,964907137,198485,199447,381,0,280664498,192365,1472608560,1379845909,0
