t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789304054.2006912,0.0,29634132,312932,0,180,264,91,380228,3714746,111737634,158912,1548,63578268,63933700,64771556,0,0,0,1,1,0,102200215,995404789,1003757978,198492,199454,387,0,289787352,202852,1558764896,1399237893,0
1789304054.4511256,0.25,29634369,312949,0,180,264,91,380230,3714892,111738272,168588,1548,63562012,63911888,64771556,0,0,0,1,1,0,102200418,995431661,1003784855,198492,199454,387,0,289790019,202925,1558777212,1399237893,0
1789304054.70182,0.501,29634744,312966,0,180,264,91,380232,3714898,111738948,176684,1548,63548684,63894088,64771556,0,0,0,1,1,0,102201024,995539712,1003892919,198492,199454,387,0,289794981,202960,1558786652,1399237893,0
1789304054.952256,0.752,29635119,312989,0,180,264,91,380233,3714898,111739647,204544,1580,63518172,63849260,64771556,0,0,0,1,1,0,102201952,995743195,1004096418,198492,199454,395,0,289799162,203166,1558814904,1399237893,0
1789304055.2027013,1.002,29635484,313012,0,180,264,91,380234,3714908,111741865,215220,1580,63507008,63832668,64771556,0,0,0,1,1,0,102202800,995883046,1004236345,198492,199454,395,0,289802417,203263,1558825604,1399237893,0
1789304055.453162,1.252,29635855,313034,0,180,264,91,380235,3714914,111743512,221636,1580,63496968,63819416,64771556,0,0,0,1,1,0,102203661,996067194,1004420527,198492,199454,395,0,289804483,203269,1558832032,1399237893,0
1789304055.7036474,1.503,29636222,313056,0,180,264,91,380236,3714925,111744793,229960,1580,63475120,63793392,64771556,0,0,0,1,1,0,102204458,996228347,1004581696,198492,199454,395,0,289809550,203269,1558840388,1399237893,0
1789304055.9541073,1.753,29636576,313065,0,180,264,91,380242,3714953,111748459,232912,1580,63477732,63794544,64771556,0,0,0,1,3,0,102204788,996249198,1004602549,198492,199454,395,0,289825424,203277,1558843296,1399237925,0
1789304056.204587,2.004,29636932,313077,0,180,264,91,380244,3714982,111751131,236300,1580,63455660,63770976,64771556,0,0,0,0,3,0,102205382,996287167,1004640518,198492,199454,395,0,289832740,203278,1558846560,1399237925,0
1789304056.4550383,2.254,29637296,313088,0,180,264,91,380246,3715006,111754057,238916,1580,63440952,63754748,64771556,0,0,0,1,1,0,102205981,996363855,1004717216,198492,199454,395,0,289837701,203278,1558849392,1399237925,0
1789304056.7054276,2.505,29637657,313102,0,180,264,91,380249,3715029,111757274,242128,1580,63410412,63722576,64771556,0,0,0,1,1,0,102206640,996442780,1004796141,198492,199454,395,0,289845754,203284,1558852604,1399237925,0
1789304056.9559,2.755,29638010,313114,0,180,264,91,380252,3715060,111760373,245244,1580,63395584,63706212,64771556,0,0,0,0,4,0,102208619,996512818,1004866192,198492,199454,395,0,289849775,203291,1558855844,1399237925,0
