t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789306857.9321644,0.0,33641230,355795,0,180,284,98,432464,4092993,125195447,166516,1380,63659884,64013768,64771556,0,32,0,1,1,0,109658466,1131356586,1140228995,198502,199464,345,8,323216222,230746,1774355488,1567905953,0
1789306858.182617,0.25,33641461,355816,0,180,284,98,432466,4093139,125196516,176900,4604,63653492,64000368,64771556,0,0,0,0,2,0,109659045,1131401308,1140273810,198502,199464,1151,0,323219844,230829,1774369484,1567905953,0
1789306858.4332652,0.501,33641837,355833,0,180,284,98,432469,4093145,125197181,187900,4604,63639788,63980808,64771556,0,0,0,1,1,0,109659786,1131507770,1140380356,198502,199464,1151,0,323225065,230867,1774381256,1567905953,0
1789306858.6837287,0.752,33642211,355855,0,180,284,98,432471,4093147,125197940,213736,4636,63616508,63944472,64771556,0,0,0,1,3,0,109660655,1131678478,1140551065,198502,199464,1159,0,323229337,231093,1774407372,1567905953,0
1789306858.9341192,1.002,33642577,355878,0,180,284,98,432473,4093155,125200193,223712,4636,63602316,63925204,64771556,0,0,0,1,1,0,109661399,1131826554,1140699162,198502,199464,1159,0,323232401,231159,1774417344,1567905953,0
1789306859.1845355,1.252,33642947,355900,0,180,284,98,432473,4093160,125201811,230092,4636,63591668,63911372,64771556,0,0,0,1,1,0,109662268,1132013987,1140886910,198502,199464,1159,0,323234365,231165,1774423720,1567905953,0
1789306859.434861,1.503,33643313,355922,0,180,284,98,432474,4093172,125203307,238468,4636,63571676,63887188,64771556,0,0,0,1,1,0,109663113,1132170469,1141043405,198502,199464,1159,0,323239519,231165,1774432108,1567905953,0
1789306859.6852052,1.753,33643667,355930,0,180,284,98,432480,4093204,125206935,241232,4636,63577924,63891996,64771556,0,0,0,0,2,0,109663563,1132191362,1141064299,198502,199464,1159,0,323255861,231173,1774434896,1567905985,0
1789306859.9356892,2.004,33644026,355942,0,180,284,98,432482,4093232,125209378,244684,4636,63558012,63870364,64771556,0,0,0,0,2,0,109664102,1132264901,1141137846,198502,199464,1159,0,323262873,231174,1774438312,1567905985,0
1789306860.1861377,2.254,33644389,355954,0,180,284,98,432484,4093255,125212754,247408,4636,63538536,63849524,64771556,0,0,0,0,5,0,109666222,1132351467,1141224654,198502,199464,1159,0,323267476,231174,1774441052,1567905985,0
1789306860.436629,2.504,33644749,355968,0,180,284,98,432487,4093277,125216581,250748,4636,63510448,63819776,64771556,0,0,0,0,2,0,109667030,1132432866,1141306073,198502,199464,1159,0,323275214,231182,1774444388,1567905985,0
1789306860.6870892,2.755,33645100,355979,0,180,284,98,432489,4093311,125220040,253612,4636,63500460,63808344,64771556,0,0,0,0,3,0,109667687,1132490455,1141363670,198502,199464,1159,0,323277473,231187,1774447308,1567905985,0
1789306860.9375563,3.005,33645456,355988,0,180,284,98,432490,4093344,125224561,255608,4636,63492988,63799868,64771556,0,0,0,0,6,0,109668106,1132514670,1141387885,198502,199464,1159,0,323279277,231189,1774449248,1567905985,0
1789306861.1880155,3.256,33645796,356000,0,180,284,98,432494,4093389,125230094,257796,4636,63483544,63789184,64771556,0,0,0,1,1,0,109668628,1132560533,1141433753,198502,199464,1159,0,323284108,231193,1774451956,1567905985,0
1789306861.5799615,3.648,33646393,356027,0,180,284,98,432495,4093393,125231288,285932,4636,63467484,63753056,64771556,0,0,0,1,1,0,109669708,1132784983,1141658203,198502,199464,1159,0,323287507,231421,1774481104,1567905989,0
1789306861.832455,3.9,33646769,356045,0,180,284,98,432496,4093398,125231899,299612,4636,63457372,63728764,64771556,0,0,0,1,1,0,109670512,1132970545,1141843764,198502,199464,1159,0,323291447,231527,1774494712,1567905989,0
1789306862.082967,4.151,33647144,356062,0,180,284,98,432497,4093405,125232400,311236,4636,63446872,63706892,64771556,0,0,0,1,1,0,109671447,1133138960,1142012180,198502,199464,1159,0,323295428,231621,1774506420,1567905989,0
1789306862.3333745,4.401,33647511,356077,0,180,285,98,432499,4093421,125234389,317836,4636,63443704,63696648,64771556,0,0,0,0,3,0,109672089,1133226310,1142099549,198502,199464,1159,0,323299092,231633,1774513024,1567905989,0
1789306862.5838358,4.652,33647870,356090,0,180,285,98,432501,4093445,125236555,320984,4636,63426972,63676756,64771556,0,0,0,1,1,0,109672691,1133310895,1142184133,198502,199464,1159,0,323302909,231637,1774516172,1567905989,0
1789306862.834298,4.902,33648199,356102,0,180,285,98,432505,4093499,125239041,323452,4636,63368148,63615448,64771556,0,0,0,1,3,0,109673043,1133353253,1142226491,198502,199464,1159,0,323318758,231637,1774518656,1567905989,0
1789306863.0847821,5.153,33648547,356112,0,180,285,98,432507,4093538,125241186,326148,4636,63342280,63586876,64771556,0,0,0,0,3,0,109673511,1133401792,1142275081,198502,199464,1159,0,323328519,231637,1774521452,1567905989,0
1789306863.3352344,5.403,33648905,356124,0,180,285,98,432510,4093564,125245858,329704,4636,63318828,63559852,64771556,0,0,0,0,7,0,109674582,1133470392,1142343686,198502,199464,1159,0,323334804,231640,1774525028,1567905989,0
1789306863.5859075,5.654,33649252,356134,0,180,285,98,432511,4093605,125248490,332528,4636,63311268,63549484,64771556,0,0,0,1,1,0,109674998,1133512666,1142385961,198502,199464,1159,0,323336808,231640,1774527772,1567905989,0
1789306863.8363712,5.904,33649601,356142,0,180,285,98,432513,4093644,125251103,334708,4736,63299340,63535424,64771556,0,0,0,0,4,0,109675355,1133553049,1142426344,198502,199464,1184,0,323340107,231641,1774529804,1567905989,0
