t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789306406.8353043,0.0,33081846,338057,0,180,279,97,411950,3970855,119931486,160972,1592,63810864,64167772,64771556,0,0,0,1,1,0,108480701,1074980932,1083719771,198501,199463,398,0,312070171,218491,1679570824,1503982069,0
1789306407.0857573,0.25,33082086,338074,0,180,279,97,411952,3970996,119932134,170216,1424,63794504,64145660,64771556,0,0,0,0,17,0,108481431,1075008433,1083747501,198501,199463,356,0,312072835,218564,1679583256,1503982069,0
1789306407.3363416,0.501,33082458,338091,0,180,279,97,411955,3971006,119932812,178504,1424,63778512,64125360,64771556,0,0,0,1,1,0,108482202,1075103976,1083843065,198501,199463,356,0,312077802,218598,1679592400,1503982069,0
1789306407.5867977,0.751,33082833,338114,0,180,279,97,411956,3971007,119933495,206392,1456,63753968,64086280,64771556,0,0,0,1,1,0,108482926,1075264922,1084004021,198501,199463,364,0,312081956,218800,1679620664,1503982069,0
1789306407.8371744,1.002,33083198,338137,0,180,279,97,411958,3971016,119935667,217016,1456,63740416,64067364,64771556,0,0,0,0,4,0,108483715,1075405647,1084144750,198501,199463,364,0,312085170,218899,1679631252,1503982069,0
1789306408.0875912,1.252,33083568,338159,0,180,279,97,411959,3971022,119937393,223476,1456,63729032,64052776,64771556,0,0,0,1,1,0,108484786,1075592467,1084331667,198501,199463,364,0,312087280,218905,1679637708,1503982069,0
1789306408.3379192,1.503,33083934,338181,0,180,279,97,411961,3971032,119938705,231944,1456,63707100,64026580,64771556,0,0,0,0,2,0,108485638,1075757098,1084496301,198501,199463,364,0,312092328,218905,1679646176,1503982069,0
1789306408.588279,1.753,33084292,338190,0,180,279,97,411967,3971059,119942445,234808,1456,63700344,64018412,64771556,0,0,0,0,7,0,108486635,1075787076,1084526279,198501,199463,364,0,312106818,218913,1679649148,1503982101,0
1789306408.8388052,2.004,33084647,338203,0,180,279,97,411969,3971089,119944936,238040,1456,63674932,63991384,64771556,0,0,0,0,2,0,108487151,1075856751,1084595961,198501,199463,364,0,312115633,218914,1679652428,1503982101,0
1789306409.0892947,2.254,33085011,338214,0,180,279,97,411972,3971111,119948217,240880,1456,63652716,63967616,64771556,0,0,0,0,3,0,108487774,1075936584,1084675801,198501,199463,364,0,312120709,218914,1679655616,1503982101,0
1789306409.3398051,2.505,33085372,338228,0,180,279,97,411975,3971133,119952104,244108,1456,63625536,63938768,64771556,0,0,0,0,5,0,108488432,1076019424,1084758641,198501,199463,364,0,312128594,218922,1679658960,1503982101,0
1789306409.5905528,2.755,33085725,338240,0,180,279,97,411977,3971167,119955196,247368,1456,63617240,63928840,64771556,0,0,0,0,2,0,108488907,1076084513,1084823735,198501,199463,364,0,312131369,218928,1679662112,1503982101,0
1789306409.8409965,3.006,33086081,338249,0,180,279,97,411979,3971198,119960349,249388,1456,63608452,63919244,64771556,0,0,0,0,2,0,108489480,1076133670,1084872893,198501,199463,364,0,312133272,218930,1679663996,1503982101,0
1789306410.0914874,3.256,33086422,338260,0,180,279,97,411983,3971240,119966142,251668,1456,63592320,63901988,64771556,0,0,0,0,3,0,108490024,1076183038,1084922388,198501,199463,364,0,312138080,218934,1679666464,1503982101,0
1789306410.4870996,3.652,33087025,338288,0,180,279,97,411986,3971244,119967352,280080,1456,63573984,63866560,64771556,0,0,0,1,1,0,108490729,1076318213,1085057636,198501,199463,364,0,312141554,219162,1679695676,1503982105,0
1789306410.7397428,3.904,33087400,338306,0,180,279,97,411987,3971249,119967959,294104,1456,63563844,63842208,64771556,0,0,0,1,1,0,108491727,1076504344,1085243815,198501,199463,364,0,312145470,219270,1679709752,1503982105,0
1789306410.9901106,4.155,33087776,338323,0,180,279,97,411987,3971257,119968496,305724,1456,63553512,63820116,64771556,0,0,0,1,1,0,108492829,1076670355,1085409948,198501,199463,364,0,312149471,219364,1679721492,1503982105,0
1789306411.2406247,4.405,33088143,338338,0,180,279,97,411989,3971272,119970259,312328,1456,63533232,63792572,64771556,0,0,0,0,4,0,108493558,1076754693,1085494292,198501,199463,364,0,312153484,219376,1679728096,1503982105,0
1789306411.4910507,4.656,33088503,338351,0,180,279,97,411991,3971297,119971946,315436,1456,63518908,63775164,64771556,0,0,0,0,2,0,108494256,1076839942,1085579562,198501,199463,364,0,312157375,219380,1679731208,1503982105,0
1789306411.7414918,4.906,33088835,338363,0,180,279,97,411995,3971350,119973811,317900,1456,63480464,63734236,64771556,0,0,0,0,4,0,108494605,1076883063,1085622683,198501,199463,364,0,312173086,219380,1679733672,1503982105,0
1789306411.9919765,5.157,33089181,338373,0,180,279,97,411997,3971392,119975643,320416,1456,63451368,63702612,64771556,0,0,0,1,1,0,108494996,1076935729,1085675358,198501,199463,364,0,312182897,219380,1679736288,1503982105,0
1789306412.242449,5.407,33089540,338384,0,180,279,97,411999,3971417,119979550,323948,1456,63430088,63677816,64771556,0,0,0,1,1,0,108495677,1077005047,1085744745,198501,199463,364,0,312189292,219383,1679739724,1503982105,0
1789306412.492917,5.658,33089886,338394,0,180,279,97,412000,3971459,119981840,326724,1456,63422488,63667472,64771556,0,0,0,1,1,0,108496076,1077046709,1085786412,198501,199463,364,0,312191186,219383,1679742560,1503982105,0
