t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789306245.3761218,0.0,32883374,331301,0,180,277,97,404491,3925924,117987318,161040,1300,63829092,64186032,64771556,0,0,0,1,1,0,108049073,1054694747,1063389171,198500,199462,325,0,308191499,214089,1645115052,1480549145,0
1789306245.6278398,0.252,32883616,331319,0,180,277,97,404492,3926066,117987920,170600,1300,63812364,64163464,64771556,0,0,0,0,17,0,108049427,1054722619,1063417055,198500,199462,325,0,308194163,214162,1645127200,1480549145,0
1789306245.878427,0.502,32883988,331336,0,180,277,97,404495,3926075,117988637,178364,1300,63796948,64143628,64771556,0,0,0,1,1,0,108050394,1054843915,1063538389,198500,199462,325,0,308199100,214196,1645136616,1480549145,0
1789306246.1288738,0.753,32884363,331358,0,180,277,97,404496,3926076,117989354,206416,1332,63766252,64098524,64771556,0,0,0,0,2,0,108051270,1055002787,1063697374,198500,199462,333,0,308203274,214400,1645164900,1480549145,0
1789306246.3792393,1.003,32884728,331381,0,180,277,97,404497,3926085,117991531,216972,1332,63748984,64075932,64771556,0,0,0,0,3,0,108052071,1055145492,1063840082,198500,199462,333,0,308206455,214499,1645175468,1480549145,0
1789306246.6296282,1.254,32885099,331403,0,180,277,97,404498,3926092,117993232,223408,1332,63737916,64061660,64771556,0,0,0,1,1,0,108052910,1055282655,1063977245,198500,199462,333,0,308208484,214505,1645181904,1480549145,0
1789306246.8799527,1.504,32885465,331425,0,180,277,97,404499,3926103,117994450,231812,1332,63714848,64034404,64771556,0,0,0,0,2,0,108053813,1055446446,1064141036,198500,199462,333,0,308213586,214505,1645190292,1480549145,0
1789306247.1302962,1.754,32885822,331434,0,180,277,97,404505,3926131,117998467,234892,1332,63717372,64035336,64771556,0,0,0,0,6,0,108054859,1055475454,1064170048,198500,199462,333,0,308228027,214513,1645193368,1480549177,0
1789306247.380754,2.005,32886175,331447,0,180,277,97,404506,3926161,118001083,238080,1332,63685980,64002352,64771556,0,0,0,0,2,0,108055402,1055546823,1064241425,198500,199462,333,0,308236956,214514,1645196556,1480549177,0
1789306247.6311169,2.255,32886540,331459,0,180,277,97,404508,3926183,118004273,241020,1332,63665496,63980388,64771556,0,0,0,1,3,0,108056002,1055626777,1064321378,198500,199462,333,0,308242053,214514,1645199540,1480549177,0
1789306247.8814764,2.505,32886900,331473,0,180,277,97,404510,3926205,118008070,244360,1332,63638368,63951596,64771556,0,0,0,1,1,0,108056760,1055709418,1064404020,198500,199462,333,0,308250152,214521,1645202848,1480549177,0
1789306248.131907,2.756,32887252,331485,0,180,277,97,404512,3926239,118011362,247548,1332,63628512,63940132,64771556,0,0,0,1,1,0,108058463,1055773232,1064467842,198500,199462,333,0,308252637,214527,1645206040,1480549177,0
1789306248.3822505,3.006,32887608,331493,0,180,277,97,404514,3926274,118016301,249396,1332,63621616,63932332,64771556,0,0,0,0,2,0,108059045,1055821644,1064516253,198500,199462,333,0,308254860,214529,1645207892,1480549177,0
1789306248.632631,3.257,32887950,331505,0,180,277,97,404517,3926318,118021449,251916,1332,63600856,63910276,64771556,0,0,0,1,2,0,108059525,1055872483,1064567092,198500,199462,333,0,308259897,214533,1645210408,1480549177,0
1789306249.0305786,3.654,32888556,331532,0,180,277,97,404519,3926320,118022686,280208,1332,63633032,63925296,64771556,0,0,0,1,1,0,108060633,1056086638,1064781326,198500,199462,333,0,308263374,214761,1645239620,1480549181,0
1789306249.283911,3.908,32888933,331551,0,180,277,97,404521,3926325,118023317,293956,1332,63622760,63900816,64771556,0,0,0,1,1,0,108061370,1056272222,1064966939,198500,199462,333,0,308267316,214869,1645253972,1480549181,0
1789306249.5342577,4.158,32889308,331568,0,180,277,97,404522,3926332,118023870,305576,1332,63612536,63878824,64771556,0,0,0,1,1,0,108062240,1056442042,1065136810,198500,199462,333,0,308271299,214963,1645265712,1480549181,0
1789306249.784927,4.409,32889675,331583,0,180,278,97,404523,3926348,118025755,312276,1332,63598444,63857980,64771556,0,0,0,1,1,0,108062966,1056531069,1065225837,198500,199462,333,0,308275260,214975,1645272320,1480549181,0
1789306250.0353436,4.659,32890035,331596,0,180,278,97,404525,3926374,118027473,315416,1332,63585192,63841592,64771556,0,0,0,0,2,0,108064390,1056616572,1065311350,198500,199462,333,0,308278935,214979,1645275464,1480549181,0
1789306250.285709,4.91,32890367,331609,0,180,278,97,404527,3926427,118029180,317992,1332,63529156,63782964,64771556,0,0,0,0,4,0,108064798,1056662841,1065357622,198500,199462,333,0,308295369,214979,1645278024,1480549181,0
1789306250.5360534,5.16,32890717,331619,0,180,278,97,404529,3926465,118030914,320596,1332,63491068,63742260,64771556,0,0,0,0,3,0,108065166,1056712531,1065407312,198500,199462,333,0,308304509,214979,1645280748,1480549181,0
1789306250.786509,5.41,32891077,331630,0,180,278,97,404531,3926493,118034131,324116,1332,63475468,63723048,64771556,0,0,0,1,1,0,108065694,1056782792,1065477573,198500,199462,333,0,308310702,214982,1645284180,1480549181,0
1789306251.036963,5.661,32891420,331638,0,180,278,97,404532,3926539,118036374,326452,1332,63460912,63706136,64771556,0,0,0,1,1,0,108066126,1056815817,1065510637,198500,199462,333,0,308313729,214982,1645286488,1480549181,0
1789306251.2874541,5.911,32891771,331647,0,180,278,97,404534,3926577,118038330,328908,1432,63452556,63695368,64771556,0,0,0,0,2,0,108066602,1056859918,1065554745,198500,199462,358,0,308316566,214984,1645288864,1480549181,0
