t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789306569.6887631,0.0,33283948,344265,0,180,281,98,419256,4015085,121769704,161268,1556,63816308,64172916,64771556,0,108,0,1,1,0,108899677,1095352999,1104141480,198501,199463,389,27,316049693,222940,1714037192,1526663905,0
1789306569.939196,0.25,33284188,344282,0,180,281,98,419257,4015226,121770294,170680,1556,63801376,64152012,64771556,0,108,0,0,17,0,108899871,1095380377,1104168922,198501,199463,389,27,316052357,223013,1714049468,1526663905,0
1789306570.1898103,0.501,33284560,344299,0,180,281,98,419259,4015236,121771020,177896,1548,63785544,64132340,64771556,0,0,0,1,1,0,108900907,1095481943,1104270577,198501,199463,387,0,316057275,223047,1714058308,1526663905,0
1789306570.4402626,0.751,33284935,344321,0,180,281,98,419261,4015237,121771725,206500,1580,63758416,64090516,64771556,0,0,0,1,1,0,108901646,1095641547,1104430181,198501,199463,395,0,316061504,223253,1714087072,1526663905,0
1789306570.6906745,1.002,33285300,344344,0,180,281,98,419262,4015246,121773888,217092,1580,63742060,64068828,64771556,0,0,0,1,1,0,108902454,1095784526,1104573161,198501,199463,395,0,316064721,223349,1714097640,1526663905,0
1789306570.9410896,1.252,33285671,344366,0,180,281,98,419263,4015253,121775567,223684,1580,63730172,64053636,64771556,0,0,0,1,1,0,108903433,1095967907,1104756546,198501,199463,395,0,316066744,223355,1714104228,1526663905,0
1789306571.191457,1.503,33286037,344388,0,180,281,98,419263,4015262,121776870,232084,1580,63709536,64028800,64771556,0,0,0,0,1,0,108904869,1096131663,1104920380,198501,199463,395,0,316071883,223355,1714112624,1526663905,0
1789306571.4418375,1.753,33286392,344397,0,180,281,98,419268,4015293,121780588,235032,1580,63714784,64032564,64771556,0,0,0,0,4,0,108905237,1096152754,1104941472,198501,199463,395,0,316087433,223363,1714115564,1526663937,0
1789306571.6922846,2.004,33286749,344410,0,180,281,98,419270,4015321,121783045,238312,1580,63691268,64007404,64771556,0,0,0,0,2,0,108905896,1096227286,1105016004,198501,199463,395,0,316094993,223364,1714118852,1526663937,0
1789306571.9427896,2.254,33287114,344422,0,180,281,98,419272,4015344,121786319,241244,1580,63671024,63985692,64771556,0,0,0,0,3,0,108906553,1096309483,1105098201,198501,199463,395,0,316100030,223364,1714121788,1526663937,0
