t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789306644.4006352,0.0,33374309,347395,0,180,282,98,422901,4037129,122710813,160800,1804,63823780,64180568,64771556,0,0,0,1,1,0,109100401,1104690163,1113499676,198501,199463,451,0,317757923,225138,1731264000,1538448285,0
1789306644.6514683,0.251,33374546,347413,0,180,282,98,422902,4037275,122711432,170432,1804,63806896,64157636,64771556,0,0,0,1,2,0,109100610,1104717159,1113526685,198501,199463,451,0,317760597,225211,1731276352,1538448285,0
1789306644.9019268,0.501,33374921,347430,0,180,282,98,422905,4037280,122712103,178280,1804,63790264,64136640,64771556,0,0,0,1,1,0,109101390,1104824209,1113633740,198501,199463,451,0,317765550,225246,1731285760,1538448285,0
1789306645.1523914,0.752,33375296,347452,0,180,282,98,422907,4037281,122712830,206692,1456,63763036,64094716,64771556,0,0,0,1,2,0,109102131,1104983918,1113793471,198501,199463,364,0,317769734,225452,1731314288,1538448285,0
1789306645.4028518,1.002,33375662,347475,0,180,282,98,422909,4037288,122715029,217132,1456,63747156,64073556,64771556,0,0,0,1,1,0,109102922,1105125741,1113935356,198501,199463,364,0,317772959,225548,1731324804,1538448285,0
1789306645.6533036,1.253,33376032,347498,0,180,282,98,422909,4037295,122716707,223628,1456,63735980,64059120,64771556,0,0,0,1,1,0,109103918,1105309501,1114119125,198501,199463,364,0,317774966,225554,1731331284,1538448285,0
1789306645.9037669,1.503,33376399,347519,0,180,282,98,422911,4037305,122718004,232076,1456,63713076,64032016,64771556,0,0,0,0,3,0,109104773,1105474469,1114284094,198501,199463,364,0,317780099,225554,1731339704,1538448285,0
1789306646.1542141,1.754,33376755,347528,0,180,282,98,422916,4037334,122721707,235028,1456,63704400,64021796,64771556,0,0,0,0,4,0,109106055,1105518327,1114328082,198501,199463,364,0,317795378,225562,1731342632,1538448317,0
1789306646.4046597,2.004,33377110,347541,0,180,282,98,422918,4037364,122724340,238188,1456,63673320,63989156,64771556,0,0,0,0,3,0,109106733,1105588000,1114397755,198501,199463,364,0,317803570,225563,1731345872,1538448317,0
1789306646.654993,2.254,33377474,347552,0,180,282,98,422921,4037384,122727693,241160,1456,63651324,63965680,64771556,0,0,0,1,3,0,109107452,1105666605,1114476360,198501,199463,364,0,317808391,225563,1731348760,1538448317,0
1789306646.9053376,2.505,33377834,347565,0,180,282,98,422925,4037406,122731860,244372,1456,63622264,63935020,64771556,0,0,0,1,1,0,109108228,1105742707,1114552462,198501,199463,364,0,317816317,225569,1731351976,1538448317,0
1789306647.1557775,2.755,33378188,347577,0,180,282,98,422926,4037438,122734940,247488,1456,63613948,63925156,64771556,0,0,0,0,2,0,109108824,1105808658,1114618476,198501,199463,364,0,317819122,225576,1731355216,1538448317,0
