stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789307655729,1789307656208,479,False,376,47374396,66,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789307657677,1789307657812,135,False,115,84200953,11,0,1873,0,0,0,0,2501,0,0,0,0,26934,2501,14727828
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789307657677,1789307657812,135,False,116,72222617,12,0,1873,0,0,0,0,2500,0,0,0,0,26766,2500,14466423
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789307657677,1789307657814,137,False,115,61063617,12,0,1873,0,0,0,0,2500,0,0,0,0,26552,2500,14729085
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789307657675,1789307657814,139,False,116,59086487,12,0,1873,0,0,0,0,2500,0,0,0,0,29687,2500,14781758
2,save at NativeMethodAccessorImpl.java:0,5,0,0,1789307657808,1789307658978,1170,False,1148,760996580,15,17,2191,0,0,0,135402552,65873,0,0,0,0,127580167,65873,143735364
2,save at NativeMethodAccessorImpl.java:0,8,3,0,1789307657813,1789307658988,1175,False,1158,764113832,13,17,2191,0,0,0,135402576,65873,0,0,0,0,127575550,65873,145040082
2,save at NativeMethodAccessorImpl.java:0,7,2,0,1789307657813,1789307658994,1181,False,1165,798301457,13,17,2191,0,0,0,135402596,65873,0,0,0,0,127571069,65873,143538527
2,save at NativeMethodAccessorImpl.java:0,6,1,0,1789307657811,1789307658995,1184,False,1166,875929976,14,17,2191,0,0,0,135402448,65873,0,0,0,0,127577600,65873,141418734
2,save at NativeMethodAccessorImpl.java:0,9,4,0,1789307658977,1789307659745,768,False,761,650409403,2,14,2191,0,0,0,135402480,65873,0,0,0,0,127578390,65873,135735702
2,save at NativeMethodAccessorImpl.java:0,12,7,0,1789307658994,1789307659818,824,False,818,658085456,1,14,2191,0,0,0,135402520,65873,0,0,0,0,127582198,65873,137068207
2,save at NativeMethodAccessorImpl.java:0,11,6,0,1789307658994,1789307659819,825,False,819,654678864,2,14,2191,0,0,0,135402468,65873,0,0,0,0,127575532,65873,137147370
2,save at NativeMethodAccessorImpl.java:0,10,5,0,1789307658987,1789307659821,834,False,829,666108342,2,14,2191,0,0,0,135402468,65873,0,0,0,0,127568928,65873,140007043
2,save at NativeMethodAccessorImpl.java:0,13,8,0,1789307659744,1789307660403,659,False,648,609758815,2,5,2234,0,0,0,135402456,65873,0,0,0,0,127582425,65873,132976895
2,save at NativeMethodAccessorImpl.java:0,15,10,0,1789307659818,1789307660605,787,False,780,608025245,2,8,2191,0,0,0,135402532,65873,0,0,0,0,127582806,65873,134367553
2,save at NativeMethodAccessorImpl.java:0,14,9,0,1789307659817,1789307660606,789,False,784,618635858,1,8,2191,0,0,0,135402472,65873,0,0,0,0,127577330,65873,133502702
2,save at NativeMethodAccessorImpl.java:0,16,11,0,1789307659820,1789307660634,814,False,808,630478417,2,8,2191,0,0,0,135402464,65873,0,0,0,0,127577682,65873,148294282
2,save at NativeMethodAccessorImpl.java:0,17,12,0,1789307660402,1789307661043,641,False,636,608447598,2,4,2191,0,0,0,135402484,65873,0,0,0,0,127578647,65873,135973083
2,save at NativeMethodAccessorImpl.java:0,19,14,0,1789307660605,1789307661381,776,False,770,604950877,1,8,2191,0,0,0,135402532,65873,0,0,0,0,127570183,65873,135072867
2,save at NativeMethodAccessorImpl.java:0,18,13,0,1789307660604,1789307661384,780,False,776,635634598,1,8,2191,0,0,0,135402500,65873,0,0,0,0,127568254,65873,137706604
2,save at NativeMethodAccessorImpl.java:0,20,15,0,1789307660633,1789307661403,770,False,764,621726429,2,8,2191,0,0,0,135402528,65873,0,0,0,0,127571630,65873,135405196
2,save at NativeMethodAccessorImpl.java:0,21,16,0,1789307661043,1789307661683,640,False,635,604845027,2,7,2191,0,0,0,135402492,65873,0,0,0,0,127583550,65873,135104684
2,save at NativeMethodAccessorImpl.java:0,23,18,0,1789307661384,1789307662131,747,False,743,594012256,1,2,2191,0,0,0,135402488,65873,0,0,0,0,127580975,65873,134195145
2,save at NativeMethodAccessorImpl.java:0,22,17,0,1789307661380,1789307662139,759,False,755,596061229,1,2,2191,0,0,0,135402456,65873,0,0,0,0,127573314,65873,133851016
2,save at NativeMethodAccessorImpl.java:0,24,19,0,1789307661402,1789307662148,746,False,741,589945668,1,2,2191,0,0,0,135402444,65873,0,0,0,0,127573739,65873,134541044
2,save at NativeMethodAccessorImpl.java:0,25,20,0,1789307661682,1789307662323,641,False,636,598562254,1,9,2191,0,0,0,135402536,65873,0,0,0,0,127572698,65873,133991012
2,save at NativeMethodAccessorImpl.java:0,26,21,0,1789307662131,1789307662855,724,False,719,596009808,1,7,2191,0,0,0,135402488,65873,0,0,0,0,127578203,65873,132309649
2,save at NativeMethodAccessorImpl.java:0,27,22,0,1789307662139,1789307662925,786,False,783,634314656,1,7,2191,0,0,0,135402516,65873,0,0,0,0,127580490,65873,135825792
2,save at NativeMethodAccessorImpl.java:0,28,23,0,1789307662147,1789307662933,786,False,776,642694876,7,7,2191,0,0,0,135402516,65873,0,0,0,0,127567532,65873,137971313
2,save at NativeMethodAccessorImpl.java:0,29,24,0,1789307662323,1789307662974,651,False,647,598518412,1,1,2191,0,0,0,135402536,65873,0,0,0,0,127569649,65873,137186839
2,save at NativeMethodAccessorImpl.java:0,30,25,0,1789307662854,1789307663480,626,False,621,595496579,1,1,2191,0,0,0,135402548,65873,0,0,0,0,127571233,65873,131655233
2,save at NativeMethodAccessorImpl.java:0,31,26,0,1789307662925,1789307663634,709,False,705,590362025,1,1,2191,0,0,0,135402492,65873,0,0,0,0,127574682,65873,132739311
2,save at NativeMethodAccessorImpl.java:0,33,28,0,1789307662974,1789307663677,703,False,699,589589575,1,0,2148,0,0,0,135402544,65873,0,0,0,0,127571714,65873,133104931
