t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789308265.3387866,0.0,35243116,422634,0,180,329,103,508070,4591213,160824109,160624,1548,63603044,63959636,64771556,0,0,0,1,1,0,118715857,1322573607,1332066024,200990,202022,387,0,367265072,269226,2067662708,1801824117,0
1789308265.589207,0.25,35243355,422651,0,180,329,103,508071,4591357,160824702,170004,1548,63586852,63937564,64771556,0,0,0,0,17,0,118716060,1322600862,1332093318,200990,202022,387,0,367267735,269299,2067674980,1801824117,0
1789308265.839812,0.501,35243728,422668,0,180,329,103,508074,4591365,160825393,177624,1548,63571940,63918120,64771556,0,0,0,1,1,0,118716903,1322703236,1332195751,200990,202022,387,0,367272681,269333,2067684272,1801824117,0
1789308266.0902555,0.751,35244103,422690,0,180,329,103,508075,4591366,160826096,206016,1580,63548852,63880720,64771556,0,0,0,1,1,0,118717723,1322862986,1332355506,200990,202022,395,0,367276873,269538,2067712572,1801824117,0
1789308266.3406746,1.002,35244468,422713,0,180,329,103,508077,4591375,160828264,216652,1580,63531520,63858036,64771556,0,0,0,1,1,0,118718634,1323003548,1332496077,200990,202022,395,0,367280066,269635,2067723128,1801824117,0
1789308266.5911362,1.252,35244839,422735,0,180,329,103,508078,4591381,160830020,223120,1580,63521852,63845124,64771556,0,0,0,0,2,0,118719678,1323173417,1332665953,200990,202022,395,0,367282145,269641,2067729652,1801824117,0
1789308266.8416245,1.503,35245205,422757,0,180,329,103,508080,4591392,160831343,231604,1580,63499228,63818264,64771556,0,0,0,1,1,0,118720644,1323338573,1332831108,200990,202022,395,0,367287219,269641,2067738080,1801824117,0
1789308267.092086,1.753,35245562,422766,0,180,329,103,508085,4591419,160835272,234548,1580,63517956,63835476,64771556,0,0,0,0,5,0,118721545,1323361278,1332853819,200990,202022,395,0,367301814,269649,2067741024,1801824149,0
1789308267.3425415,2.004,35245916,422779,0,180,329,103,508088,4591448,160837686,237736,1580,63496716,63812636,64771556,0,0,0,0,2,0,118722139,1323432185,1332924743,200990,202022,395,0,367310238,269650,2067744228,1801824149,0
1789308267.5929065,2.254,35246280,422790,0,180,329,103,508090,4591469,160841017,240736,1580,63476256,63790672,64771556,0,0,0,0,2,0,118722862,1323511599,1333004158,200990,202022,395,0,367315295,269650,2067747216,1801824149,0
1789308267.8432841,2.504,35246640,422804,0,180,329,103,508093,4591493,160844921,244072,1580,63446284,63759020,64771556,0,0,0,1,4,0,118723597,1323591183,1333083742,200990,202022,395,0,367323170,269657,2067750564,1801824149,0
1789308268.0937495,2.755,35246992,422816,0,180,329,103,508094,4591527,160848007,247228,1580,63449340,63760500,64771556,0,0,0,1,1,0,118724313,1323655576,1333148143,200990,202022,395,0,367325259,269663,2067753716,1801824149,0
1789308268.3441937,3.005,35247347,422825,0,180,329,103,508096,4591560,160853296,249308,1580,63440008,63750280,64771556,0,0,0,1,2,0,118725016,1323703049,1333195629,200990,202022,395,0,367327230,269678,2067756164,1801824149,0
1789308268.5946653,3.256,35247676,422844,0,180,329,103,508103,4591605,160859524,252980,3904,63421628,63729436,64771556,0,0,0,2,1,0,118725556,1323735506,1333228184,200990,202022,976,0,367335387,269724,2067761456,1801824149,0
1789308268.9912684,3.652,35248272,422875,0,180,329,103,508106,4591610,160861293,284464,5288,63401196,63687424,64771556,0,4,0,1,1,0,118726812,1323960654,1333453431,200990,202022,1322,1,367342250,269983,2067792968,1801824153,0
1789308269.24383,3.905,35248647,422894,0,180,329,103,508107,4591615,160861938,298004,5288,63391344,63663764,64771556,0,4,0,0,2,0,118727828,1324144772,1333637573,200990,202022,1322,1,367346195,270089,2067806808,1801824153,0
1789308269.494378,4.156,35249023,422910,0,180,329,103,508108,4591623,160862441,309864,5288,63389020,63649440,64771556,0,0,0,1,1,0,118728883,1324311133,1333803934,200990,202022,1322,0,367350330,270183,2067818756,1801824153,0
