t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789307886.304095,0.0,34779147,402576,0,180,323,102,486757,4492835,149895672,160468,1448,63847132,64202220,64771556,0,0,0,1,1,0,117407850,1264432903,1273778153,200988,202020,362,0,357101694,257086,1972799104,1739520645,0
1789307886.5545273,0.25,34779389,402594,0,180,323,102,486758,4492974,149896267,170040,1448,63827060,64176748,64771556,0,0,0,1,16,0,117408035,1264460847,1273806151,200988,202020,362,0,357104352,257159,1972811244,1739520645,0
1789307886.8051095,0.501,34779759,402610,0,180,323,102,486760,4492987,149896954,176680,1448,63812836,64158544,64771556,0,0,0,1,1,0,117409733,1264563648,1273909039,200988,202020,362,0,357109240,257192,1972819808,1739520645,0
1789307887.055564,0.751,34780134,402633,0,180,323,102,486761,4492987,149897665,205984,1480,63781268,64112080,64771556,0,0,0,0,2,0,117410491,1264718166,1274063561,200988,202020,370,0,357113469,257396,1972848952,1739520645,0
1789307887.3059711,1.002,34780499,402656,0,180,323,102,486763,4492997,149899823,216544,1480,63764140,64089648,64771556,0,0,0,0,3,0,117411325,1264861116,1274206514,200988,202020,370,0,357116659,257495,1972859512,1739520645,0
1789307887.5564067,1.252,34780869,402678,0,180,323,102,486763,4493003,149901526,223004,1480,63752656,64074960,64771556,0,0,0,1,1,0,117412348,1265042640,1274388049,200988,202020,370,0,357118694,257501,1972865972,1739520645,0
1789307887.80678,1.503,34781236,402700,0,180,323,102,486764,4493013,149902760,231432,1480,63729276,64047352,64771556,0,0,0,1,1,0,117413215,1265206830,1274552271,200988,202020,370,0,357123821,257501,1972874440,1739520645,0
1789307888.0571346,1.753,34781592,402709,0,180,323,102,486768,4493042,149906472,234460,1480,63721684,64038168,64771556,0,0,0,1,3,0,117413964,1265233876,1274579320,200988,202020,370,0,357138834,257509,1972877444,1739520677,0
1789307888.3076031,2.004,34781947,402722,0,180,323,102,486771,4493071,149909152,237760,1480,63688200,64003028,64771556,0,0,0,1,1,0,117414651,1265305973,1274651431,200988,202020,370,0,357147104,257510,1972880740,1739520677,0
1789307888.5580695,2.254,34782312,402734,0,180,323,102,486773,4493091,149911820,240736,1480,63668872,63982224,64771556,0,0,0,0,3,0,117415282,1265390174,1274735635,200988,202020,370,0,357151928,257510,1972883704,1739520677,0
