t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789307301.0245118,0.0,34064517,371099,0,180,313,100,453642,4339736,132788686,160452,2600,63784056,64140516,64771556,0,0,0,1,1,0,115392893,1173891697,1183007044,200984,202016,650,0,341482597,238344,1826194472,1642383769,0
1789307301.2754676,0.251,34064759,371117,0,180,313,100,453643,4339875,132789323,169876,1800,63766228,64116976,64771556,0,0,0,1,16,0,115394362,1173919824,1183035179,200984,202016,450,0,341485258,238417,1826206904,1642383769,0
1789307301.5260448,0.502,34065130,371134,0,180,313,100,453645,4339886,132790027,177176,1800,63750860,64097436,64771556,0,0,0,0,2,0,115394980,1174014234,1183129628,200984,202016,450,0,341490185,238451,1826216124,1642383769,0
1789307301.776491,0.752,34065505,371156,0,180,313,100,453648,4339886,132790717,205764,1832,63745584,64077460,64771556,0,0,0,1,1,0,115395751,1174173159,1183288592,200984,202016,458,0,341494407,238656,1826244612,1642383769,0
1789307302.0269012,1.002,34065870,371179,0,180,313,100,453649,4339896,132792814,216156,1832,63744940,64071604,64771556,0,0,0,1,1,0,115396579,1174312693,1183428250,200984,202016,458,0,341497554,238753,1826254924,1642383769,0
1789307302.2773705,1.253,34066241,371201,0,180,313,100,453650,4339904,132794528,222680,1832,63743888,64067304,64771556,0,0,0,1,1,0,115397385,1174493656,1183609264,200984,202016,458,0,341499625,238759,1826261584,1642383769,0
1789307302.5278528,1.503,34066608,371223,0,180,313,100,453651,4339913,132795792,231172,1832,63725388,64044552,64771556,0,0,0,1,1,0,115398592,1174656970,1183772598,200984,202016,458,0,341504746,238759,1826270088,1642383769,0
1789307302.7783194,1.754,34066964,371232,0,180,313,100,453656,4339943,132799457,234120,1800,63720572,64038256,64771556,0,0,0,0,5,0,115398934,1174679098,1183794725,200984,202016,450,0,341519466,238767,1826273060,1642383801,0
1789307303.0288172,2.004,34067320,371245,0,180,313,100,453657,4339972,132801339,237352,1800,63696324,64012392,64771556,0,0,0,0,2,0,115399539,1174752648,1183868287,200984,202016,450,0,341527493,238768,1826276264,1642383801,0
1789307303.2791998,2.255,34067685,371256,0,180,313,100,453659,4339992,132803814,240192,1800,63675272,63989920,64771556,0,0,0,0,2,0,115400917,1174835552,1183951191,200984,202016,450,0,341532331,238768,1826279228,1642383801,0
1789307303.5296159,2.505,34068045,371270,0,180,313,100,453662,4340016,132807330,243668,1832,63647120,63959992,64771556,0,0,0,0,2,0,115401615,1174913556,1184029201,200984,202016,458,0,341540311,238775,1826282456,1642383801,0
1789307303.7800736,2.756,34068400,371282,0,180,313,100,453663,4340046,132810347,246768,1832,63639820,63951148,64771556,0,0,0,0,2,0,115403839,1174984637,1184100295,200984,202016,458,0,341543019,238782,1826285696,1642383801,0
1789307304.0305128,3.006,34068752,371290,0,180,313,100,453666,4340083,132815322,248620,1832,63630508,63940872,64771556,0,0,0,0,2,0,115404356,1175008448,1184124119,200984,202016,458,0,341544785,238784,1826287436,1642383801,0
1789307304.2809675,3.256,34069096,371303,0,180,313,100,453669,4340121,132820192,251164,1832,63614200,63923276,64771556,0,0,0,0,4,0,115404868,1175061232,1184176903,200984,202016,458,0,341549463,238788,1826289968,1642383801,0
1789307304.678103,3.654,34069697,371330,0,180,313,100,453672,4340128,132822185,279596,1832,63595708,63887668,64771556,0,4,0,1,1,0,115406136,1175322800,1184438531,200984,202016,458,1,341553166,239016,1826319320,1642383805,0
1789307304.9307299,3.906,34070073,371349,0,180,313,100,453673,4340133,132822794,293620,1832,63585792,63863540,64771556,0,4,0,1,1,0,115406949,1175509681,1184625411,200984,202016,458,1,341557099,239124,1826333396,1642383805,0
1789307305.1811016,4.157,34070449,371366,0,180,313,100,453674,4340140,132823376,305240,1832,63575240,63841224,64771556,0,4,0,1,1,0,115407889,1175679831,1184795576,200984,202016,458,1,341561107,239218,1826345136,1642383805,0
1789307305.4318101,4.407,34070816,371380,0,180,313,100,453676,4340156,132825103,311696,1832,63560400,63819744,64771556,0,0,0,0,3,0,115408859,1175764128,1184879873,200984,202016,458,0,341564815,239230,1826351744,1642383805,0
1789307305.6825147,4.658,34071177,371394,0,180,313,100,453677,4340182,132826763,314856,1832,63542144,63798336,64771556,0,0,0,0,2,0,115409446,1175851157,1184966902,200984,202016,458,0,341568685,239234,1826354908,1642383805,0
1789307305.9332316,4.909,34071507,371406,0,180,313,100,453680,4340236,132828464,317340,1832,63496740,63750448,64771556,0,0,0,0,4,0,115409767,1175895451,1185011197,200984,202016,458,0,341586090,239234,1826357452,1642383805,0
1789307306.1838772,5.159,34071858,371416,0,180,313,100,453682,4340272,132830207,320084,1832,63474872,63725808,64771556,0,0,0,0,2,0,115410160,1175946086,1185061832,200984,202016,458,0,341593943,239234,1826360168,1642383805,0
1789307306.4345994,5.41,34072218,371428,0,180,313,100,453686,4340297,132834130,323536,1832,63448048,63695596,64771556,0,0,0,0,4,0,115410734,1176017335,1185133080,200984,202016,458,0,341600271,239237,1826363748,1642383805,0
1789307306.6853077,5.661,34072563,371438,0,180,313,100,453687,4340342,132836136,326364,1832,63441040,63685744,64771556,0,0,0,1,1,0,115411117,1176058101,1185173847,200984,202016,458,0,341602297,239237,1826366516,1642383805,0
1789307306.9359627,5.911,34072912,371446,0,180,313,100,453688,4340381,132838186,328496,1932,63428268,63670796,64771556,0,0,0,1,2,0,115411489,1176098593,1185214346,200984,202016,483,0,341605592,239239,1826368608,1642383805,0
