t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789308128.9799304,0.0,35077269,415167,0,180,327,102,500265,4555154,156838683,160304,1556,63616756,63973212,64771556,0,0,0,1,1,0,118224206,1302152798,1311573571,200990,202022,389,0,363602961,264827,2033169196,1778105445,0
1789308129.2303498,0.25,35077507,415185,0,180,327,102,500267,4555297,156839315,169744,1556,63601616,63951892,64771556,0,0,0,0,17,0,118225701,1302180247,1311601074,200990,202022,389,0,363605624,264900,2033181756,1778105445,0
1789308129.4809566,0.501,35077880,415201,0,180,327,102,500269,4555304,156840008,177512,1556,63585716,63931432,64771556,0,0,0,1,1,0,118226417,1302283151,1311703987,200990,202022,389,0,363610581,264935,2033191232,1778105445,0
1789308129.7313983,0.751,35078256,415224,0,180,327,102,500270,4555305,156840716,205748,1588,63554924,63886328,64771556,0,0,0,1,1,0,118227217,1302441714,1311862584,200990,202022,397,0,363614767,265142,2033219508,1778105445,0
1789308129.9817917,1.002,35078621,415247,0,180,327,102,500272,4555314,156842889,216432,1588,63539820,63865812,64771556,0,0,0,1,1,0,118228014,1302582574,1312003489,200990,202022,397,0,363617979,265235,2033230140,1778105445,0
1789308130.232164,1.252,35078991,415269,0,180,327,102,500273,4555320,156844609,222780,1588,63529056,63851880,64771556,0,0,0,1,1,0,118229126,1302766324,1312187333,200990,202022,397,0,363619979,265241,2033236360,1778105445,0
1789308130.482489,1.503,35079357,415291,0,180,327,102,500274,4555331,156845928,231576,1580,63516168,63834604,64771556,0,0,0,1,1,0,118229964,1302931847,1312352902,200990,202022,395,0,363625096,265241,2033244844,1778105445,0
1789308130.7328284,1.753,35079714,415300,0,180,327,102,500280,4555360,156849607,234520,1580,63511732,63828732,64771556,0,0,0,1,3,0,118230910,1302966592,1312387665,200990,202022,395,0,363640091,265249,2033247784,1778105477,0
1789308130.9832962,2.003,35080070,415313,0,180,327,102,500282,4555389,156851583,237796,1580,63486092,63801448,64771556,0,0,0,0,3,0,118231480,1303040161,1312461236,200990,202022,395,0,363648467,265250,2033251064,1778105477,0
1789308131.2338197,2.254,35080434,415324,0,180,327,102,500284,4555410,156854654,240708,1580,63465092,63778992,64771556,0,0,0,0,2,0,118234190,1303121957,1312543052,200990,202022,395,0,363653403,265250,2033254020,1778105477,0
1789308131.4842806,2.504,35080794,415339,0,180,327,102,500287,4555433,156858660,244048,1580,63443888,63756032,64771556,0,0,0,1,3,0,118234733,1303165457,1312586554,200990,202022,395,0,363661255,265256,2033257340,1778105477,0
1789308131.7347555,2.755,35081147,415351,0,180,327,102,500289,4555466,156861779,247200,1580,63433820,63744388,64771556,0,0,0,1,1,0,118235258,1303231102,1312652199,200990,202022,395,0,363663499,265262,2033260496,1778105477,0
1789308131.9852076,3.005,35081502,415359,0,180,327,103,500290,4555497,156866761,249080,1580,63426204,63735836,64771556,0,0,0,1,2,0,118235859,1303278507,1312699604,200990,202022,395,0,363665384,265264,2033262364,1778105477,0
1789308132.2356923,3.256,35081844,415371,0,180,327,103,500293,4555537,156871921,251548,1580,63412532,63720936,64771556,0,0,0,0,3,0,118236293,1303311150,1312732454,200990,202022,395,0,363669863,265268,2033264884,1778105477,0
1789308132.6299446,3.65,35082444,415398,0,180,327,103,500295,4555541,156873163,279824,1580,63444252,63735504,64771556,0,0,0,1,1,0,118237362,1303529249,1312950567,200990,202022,395,0,363673281,265496,2033294040,1778105481,0
1789308132.8835523,3.904,35082821,415417,0,180,327,103,500296,4555545,156873778,293824,1580,63440788,63717828,64771556,0,0,0,1,1,0,118238177,1303716097,1313137429,200990,202022,395,0,363677219,265604,2033308116,1778105481,0
1789308133.1339042,4.154,35083197,415433,0,180,327,103,500297,4555552,156874305,305460,1580,63430056,63695332,64771556,0,0,0,1,1,0,118240160,1303884965,1313306391,200990,202022,395,0,363681217,265698,2033319844,1778105481,0
1789308133.3842707,4.404,35083565,415448,0,180,327,103,500298,4555567,156875709,311916,1580,63421244,63679896,64771556,0,0,0,0,4,0,118241213,1303972204,1313393631,200990,202022,395,0,363684911,265710,2033326460,1778105481,0
1789308133.6347086,4.655,35083923,415462,0,180,327,103,500300,4555594,156877112,315024,1580,63407912,63663484,64771556,0,0,0,1,2,0,118241776,1304052984,1313474411,200990,202022,395,0,363688882,265714,2033329576,1778105481,0
1789308133.8850443,4.905,35084256,415473,0,180,327,103,500303,4555645,156878716,317488,1580,63353980,63607060,64771556,0,0,0,0,4,0,118242125,1304097708,1313519135,200990,202022,395,0,363705021,265714,2033332040,1778105481,0
1789308134.1353962,5.155,35084603,415483,0,180,327,103,500305,4555685,156880140,320108,1580,63316324,63566776,64771556,0,0,0,1,1,0,118242498,1304143902,1313565329,200990,202022,395,0,363715205,265714,2033334672,1778105481,0
1789308134.3858693,5.406,35084963,415495,0,180,327,103,500308,4555711,156883363,323564,1580,63291984,63539012,64771556,0,0,0,0,2,0,118243057,1304213832,1313635258,200990,202022,395,0,363721647,265717,2033338104,1778105481,0
1789308134.6363122,5.656,35085309,415504,0,180,327,103,500310,4555752,156885087,326404,1580,63284028,63528152,64771556,0,0,0,0,2,0,118243460,1304255411,1313676838,200990,202022,395,0,363724160,265717,2033340952,1778105481,0
