t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789307611.9473164,0.0,34443867,388295,0,180,319,101,471265,4420884,141870550,160068,1340,63756672,64113272,64771556,0,0,0,1,1,0,116477200,1222185824,1231430270,200986,202019,335,0,350062933,248279,1903811540,1694449437,0
1789307612.1988854,0.252,34444107,388312,0,180,319,101,471266,4421026,141871177,169968,1548,63741976,64092564,64771556,0,0,0,0,17,0,116478488,1222213392,1231457863,200986,202019,387,0,350065600,248352,1903823688,1694449437,0
1789307612.4494755,0.502,34444481,388329,0,180,319,101,471268,4421033,141871901,177820,1548,63726792,64072932,64771556,0,0,0,1,1,0,116479237,1222315422,1231559901,200986,202019,387,0,350070561,248387,1903833300,1694449437,0
1789307612.6999204,0.753,34444856,388352,0,180,319,101,471270,4421034,141872614,205936,1580,63701480,64033172,64771556,0,0,0,1,1,0,116480144,1222508837,1231753342,200986,202019,395,0,350074739,248592,1903861424,1694449437,0
1789307612.9503212,1.003,34445221,388375,0,180,319,101,471270,4421044,141874828,216320,1580,63687324,64013804,64771556,0,0,0,1,2,0,116480936,1222650491,1231894997,200986,202019,395,0,350077888,248687,1903871960,1694449437,0
1789307613.2008169,1.254,34445591,388397,0,180,319,101,471272,4421050,141876582,222908,1580,63676264,63999328,64771556,0,0,0,0,2,0,116482114,1222830947,1232075458,200986,202019,395,0,350079914,248693,1903878672,1694449437,0
1789307613.4512753,1.504,34445958,388419,0,180,319,101,471272,4421060,141877829,231360,1580,63652484,63971320,64771556,0,0,0,1,1,0,116483008,1222996251,1232240761,200986,202019,395,0,350085066,248693,1903887160,1694449437,0
1789307613.7017484,1.754,34446315,388428,0,180,319,101,471277,4421089,141881441,234388,1580,63646532,63963784,64771556,0,0,0,0,5,0,116483407,1223019402,1232263913,200986,202019,395,0,350099830,248701,1903890132,1694449469,0
1789307613.952166,2.005,34446669,388441,0,180,319,101,471279,4421120,141883456,237672,1580,63620972,63936584,64771556,0,0,0,1,1,0,116483812,1223060914,1232305427,200986,202019,395,0,350108056,248702,1903893432,1694449469,0
1789307614.2025197,2.255,34447033,388453,0,180,319,101,471281,4421142,141886249,240708,2360,63600760,63914776,64771556,0,0,0,0,2,0,116484664,1223142112,1232386691,200986,202019,590,0,350112937,248704,1903896468,1694449469,0
