t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789302054.4620152,0.0,27233934,241929,0,180,204,85,288632,3088851,84562226,158836,1864,62870164,63226752,64771556,0,0,0,1,1,0,89689173,744545038,751862091,198459,199421,466,0,229348380,144326,1101837872,1172345869,0
1789302054.7124503,0.25,27234172,241947,0,180,204,85,288634,3088994,84562812,168568,1864,62860932,63211524,64771556,0,0,0,1,16,0,89689588,744572488,751889587,198459,199421,466,0,229351042,144399,1101850024,1172345869,0
1789302054.962977,0.501,27234546,241964,0,180,204,85,288637,3089001,84563518,176968,1864,62846864,63192616,64771556,0,0,0,1,1,0,89690665,744676557,751993779,198459,199421,466,0,229356040,144436,1101860328,1172345869,0
1789302055.2133794,0.751,27234921,241986,0,180,204,85,288638,3089003,84564233,204340,1896,62836304,63168204,64771556,0,0,0,1,1,0,89691398,744815420,752132668,198459,199421,474,0,229360261,144645,1101887944,1172345869,0
1789302055.4637384,1.002,27235286,242010,0,180,204,85,288640,3089012,84566516,215044,1896,62831088,63157604,64771556,0,0,0,1,1,0,89692264,744954561,752271832,198459,199421,474,0,229363428,144735,1101898524,1172345869,0
1789302055.7141225,1.252,27235657,242032,0,180,204,85,288641,3089018,84568148,221508,1896,62820752,63144024,64771556,0,0,0,1,1,0,89693371,745138889,752456185,198459,199421,474,0,229365437,144741,1101904992,1172345869,0
1789302055.9645095,1.502,27236024,242053,0,180,204,85,288642,3089028,84569527,229820,1896,62799592,63118708,64771556,0,0,0,1,4,0,89694530,745300257,752617572,198459,199421,474,0,229370551,144741,1101913288,1172345869,0
1789302056.2151153,1.753,27236376,242062,0,180,204,85,288647,3089060,84573125,232776,1896,62814224,63131844,64771556,0,0,0,1,3,0,89695964,745320611,752637948,198459,199421,474,0,229386807,144749,1101916248,1172345901,0
1789302056.465581,2.004,27236734,242075,0,180,204,85,288649,3089087,84575779,236140,1896,62809800,63125740,64771556,0,0,0,0,2,0,89696581,745393636,752710976,198459,199421,474,0,229394252,144750,1101919744,1172345901,0
1789302056.7160153,2.254,27237098,242087,0,180,204,85,288651,3089108,84578962,239056,1896,62790896,63105376,64771556,0,0,0,0,4,0,89697282,745480232,752797572,198459,199421,474,0,229398912,144750,1101922524,1172345901,0
1789302056.9664516,2.504,27237458,242101,0,180,204,85,288653,3089130,84582639,242440,1896,62766168,63078916,64771556,0,0,0,1,1,0,89697960,745564762,752882109,198459,199421,474,0,229406712,144758,1101925920,1172345901,0
1789302057.216867,2.755,27237811,242112,0,180,204,85,288655,3089163,84586170,245284,1896,62792952,63104188,64771556,0,0,0,0,2,0,89698813,745621403,752938753,198459,199421,474,0,229408820,144763,1101929076,1172345901,0
1789302057.4672904,3.005,27238168,242122,0,180,204,85,288656,3089194,84590869,247404,1896,62785872,63096048,64771556,0,0,0,1,2,0,89699473,745680051,752997401,198459,199421,474,0,229410595,144765,1101931164,1172345901,0
1789302057.7177684,3.256,27238510,242134,0,180,204,85,288660,3089235,84596248,249760,1896,62825656,63134592,64771556,0,0,0,1,2,0,89699983,745728802,753046154,198459,199421,474,0,229415312,144769,1101933648,1172345901,0
1789302058.1084263,3.646,27239107,242160,0,180,204,85,288662,3089238,84597274,277600,1896,62836896,63129708,64771556,0,0,0,1,1,0,89700654,745859213,753176630,198459,199421,474,0,229418623,144997,1101962584,1172345905,0
1789302058.3608263,3.899,27239482,242179,0,180,204,85,288662,3089243,84597893,291880,1896,62834200,63112508,64771556,0,0,0,1,1,0,89701649,746047506,753364924,198459,199421,474,0,229422544,145105,1101976688,1172345905,0
1789302058.6111398,4.149,27239858,242196,0,180,204,85,288664,3089250,84598409,303488,1896,62824656,63091240,64771556,0,0,0,1,1,0,89702678,746218223,753535640,198459,199421,474,0,229426704,145199,1101988656,1172345905,0
1789302058.861462,4.399,27240225,242210,0,180,204,85,288666,3089265,84600132,309988,1896,62817380,63077284,64771556,0,0,0,0,2,0,89703399,746297889,753615306,198459,199421,474,0,229430591,145211,1101995180,1172345905,0
