stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789302063418,1789302063880,462,False,366,44670137,60,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,3,2,0,1789302065095,1789302065276,181,False,158,71987075,12,15,2115,0,0,0,0,2500,0,0,0,0,43580,2500,24705446
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,4,3,0,1789302065095,1789302065277,182,False,153,103333096,12,15,2115,0,0,0,0,2501,0,0,0,0,44083,2501,24354407
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,1,0,0,1789302065092,1789302065280,188,False,158,79563726,12,15,2115,0,0,0,0,2500,0,0,0,0,46131,2500,25415401
1,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,2,1,0,1789302065095,1789302065280,185,False,158,73099108,12,15,2115,0,0,0,0,2500,0,0,0,0,43446,2500,24887894
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,7,2,0,1789302065277,1789302066249,972,False,948,622982924,17,27,2347,0,0,0,85791924,41702,0,0,0,0,80815967,41702,103668378
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,6,1,0,1789302065276,1789302066284,1008,False,984,624390864,18,27,2347,0,0,0,85792068,41702,0,0,0,0,80809757,41702,104945263
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,8,3,0,1789302065278,1789302066296,1018,False,996,700438642,17,27,2347,0,0,0,85791752,41702,0,0,0,0,80815335,41702,106835708
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,5,0,0,1789302065272,1789302066310,1038,False,1010,674362633,21,27,2347,0,0,0,85792408,41702,0,0,0,0,80813082,41702,106304252
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,9,4,0,1789302066248,1789302066791,543,False,535,489542505,2,22,2347,0,0,0,85791984,41702,0,0,0,0,80806783,41702,113480847
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,12,7,0,1789302066310,1789302066896,586,False,580,449607524,2,22,2347,0,0,0,85792172,41702,0,0,0,0,80815865,41702,97076096
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,10,5,0,1789302066284,1789302066897,613,False,608,483478467,2,22,2347,0,0,0,85792356,41702,0,0,0,0,80812418,41702,94094456
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,11,6,0,1789302066295,1789302066900,605,False,599,466909651,3,22,2347,0,0,0,85792284,41702,0,0,0,0,80807363,41702,94693202
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,13,8,0,1789302066790,1789302067261,471,False,465,430802269,2,13,2347,0,0,0,85792044,41702,0,0,0,0,80816612,41702,89732012
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,16,11,0,1789302066900,1789302067461,561,False,551,430784454,2,19,2390,0,0,0,85791648,41702,0,0,0,0,80811754,41702,93005365
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,15,10,0,1789302066897,1789302067461,564,False,557,429086642,2,19,2347,0,0,0,85791864,41702,0,0,0,0,80812031,41702,92761181
2,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,14,9,0,1789302066895,1789302067465,570,False,565,439516453,1,19,2347,0,0,0,85791948,41702,0,0,0,0,80804803,41702,99245890
