t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789388270.483324,0.0,695349,10464,0,192,35,38,12667,147030,3285381,116552,1480,63826640,64208164,64771552,0,0,0,1,1,0,7606184,45125825,45799681,13,16,370,1594061,3192021,0,13138916,6094,26233093,78526833,0
1789388270.734678,0.251,695590,10482,0,192,35,38,12668,147173,3285984,126164,1480,63811804,64187196,64771552,0,0,0,0,17,0,7606418,45153522,45827388,13,16,370,1593844,3191586,0,13141580,6167,26245377,78526833,0
1789388270.98533,0.502,695962,10498,0,192,35,38,12672,147183,3286679,133960,1480,63793068,64163836,64771552,0,0,0,1,1,0,7607114,45253438,45927319,13,16,370,1593492,3190880,0,13146485,6201,26254609,78526833,0
1789388271.2357655,0.752,696338,10521,0,192,35,38,12673,147183,3287408,162336,1512,63770456,64126840,64771552,0,0,0,1,1,0,7607951,45425807,46099710,13,16,378,1593286,3190469,0,13150716,6408,26283245,78526833,0
1789388271.486149,1.003,696703,10544,0,192,35,38,12675,147192,3289595,172776,1512,63752524,64103640,64771552,0,0,0,1,1,0,7608763,45568311,46242216,13,16,378,1592970,3189836,0,13153955,6503,26293905,78526833,0
1789388271.7365153,1.253,697073,10566,0,192,35,38,12675,147198,3291302,179380,1512,63741612,64089424,64771552,0,0,0,1,1,0,7609788,45752163,46426067,13,16,378,1592780,3189455,0,13156001,6509,26300305,78526833,0
1789388271.9868636,1.504,697440,10588,0,192,35,38,12676,147208,3292559,187752,1512,63720728,64064340,64771552,0,0,0,0,1,0,7610650,45915065,46588970,13,16,378,1592364,3188621,0,13161055,6509,26308661,78526833,0
1789388272.237208,1.754,697794,10597,0,192,35,38,12680,147239,3296240,190724,1512,63735320,64077400,64771552,0,32,0,1,3,0,7611047,45936538,46610447,13,16,378,1592766,3189427,8,13177025,6517,26311649,78526865,0
1789388272.4876342,2.004,698151,10610,0,192,35,38,12683,147265,3298867,194012,1512,63707668,64048104,64771552,0,32,0,1,1,0,7611613,46010267,46684197,13,16,378,1592117,3188127,8,13184336,6518,26315061,78526865,0
1789388272.7380428,2.255,698516,10621,0,192,35,38,12685,147288,3302022,196912,1512,63687408,64026412,64771552,0,32,0,0,2,0,7612134,46062691,46736624,13,16,378,1591647,3187186,8,13189087,6518,26317833,78526865,0
1789388272.9884953,2.505,698876,10634,0,192,35,38,12688,147310,3306166,200032,1512,63658448,63995884,64771552,0,32,0,1,2,0,7613113,46140757,46814694,13,16,378,1590963,3185817,8,13197013,6526,26321101,78526865,0
1789388273.238938,2.756,699229,10646,0,192,35,38,12689,147343,3309342,203300,1512,63646276,63982076,64771552,0,0,0,1,3,0,7613688,46205842,46879783,13,16,378,1590700,3185290,0,13200063,6532,26324221,78526865,0
1789388273.4893317,3.006,699582,10654,0,192,35,38,12691,147378,3314812,205072,1512,63638104,63973004,64771552,0,0,0,1,1,0,7614337,46248173,46922115,13,16,378,1590519,3184927,0,13201805,6534,26326001,78526865,0
1789388273.7397943,3.256,699928,10666,0,192,35,38,12693,147417,3320201,207528,1512,63623412,63957080,64771552,0,0,0,0,4,0,7614932,46300839,46974781,13,16,378,1590183,3184254,0,13206021,6538,26328453,78526865,0
1789388274.1350646,3.652,700524,10694,0,192,35,38,12695,147425,3322397,235968,1512,63653456,63972688,64771552,0,0,0,1,1,0,7615484,46389782,47063740,13,16,378,1591293,3186477,0,13210072,6766,26357681,78526869,0
1789388274.388138,3.905,700900,10712,0,192,35,38,12696,147429,3323055,250000,1512,63635180,63947228,64771552,0,0,0,1,1,0,7617552,46576294,47250284,13,16,378,1591016,3185923,0,13214008,6874,26371889,78526869,0
1789388274.6386817,4.155,701276,10729,0,192,35,38,12697,147435,3323580,261628,1512,63619808,63925992,64771552,0,0,0,1,1,0,7618484,46745650,47419640,13,16,378,1590779,3185447,0,13218014,6968,26383629,78526869,0
1789388274.8895748,4.406,701643,10743,0,192,35,38,12699,147452,3325659,268048,1512,63601280,63904060,64771552,0,0,0,0,2,0,7619099,46842960,47516962,13,16,378,1590401,3184692,0,13221942,6980,26390277,78526869,0
1789388275.1399837,4.657,702001,10757,0,192,35,38,12700,147478,3327713,271196,1512,63587524,63888728,64771552,0,0,0,0,2,0,7619795,46925999,47600012,13,16,378,1590097,3184083,0,13225622,6984,26393393,78526869,0
1789388275.3903341,4.907,702332,10769,0,192,35,38,12703,147532,3329731,273756,1512,63524064,63823984,64771552,0,0,0,1,3,0,7620198,46971673,47645694,13,16,378,1588545,3180975,0,13243881,6984,26396001,78526869,0
1789388275.6406813,5.157,702682,10779,0,192,35,38,12705,147568,3331827,276444,1512,63500448,63797904,64771552,0,0,0,1,2,0,7620623,47021749,47695770,13,16,378,1587961,3179806,0,13251081,6984,26398729,78526869,0
1789388275.8911345,5.408,703038,10791,0,192,35,38,12707,147598,3336804,280044,1512,63476128,63769960,64771552,0,0,0,0,4,0,7621256,47084384,47758406,13,16,378,1587354,3178590,0,13257237,6987,26402233,78526869,0
1789388276.1415808,5.658,703389,10801,0,192,35,38,12709,147635,3338831,282876,1512,63469084,63760104,64771552,0,0,0,0,2,0,7621800,47133267,47807293,13,16,378,1587178,3178238,0,13259700,6987,26405105,78526869,0
1789388276.3920064,5.909,703737,10809,0,192,35,38,12710,147675,3341522,285208,1612,63456160,63744832,64771552,0,0,0,0,2,0,7622630,47172471,47846499,13,16,403,1586856,3177592,0,13263397,6989,26407433,78526869,0
1789388276.6424422,6.159,704101,10821,0,192,35,38,12712,147697,3343285,288956,1612,63443952,63728936,64771552,0,0,0,1,2,0,7623270,47254106,47928134,13,16,403,1586551,3176982,0,13266794,6989,26411061,78526869,0
1789388276.8928869,6.41,704454,10827,0,192,35,38,12713,147737,3344233,291324,1612,63428952,63711508,64771552,0,0,0,0,3,0,7623514,47288617,47962645,13,16,403,1586177,3176232,0,13271316,6989,26413413,78526869,0
1789388277.1432486,6.66,704778,10829,0,192,35,38,12716,147807,3353099,292008,1612,63424840,63706708,64771552,0,0,0,0,3,0,7624146,47293326,47967354,13,16,403,1586074,3176026,0,13275513,6991,26414097,78526869,0
1789388277.393711,6.91,705110,10831,0,192,35,38,12720,147868,3359287,292620,1612,63418080,63699332,64771552,0,0,0,0,2,0,7624627,47302179,47976221,13,16,403,1585905,3175688,0,13278468,6991,26414709,78526869,0
1789388277.6441891,7.161,705468,10843,0,192,35,38,12721,147893,3362910,296188,1612,63412640,63690408,64771552,0,0,0,1,1,0,7625263,47375628,48049675,13,16,403,1585769,3175416,0,13279802,6994,26418277,78526869,0
1789388277.894637,7.411,705840,10853,0,192,35,38,12722,147911,3364014,299064,1612,63406208,63681084,64771552,0,0,0,0,2,0,7625825,47461690,48135737,13,16,403,1585609,3175095,0,13281623,6994,26421169,78526869,0
1789388278.1451247,7.662,706203,10860,0,192,35,38,12724,147937,3366301,300700,1612,63379532,63652788,64771552,0,0,0,0,6,0,7626299,47497528,48171623,13,16,403,1584943,3173761,0,13286137,6994,26422789,78526869,0
1789388278.3958535,7.913,706559,10872,0,192,35,38,12725,147969,3367285,304296,1612,63357024,63626636,64771552,0,0,0,1,1,0,7627052,47565734,48239864,13,16,403,1584381,3172636,0,13293378,6994,26426385,78526869,0
1789388278.6463153,8.163,706932,10881,0,192,35,38,12726,147985,3368189,306676,1612,63337936,63605124,64771552,0,0,0,0,2,0,7627661,47646759,48320912,13,16,403,1583905,3171682,0,13298292,6994,26428781,78526869,0
1789388278.8967228,8.413,707283,10888,0,192,35,38,12728,148025,3369913,308348,1612,63315248,63580768,64771552,0,0,0,0,2,0,7627974,47684053,48358205,13,16,403,1583338,3170548,0,13304088,6994,26430449,78526869,0
1789388279.1471522,8.664,707643,10896,0,192,35,38,12730,148056,3371716,310180,1612,63292348,63555300,64771552,0,0,0,0,8,0,7628583,47741526,48415684,13,16,403,1582766,3169403,0,13309984,6994,26433137,78526869,0
1789388279.3975797,8.914,707981,10901,0,192,35,38,12732,148109,3376967,311612,1612,63254820,63516344,64771552,0,0,0,0,7,0,7629020,47760251,48434408,13,16,403,1581830,3167527,0,13318242,6994,26434577,78526869,0
1789388279.6479707,9.165,708279,10906,0,192,35,38,12735,148202,3379693,313440,1768,63186100,63445860,64771552,0,0,0,0,5,0,7629172,47764455,48438616,13,16,442,1580114,3164092,0,13333710,6994,26436153,78526869,0
1789388279.8984175,9.415,708647,10917,0,192,35,38,12737,148222,3380643,316504,1768,63162548,63419212,64771552,0,0,0,0,2,0,7629764,47850635,48524833,13,16,442,1579526,3162915,0,13339496,6994,26439189,78526869,0
1789388280.1488068,9.665,709001,10922,0,192,35,38,12740,148260,3383971,317956,1776,63234668,63489860,64771552,0,0,0,0,2,0,7630507,47860607,48534821,13,16,444,1581327,3166520,0,13349395,6994,26440641,78526869,0
1789388280.3992395,9.916,709365,10930,0,192,35,38,12742,148286,3385891,319720,1776,63212604,63466024,64771552,0,0,0,0,3,0,7630904,47912015,48586234,13,16,444,1580776,3165417,0,13354966,6994,26442521,78526869,0
1789388280.649687,10.166,709727,10937,0,192,35,38,12744,148315,3387682,322040,1776,63184156,63435276,64771552,0,0,0,0,5,0,7631306,47958864,48633082,13,16,444,1580066,3163995,0,13362233,6994,26444705,78526869,0
1789388280.900409,10.417,710065,10945,0,192,35,38,12746,148365,3390654,324460,1780,63166372,63415044,64771552,0,0,0,0,2,0,7631687,47992525,48666744,13,16,445,1579622,3163106,0,13366462,6995,26447125,78526869,0
1789388281.1508913,10.668,710366,10946,0,192,35,38,12750,148460,3400172,325152,1844,63163992,63411948,64771552,0,0,0,0,3,0,7632539,47996825,48671045,13,16,461,1579562,3162987,0,13369323,6996,26447817,78526933,0
1789388281.4015443,10.918,710640,10963,0,192,35,38,12759,148558,3409716,481936,1844,63073120,63164276,64771552,0,0,0,1,3,0,7633129,48015284,48689504,13,16,461,1577294,3158445,0,13391357,6996,26604617,78526933,0
1789388281.6520178,11.169,710895,10964,0,192,35,38,12770,148689,3419638,482632,1844,62949668,63039856,64771552,0,0,0,0,6,0,7633713,48017537,48691758,13,16,461,1574212,3152274,0,13420889,6996,26605333,78526933,0
1789388281.9025078,11.419,711155,10976,0,192,35,38,12789,148798,3427941,718728,115352,62762752,62615904,64771552,0,0,0,3,3,0,7634125,48028259,48702510,13,16,28838,1569523,3142884,0,13458254,6996,26728569,78526933,0
1789388282.1530976,11.67,711442,10984,0,192,35,38,12804,148884,3432842,960708,266616,62612808,62222072,64771552,0,0,0,3,2,0,7634408,48044486,48718736,13,16,66654,1565730,3135289,0,13506934,6996,26819861,78526933,0
1789388282.4036741,11.92,711739,10995,0,192,35,38,12819,148961,3435580,1221088,428404,62520928,61868248,64771552,0,0,0,0,6,0,7634802,48073325,48747576,13,17,107101,1563400,3130624,0,13518878,6996,26917221,78526933,0
1789388282.6543539,12.171,711965,11011,0,192,35,38,12854,149082,3441623,1430076,481448,62315576,61452912,64771552,0,0,0,0,6,0,7635454,48088531,48762783,13,17,120465,1558248,3120307,0,13532123,6996,27073157,78526933,0
1789388282.90486,12.422,712232,11027,0,192,35,38,12874,149181,3448260,1729916,625224,62262976,61098784,64771552,0,0,0,0,6,0,7635900,48116825,48791077,13,17,156306,1556894,3117595,0,13560854,6996,27229093,78526933,0
1789388283.1553314,12.672,712507,11040,0,192,35,38,12892,149273,3453953,2026848,765988,62228176,60765112,64771552,0,0,0,0,5,0,7636377,48138951,48813204,13,17,191598,1555977,3115758,0,13574867,6996,27385029,78526933,0
1789388283.4058208,12.922,712794,11041,0,192,35,38,12928,149350,3456750,2212588,905200,61921076,60270612,64771552,0,0,0,0,10,0,7636920,48141446,48815726,13,17,226300,1548269,3100324,0,13583164,6996,27432437,78526933,0
1789388283.656463,13.173,713080,11054,0,192,35,38,12941,149439,3462159,2527808,1030972,61982676,60015184,64771552,0,0,0,2,4,0,7637400,48165495,48839865,13,17,257743,1549774,3103338,0,13595606,6996,27622209,78526933,0
1789388283.9069545,13.424,713359,11061,0,192,35,38,12958,149535,3467787,2858688,1184904,61982900,59682904,64771552,0,0,0,1,5,0,7637787,48178089,48852459,13,17,296226,1549717,3103223,0,13620648,6996,27798325,78526933,0
1789388284.1574256,13.674,713641,11064,0,192,35,38,12986,149622,3469863,3113272,1346236,61863420,59306544,64771552,0,0,0,0,6,0,7638087,48186271,48860641,13,17,336456,1546677,3097135,0,13626666,6996,27891821,78526933,0
1789388284.4079041,13.925,713900,11069,0,192,35,38,13013,149730,3476207,3375836,1450240,61774552,58953660,64771552,0,0,0,1,5,0,7638471,48192892,48867265,13,17,362661,1544442,3092661,0,13652918,6996,28050133,78526933,0
1789388284.6583622,14.175,714183,11073,0,192,35,38,13027,149827,3481714,3725600,1607328,61850236,58677128,64771552,0,0,0,0,8,0,7638932,48203061,48877434,13,17,401832,1546259,3096299,0,13665408,6996,28242829,78526933,0
1789388284.9088478,14.426,714472,11076,0,192,35,38,13049,149912,3483934,4001656,1766564,61744180,58292932,64771552,0,0,0,0,6,0,7639227,48210385,48884758,13,17,441641,1543561,3090896,0,13669904,6996,28359629,78526933,0
1789388285.1593254,14.676,714757,11082,0,192,35,38,13078,149993,3489380,4269112,1878084,61661112,57940928,64771552,0,0,0,0,5,0,7639759,48221484,48895856,13,17,469521,1541450,3086670,0,13685873,6996,28515565,78526933,0
1789388285.4098063,14.926,715055,11088,0,192,35,38,13089,150077,3492415,4628056,2047076,61748400,57666484,64771552,0,0,0,0,5,0,7640191,48237449,48911822,13,17,511769,1543559,3090892,0,13685894,6996,28705753,78526933,0
1789388285.6602893,15.177,715345,11091,0,192,35,38,13114,150158,3494602,4912976,2210476,61675428,57306384,64771552,0,0,0,0,5,0,7640469,48245103,48919476,13,17,552619,1541683,3087136,0,13690125,6996,28827437,78526933,0
1789388285.9107487,15.427,715613,11096,0,192,35,38,13143,150258,3500662,5181668,2322868,61651020,57012168,64771552,0,0,0,0,5,0,7640895,48253033,48927412,13,17,580717,1541045,3085859,0,13701274,6996,28983373,78526933,0
1789388286.1612196,15.678,715908,11102,0,192,35,38,13154,150345,3503506,5521808,2493576,61755456,56773340,64771552,0,0,0,1,4,0,7641489,48265563,48939943,13,17,623394,1543574,3090922,0,13702908,6996,29153357,78527453,0
1789388286.4116876,15.928,716201,11112,0,192,35,38,13178,150417,3509285,5807276,2637020,61669816,56400304,64771552,0,0,0,0,5,0,7641978,48286531,48960910,13,17,659152,1541379,3086526,0,13731580,6996,29295245,78527453,0
1789388286.6623952,16.179,716494,11118,0,192,35,38,13207,150492,3512509,6081188,2755236,61509664,55964516,64771552,0,0,0,0,5,0,7642387,48301310,48975689,13,17,688913,1537358,3078476,0,13737360,6996,29451181,78527453,0
1789388286.9131162,16.43,716770,11124,0,192,35,38,13225,150592,3518440,6388176,2905796,61514184,55659716,64771552,0,0,0,0,5,0,7642842,48312408,48986787,13,17,726449,1537403,3078565,0,13770301,6996,29607117,78527453,0
1789388287.1638439,16.681,717048,11129,0,192,35,38,13241,150692,3521021,6705500,3067708,61546012,55371772,64771552,0,0,0,0,6,0,7643195,48322870,48997250,13,17,766927,1538136,3080033,0,13772934,6996,29763053,78527453,0
1789388287.4145453,16.931,717316,11133,0,192,35,38,13276,150784,3525596,6972932,3178932,61369720,54926292,64771552,0,0,0,0,5,0,7643715,48331675,49006058,13,17,794733,1533691,3071133,0,13790707,6996,29918989,78527453,0
1789388287.6651483,17.182,717611,11138,0,192,35,38,13289,150869,3529222,7300104,3350424,61462736,54689816,64771552,0,0,0,0,5,0,7644111,48344729,49019113,13,17,837606,1535955,3075667,0,13802397,6996,30074925,78527453,0
1789388287.9156208,17.432,717892,11143,0,192,35,38,13305,150967,3531688,7618404,3512664,61478216,54384660,64771552,0,0,0,0,6,0,7644424,48353166,49027549,13,17,878267,1536283,3076323,0,13804936,6996,30230861,78527453,0
1789388288.1663363,17.683,718157,11149,0,192,35,38,13342,151060,3536291,7879576,3617768,61225544,53869364,64771552,0,0,0,0,5,0,7644946,48362954,49037376,13,17,904442,1529939,3063619,0,13826289,6996,30386797,78527453,0
1789388288.4168177,17.933,718453,11153,0,192,35,38,13355,151147,3538552,8214196,3796624,61457736,53764216,64771552,0,0,0,0,5,0,7645248,48373181,49047604,13,17,949156,1535668,3075092,0,13826295,6996,30542733,78527453,0
1789388288.6672997,18.184,718727,11157,0,192,35,38,13378,151247,3543579,8526616,3952864,61390792,53382692,64771552,0,0,0,0,5,0,7645591,48379836,49054259,13,17,988216,1533941,3071633,0,13846028,6996,30698669,78527453,0
1789388288.9180393,18.435,718999,11162,0,192,35,38,13407,151339,3546823,8804880,4075072,61210172,52921932,64771552,0,0,0,0,7,0,7645976,48388868,49063294,13,17,1018768,1529387,3062515,0,13852898,6996,30854605,78527453,0
1789388289.1685524,18.685,719282,11169,0,192,35,38,13417,151439,3549196,9126176,4240464,61347820,52735732,64771552,0,0,0,0,5,0,7646439,48396945,49071384,13,17,1060318,1532758,3069264,0,13854416,6996,31010541,78527453,0
1789388289.4192722,18.936,719557,11174,0,192,35,38,13441,151533,3555672,9425492,4384164,61308324,52395356,64771552,0,0,0,0,5,0,7646941,48406498,49080939,13,17,1096041,1531725,3067195,0,13880112,6997,31166509,78527453,0
1789388289.6700277,19.187,719840,11180,0,192,35,38,13472,151612,3559492,9690556,4493084,61168848,51988716,64771552,0,0,0,0,5,0,7647257,48417660,49092102,13,17,1123271,1528201,3060138,0,13888437,6997,31322465,78527453,0
1789388289.9207711,19.437,720130,11185,0,192,35,38,13490,151702,3566469,10014656,4661248,61158732,51652196,64771552,0,0,0,0,6,0,7647683,48428624,49103065,13,17,1165312,1527890,3059517,0,13911079,6997,31478401,78527453,0
1789388290.171471,19.688,720413,11189,0,192,35,38,13508,151798,3569162,10335056,4834920,61181160,51351576,64771552,0,0,0,0,5,0,7648031,48437020,49111461,13,17,1208730,1528384,3060506,0,13913418,6997,31626057,78527453,0
1789388290.4222534,19.939,720706,11196,0,192,35,38,13539,151868,3572207,10612260,4946852,61039788,50931384,64771552,0,0,0,0,5,0,7648635,48449246,49123692,13,17,1236713,1524815,3053358,0,13919076,6997,31790333,78527453,0
1789388290.672972,20.19,720979,11201,0,192,35,38,13558,151969,3578057,10918000,5097124,61153444,50736892,64771552,0,0,0,0,5,0,7649010,48459752,49134199,13,17,1274281,1527592,3058920,0,13952316,6997,31946269,78527453,0
1789388290.9234483,20.44,721278,11205,0,192,35,38,13577,152049,3580292,11235816,5270400,61142976,50406116,64771552,0,0,0,0,5,0,7649296,48467308,49141755,13,17,1317600,1527270,3058275,0,13954730,6997,32091049,78527453,0
1789388291.1742117,20.691,721570,11213,0,192,35,38,13606,152120,3583225,11509428,5385708,61011896,49999948,64771552,0,0,0,1,4,0,7649911,48486312,49160761,13,17,1346427,1523959,3051645,0,13960199,6997,32249417,78527981,0
1789388291.424935,20.942,721867,11227,0,192,35,38,13620,152192,3588650,11815656,5526152,61045384,49724860,64771552,0,0,0,0,5,0,7650461,48520860,49195309,13,17,1381538,1524737,3053202,0,13981741,6997,32414077,78527981,0
1789388291.6756659,21.192,722166,11235,0,192,35,38,13636,152269,3590756,12100020,5694288,61058372,49451040,64771552,0,0,0,1,4,0,7650798,48540064,49214515,13,17,1423572,1525000,3053729,0,13983702,6997,32531413,78527981,0
1789388291.9262128,21.443,722444,11238,0,192,35,38,13672,152350,3595496,12368696,5808728,60828704,48951024,64771552,0,0,0,0,6,0,7651206,48546963,49221414,13,17,1452182,1519225,3042164,0,14005067,6997,32685257,78527981,0
1789388292.176668,21.693,722739,11243,0,192,35,38,13688,152434,3598198,12728384,5971188,61375748,49135972,64771552,0,0,0,0,5,0,7651802,48559439,49233890,13,17,1492797,1532821,3069390,0,14005069,6997,32881861,78527981,0
1789388292.4270754,21.944,723028,11248,0,192,35,38,13710,152516,3602644,13015244,6091648,61334712,48805584,64771552,0,8192,0,1,6,0,7652167,48568181,49242643,13,17,1522501,1531745,3067235,2560,14024169,6997,32998965,78577169,0
1789388292.6776845,22.194,723312,11269,0,192,35,38,13743,152578,3611349,13251928,5917464,61162284,48394856,64771552,0,0,0,1,4,0,7652974,48606278,49280998,13,17,1479366,1527390,3058514,0,14030343,6997,33127549,78860097,0
1789388292.9281256,22.445,723612,11284,0,192,35,38,13754,152651,3614201,13580420,6065812,61270556,48172252,64771552,0,0,0,2,3,0,7653509,48644237,49318957,13,17,1516453,1530033,3063808,0,14030343,6997,33307393,78860097,0
