t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789388855.7139919,0.0,1440577,29724,0,192,43,40,32290,297047,9003267,116536,1488,63868904,64250788,64771552,0,0,0,1,1,0,8690628,104949408,105754892,16,20,372,635710,1275321,0,24979922,18442,129437929,155900577,0
1789388855.9644244,0.25,1440820,29742,0,192,43,40,32292,297187,9003859,126244,1488,63849848,64225524,64771552,0,0,0,1,16,0,8690791,104977518,105783054,16,20,372,635582,1275065,0,24982584,18515,129450233,155900577,0
1789388856.2150185,0.501,1441189,29759,0,192,43,40,32295,297198,9004613,134100,1488,63840080,64211404,64771552,0,0,0,1,1,0,8691836,105068485,105874146,16,20,372,635529,1274957,0,24987544,18549,129459677,155900577,0
1789388856.465445,0.751,1441564,29781,0,192,43,40,32296,297199,9005378,162348,1520,63813820,64170572,64771552,0,0,0,0,2,0,8692692,105228463,106034136,16,20,380,635412,1274723,0,24991755,18757,129488153,155900577,0
1789388856.715828,1.002,1441929,29805,0,192,43,40,32298,297209,9007526,172992,1520,63797880,64149208,64771552,0,0,0,0,2,0,8693475,105371018,106176709,16,20,380,635308,1274513,0,24994973,18851,129498769,155900577,0
1789388856.966199,1.252,1442299,29827,0,192,43,40,32298,297214,9009212,179376,1520,63787264,64135404,64771552,0,0,0,1,1,0,8694435,105553303,106359004,16,20,380,635234,1274365,0,24997019,18857,129505169,155900577,0
1789388857.216504,1.503,1442666,29848,0,192,43,40,32300,297224,9010538,187764,1520,63766824,64110764,64771552,0,0,0,0,1,0,8695890,105715291,106521098,16,20,380,635072,1274041,0,25002099,18857,129513541,155900577,0
1789388857.466858,1.753,1443021,29857,0,192,43,40,32305,297254,9014224,190708,1520,63765232,64107672,64771552,0,0,0,1,3,0,8696594,105745413,106551224,16,20,380,635071,1274039,0,25017906,18865,129516505,155900609,0
1789388857.7173169,2.003,1443377,29870,0,192,43,40,32307,297284,9016776,194000,1520,63740560,64081348,64771552,0,0,0,0,2,0,8697240,105817797,106623609,16,20,380,634842,1273580,0,25024974,18866,129519893,155900609,0
1789388857.967798,2.254,1443742,29882,0,192,43,40,32308,297305,9019439,197004,1520,63721100,64060392,64771552,0,0,0,1,1,0,8697971,105900181,106705992,16,20,380,634664,1273221,0,25029731,18866,129522777,155900609,0
1789388858.218244,2.504,1444102,29896,0,192,43,40,32311,297327,9023166,200408,1520,63693828,64031408,64771552,0,0,0,1,1,0,8698741,105985818,106791629,16,20,380,634409,1272711,0,25037568,18874,129526201,155900609,0
1789388858.4686897,2.755,1444454,29907,0,192,43,40,32313,297362,9026557,203336,1520,63681024,64017120,64771552,0,0,0,0,3,0,8699306,106043206,106849024,16,20,380,634297,1272485,0,25040260,18879,129529173,155900609,0
1789388858.7191339,3.005,1444811,29916,0,192,43,40,32314,297393,9031464,205472,1520,63673440,64008476,64771552,0,0,0,1,2,0,8700034,106098190,106904028,16,20,380,634232,1272355,0,25042029,18881,129531257,155900609,0
1789388858.9695947,3.256,1445151,29929,0,192,43,40,32318,297435,9037216,208052,1520,63700164,64033908,64771552,0,0,0,1,1,0,8700792,106148071,106953928,16,20,380,634510,1272914,0,25046596,18885,129533861,155900609,0
1789388859.2644422,3.55,1445595,29954,0,192,43,40,32320,297438,9038222,235928,1520,63681984,64001464,64771552,0,0,0,1,1,0,8701833,106378386,107184301,16,20,380,634473,1272838,0,25049968,19113,129562561,155900613,0
1789388859.5169733,3.803,1445971,29973,0,192,43,40,32321,297443,9038847,249956,1520,63665196,63977488,64771552,0,0,0,1,1,0,8702609,106564652,107370568,16,20,380,634376,1272644,0,25053902,19221,129576761,155900613,0
1789388859.7675936,4.054,1446346,29989,0,192,43,40,32322,297451,9039376,261572,1520,63648812,63955244,64771552,0,0,0,1,1,0,8703511,106733892,107539807,16,20,380,634271,1272434,0,25057912,19315,129588509,155900613,0
1789388860.0180295,4.304,1446713,30004,0,192,43,40,32324,297467,9041474,268008,1520,63634184,63937312,64771552,0,0,0,0,3,0,8704148,106814686,107620609,16,20,380,634159,1272208,0,25061721,19327,129595105,155900613,0
