t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789389487.8567882,0.0,2247219,50434,0,192,52,42,53565,457231,15893146,116588,2016,63871044,64253028,64771552,0,60,0,1,1,0,9972269,170184272,171112291,25,28,504,156008,315917,15,37527583,31681,241227905,252600329,0
1789389488.1076753,0.251,2247461,50451,0,192,52,42,53566,457371,15893790,126388,1432,63857400,64233196,64771552,0,0,0,1,16,0,9974095,170212166,171140282,25,28,358,155990,315881,0,37530245,31754,241240357,252600329,0
1789389488.3582435,0.501,2247832,50468,0,192,52,42,53570,457382,15894516,133704,1432,63841736,64213156,64771552,0,0,0,1,1,0,9974617,170305005,171233128,25,28,358,155963,315825,0,37535187,31788,241249653,252600329,0
1789389488.60867,0.752,2248207,50490,0,192,52,42,53572,457383,15895244,162420,1464,63812348,64169264,64771552,0,0,0,1,1,0,9975315,170461805,171389932,25,28,366,155926,315752,0,37539408,31997,241278149,252600329,0
1789389488.8590293,1.002,2248572,50514,0,192,52,42,53574,457393,15897368,173036,1464,63798128,64149728,64771552,0,0,0,1,2,0,9976063,170599954,171528086,25,28,366,155905,315708,0,37542610,32091,241288765,252600329,0
1789389489.1093693,1.253,2248942,50536,0,192,52,42,53574,457400,15898990,179436,1464,63788272,64136688,64771552,0,0,0,1,1,0,9977036,170782376,171710513,25,28,366,155888,315675,0,37544673,32097,241295193,252600329,0
1789389489.359684,1.503,2249309,50557,0,192,52,42,53575,457409,15900246,187788,1464,63765620,64109836,64771552,0,0,0,0,1,0,9978075,170943959,171872105,25,28,366,155843,315583,0,37549735,32097,241303517,252600329,0
1789389489.6100082,1.753,2249664,50566,0,192,52,42,53580,457440,15903805,190756,1496,63765252,64107976,64771552,0,0,0,1,3,0,9978438,170965412,171893561,25,28,374,155846,315589,0,37565269,32105,241306465,252600361,0
1789389489.860456,2.004,2250020,50579,0,192,52,42,53582,457468,15906428,194076,1496,63734912,64075964,64771552,0,0,0,1,1,0,9979080,171038596,171966765,25,28,374,155776,315447,0,37572699,32106,241309913,252600361,0
1789389490.1109176,2.254,2250385,50591,0,192,52,42,53584,457491,15909569,196956,1464,63715268,64054896,64771552,0,0,0,1,1,0,9980062,171123094,172051328,25,28,366,155732,315357,0,37577447,32106,241312777,252600361,0
