t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789388705.2139559,0.0,1247517,24856,0,192,41,39,27395,259611,7551921,116576,1368,63854660,64236792,64771552,0,0,0,1,1,0,8416049,89753573,90525915,16,19,342,1594776,3193451,0,22213315,15376,103642781,135300001,0
1789388705.4647799,0.251,1247756,24873,0,192,41,39,27396,259755,7552507,125976,1368,63838908,64215040,64771552,0,0,0,0,17,0,8416699,89857510,90630047,16,19,342,1594532,3192963,0,22215978,15449,103654937,135300001,0
1789388705.715368,0.501,1248130,24890,0,192,41,39,27399,259763,7553204,133512,1368,63824564,64196392,64771552,0,0,0,1,1,0,8417422,89961889,90734470,16,19,342,1594281,3192461,0,22220914,15483,103664041,135300001,0
1789388705.9658184,0.752,1248505,24913,0,192,41,39,27401,259764,7553915,162200,1400,63794684,64151776,64771552,0,0,0,1,1,0,8418143,90119410,90891993,16,19,350,1593903,3191704,0,22225144,15688,103692789,135300001,0
1789388706.216196,1.002,1248870,24936,0,192,41,39,27402,259774,7556107,172780,1400,63778380,64130148,64771552,0,0,0,1,1,0,8418974,90263026,91035627,16,19,350,1593629,3191156,0,22228362,15785,103703357,135300001,0
1789388706.466568,1.253,1249240,24958,0,192,41,39,27403,259780,7557773,179380,1400,63766224,64114716,64771552,0,0,0,1,1,0,8419809,90447746,91220390,16,19,350,1593409,3190715,0,22230403,15791,103709949,135300001,0
1789388706.7169166,1.503,1249607,24980,0,192,41,39,27404,259790,7559054,187784,1400,63743108,64087360,64771552,0,0,0,0,1,0,8420487,90610701,91383391,16,19,350,1592936,3189768,0,22235516,15791,103718349,135300001,0
1789388706.967268,1.753,1249962,24989,0,192,41,39,27409,259820,7562736,190772,1432,63737972,64080732,64771552,0,0,0,1,3,0,8421248,90632140,91404837,16,19,358,1592845,3189586,0,22251387,15799,103721313,135300033,0
1789388707.217962,2.004,1250319,25002,0,192,41,39,27410,259847,7565287,193996,1400,63715768,64056912,64771552,0,0,0,1,1,0,8421809,90706410,91479122,16,19,350,1592331,3188557,0,22258907,15800,103724581,135300033,0
1789388707.4684412,2.254,1250684,25013,0,192,41,39,27412,259870,7568274,196952,1400,63694916,64034596,64771552,0,0,0,0,2,0,8422793,90791945,91564664,16,19,350,1591848,3187588,0,22263737,15800,103727517,135300033,0
1789388707.7189438,2.505,1251044,25027,0,192,41,39,27416,259892,7572362,200256,1400,63666924,64004884,64771552,0,0,0,1,1,0,8423208,90834298,91607020,16,19,350,1591192,3186274,0,22271558,15809,103730861,135300033,0
1789388707.9694178,2.755,1251397,25039,0,192,41,39,27417,259925,7575486,203344,1400,63657688,63994084,64771552,0,0,0,0,3,0,8423715,90897470,91670193,16,19,350,1591000,3185891,0,22274537,15814,103733925,135300033,0
1789388708.2199209,3.006,1251752,25047,0,192,41,39,27419,259958,7580695,205112,1400,63649912,63985420,64771552,0,0,0,0,3,0,8424679,90941287,91714018,16,19,350,1590828,3185547,0,22276298,15816,103735713,135300033,0
1789388708.4706,3.257,1252094,25058,0,192,41,39,27422,260000,7585840,207552,1400,63633988,63968268,64771552,0,0,0,0,3,0,8425482,90991106,91763836,16,19,350,1590461,3184812,0,22280625,15820,103738145,135300033,0
1789388708.866194,3.652,1252693,25086,0,192,41,39,27425,260007,7587824,235992,1400,63666700,63986444,64771552,0,0,0,1,1,0,8426519,91192579,91965322,16,19,350,1591641,3187174,0,22284355,16048,103767377,135300037,0
1789388709.1188066,3.905,1253068,25105,0,192,41,39,27426,260012,7588464,250032,1400,63650060,63962612,64771552,0,0,0,1,1,0,8427379,91378902,92151645,16,19,350,1591405,3186702,0,22288279,16156,103781585,135300037,0
1789388709.369253,4.155,1253444,25122,0,192,41,39,27427,260019,7589007,261644,1400,63633452,63940144,64771552,0,0,0,0,2,0,8430028,91548385,92321156,16,19,350,1591137,3186164,0,22292283,16250,103793325,135300037,0
