t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789389537.4138198,0.0,2310772,52126,0,192,52,42,55235,469429,16420276,116576,1508,63880956,64262984,64771552,0,0,0,1,1,0,10068928,175338089,176272923,28,32,377,156032,315966,0,38515144,32712,249826681,260742489,0
1789389537.6642456,0.25,2311012,52143,0,192,52,42,55236,469570,16420863,126208,1508,63865620,64241500,64771552,0,0,0,1,16,0,10069169,175365872,176300753,28,32,377,156010,315920,0,38517807,32785,249838973,260742489,0
1789389537.9148178,0.501,2311384,52160,0,192,52,42,55238,469579,16421569,134868,1508,63850100,64221256,64771552,0,0,0,1,1,0,10069788,175461491,176396495,28,32,377,155983,315867,0,38522790,32821,249849025,260742489,0
1789389538.1652517,0.751,2311759,52182,0,192,52,42,55239,469580,16422298,162452,1540,63825168,64181956,64771552,0,0,0,0,2,0,10070634,175623524,176558540,28,32,385,155958,315814,0,38527039,33030,249876889,260742489,0
1789389538.4156685,1.002,2312124,52206,0,192,52,42,55242,469591,16424530,173092,1540,63807492,64158920,64771552,0,0,0,1,1,0,10071438,175766067,176701087,28,32,385,155927,315754,0,38530210,33121,249887537,260742489,0
1789389538.6661222,1.252,2312495,52228,0,192,52,42,55242,469596,16426162,179488,1540,63797364,64145588,64771552,0,0,0,0,2,0,10072448,175950496,176885516,28,32,385,155911,315719,0,38532221,33127,249893949,260742489,0
1789389538.916565,1.503,2312862,52249,0,192,52,42,55244,469606,16427472,187800,1540,63774668,64118736,64771552,0,0,0,1,1,0,10073279,176112690,177047709,28,32,385,155865,315628,0,38537334,33127,249902293,260742489,0
1789389539.1670496,1.753,2313215,52258,0,192,52,42,55250,469640,16431124,190816,1540,63773468,64116052,64771552,0,0,0,0,4,0,10074500,176133785,177068805,28,32,385,155866,315629,0,38553403,33135,249905249,260742521,0
1789389539.4175026,2.004,2313571,52271,0,192,52,42,55253,469668,16433800,194044,1540,63746664,64087648,64771552,0,0,0,1,1,0,10074967,176193476,177128662,28,32,385,155804,315505,0,38560222,33136,249908657,260742521,0
1789389539.667987,2.254,2313936,52282,0,192,52,42,55255,469690,16436640,196976,1540,63727164,64066692,64771552,0,0,0,1,1,0,10075672,176274851,177210124,28,32,385,155760,315415,0,38564924,33136,249911421,260742521,0
