stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789388372238,1789388372710,472,False,373,45873720,61,10,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789388373877,1789388375053,1176,False,1137,805724863,27,41,2342,0,0,0,97934931,394773,0,0,0,0,92668768,394773,133482081
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789388373877,1789388375085,1208,False,1175,879780657,27,43,2299,0,0,0,97934922,394773,0,0,0,0,92676044,394773,134388612
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789388373874,1789388375095,1221,False,1186,811669778,28,43,2299,0,0,0,97934931,394773,0,0,0,0,92675513,394773,151332783
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789388373877,1789388375102,1225,False,1194,845291680,28,43,2299,0,0,0,97934931,394773,0,0,0,0,92668586,394773,152312554
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789388375051,1789388375755,704,False,697,586636710,3,18,2299,0,0,0,97934922,394773,0,0,0,0,92670932,394773,102741536
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789388375084,1789388375791,707,False,701,575152633,2,16,2299,0,0,0,97934922,394773,0,0,0,0,92672546,394773,106178356
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789388375094,1789388375834,740,False,732,596602785,2,20,2299,0,0,0,97934922,394773,0,0,0,0,92671137,394773,113426898
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789388375101,1789388375834,733,False,722,590396924,1,20,2342,0,0,0,97934922,394773,0,0,0,0,92670947,394773,111558335
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789388375754,1789388376454,700,False,693,593775394,1,22,2299,0,0,0,97934922,394773,0,0,0,0,92674956,394773,105279429
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789388375790,1789388376470,680,False,674,587952511,2,22,2299,0,0,0,97934922,394773,0,0,0,0,92671265,394773,107107602
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789388375832,1789388376496,664,False,657,574932104,2,18,2299,0,0,0,97934922,394773,0,0,0,0,92677912,394773,105794044
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789388375833,1789388376506,673,False,668,576248510,2,18,2299,0,0,0,97934922,394773,0,0,0,0,92674258,394773,105156058
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789388376452,1789388377092,640,False,633,576471283,2,21,2299,0,0,0,97934922,394773,0,0,0,0,92671871,394773,102218783
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789388376469,1789388377128,659,False,654,596406049,1,21,2299,0,0,0,97934922,394773,0,0,0,0,92678702,394773,104878437
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789388376495,1789388377155,660,False,655,582059374,2,21,2299,0,0,0,97934913,394773,0,0,0,0,92678520,394773,108616812
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789388376505,1789388377180,675,False,668,596687756,3,21,2299,0,0,0,97934913,394773,0,0,0,0,92671448,394773,107035558
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789388377091,1789388377709,618,False,613,565497953,1,15,2299,0,0,0,97934913,394773,0,0,0,0,92678264,394773,101814313
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789388377127,1789388377746,619,False,614,571320407,1,15,2299,0,0,0,97934913,394773,0,0,0,0,92671134,394773,103347632
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789388377155,1789388377769,614,False,610,563840913,1,15,2299,0,0,0,97934913,394773,0,0,0,0,92670000,394773,104985930
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789388377179,1789388377819,640,False,633,576663828,2,24,2299,0,0,0,97934913,394773,0,0,0,0,92671863,394773,116323852
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789388377708,1789388378333,625,False,619,580099156,1,11,2299,0,0,0,97934913,394773,0,0,0,0,92676531,394773,105589907
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789388377746,1789388378368,622,False,617,575276881,1,11,2299,0,0,0,97934913,394773,0,0,0,0,92675136,394773,108252891
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789388377769,1789388378391,622,False,618,579007299,1,11,2299,0,0,0,97934913,394773,0,0,0,0,92672175,394773,107390604
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789388377818,1789388378437,619,False,614,577424448,1,8,2299,0,0,0,97934913,394773,0,0,0,0,92673721,394773,111708403
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789388378333,1789388378953,620,False,615,566870853,1,6,2299,0,0,0,97934907,394773,0,0,0,0,92670223,394773,102359042
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789388378367,1789388379010,643,False,638,596001839,1,6,2299,0,0,0,97934904,394773,0,0,0,0,92674298,394773,113568776
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789388378390,1789388379023,633,False,625,572336232,1,10,2342,0,0,0,97934904,394773,0,0,0,0,92674411,394773,105822489
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789388378437,1789388379051,614,False,608,571539961,1,7,2299,0,0,0,97934904,394773,0,0,0,0,92665823,394773,114524749
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789388378952,1789388379644,692,False,686,582217783,2,20,2299,0,0,0,97934904,394773,0,0,0,0,92672272,394773,105148915
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789388379010,1789388379671,661,False,658,571499881,1,20,2299,0,0,0,97934904,394773,0,0,0,0,92673004,394773,105415364
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789388379022,1789388379693,671,False,665,569613665,2,16,2299,0,0,0,97934904,394773,0,0,0,0,92672709,394773,105810533
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789388379050,1789388379711,661,False,656,570200746,1,13,2299,0,0,0,97934904,394773,0,0,0,0,92667080,394773,105854740
1,save at NativeMethodAccessorImpl.java:0,33,32,0,1789388379643,1789388380276,633,False,626,576741638,1,18,2299,0,0,0,97934904,394773,0,0,0,0,92671997,394773,105839087
1,save at NativeMethodAccessorImpl.java:0,34,33,0,1789388379671,1789388380298,627,False,623,574406479,1,18,2299,0,0,0,97934904,394773,0,0,0,0,92669925,394773,106546956
