t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789388422.2862399,0.0,890172,15216,0,192,37,38,17652,184787,4732433,116680,1248,63889324,64267876,64771552,0,0,0,1,1,0,7884582,60236833,60943569,13,17,312,1595556,3195013,0,16459257,9270,52040173,98100561,0
1789388422.5366714,0.25,890417,15234,0,192,37,38,17653,184923,4733033,126256,1248,63879152,64255452,64771552,0,0,0,0,17,0,7884769,60265736,60972505,13,17,312,1595548,3194998,0,16461913,9343,52052345,98100561,0
1789388422.7872381,0.501,890783,15250,0,192,37,38,17654,184937,4733719,133088,1248,63864644,64236960,64771552,0,0,0,1,1,0,7885778,60349303,61056120,13,17,312,1595286,3194472,0,16466821,9376,52061053,98100561,0
1789388423.0376654,0.751,891158,15273,0,192,37,38,17656,184938,4734444,162128,1280,63835744,64193288,64771552,0,0,0,0,2,0,7886479,60505140,61211961,13,17,320,1594933,3193766,0,16471047,9580,52090193,98100561,0
1789388423.2880955,1.002,891524,15296,0,192,37,38,17657,184947,4736593,172752,1400,63819608,64171612,64771552,0,0,0,1,2,0,7887285,60651565,61358440,13,17,350,1594668,3193236,0,16474237,9679,52100769,98100561,0
1789388423.5387716,1.253,891894,15318,0,192,37,38,17658,184954,4738313,179356,1400,63808196,64156924,64771552,0,0,0,1,1,0,7888220,60830693,61537568,13,17,350,1594465,3192829,0,16476337,9685,52107373,98100561,0
1789388423.7892206,1.503,892261,15340,0,192,37,38,17660,184963,4739612,187744,1400,63785032,64129568,64771552,0,0,0,0,3,0,7889090,60995854,61702730,13,17,350,1593992,3191881,0,16481445,9685,52115777,98100561,0
1789388424.039696,1.753,892616,15349,0,192,37,38,17664,184995,4743735,190724,1400,63789996,64133016,64771552,0,0,0,1,3,0,7890743,61017268,61724143,13,17,350,1594153,3192205,0,16496971,9693,52118729,98100593,0
1789388424.290351,2.004,892973,15362,0,192,37,38,17667,185022,4745779,194004,1400,63762488,64103864,64771552,0,0,0,1,1,0,7891291,61091297,61798187,13,17,350,1593508,3190912,0,16504370,9694,52122009,98100593,0
1789388424.540836,2.255,893337,15373,0,192,37,38,17668,185045,4748906,196732,1400,63742428,64082444,64771552,0,0,0,1,2,0,7892187,61131369,61838262,13,17,350,1593041,3189977,0,16509233,9694,52124953,98100593,0
1789388424.791299,2.505,893697,15388,0,192,37,38,17671,185067,4752722,200092,1400,63711024,64049312,64771552,0,0,0,1,1,0,7892828,61215163,61922064,13,17,350,1592300,3188494,0,16517163,9701,52128353,98100593,0
1789388425.0417674,2.756,894050,15399,0,192,37,38,17672,185099,4756253,203364,1400,63700128,64036756,64771552,0,0,0,0,2,0,7894426,61276412,61983313,13,17,350,1592070,3188032,0,16520040,9706,52131381,98100593,0
1789388425.292191,3.006,894407,15408,0,192,37,38,17674,185129,4761343,205360,1400,63690316,64025960,64771552,0,0,0,1,1,0,7894910,61320075,62026986,13,17,350,1591849,3187591,0,16522084,9708,52133381,98100593,0
1789388425.5426576,3.256,894749,15420,0,192,37,38,17679,185170,4767304,207824,1400,63716844,64051272,64771552,0,0,0,1,1,0,7895443,61367371,62074282,13,17,350,1592542,3188978,0,16526769,9712,52135845,98100593,0
1789388425.941908,3.656,895358,15447,0,192,37,38,17680,185173,4768470,235992,1400,63696112,64016116,64771552,0,0,0,1,1,0,7896489,61593265,62300382,13,17,350,1592384,3188662,0,16530130,9940,52164805,98100597,0
1789388426.195262,3.909,895735,15465,0,192,37,38,17682,185179,4769102,250016,1400,63679152,63991988,64771552,0,0,0,1,1,0,7897449,61780224,62487358,13,17,350,1592140,3188173,0,16534069,10048,52179005,98100597,0
1789388426.4459996,4.16,896111,15482,0,192,37,38,17682,185185,4769634,261644,1400,63662944,63969896,64771552,0,0,0,1,1,0,7898523,61951117,62658274,13,17,350,1591882,3187657,0,16538092,10142,52190809,98100597,0
1789388426.696428,4.41,896478,15497,0,192,37,39,17684,185202,4771085,268060,1400,63643820,63947472,64771552,0,0,0,0,2,0,7899112,62032672,62739828,13,17,350,1591487,3186866,0,16541928,10154,52197401,98100597,0
1789388426.9468882,4.661,896837,15511,0,192,37,39,17685,185227,4772603,271240,1400,63627612,63929672,64771552,0,0,0,1,1,0,7899679,62117536,62824693,13,17,350,1591122,3186135,0,16545497,10158,52200521,98100597,0
1789388427.1973395,4.911,897168,15523,0,192,37,39,17689,185280,4774024,273804,1400,63566888,63867668,64771552,0,0,0,1,3,0,7900019,62162114,62869271,13,17,350,1589638,3183164,0,16564609,10158,52203105,98100597,0
1789388427.4478142,5.162,897519,15533,0,192,37,39,17690,185316,4775463,276524,1400,63541128,63839340,64771552,0,0,0,0,3,0,7900414,62213318,62920474,13,17,350,1589000,3181885,0,16571720,10158,52205805,98100597,0
1789388427.6982698,5.412,897877,15544,0,192,37,39,17692,185345,4779233,279928,1400,63518216,63813008,64771552,0,0,0,0,7,0,7900964,62278881,62986088,13,17,350,1588428,3180740,0,16577990,10161,52209357,98100597,0
1789388427.9489007,5.663,898225,15554,0,192,37,39,17693,185384,4780905,282764,1400,63511552,63803516,64771552,0,0,0,0,2,0,7901334,62323182,63030427,13,17,350,1588261,3180407,0,16580088,10161,52212185,98100597,0
1789388428.1993492,5.913,898574,15563,0,192,37,39,17695,185424,4783092,284964,1500,63499880,63789672,64771552,0,0,0,0,3,0,7901725,62363993,63071237,13,17,375,1587970,3179823,0,16583409,10163,52214317,98100597,0
1789388428.4498196,6.164,898938,15574,0,192,37,39,17696,185450,4784533,288628,1500,63486012,63772116,64771552,0,0,0,0,2,0,7902247,62403087,63110340,13,17,375,1587624,3179130,0,16586896,10163,52217925,98100597,0
1789388428.7002368,6.414,899294,15581,0,192,37,39,17697,185485,4785247,291212,1500,63472172,63755676,64771552,0,0,0,0,2,0,7902562,62444746,63151999,13,17,375,1587278,3178438,0,16589744,10163,52220533,98100597,0
1789388428.95059,6.664,899619,15583,0,192,37,39,17700,185552,4791341,292012,1500,63458444,63741228,64771552,0,0,0,0,5,0,7903076,62449880,63157133,13,17,375,1586936,3177752,0,16593535,10165,52221221,98100597,0
1789388429.2009885,6.915,899927,15585,0,192,37,39,17701,185640,4795258,292528,1500,63447948,63730136,64771552,0,0,0,0,5,0,7903400,62456099,63163353,13,17,375,1586674,3177227,0,16597777,10165,52221729,98100597,0
1789388429.4514263,7.165,900280,15597,0,192,37,39,17703,185673,4798254,295596,1500,63438276,63717416,64771552,0,0,0,1,2,0,7904131,62548122,63255375,13,17,375,1586432,3176744,0,16599498,10165,52224857,98100597,0
1789388429.7018983,7.416,900651,15606,0,192,37,39,17704,185691,4799354,298704,1500,63431616,63707644,64771552,0,0,0,0,2,0,7904722,62633405,63340659,13,17,375,1586266,3176411,0,16601242,10165,52227969,98100597,0
1789388429.9523582,7.666,901019,15614,0,192,37,39,17706,185715,4801200,300540,1500,63407888,63682064,64771552,0,0,0,1,1,0,7905170,62693207,63400461,13,17,375,1585674,3175225,0,16606207,10165,52229749,98100597,0
1789388430.202833,7.917,901365,15625,0,192,37,39,17708,185755,4802967,303812,1500,63387744,63658688,64771552,0,0,0,0,2,0,7905553,62745718,63452986,13,17,375,1585171,3174218,0,16612117,10165,52233001,98100597,0
1789388430.4532945,8.167,901740,15635,0,192,37,39,17709,185770,4803815,306428,1500,63367580,63635856,64771552,0,0,0,0,4,0,7907146,62840175,63547442,13,17,375,1584667,3173210,0,16617124,10165,52235733,98100597,0
1789388430.7036939,8.417,902090,15642,0,192,37,39,17711,185812,4805591,308040,1500,63346368,63613040,64771552,0,0,0,0,2,0,7907391,62872257,63579525,13,17,375,1584138,3172149,0,16622552,10165,52237257,98100597,0
1789388430.95413,8.668,902458,15651,0,192,37,39,17713,185833,4806494,310084,1500,63322916,63587348,64771552,0,0,0,0,2,0,7907907,62943343,63650625,13,17,375,1583552,3170977,0,16628388,10165,52239557,98100597,0
1789388431.2045875,8.918,902780,15656,0,192,37,39,17716,185901,4812299,311584,1500,63293116,63555636,64771552,0,0,0,0,3,0,7908495,62959464,63666746,13,17,375,1582809,3169488,0,16636351,10165,52241381,98100597,0
1789388431.4550564,9.169,903079,15659,0,192,37,39,17719,185994,4816798,312596,1504,63235020,63496548,64771552,0,0,0,1,4,0,7908707,62962206,63669487,13,17,376,1581358,3166583,0,16649559,10166,52242441,98100597,0
1789388431.7055066,9.419,903450,15671,0,192,37,39,17721,186010,4817729,315848,1504,63215444,63473724,64771552,0,0,0,0,2,0,7909230,63061064,63768345,13,17,376,1580870,3165605,0,16654600,10166,52245721,98100597,0
1789388431.9560022,9.67,903803,15676,0,192,37,39,17725,186044,4820080,317312,1512,63289116,63545900,64771552,0,0,0,0,3,0,7909468,63071584,63778866,13,17,378,1582709,3169288,0,16664492,10166,52247249,98100597,0
1789388432.2064917,9.92,904173,15684,0,192,37,39,17727,186064,4822078,319580,1664,63273884,63528412,64771552,0,0,0,0,2,0,7910071,63137630,63844912,13,17,416,1582328,3168526,0,16669695,10166,52249213,98100597,0
1789388432.4569397,10.171,904545,15690,0,192,37,39,17729,186084,4823044,321548,1664,63247932,63500516,64771552,0,0,0,0,3,0,7910469,63193260,63900541,13,17,416,1581681,3167229,0,16676250,10166,52251205,98100597,0
1789388432.7073114,10.421,904879,15699,0,192,37,39,17731,186138,4826827,324132,1668,63224800,63474776,64771552,0,0,0,0,3,0,7910868,63227243,63934525,13,17,417,1581103,3166073,0,16682566,10167,52253761,98100597,0
1789388432.9577916,10.672,905203,15701,0,192,37,39,17734,186207,4834809,324964,1732,63209008,63458156,64771552,0,0,0,0,8,0,7911376,63233404,63940686,13,17,433,1580709,3165283,0,16686512,10167,52254589,98100661,0
1789388433.208286,10.922,905468,15708,0,192,37,39,17744,186325,4844420,381936,1732,63099964,63292080,64771552,0,0,0,1,6,0,7912044,63240934,63948220,13,17,433,1577987,3159832,0,16710371,10167,52312457,98100661,0
1789388433.458884,11.173,905752,15721,0,192,37,39,17757,186412,4854665,488560,1732,63033636,63118804,64771552,0,0,0,0,13,0,7912666,63258356,63965643,13,17,433,1576330,3156515,0,16735934,10167,52418193,98100661,0
1789388433.7095532,11.423,906020,15721,0,192,37,39,17771,186527,4861099,606824,119916,62851816,62817688,64771552,0,0,0,0,9,0,7912925,63258495,63965782,13,17,29979,1571763,3147370,0,16770046,10167,52418265,98100661,0
1789388433.9601743,11.674,906287,15736,0,192,37,39,17790,186625,4869744,873112,224308,62689448,62387904,64771552,0,0,0,0,5,0,7913479,63277816,63985103,13,17,56179,1567684,3139202,0,16815281,10167,52580161,98100661,0
1789388434.2106318,11.924,906585,15750,0,192,37,39,17803,186701,4872936,1183572,372896,62643524,62029588,64771552,0,0,0,0,5,0,7913882,63310129,64017423,13,17,93224,1566479,3136789,0,16826413,10167,52742129,98100661,0
1789388434.4611244,12.175,906832,15760,0,192,37,39,17845,186801,4879930,1386820,461656,62321676,61503044,64771552,0,0,0,3,2,0,7914361,63322912,64030217,13,17,115414,1558419,3120648,0,16837633,10167,52857141,98100661,0
1789388434.7116098,12.425,907091,15769,0,192,37,39,17863,186912,4886066,1620744,585212,62295916,61241832,64771552,0,0,0,3,3,0,7914731,63339304,64046609,13,17,146303,1557738,3119285,0,16868309,10169,52967017,98100661,0
1789388434.962103,12.676,907375,15784,0,192,37,39,17874,187004,4889126,1926232,744764,62329464,60968028,64771552,0,0,0,0,4,0,7915120,63369896,64077205,13,17,186191,1558527,3120865,0,16870165,10169,53113309,98100661,0
1789388435.2125947,12.926,907660,15797,0,192,37,39,17892,187084,4893783,2184368,887180,62247524,60626060,64771552,0,0,0,0,9,0,7915540,63400051,64107363,13,17,221795,1556436,3116677,0,16887415,10169,53228673,98100661,0
1789388435.463231,13.177,907919,15805,0,192,37,39,17923,187185,4898156,2455240,979872,62050000,60156692,64771552,0,0,0,0,6,0,7915932,63411194,64118521,13,17,244968,1551478,3106749,0,16896796,10169,53407393,98100661,0
1789388435.7139387,13.428,908204,15812,0,192,37,39,17944,187273,4904799,2791316,1135864,62001648,59770236,64771552,0,0,0,0,6,0,7916411,63426434,64133761,13,17,283966,1550223,3104237,0,16925742,10169,53587081,98100661,0
1789388435.9643958,13.678,908492,15817,0,192,37,39,17958,187367,4906776,3098336,1315704,62021760,59480888,64771552,0,0,0,0,6,0,7916682,63437488,64144815,13,17,328926,1550664,3105121,0,16926982,10169,53714037,98100661,0
1789388436.2148046,13.929,908755,15822,0,192,37,39,17993,187460,4912519,3354240,1409632,61769268,58970992,64771552,0,0,0,0,7,0,7917245,63444579,64151907,13,17,352408,1544323,3092423,0,16943170,10169,53876005,98100661,0
