t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789389207.100581,0.0,1891444,41018,0,192,48,41,43796,384191,12718950,116692,1620,63855400,64237232,64771552,0,0,0,1,1,0,9370831,140572307,141446173,21,25,405,635576,1275053,0,31876151,25568,189625529,207318109,0
1789389207.35216,0.252,1891690,41036,0,192,48,41,43797,384328,12719557,126228,1620,63839988,64215748,64771552,0,0,0,0,17,0,9371004,140600955,141474876,21,25,405,635484,1274866,0,31878806,25641,189637701,207318109,0
1789389207.6027331,0.502,1892058,41052,0,192,48,41,43799,384342,12720254,133144,1620,63825168,64196944,64771552,0,0,0,1,1,0,9371609,140710357,141584403,21,25,405,635376,1274650,0,31883712,25673,189646281,207318109,0
1789389207.8531668,0.753,1892433,41075,0,192,48,41,43801,384342,12720967,162180,1652,63796556,64153332,64771552,0,0,0,1,1,0,9372358,140865403,141739450,21,25,413,635240,1274378,0,31887940,25878,189675549,207318109,0
1789389208.103554,1.003,1892798,41098,0,192,48,41,43803,384351,12723108,172528,1652,63781824,64133364,64771552,0,0,0,1,1,0,9373174,141005339,141879398,21,25,413,635146,1274189,0,31891122,25978,189686117,207318109,0
1789389208.353958,1.253,1893168,41120,0,192,48,41,43803,384357,12724880,179208,1652,63771124,64119344,64771552,0,0,0,1,1,0,9374054,141187249,142061325,21,25,413,635072,1274041,0,31893169,25984,189692569,207318109,0
1789389208.6043065,1.504,1893535,41142,0,192,48,41,43805,384366,12726129,187644,1652,63748752,64092744,64771552,0,0,0,1,1,0,9374900,141351794,142225899,21,25,413,634892,1273679,0,31898315,25984,189701045,207318109,0
1789389208.8546617,1.754,1893891,41151,0,192,48,41,43811,384393,12729834,190528,1620,63757840,64100372,64771552,0,0,0,1,3,0,9375210,141374360,142248472,21,25,405,634997,1273890,0,31913273,25992,189704033,207318141,0
1789389209.1051087,2.005,1894246,41164,0,192,48,41,43813,384422,12732451,193768,1620,63732752,64073664,64771552,0,0,0,0,2,0,9375932,141447738,142321873,21,25,405,634763,1273421,0,31921274,25993,189707341,207318141,0
1789389209.355559,2.255,1894612,41176,0,192,48,41,43815,384443,12735441,196608,1620,63712768,64052252,64771552,0,0,0,1,1,0,9376553,141529910,142404052,21,25,405,634579,1273051,0,31926209,25993,189710273,207318141,0
1789389209.60603,2.505,1894972,41189,0,192,48,41,43819,384464,12739402,199940,1620,63683600,64021408,64771552,0,0,0,1,2,0,9377621,141612177,142486327,21,25,405,634305,1272502,0,31934163,26001,189713617,207318141,0
