t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789388618.3762174,0.0,1140435,21535,0,192,39,39,24110,234755,6601503,116736,1240,63882076,64263648,64771552,0,0,0,1,1,0,8241878,80129867,80877896,15,18,310,1595452,3194805,0,20231185,13330,86435265,123545125,0
1789388618.6276858,0.251,1140681,21552,0,192,39,39,24111,234893,6602107,126236,1240,63863572,64239432,64771552,0,0,0,0,17,0,8242122,80158435,80906469,15,18,310,1595149,3194199,0,20233842,13403,86447437,123545125,0
1789388618.878324,0.502,1141048,21569,0,192,39,39,24113,234906,6602792,133172,1240,63848116,64220168,64771552,0,0,0,1,1,0,8243183,80245647,80993709,15,18,310,1594859,3193617,0,20238700,13433,86455901,123545125,0
1789388619.1288095,0.753,1141424,21591,0,192,39,39,24114,234907,6603517,162136,1272,63822204,64179124,64771552,0,0,0,1,1,0,8243976,80398160,81146250,15,18,318,1594590,3193078,0,20242940,13636,86485221,123545125,0
1789388619.3791864,1.003,1141789,21614,0,192,39,39,24116,234916,6605667,172244,1272,63805456,64157276,64771552,0,0,0,1,1,0,8244758,80550273,81298376,15,18,318,1594299,3192496,0,20246147,13739,86495437,123545125,0
1789388619.629636,1.253,1142159,21636,0,192,39,39,24118,234923,6607352,179092,1272,63793620,64142016,64771552,0,0,0,1,1,0,8245726,80731821,81479924,15,18,318,1594089,3192075,0,20248175,13745,86502269,123545125,0
1789388619.8800907,1.504,1142526,21658,0,192,39,39,24119,234932,6608617,187596,1272,63772792,64116928,64771552,0,0,0,1,1,0,8246521,80897460,81645590,15,18,318,1593675,3191247,0,20253337,13745,86510785,123545125,0
1789388620.1305509,1.754,1142882,21667,0,192,39,39,24124,234963,6612381,190664,1272,63774056,64116624,64771552,0,0,0,1,3,0,8246987,80919336,81667473,15,18,318,1593746,3191389,0,20268361,13753,86513769,123545157,0
1789388620.3810358,2.005,1143237,21680,0,192,39,39,24126,234994,6614843,193852,1272,63750632,64091604,64771552,0,0,0,0,2,0,8247539,80989983,81738128,15,18,318,1593201,3190298,0,20276231,13754,86516969,123545157,0
1789388620.631493,2.255,1143602,21691,0,192,39,39,24129,235015,6617585,196840,1272,63730148,64069644,64771552,0,0,0,0,2,0,8248510,81038530,81786679,15,18,318,1592726,3189348,0,20281327,13754,86519925,123545157,0
