stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789389803604,1789389804075,471,False,374,45858002,59,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789389805220,1789389806640,1420,False,1387,987029201,22,47,2342,0,0,0,124391955,501573,0,0,0,0,117734973,501573,156179714
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789389805223,1789389806641,1418,False,1378,1080206588,27,47,2342,0,0,0,124391937,501573,0,0,0,0,117734806,501573,163637945
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789389805222,1789389806644,1422,False,1390,979821511,28,47,2299,0,0,0,124391946,501573,0,0,0,0,117727666,501573,159042469
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789389805223,1789389806650,1427,False,1396,986676515,27,47,2299,0,0,0,124391934,501573,0,0,0,0,117725804,501573,157779637
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789389806637,1789389807529,892,False,881,748733541,3,26,2342,0,0,0,124391934,501573,0,0,0,0,117732840,501573,138700523
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789389806639,1789389807553,914,False,906,749913754,2,29,2299,0,0,0,124391931,501573,0,0,0,0,117730876,501573,138437717
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789389806644,1789389807575,931,False,925,770352007,2,29,2299,0,0,0,124391919,501573,0,0,0,0,117738326,501573,140996168
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789389806649,1789389807580,931,False,925,777493430,2,29,2299,0,0,0,124392207,501572,0,0,0,0,117731201,501572,148696309
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789389807552,1789389808455,903,False,896,752541288,2,23,2299,0,0,0,124392825,501570,0,0,0,0,117727650,501570,134969765
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789389807528,1789389808455,927,False,918,772114765,3,26,2299,0,0,0,124392825,501570,0,0,0,0,117731740,501570,134740037
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789389807574,1789389808459,885,False,881,732376138,2,23,2299,0,0,0,124392816,501570,0,0,0,0,117733073,501570,133058984
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789389807580,1789389808503,923,False,918,774246383,2,23,2299,0,0,0,124392816,501570,0,0,0,0,117731743,501570,140695878
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789389808459,1789389809334,875,False,870,729615376,1,19,2299,0,0,0,124392816,501570,0,0,0,0,117724597,501570,130652867
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789389808453,1789389809349,896,False,890,744851181,2,19,2299,0,0,0,124392816,501570,0,0,0,0,117736928,501570,137139430
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789389808455,1789389809350,895,False,890,752994681,1,19,2299,0,0,0,124392816,501570,0,0,0,0,117724568,501570,135299045
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789389808502,1789389809429,927,False,921,772065340,2,19,2299,0,0,0,124392816,501570,0,0,0,0,117724678,501570,148875648
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789389809349,1789389810208,859,False,854,716590966,1,15,2299,0,0,0,124392807,501570,0,0,0,0,117727138,501570,133329227
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789389809348,1789389810214,866,False,861,722214696,2,15,2299,0,0,0,124392807,501570,0,0,0,0,117723628,501570,134169937
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789389809334,1789389810244,910,False,904,770064672,3,15,2299,0,0,0,124392813,501570,0,0,0,0,117736030,501570,133905397
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789389809428,1789389810375,947,False,941,754116844,2,15,2299,0,0,0,124392807,501570,0,0,0,0,117736608,501570,128877306
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789389810207,1789389811066,859,False,852,712562800,1,28,2299,0,0,0,124392807,501570,0,0,0,0,117727647,501570,136120530
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789389810214,1789389811091,877,False,872,726435697,1,28,2299,0,0,0,124392807,501570,0,0,0,0,117728868,501570,137929459
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789389810243,1789389811113,870,False,865,718744724,1,28,2299,0,0,0,124392807,501570,0,0,0,0,117731434,501570,134835350
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789389810374,1789389811284,910,False,906,722790646,1,28,2299,0,0,0,124392807,501570,0,0,0,0,117734119,501570,130119752
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789389811065,1789389811905,840,False,835,711200381,1,16,2299,0,0,0,124392798,501570,0,0,0,0,117724137,501570,131291012
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789389811090,1789389811915,825,False,821,700082798,1,16,2299,0,0,0,124392798,501570,0,0,0,0,117730989,501570,129106357
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789389811112,1789389811949,837,False,833,718380129,1,16,2299,0,0,0,124392798,501570,0,0,0,0,117735678,501570,134452660
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789389811284,1789389812113,829,False,825,706291088,1,16,2299,0,0,0,124392798,501570,0,0,0,0,117719246,501570,129021664
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789389811914,1789389812747,833,False,828,721611111,1,17,2299,0,0,0,124392798,501570,0,0,0,0,117733042,501570,129348030
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789389811905,1789389812754,849,False,845,724412245,1,17,2299,0,0,0,124392798,501570,0,0,0,0,117729359,501570,131494768
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789389811949,1789389812764,815,False,812,714382632,1,17,2299,0,0,0,124392798,501570,0,0,0,0,117730558,501570,131223404
