t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789394706.3674917,0.0,10366706,74383,0,192,63,52,76497,637042,23826079,145712,1688,63829520,64197360,64771552,0,0,0,1,1,0,11446739,260073950,261152252,39,43,422,1594506,3192911,0,52766722,46437,361733217,364340781,0
1789394706.6219897,0.254,10366955,74400,0,192,63,52,76499,637180,23826668,155040,1856,63816512,64178728,64771552,0,0,0,0,17,0,11446917,260102166,261180528,39,43,464,1594338,3192575,0,52769381,46510,361745365,364340781,0
1789394706.8725903,0.505,10367324,74416,0,192,63,52,76501,637193,23827339,161172,1856,63801504,64159972,64771552,0,0,0,1,1,0,11447480,260194183,261272660,39,43,464,1594057,3192012,0,52774234,46538,361753409,364340781,0
1789394707.1230776,0.756,10367699,74439,0,192,63,52,76503,637194,23828064,190752,1584,63771264,64114520,64771552,0,0,0,0,2,0,11448364,260341840,261420323,39,43,396,1593682,3191261,0,52778453,46740,361782809,364340781,0
1789394707.3734732,1.006,10368064,74461,0,192,63,52,76505,637204,23830216,200828,1584,63756308,64094448,64771552,0,0,0,1,1,0,11449326,260478484,261556975,39,43,396,1593436,3190769,0,52781498,46847,361792909,364340781,0
1789394707.6238918,1.256,10368434,74483,0,192,63,52,76506,637211,23831920,207768,1584,63744696,64079384,64771552,0,0,0,1,1,0,11450343,260655463,261733979,39,43,396,1593233,3190362,0,52783694,46853,361799833,364340781,0
1789394707.874222,1.507,10368800,74504,0,192,63,52,76507,637221,23833189,216144,1584,63725492,64055996,64771552,0,0,0,1,1,0,11451902,260817787,261896349,39,43,396,1592858,3189611,0,52788763,46853,361808229,364340781,0
1789394708.1245654,1.757,10369159,74514,0,192,63,52,76512,637250,23836728,219396,1584,63735176,64064000,64771552,0,0,0,0,2,0,11452901,260846492,261925060,39,43,396,1593141,3190179,0,52801714,46861,361811601,364340813,0
1789394708.3750422,2.008,10369513,74526,0,192,63,52,76514,637280,23838708,222400,1584,63707396,64034716,64771552,0,0,0,1,2,0,11453425,260915041,261993609,39,43,396,1592486,3188865,0,52811196,46862,361814605,364340813,0
1789394708.6254954,2.258,10369879,74537,0,192,63,52,76515,637300,23840399,225372,1584,63687520,64013356,64771552,0,0,0,1,2,0,11454051,260998694,262077262,39,43,396,1592027,3187946,0,52815961,46862,361817581,364340813,0
1789394708.8758805,2.508,10370240,74549,0,192,63,52,76518,637325,23842609,228188,1584,63668016,63992448,64771552,0,0,0,0,2,0,11454746,261075198,262153766,39,43,396,1591575,3187041,0,52820123,46862,361820393,364340813,0
1789394709.126251,2.759,10370594,74563,0,192,63,52,76520,637352,23845429,231416,1584,63649260,63972008,64771552,0,0,0,0,3,0,11455524,261142287,262220854,39,43,396,1591148,3186188,0,52826641,46872,361823801,364340813,0
1789394709.3767502,3.009,10370941,74569,0,192,63,52,76523,637394,23852112,233072,1584,63639436,63961364,64771552,0,0,0,0,3,0,11456111,261171625,262250193,39,43,396,1590924,3185738,0,52829289,46877,361825317,364340813,0
1789394709.6272016,3.26,10371295,74582,0,192,63,52,76524,637423,23854892,235920,1584,63632252,63952756,64771552,0,0,0,0,5,0,11456699,261242254,262320854,39,43,396,1590780,3185450,0,52830886,46879,361828157,364340813,0
