stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789395241583,1789395242090,507,False,403,52547452,64,11,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789395243331,1789395244855,1524,False,1490,1080824461,28,54,2342,0,0,0,119771100,482910,0,0,0,0,61996398,482910,101308907
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789395243329,1789395244856,1527,False,1490,1084982442,28,54,2342,0,0,0,119771109,482910,0,0,0,0,61993904,482910,100473710
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789395243331,1789395244856,1525,False,1490,1172307142,28,54,2342,0,0,0,119771100,482910,0,0,0,0,61994838,482910,98315399
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789395243331,1789395244866,1535,False,1502,1120219764,28,54,2299,0,0,0,119771091,482910,0,0,0,0,61997147,482910,92641719
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789395244856,1789395245814,958,False,951,802765240,3,18,2299,0,0,0,119768922,482907,0,0,0,0,61995693,482907,74948972
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789395244855,1789395245814,959,False,953,804581150,2,18,2299,0,0,0,119770347,482909,0,0,0,0,61993775,482909,74043041
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789395244865,1789395245818,953,False,948,801820220,2,18,2299,0,0,0,119768922,482907,0,0,0,0,61995178,482907,78446441
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789395244854,1789395245825,971,False,964,828869609,3,18,2299,0,0,0,119771082,482910,0,0,0,0,61996790,482910,78513883
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789395245814,1789395246706,892,False,885,744312815,2,15,2299,0,0,0,119768913,482907,0,0,0,0,61994583,482907,72961037
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789395245813,1789395246709,896,False,891,751277555,2,15,2299,0,0,0,119768913,482907,0,0,0,0,61997413,482907,75476836
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789395245824,1789395246714,890,False,886,748566226,1,15,2299,0,0,0,119768913,482907,0,0,0,0,61995774,482907,73866377
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789395245818,1789395246744,926,False,921,781747878,2,15,2299,0,0,0,119768913,482907,0,0,0,0,61994472,482907,82255615
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789395246705,1789395264528,17823,False,17817,779089181,2,11,2299,0,0,0,119768913,482907,0,0,0,0,61993894,482907,17042953511
1,save at NativeMethodAccessorImpl.java:0,16,15,0,1789395246744,1789395264635,17891,False,17885,770228135,2,11,2299,0,0,0,119768904,482907,0,0,0,0,61994648,482907,17062192129
1,save at NativeMethodAccessorImpl.java:0,15,14,0,1789395246714,1789395264635,17921,False,17917,789264214,1,11,2299,0,0,0,119768913,482907,0,0,0,0,61995584,482907,17059557218
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789395246709,1789395264635,17926,False,17922,779161716,1,11,2299,0,0,0,119768913,482907,0,0,0,0,61996574,482907,17068804470
1,save at NativeMethodAccessorImpl.java:0,17,16,0,1789395264527,1789395265428,901,False,894,770294313,2,14,2299,0,0,0,119768904,482907,0,0,0,0,61993002,482907,70134397
1,save at NativeMethodAccessorImpl.java:0,20,19,0,1789395264635,1789395265509,874,False,869,747532074,2,14,2299,0,0,0,119768904,482907,0,0,0,0,61995640,482907,73459315
1,save at NativeMethodAccessorImpl.java:0,19,18,0,1789395264634,1789395265511,877,False,873,754964172,1,14,2299,0,0,0,119768904,482907,0,0,0,0,61995084,482907,73815255
1,save at NativeMethodAccessorImpl.java:0,18,17,0,1789395264634,1789395265513,879,False,875,755812430,2,14,2299,0,0,0,119768904,482907,0,0,0,0,61992599,482907,73650211
1,save at NativeMethodAccessorImpl.java:0,21,20,0,1789395265427,1789395266306,879,False,873,741884851,1,19,2299,0,0,0,119768904,482907,0,0,0,0,61993869,482907,69123377
1,save at NativeMethodAccessorImpl.java:0,22,21,0,1789395265508,1789395266375,867,False,861,741453661,1,19,2299,0,0,0,119768904,482907,0,0,0,0,61997288,482907,69455643
1,save at NativeMethodAccessorImpl.java:0,23,22,0,1789395265511,1789395266404,893,False,888,767521157,1,19,2299,0,0,0,119768904,482907,0,0,0,0,61995553,482907,76471064
1,save at NativeMethodAccessorImpl.java:0,24,23,0,1789395265512,1789395266469,957,False,953,831347745,1,19,2299,0,0,0,119768904,482907,0,0,0,0,61996281,482907,74061246
1,save at NativeMethodAccessorImpl.java:0,25,24,0,1789395266305,1789395267165,860,False,854,764678838,2,10,2299,0,0,0,119768904,482907,0,0,0,0,61996339,482907,69086358
1,save at NativeMethodAccessorImpl.java:0,26,25,0,1789395266374,1789395267214,840,False,835,749794101,2,10,2299,0,0,0,119768904,482907,0,0,0,0,61997074,482907,69807193
1,save at NativeMethodAccessorImpl.java:0,27,26,0,1789395266403,1789395267275,872,False,866,777727242,2,10,2299,0,0,0,119768901,482907,0,0,0,0,61995741,482907,72225528
1,save at NativeMethodAccessorImpl.java:0,28,27,0,1789395266469,1789395267310,841,False,836,743134697,2,10,2299,0,0,0,119768895,482907,0,0,0,0,61997194,482907,70952135
1,save at NativeMethodAccessorImpl.java:0,29,28,0,1789395267164,1789395267950,786,False,780,737697789,1,12,2299,0,0,0,119768895,482907,0,0,0,0,61995923,482907,67491784
1,save at NativeMethodAccessorImpl.java:0,30,29,0,1789395267214,1789395268012,798,False,793,745874294,1,12,2299,0,0,0,119768895,482907,0,0,0,0,61995394,482907,68724326
1,save at NativeMethodAccessorImpl.java:0,31,30,0,1789395267274,1789395268082,808,False,804,763315374,1,12,2299,0,0,0,119768895,482907,0,0,0,0,61994874,482907,68373458
1,save at NativeMethodAccessorImpl.java:0,32,31,0,1789395267309,1789395268125,816,False,811,765216807,1,12,2299,0,0,0,119768895,482907,0,0,0,0,61995646,482907,68342057
1,save at NativeMethodAccessorImpl.java:0,33,32,0,1789395267950,1789395268736,786,False,781,740585047,1,9,2299,0,0,0,119768895,482907,0,0,0,0,61997609,482907,67844990
1,save at NativeMethodAccessorImpl.java:0,34,33,0,1789395268011,1789395268796,785,False,780,743744450,1,9,2299,0,0,0,119768895,482907,0,0,0,0,61994101,482907,67438156
1,save at NativeMethodAccessorImpl.java:0,35,34,0,1789395268082,1789395268856,774,False,771,730908666,1,9,2299,0,0,0,119768895,482907,0,0,0,0,61994862,482907,66783515
1,save at NativeMethodAccessorImpl.java:0,36,35,0,1789395268124,1789395268906,782,False,777,741013161,1,9,2299,0,0,0,119768895,482907,0,0,0,0,61994442,482907,67525706
1,save at NativeMethodAccessorImpl.java:0,37,36,0,1789395268735,1789395269549,814,False,808,745066071,1,7,2299,0,0,0,119768895,482907,0,0,0,0,61995346,482907,67150733
1,save at NativeMethodAccessorImpl.java:0,38,37,0,1789395268795,1789395269628,833,False,828,770816655,1,7,2299,0,0,0,119768895,482907,0,0,0,0,61993005,482907,68399417
1,save at NativeMethodAccessorImpl.java:0,39,38,0,1789395268856,1789395269669,813,False,809,744820598,1,7,2299,0,0,0,119768889,482907,0,0,0,0,61995958,482907,67605076
1,save at NativeMethodAccessorImpl.java:0,40,39,0,1789395268905,1789395269746,841,False,836,741954394,1,7,2299,0,0,0,119768886,482907,0,0,0,0,61991591,482907,67914181
1,save at NativeMethodAccessorImpl.java:0,41,40,0,1789395269548,1789395270351,803,False,799,742973460,1,3,2299,0,0,0,119768886,482907,0,0,0,0,61995396,482907,66255376
1,save at NativeMethodAccessorImpl.java:0,42,41,0,1789395269627,1789395270415,788,False,783,753282775,1,3,2299,0,0,0,119768886,482907,0,0,0,0,61996199,482907,68153781
1,save at NativeMethodAccessorImpl.java:0,43,42,0,1789395269668,1789395270453,785,False,780,744973520,1,3,2299,0,0,0,119768886,482907,0,0,0,0,61996430,482907,67539063
1,save at NativeMethodAccessorImpl.java:0,44,43,0,1789395269745,1789395270528,783,False,778,741577616,1,3,2299,0,0,0,119768886,482907,0,0,0,0,61992556,482907,67041778
1,save at NativeMethodAccessorImpl.java:0,45,44,0,1789395270351,1789395271131,780,False,774,733920887,1,7,2299,0,0,0,119768886,482907,0,0,0,0,61993006,482907,66835308
1,save at NativeMethodAccessorImpl.java:0,46,45,0,1789395270414,1789395271197,783,False,778,743205955,1,7,2299,0,0,0,119768886,482907,0,0,0,0,61994662,482907,69160476
1,save at NativeMethodAccessorImpl.java:0,47,46,0,1789395270452,1789395271235,783,False,778,736014125,1,7,2299,0,0,0,119768886,482907,0,0,0,0,61996198,482907,70987394
1,save at NativeMethodAccessorImpl.java:0,48,47,0,1789395270527,1789395271309,782,False,777,737091279,1,7,2299,0,0,0,119768886,482907,0,0,0,0,61993798,482907,67517710
1,save at NativeMethodAccessorImpl.java:0,49,48,0,1789395271130,1789395271906,776,False,771,736473400,1,2,2299,0,0,0,119768886,482907,0,0,0,0,61995474,482907,66298535
1,save at NativeMethodAccessorImpl.java:0,50,49,0,1789395271196,1789395271982,786,False,781,745349327,1,2,2299,0,0,0,119768883,482907,0,0,0,0,61996346,482907,68441797
1,save at NativeMethodAccessorImpl.java:0,51,50,0,1789395271234,1789395272005,771,False,767,735129242,1,2,2299,0,0,0,119768877,482907,0,0,0,0,61994151,482907,67272516
1,save at NativeMethodAccessorImpl.java:0,52,51,0,1789395271308,1789395272088,780,False,773,735976514,1,9,2299,0,0,0,119768877,482907,0,0,0,0,61996226,482907,69226931
1,save at NativeMethodAccessorImpl.java:0,53,52,0,1789395271905,1789395272680,775,False,771,730895230,1,7,2299,0,0,0,119768877,482907,0,0,0,0,61993531,482907,66644081
1,save at NativeMethodAccessorImpl.java:0,54,53,0,1789395271981,1789395272753,772,False,768,730274132,1,7,2299,0,0,0,119768877,482907,0,0,0,0,61996147,482907,67320874
