t,t_rel,cpu_idle,cpu_iowait,cpu_irq,cpu_nice,cpu_softirq,cpu_steal,cpu_system,cpu_user,ctxt,mem_Cached,mem_Dirty,mem_MemAvailable,mem_MemFree,mem_MemTotal,mem_SwapCached,mem_Writeback,mem_WritebackTmp,procs_blocked,procs_running,psi_cpu_full_total,psi_cpu_some_total,psi_io_full_total,psi_io_some_total,psi_memory_full_total,psi_memory_some_total,vm_nr_dirty,vm_nr_dirty_background_threshold,vm_nr_dirty_threshold,vm_nr_writeback,vm_pgfault,vm_pgmajfault,vm_pgpgin,vm_pgpgout,vm_pswpout
1789396138.83866,0.0,12288121,245070,0,192,75,55,99839,810400,30481221,145132,1980,63853524,64220456,64771552,0,228,0,1,1,0,13117450,1028549668,1031536657,53,57,495,1595074,3194049,57,67542275,60851,482112217,452045765,0
1789396139.0890913,0.25,12288370,245087,0,192,75,55,99840,810533,30481822,155040,1604,63836312,64197028,64771552,0,0,0,0,17,0,13117962,1028602118,1031589145,53,57,401,1594809,3193518,0,67544905,60921,482124213,452045765,0
1789396139.3396873,0.501,12288733,245103,0,192,75,55,99843,810552,30482480,161268,1604,63823020,64180004,64771552,0,0,0,1,1,0,13119761,1028682962,1031670010,53,57,401,1594570,3193040,0,67549682,60950,482132173,452045765,0
1789396139.5901544,0.751,12289109,245125,0,192,75,55,99844,810553,30483199,190328,1636,63793472,64135640,64771552,0,0,0,1,1,0,13120596,1028826604,1031813653,53,57,409,1594203,3192304,0,67553927,61148,482161369,452045765,0
1789396139.8405635,1.002,12289474,245148,0,192,75,55,99846,810562,30485276,200832,1636,63777252,64114100,64771552,0,0,0,0,2,0,13121564,1028965383,1031952437,53,57,409,1593931,3191759,0,67557004,61260,482171865,452045765,0
1789396140.0910754,1.252,12289844,245170,0,192,75,55,99848,810568,30487040,207720,1636,63766400,64099764,64771552,0,0,0,1,1,0,13122588,1029138679,1032125776,53,57,409,1593747,3191391,0,67559221,61266,482178925,452045765,0
1789396140.3415477,1.503,12290210,245192,0,192,75,55,99849,810578,30488294,216168,1636,63745388,64074528,64771552,0,0,0,1,1,0,13123551,1029302270,1032289434,53,57,409,1593328,3190552,0,67564269,61266,482187361,452045765,0
1789396140.5920258,1.753,12290569,245201,0,192,75,55,99854,810604,30491879,219384,1636,63757084,64084592,64771552,0,0,0,0,2,0,13124005,1029334857,1032322034,53,57,409,1593660,3191218,0,67577075,61274,482190597,452045797,0
1789396140.8424711,2.004,12290922,245214,0,192,75,55,99857,810636,30494497,222220,1636,63720820,64046912,64771552,0,0,0,0,3,0,13124572,1029399917,1032387101,53,57,409,1592790,3189476,0,67586627,61275,482193605,452045797,0
1789396141.0928433,2.254,12291289,245225,0,192,75,55,99858,810657,30497035,225060,1636,63701228,64025892,64771552,0,0,0,1,2,0,13126981,1029484811,1032472002,53,57,409,1592337,3188568,0,67591394,61275,482196613,452045797,0
1789396141.3431756,2.505,12291650,245236,0,192,75,55,99860,810682,30501319,227888,1636,63688664,64012116,64771552,0,0,0,0,2,0,13127422,1029523832,1032511023,53,57,409,1592054,3188000,0,67595438,61275,482199389,452045797,0
1789396141.5935252,2.755,12292006,245250,0,192,75,55,99863,810708,30504538,231152,1636,63661836,63983632,64771552,0,0,0,0,4,0,13127975,1029593497,1032580688,53,57,409,1591425,3186742,0,67601602,61286,482202633,452045797,0
1789396141.8439612,3.005,12292357,245256,0,192,75,55,99866,810748,30509925,232768,1636,63654112,63975100,64771552,0,0,0,0,6,0,13128501,1029625148,1032612339,53,57,409,1591253,3186396,0,67603487,61291,482204269,452045797,0
1789396142.0943131,3.256,12292711,245268,0,192,75,55,99867,810780,30512905,235604,1636,63646624,63966196,64771552,0,0,0,0,2,0,13129343,1029691646,1032678837,53,57,409,1591101,3186093,0,67605017,61292,482206937,452045797,0
1789396142.3446746,3.506,12293070,245276,0,192,75,55,99870,810812,30517487,237324,1636,63626592,63945084,64771552,0,0,0,1,1,0,13129782,1029721830,1032709027,53,57,409,1590628,3185145,0,67610643,61295,482208545,452045801,0
1789396142.6093276,3.771,12293470,245299,0,192,75,55,99871,810814,30518150,264824,1636,63608296,63912728,64771552,0,0,0,1,1,0,13131032,1029962960,1032950177,53,57,409,1590522,3184934,0,67612487,61523,482236825,452045801,0
