stage_id,stage_name,task_id,index,attempt,launch_time,finish_time,duration_ms,failed,executor_run_ms,executor_cpu_ns,deser_ms,gc_ms,result_size,peak_exec_mem,spill_mem,spill_disk,input_bytes,input_records,sr_bytes,sr_records,sr_fetch_wait_ms,sr_remote_to_disk,sw_bytes,sw_records,sw_time_ns
0,parquet at NativeMethodAccessorImpl.java:0,0,0,0,1789396348627,1789396349143,516,False,409,52306956,67,12,2276,0,0,0,0,0,0,0,0,0,0,0,0
1,save at NativeMethodAccessorImpl.java:0,1,0,0,1789396350413,1789396351725,1312,False,1276,904352941,27,47,2342,0,0,0,97934931,394773,0,0,0,0,92675513,394773,144622430
1,save at NativeMethodAccessorImpl.java:0,3,2,0,1789396350416,1789396351726,1310,False,1278,993866482,21,41,2299,0,0,0,97934931,394773,0,0,0,0,92668768,394773,138769796
1,save at NativeMethodAccessorImpl.java:0,2,1,0,1789396350415,1789396351726,1311,False,1279,909891872,27,47,2299,0,0,0,97934931,394773,0,0,0,0,92668586,394773,139207639
1,save at NativeMethodAccessorImpl.java:0,4,3,0,1789396350416,1789396351727,1311,False,1280,898440721,20,41,2299,0,0,0,97934922,394773,0,0,0,0,92676044,394773,139557437
1,save at NativeMethodAccessorImpl.java:0,6,5,0,1789396351725,1789396352536,811,False,803,679351111,4,22,2299,0,0,0,97934922,394773,0,0,0,0,92672546,394773,118300305
1,save at NativeMethodAccessorImpl.java:0,7,6,0,1789396351726,1789396352539,813,False,807,681411481,3,22,2299,0,0,0,97934922,394773,0,0,0,0,92671137,394773,118568489
1,save at NativeMethodAccessorImpl.java:0,8,7,0,1789396351727,1789396352552,825,False,818,698396252,3,22,2299,0,0,0,97934922,394773,0,0,0,0,92670947,394773,120580848
1,save at NativeMethodAccessorImpl.java:0,5,4,0,1789396351724,1789396352556,832,False,825,698698717,4,22,2299,0,0,0,97934922,394773,0,0,0,0,92670932,394773,123094242
1,save at NativeMethodAccessorImpl.java:0,10,9,0,1789396352539,1789396353281,742,False,736,644301763,1,22,2299,0,0,0,97934922,394773,0,0,0,0,92671265,394773,114333564
1,save at NativeMethodAccessorImpl.java:0,12,11,0,1789396352556,1789396353328,772,False,763,636178477,7,22,2299,0,0,0,97934922,394773,0,0,0,0,92674258,394773,116467671
1,save at NativeMethodAccessorImpl.java:0,9,8,0,1789396352535,1789396353329,794,False,789,656708901,2,22,2299,0,0,0,97934922,394773,0,0,0,0,92674956,394773,117355970
1,save at NativeMethodAccessorImpl.java:0,11,10,0,1789396352551,1789396353336,785,False,780,648893477,2,22,2299,0,0,0,97934922,394773,0,0,0,0,92677912,394773,119852427
1,save at NativeMethodAccessorImpl.java:0,13,12,0,1789396353280,1789396353999,719,False,711,656137881,2,29,2299,0,0,0,97934922,394773,0,0,0,0,92671871,394773,115458688
1,save at NativeMethodAccessorImpl.java:0,14,13,0,1789396353328,1789396354126,798,False,793,660017296,1,29,2299,0,0,0,97934922,394773,0,0,0,0,92678702,394773,117628361
