run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dirty_bg_threshold_pages,dirty_threshold_pages,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,io_cap_mbps,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_nr_dirty_pages,peak_procs_blocked,peak_writeback_kb,peak_writeback_pages,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,vm_dirty_background_ratio,vm_dirty_ratio,workload
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,102.53,15.889055518814175,24.33783783783784,False,False,False,0,51273,417444,3957784,93632,81437246,3,1595246,3194394,True,,0,7,180,/data/spark-skew-data/skew16_rb256_p200_g8,50,200,467,279,6158496,587201568,1539624,4,3260764,815191,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_1a29fc,51567,False,byte,False,172776004,172776004,167771840,685732136,43157514.0,2558702,s6,5403,222.0,281,689,52354,10,20,sort
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,68.02,15.663373386711966,24.858870967741936,False,False,False,0,56373,470890,8048084,162132,142644119,0,1595208,3194316,True,,0,13,323,/data/spark-skew-data/skew16_rb256_p200_g8,50,200,746,279,5933176,587201568,1483294,4,4785084,1196271,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_7b1687,56844,True,byte,False,143161791,143161791,167771840,591970170,37793274.5,2558702,s6,6165,248.0,307,551,57682,10,20,sort
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,37.669,15.663373386711966,24.918489065606362,False,False,False,0,56381,535662,6922876,95848,5336247,4,1594363,3192624,True,,0,13,325,/data/spark-skew-data/skew16_rb256_p200_g8,0,200,187,279,6012224,587201568,1503056,5,16256,4064,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_86c24e,56858,True,byte,False,143161791,143161791,167771840,591970170,37793274.5,2558702,s6,6267,251.5,310,574,57679,10,20,sort
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,lz4,0,29.92,15.889055518814175,24.407239819004523,False,False,False,0,50201,484356,6070464,98322,4947528,1,1594506,3192911,True,,0,7,107,/data/spark-skew-data/skew16_rb256_p200_g8,0,200,157,279,6213340,587201568,1553131,3,15188,3797,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_a627b1,50413,False,byte,False,172776004,172776004,167771840,685732136,43157514.0,2558702,s6,5394,221.0,272,561,51183,10,20,sort
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,zstd,0,53.734,15.297933805006513,25.09014675052411,False,False,False,0,54115,378851,1172412,89859,21030743,1,1594916,3193733,True,,0,10,122,/data/spark-skew-data/skew16_rb256_p200_g8,50,200,249,279,3615040,587201568,903861,4,836256,209064,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_c95799,54361,True,byte,False,76402301,76402301,167771840,316906107,20715615.0,2558702,s6,5984,238.5,295,544,55126,10,20,sort
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0,16.0,256,4,1500m,200,False,zstd,0,36.521,15.297933805006513,25.111570247933884,False,False,False,0,54504,424266,4335484,84305,5291447,0,1595470,3194842,True,,0,8,136,/data/spark-skew-data/skew16_rb256_p200_g8,0,200,181,279,4331420,587201568,1082855,3,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep0_fce952,54742,True,byte,False,76402301,76402301,167771840,316906107,20715615.0,2558702,s6,6077,242.0,292,554,55544,10,20,sort
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1,16.0,256,4,1500m,200,False,lz4,1,37.304,15.663373386711966,25.056451612903224,False,False,False,0,55986,552593,7932172,95158,5809082,0,1594756,3193412,True,,0,14,297,/data/spark-skew-data/skew16_rb256_p200_g8,0,200,185,279,6101220,578812976,1525305,2,16204,4051,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1_2b29cd,56429,True,byte,False,150299919,150299919,176160432,591970170,37793274.5,2558702,s6,6214,248.0,305,559,57243,10,20,sort
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1,16.0,256,4,1500m,200,False,zstd,1,36.434,15.297933805006513,24.88050314465409,False,False,False,0,55074,424208,4193436,66224,4338410,0,1594893,3193686,True,,0,10,83,/data/spark-skew-data/skew16_rb256_p200_g8,0,200,181,279,4223504,587201568,1055772,3,16384,4096,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1_2b553c,55260,True,byte,False,76402301,76402301,167771840,316906107,20715615.0,2558702,s6,5934,238.5,301,698,56046,10,20,sort
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1,16.0,256,4,1500m,200,False,lz4,1,112.392,15.663373386711966,25.2568093385214,False,False,False,0,58213,487798,8411840,132057,154804426,2,1595074,3194049,True,,0,12,279,/data/spark-skew-data/skew16_rb256_p200_g8,50,200,797,279,6154128,587201568,1538532,4,4404888,1101222,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1_3015dd,58714,True,byte,False,143161791,143161791,167771840,591970170,37793274.5,2558702,s6,6491,257.0,317,596,59576,10,20,sort
s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1,16.0,256,4,1500m,200,False,zstd,1,55.077,15.297933805006513,24.647773279352226,False,False,False,0,56086,376913,1170032,91787,20749216,1,1594876,3193652,True,,0,9,82,/data/spark-skew-data/skew16_rb256_p200_g8,50,200,255,279,3601976,587201568,900494,4,825816,206454,1.0,2,0,/home/ubuntu/spark-skew/results/s6/s6_byt16_rb256_c4_m1500m_p200_aqe0_sort_rep1_e7eb22,56312,True,byte,False,76402301,76402301,167771840,316906107,20715615.0,2558702,s6,6088,247.0,302,586,57079,10,20,sort
